Cycle,0.719444444444
Average Width,3.01457309055
Width,,2.93022748012,2.89623975103,3.06223515063,3.29317270708,2.96070702713,3.02221514946,3.0955567293,3.03792024004,3.12141669762,3.06972463112,3.03681466702,3.11888908739,3.07336659047,3.06205372897,2.99256759368,3.03525596433,2.97245016108,2.87047486851,3.02003568149,3.00039142216,2.96051764608,3.09826128715,2.96579365451,3.0043253132,2.95056142492,3.0152826473,2.70487082141,3.0274570592,3.06572638111,3.07834985192,3.05743933443,2.9845533367,3.08337904581,3.06228562899,2.99734351236,3.03499865879,3.106485863,2.97686108351,2.99112408572,3.11852684973,3.06402957305,2.96454899744,3.00853288965,3.06224824941,2.91804855188,2.91872542286,2.98729269542,2.97866282568,2.85613341716
Point0,H1,(11.3320322974 31),(10.391618408 178),(12.667863001 331),(13.033631572 466),(10.2795313362 607),(11.1423791997 751),(12.9370592255 896),(12.4912424734 1028),(12.5992629261 1168),(11.779701512 1323),(12.1151604641 1471),(12.4911258964 1628),(11.5419062622 1781),(10.5745387465 1923),(10.8058848041 2075),(10.5237741951 2221),(9.46969151472 2366),(9.25759612958 2505),(10.3442600401 2639),(7.11932867169 2779),(8.65314208002 2911),(9.02391128574 3029),(8.40058600826 3166),(8.79591827922 3302),(8.23984397293 3461),(11.6757071402 3597),(7.3106182867 3746),(11.4213373618 3903),(11.0726360903 4063),(10.0531600425 4219),(9.94577811533 4368),(8.34528719805 4517),(9.18375337099 4669),(9.44169247859 4815),(8.79823009067 4961),(10.3448501172 5119),(9.44485968413 5280),(8.70415090484 5422),(9.09666833344 5581),(8.85639847548 5735),(8.85022426921 5885),(9.17655216708 6030),(9.52180073661 6176),(9.75510979949 6334),(8.56991909991 6481),(7.70979976575 6634),(8.76481495764 6782),(8.20452741552 6942),(5.77082492125 7083),
Point0,H2,(4.68073894414 71),,(7.16143557228 361),,(7.85104770285 623),(8.63034666565 769),,,,,(9.60589007488 1489),,,,,(6.92780126247 2242),,,(7.86344053547 2655),(3.60432359062 2809),,,,,(5.80815994628 3486),(8.17014852202 3616),(5.64426900221 3788),(8.65769756311 3922),(8.18079299335 4081),(7.35934159866 4243),,,,(7.41731457943 4834),,,,(6.61489897893 5442),(7.55500153625 5599),(6.51874151659 5765),,(6.46377817422 6049),,,(7.55322320855 6497),(7.70651697385 6638),(6.18521039478 6799),,
Point0,H3,(5.35291944267 84),,(7.2080442356 367),,(8.53366966072 635),(8.76907653621 776),,,,,(9.64926101428 1494),,,,,(7.31464801145 2254),,,(8.58777056236 2667),(3.90002631787 2821),,,,,(6.17833479148 3498),(8.57191871775 3626),(5.94640846272 3804),(8.75119964335 3929),(8.43556909244 4090),(7.48190335395 4251),,,,(7.43253833323 4837),,,,(6.66479336234 5447),(7.78406181401 5609),(6.65165570576 5774),,(6.62067132824 6057),,,(7.58092423464 6502),(7.70655084269 6639),(6.69330276697 6809),,
Point0,H4,(1.05702220491 117),(6.98886976844 214),,,,(1.80031829461 831),,,(1.91056760919 1259),,(1.29417269919 1562),(3.07043563088 1722),,(3.42698747348 2007),,(7.20582780496 2262),(1.44731680053 2442),(5.15282082872 2556),,,,,(1.03405911525 3238),,,(3.84853367167 3664),(1.6996359365 3847),,,(2.00285206381 4317),(-0.00668689082577 4459),(1.55286126848 4602),,(1.42200218785 4906),(1.21618457354 5051),(1.59803466931 5207),,,(1.64849574919 5674),,,,,,(2.05889726449 6574),,(3.76057035777 6830),,
Point0,H5,(1.65478089106 133),(7.52613686828 229),,,,(1.84288333681 837),,,(2.19174700034 1269),,(1.64951901748 1574),(3.26842703344 1731),,(3.481802385 2014),,(8.11155965933 2279),(2.1390668693 2455),(5.58629310597 2569),,,,,(1.69091262857 3254),,,(3.95483691902 3673),(1.83202066205 3857),,,(2.35130517266 4326),(1.11455483639 4473),(1.88242245053 4613),,(2.02024238559 4919),(1.30698007865 5061),(1.8408027107 5219),,,(2.03300459089 5686),,,,,,(2.10152182087 6580),,(4.13492032382 6841),,
Point0,H6,(-1.15463194561e-14 149),(-5.3290705182e-15 297),(0.0 436),(-1.33226762955e-14 580),(-1.15463194561e-14 722),(1.7763568394e-15 856),(-7.9936057773e-15 997),(3.5527136788e-15 1142),(2.6645352591e-15 1287),(2.6645352591e-15 1439),(-1.15463194561e-14 1591),(-1.06581410364e-14 1751),(5.3290705182e-15 1895),(-4.4408920985e-15 2040),(-1.15463194561e-14 2189),(-1.42108547152e-14 2331),(-7.1054273576e-15 2472),(4.4408920985e-15 2613),(-3.5527136788e-15 2744),(-0.000621634774123 2871),(2.6645352591e-15 2999),(-4.4408920985e-15 3125),(-7.54951656745e-15 3271),(-0.00251064199009 3415),(-7.9936057773e-15 3552),(3.5527136788e-15 3715),(-1.7763568394e-15 3876),(-8.881784197e-16 4036),(-8.881784197e-15 4182),(-2.6645352591e-15 4343),(-0.0180727105081 4487),(-0.000750085567824 4633),(5.3290705182e-15 4788),(-8.881784197e-16 4935),(-3.5527136788e-15 5087),(-8.881784197e-16 5239),(8.881784197e-16 5390),(3.5527136788e-15 5544),(1.7763568394e-15 5704),(6.2172489379e-15 5849),(7.1054273576e-15 6000),(-8.881784197e-16 6146),(1.24344978758e-14 6297),(1.42108547152e-14 6455),(1.59872115546e-14 6599),(1.46549439251e-14 6757),(-3.5527136788e-15 6902),(-8.881784197e-15 7052),
Point1,H1,(22.1579478722 27),(21.0060415468 173),(22.7907510742 327),(22.0262105465 460),(20.7093495895 602),(21.9324599796 746),(22.4672579913 889),(22.7156309585 1022),(22.0623032822 1164),(21.7712079364 1315),(23.4040634422 1466),(23.0148243723 1624),(22.293621997 1774),(21.5158083656 1918),(22.1287992307 2069),(20.7670620299 2217),(19.2741176963 2361),(18.2908223703 2499),(20.9482523694 2635),(16.4600142029 2775),(18.6448029658 2903),(18.821910833 3025),(19.0026384085 3161),(19.9243135829 3295),(18.9135886324 3448),(22.8414711426 3594),(19.8080745785 3745),(22.0747615463 3899),(21.4499218207 4059),(20.3806905062 4214),(20.2847823579 4364),(18.8740532615 4510),(17.995660672 4663),(18.8047711157 4810),(19.4007415219 4956),(20.786886069 5113),(18.4972124466 5270),(19.7822746274 5417),(20.4873700067 5577),(17.7184564887 5730),(17.9274036327 5878),(19.3105315823 6025),(19.984752359 6170),(19.745013325 6327),(19.1140866466 6475),(17.5552924279 6625),(19.2400149703 6778),(18.2769444865 6936),(15.713315096 7080),
Point1,H2,(8.82935187643 76),,,(19.0006153235 476),(13.2133890366 622),,,,,,(15.9129849297 1486),,,,,(13.4192545838 2238),,,(15.1876271702 2653),(8.4536839261 2805),,,,,(10.6658702384 3485),(15.4596080758 3618),,(16.0596277498 3919),(14.9655519208 4080),,,,,(13.3520956713 4830),(15.2396041477 4974),(14.1481816234 5134),,(13.1212172837 5437),(14.604527185 5600),,,(11.8241236358 6046),(14.079051207 6188),,(14.8307677664 6491),,,,
Point1,H3,(8.83179790203 78),,,(19.1349685108 482),(13.6458793811 630),,,,,,(16.0453324507 1491),,,,,(13.7956371831 2247),,,(15.605393598 2662),(8.47597473561 2810),,,,,(10.6748252226 3488),(15.460840198 3619),,(16.0793239018 3923),(14.9906226545 4083),,,,,(13.5157042206 4836),(15.2684159238 4978),(14.3140342379 5140),,(13.4509484866 5445),(14.620346433 5604),,,(12.081189011 6053),(14.6172988807 6197),,(15.4084196372 6501),,,,
Point1,H4,(3.39378982178 117),(12.4821630497 219),(2.10870619676 411),,,,(4.60389539968 970),(3.62086659809 1111),(3.82318331594 1254),(0.902743129944 1422),(2.71877908276 1558),(4.94303184563 1719),,(5.1506470324 2008),,(11.1475810775 2269),(2.61413361858 2440),,,,(4.42063328008 2971),,(1.61942606858 3237),(4.20996825815 3386),(7.1054273576e-15 3546),(4.60631137708 3691),,,(3.76092060819 4152),(3.07627338016 4311),(3.60569707578 4455),(3.19654878193 4598),,(3.2948519085 4902),,(3.13259101427 5206),,(3.9762422662 5510),(4.45105418947 5668),(5.09531326579 5816),,,(4.81472187235 6263),,,,,,
