Cycle,0.753713235294
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(11.0361737434 35),(11.8717437634 195),(13.6554841071 358),(12.567510035 520),(13.8815010595 679),(14.1319271132 834),(12.711714208 996),(15.6497916721 1155),(16.0263002795 1313),(14.9210430672 1476),(15.4149596884 1636),(15.1702641906 1795),(16.5337241213 1956),(15.3989302026 2126),(13.4134321303 2286),(14.4464680037 2451),(15.4712332835 2611),(15.157259697 2771),
Point0,H2,(4.0379195715 87),(6.95359472843 239),,,,,,(7.60676089434 1191),,,,,(7.66770826331 2002),(8.27065832893 2159),,,,,
Point0,H3,(4.85025086044 103),(6.99052056421 245),,,,,,(7.63763859468 1195),,,,,(7.69046337394 2007),(8.64005375926 2168),,,,,
Point0,H4,(1.08666698919 129),(1.61719280694 286),,(3.32194907648 596),,(6.01280058966 880),(1.56796966055 1086),(3.01150291347 1233),,,(0.788604243891 1721),(2.67311798626 1875),(1.95108789383 2060),,,(1.77524567088 2536),(2.36337870326 2701),,
Point0,H5,(1.25750083602 138),(1.94495207105 298),,(3.58965304166 608),,(6.2475099924 889),(1.69144208201 1095),(3.47880797957 1248),,,(1.56256384566 1738),(2.74396258006 1882),(2.07686646836 2068),,,(2.65591185387 2551),(2.48332619372 2711),,
Point0,H6,(-0.00284271033007 1),(1.06581410364e-14 157),(7.1054273576e-15 320),(5.3290705182e-15 480),(4.4408920985e-15 635),(-3.5527136788e-15 796),(0.0 957),(-0.00363406880156 1113),(-4.4408920985e-15 1272),(-0.00165613569098 1430),(4.4408920985e-15 1602),(7.1054273576e-15 1759),(7.1054273576e-15 1924),(8.881784197e-15 2087),(9.7699626167e-15 2249),(3.5527136788e-15 2408),(-2.6645352591e-15 2572),(8.881784197e-16 2736),
Point1,H1,(6.71897815436 75),(9.2951325724 232),(7.18600509542 344),(8.07231122921 565),(7.41910136203 719),(8.21456924983 869),(8.22094731262 998),(7.29104869651 1178),(7.85588102414 1346),(7.34720801115 1514),(6.64829130739 1676),(6.46024316816 1824),(7.20749606595 1996),(6.41743304277 2159),(7.2244745797 2289),(8.12727693498 2480),(8.25602492257 2648),(7.3669263906 2779),
Point1,H2,,,,(-5.3290705182e-15 595),,,,,(3.5527136788e-15 1390),,,(-1.7763568394e-15 1869),,,(6.68039784914 2308),,,,
Point1,H3,,,,(4.89874493306 630),,,,,(5.07234732577 1427),,,(4.15712675963 1916),,,(7.09541297587 2323),,,,
Point1,H4,(-0.0187421308352 113),(1.7763568394e-15 270),,(4.48801651023 645),(4.4408920985e-15 748),(-0.000866334093963 911),,,(4.9378456022 1440),(-2.6645352591e-15 1550),(-0.00066336850443 1711),(4.09566479642 1926),(-2.6645352591e-15 2033),(-6.2172489379e-15 2201),,(-1.7763568394e-15 2523),,,
