Cycle,1.10732142857
Average Width,5.59523900794
Width,,5.49282592362,5.82519171414,6.4763912067,5.41950416077,5.47342478631,5.58366551919,5.60732449069,5.53851366945,5.54306419355,5.83633920201,5.47164628505,5.21891734984,5.68172804076,5.66449769894,5.09555087813
Point0,H1,(3.49077262508 102),(6.74833459858 378),(10.0306713303 640),(6.45845940194 873),(4.04211926592 1047),(8.43430766102 1309),(7.23068339327 1564),(7.65042492242 1811),(5.26489176884 1985),(9.28286542321 2265),(8.59588955527 2522),(8.7146113388 2754),(8.13813059909 2941),(9.87091931828 3226),(7.82636197436 3481),
Point0,H2,,,,,,,,,,(1.45815305819 2417),,(1.53856755363 2837),,,,
Point0,H3,,,,,,,,,,(1.91115089785 2435),,(1.54347434942 2840),,,,
Point0,H4,,,,,,,,,,(4.4408920985e-15 2466),,(1.005071088 2857),,,,
Point0,H5,,,,,,,,,,(7.78302115855 2500),,(1.41342715637 2870),,,,
Point0,H6,(-0.00135576436109 1),(-4.4408920985e-16 313),(-0.00233084169232 572),(-0.00562530743822 823),(-0.0014543237971 984),(0.953533532915 1116),(-7.9936057773e-15 1269),(-2.22044604925e-15 1525),(-0.00795914574094 1769),(-3.5527136788e-15 1937),(0.0710387519051 2110),(-0.00637754801868 2200),(4.4408920985e-15 2466),(-1.34319365461e-05 2709),(1.33226762955e-15 2887),(-8.881784197e-16 3123),(1.33226762955e-15 3419),
Point1,H1,(5.81227777019 79),(9.42569300978 350),(13.6887882073 635),(9.88898475605 867),(6.95278129783 1033),(12.3355908866 1311),(10.2786352384 1565),(11.5083596173 1811),(7.86203708752 1980),(12.5768358301 2262),(12.1841190678 2521),(12.7441607009 2752),(10.6011751133 2928),(12.1589888005 3199),(10.6963142962 3457),
Point1,H2,,,(10.0419887636 674),,,,(4.48686824429 1655),(11.3825466022 1820),,,,,,,,
Point1,H3,,,(10.0762729824 681),,,,(4.52615382116 1664),(11.3868215589 1824),,,,,,,,
Point1,H4,,,(3.06505523867 778),(4.26819216462 914),,(5.09973019219 1388),(1.25966873961 1738),,,,,(1.09234865442 2856),,,,
Point1,H5,,,(3.30282876866 791),(4.28002958955 918),,(5.47712067963 1402),(1.49552021947 1749),,,,,(1.80789673844 2870),,,,
Point1,H6,(-5.77315972805e-15 311),(-0.00281312174874 571),(-5.3290705182e-15 820),(-0.0106679000634 981),(0.0474019511824 1217),(8.881784197e-16 1268),(-3.5527136788e-15 1522),(-3.5527136788e-15 1768),(-0.00982907576018 1933),(-0.00324396743744 2191),(-2.6645352591e-15 2467),(-4.4408920985e-15 2709),(3.5527136788e-15 2886),(0.0 3158),(-0.00233559238495 3417),
Point2,H1,(5.05502687274 50),(8.51640975824 335),(11.329760486 599),(7.15550947845 829),(7.55411918404 989),(11.0734445167 1288),(9.67541731724 1544),(9.98783125368 1777),(6.77221616968 1957),(10.9636573153 2231),(10.4103205117 2484),(10.411817987 2717),(9.13717324074 2903),(11.24621818 3166),(8.53766402374 3422),
Point2,H2,,,,,,,,(9.77753620553 1787),,,,(1.69438413618 2800),,(10.8722897515 3180),,
Point2,H3,,,,,,,,(9.83405078908 1794),,,,(1.70379766812 2804),,(10.8906752375 3184),,
Point2,H4,,,(0.744063825376 760),(1.50994293612 908),,,,(1.33226762955e-15 1902),,,,(0.707552675413 2826),,(7.21767389684 3213),,
Point2,H5,,,(1.08174315413 773),(2.09015810676 923),,,,(6.39940694529 1936),,,,(0.797476868665 2835),,(7.61238161719 3224),,
Point2,H6,(-0.00755614875617 1),(-0.00973795664436 114),(-0.467897554418 184),(-0.0101332872492 277),(-5.3290705182e-15 539),(-0.00893253927998 789),(-0.00191017878082 951),(4.88498130835e-15 1235),(-3.5527136788e-15 1488),(-0.0113916082869 1733),(1.33226762955e-15 1902),(0.394507499466 2096),(-0.00137305280165 2169),(7.1054273576e-15 2435),(8.881784197e-16 2676),(-0.00263811735327 2852),(-0.000568526623192 3118),(-0.00660717978835 3374),
Point3,H1,(4.38934285014 45),(6.83482918116 333),(10.0957499886 597),(5.75240232857 829),(6.37878809883 988),(8.76894145127 1283),(7.47954200412 1539),(8.05059898513 1772),(5.43038358524 1951),(8.54936048023 2230),(7.73570573343 2482),(7.34518910482 2711),(6.51193731458 2911),(7.45465575098 3165),(5.13713611758 3438),
Point3,H2,,,,,,,,,,,,,,,,
Point3,H3,,,,,,,,,,,,,,,,
Point3,H4,,,,(0.941094465947 902),,,(5.46004720607 1564),(7.68213777135 1784),,,,(0.759629269516 2791),(0.642943389565 3047),,,
Point3,H5,,,,(1.93359730587 922),,,(5.47398463659 1569),(7.74502195086 1791),,,,(0.869661469568 2804),(1.43528657684 3077),,,
Point3,H6,(-0.00438977138472 100),(-0.0024936435413 177),(0.0 245),(6.2172489379e-15 537),(-0.00519278617011 787),(5.99520433298e-15 948),(0.858553408585 1089),(-8.84756531607e-05 1161),(-0.000118018997685 1232),(7.1054273576e-15 1483),(-0.00642585605903 1721),(-0.00458309810281 1897),(0.213724360792 2090),(-0.000393402567365 2165),(1.7763568394e-15 2432),(3.5527136788e-15 2674),(2.6645352591e-15 2841),(0.642943389565 3047),(-0.00352676351674 3111),(-0.00542112416005 3374),
