Cycle,0.762537986705
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(21.5419807241 46),(19.8886307364 203),(21.9024358161 367),(23.4692716231 528),(22.8567074778 687),(20.8037715195 846),(20.3493901324 999),(21.2478692902 1154),(23.3918726688 1312),(21.9145278018 1470),(21.2145430615 1629),(19.9744560207 1808),(20.3401542106 1953),(21.2502735756 2109),(20.1207983981 2269),(21.050172545 2428),(20.4553401605 2589),(22.1839910456 2750),(23.3034714462 2909),(23.142890756 3069),(24.433950771 3229),(24.713239014 3388),(22.1985548917 3549),(22.7335363834 3694),(23.2452533653 3852),(22.6648013747 4013),(24.3582362283 4175),(20.6566137893 4318),
Point0,H2,,(4.9529420429 268),,,,,,,,(21.218761063 1480),,(3.42154559533 1866),,,,,,,,,,,(10.6926807173 3581),,(9.5774419447 3901),,,
Point0,H3,,(5.14239230743 276),,,,,,,,(21.4941509304 1487),,(3.83766882319 1876),,,,,,,,,,,(10.9035283929 3588),,(9.62427927897 3905),,,
Point0,H4,,(3.04346654047 298),(2.62344303226 455),,,(2.82000878705 933),(1.78073044103 1096),,,(10.6409776265 1518),,(0.924619454957 1898),,(9.70229900282 2156),(9.78280805704 2315),,(8.47997149417 2637),(3.2424291754 2840),(3.66713826615 2998),,(3.62421260944 3317),(3.87015925991 3476),,,(4.4835166764 3938),(3.84131791316 4100),,
Point0,H5,,(3.06204107717 301),(3.12405160018 465),,,(3.38343326978 944),(1.96040769214 1104),,,(10.687696343 1522),,(1.01952868678 1905),,(9.92486230027 2163),(10.0611583988 2323),,(8.51761116865 2641),(3.25102337041 2843),(3.7910318253 3005),,(3.88795705561 3326),(4.09135527589 3485),,,(4.52594268387 3943),(3.91112962546 4107),,
Point0,H6,(8.881784197e-15 160),(2.13162820728e-14 320),(-7.1054273576e-15 481),(-1.7763568394e-15 640),(0.0 800),(1.24344978758e-14 962),(-0.00418460528241 1119),(-8.881784197e-15 1278),(-1.06581410364e-14 1438),(5.3290705182e-15 1599),(7.1054273576e-15 1760),(1.7763568394e-15 1918),(7.1054273576e-15 2076),(-0.00139725530938 2234),(1.42108547152e-14 2393),(2.48689957516e-14 2550),(8.881784197e-15 2708),(-7.1054273576e-15 2866),(-8.881784197e-15 3026),(-8.881784197e-15 3186),(-1.42108547152e-14 3346),(-1.06581410364e-14 3505),(-1.42108547152e-14 3663),(-0.00608752171152 3816),(-3.5527136788e-15 3972),(1.7763568394e-15 4129),(1.7763568394e-15 4288),
Point1,H1,(14.6555106961 119),(13.8969004175 279),(10.748730141 439),(13.5573925915 597),(10.0109557094 758),(10.8908596827 919),(11.4449065652 1079),(11.1796750219 1238),(8.95175007369 1398),(10.1844343732 1557),(12.3766976631 1715),(11.1924623201 1878),(11.402568439 2030),(8.95606430716 2196),(11.6683226986 2331),(9.27165079964 2509),(11.7325450858 2667),(9.19506710226 2825),(10.7002067008 2984),(10.907899122 3141),(10.0719638949 3304),(11.5889303339 3463),(9.41337667377 3621),(9.00209782801 3776),(14.8391101407 3927),(9.59672617315 4088),(12.4431002891 4245),
Point1,H2,(-0.0058033184474 165),,(0.462744694944 468),(1.10695951094 628),,,(-0.0111845771723 1123),,(-7.1054273576e-15 1424),(-0.108856337858 1587),,(-1.7763568394e-15 1904),,,,,,,,,,,(1.7763568394e-14 3649),,,,,
Point1,H3,(4.22217954751 191),,(0.619957627768 475),(1.30547395956 635),,,(6.13498717825 1151),,(1.44176510757 1438),(0.31958280496 1596),,(1.67639097041 1918),,,,,,,,,,,(1.23141313765 3663),,,,,
Point1,H4,(3.78822090221 202),,(5.3290705182e-15 487),(8.881784197e-16 650),(5.3290705182e-15 804),,(5.22737661071 1164),,(1.15965349201 1447),(-9.7699626167e-15 1606),,(1.01253566546 1928),(9.7699626167e-15 2071),,(3.5527136788e-15 2386),(5.3290705182e-15 2548),,(-2.6645352591e-15 2866),(-1.7763568394e-15 3029),,(-0.00289964230766 3349),,(1.08063225167 3671),,(7.1054273576e-15 3976),,,
Point1,H5,(12.814934615 251),,(5.98424714644 515),(8.90007641426 733),(8.55040350603 864),,(8.03702410772 1188),,(7.06805429446 1473),(6.64607478581 1637),,(10.7353053139 1992),(7.23847854455 2144),,(5.65214344523 2434),(5.906884943 2589),,(5.63004537959 2908),(10.4358052083 3114),,(4.63252223349 3382),,(4.94190497184 3696),,(8.37236198053 4050),,,
Point1,H6,(-0.0058033184474 165),(-2.6645352591e-15 327),(5.3290705182e-15 487),(8.881784197e-16 650),(5.3290705182e-15 804),(-0.00416478705182 952),(-0.0111845771723 1123),(-0.0064616232849 1287),(-7.1054273576e-15 1424),(-0.108856337858 1587),(-0.00184023548102 1746),(-1.7763568394e-15 1904),(9.7699626167e-15 2071),(1.06581410364e-14 2228),(3.5527136788e-15 2386),(5.3290705182e-15 2548),(2.6645352591e-15 2712),(-2.6645352591e-15 2866),(-1.7763568394e-15 3029),(7.1054273576e-15 3188),(-0.00289964230766 3349),(-0.00467724588975 3508),(1.7763568394e-14 3649),(1.06581410364e-14 3809),(7.1054273576e-15 3976),(6.2172489379e-15 4137),(-0.00948003877441 4298),
Point2,H1,(14.7275134543 120),(13.6170400045 280),(12.0132330778 440),(13.5014306352 599),(10.6122625774 759),(11.7681655403 920),(12.1303154186 1081),(12.5008906158 1240),(9.96785864618 1400),(11.3761539937 1558),(12.215054687 1716),(11.404170657 1879),(12.1225096186 2035),(10.5256612611 2196),(12.1812740489 2335),(10.6146314999 2512),(12.6221730131 2670),(11.0761864165 2828),(12.6844980295 2986),(13.6174375938 3144),(12.3868511023 3305),(14.0548957645 3464),(10.9998662563 3623),(11.5676978019 3778),(15.4097513815 3930),(11.9618306234 4090),(14.360020045 4247),
