Cycle,0.739875
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.13125545154 106),(8.70616918252 232),(9.28802624904 420),(9.73638629938 574),(8.10324482649 726),(10.0104254815 885),(8.10973609937 1039),(8.40336330515 1191),(8.92342914729 1348),(7.50088019353 1498),(7.80468296533 1653),(6.7491731098 1813),(8.41755604828 1972),(7.12822285416 2083),(10.078588312 2284),(8.17807322404 2439),(7.37042374933 2596),(7.67911187878 2752),(8.79377186101 2907),(7.65604689447 3031),(6.93379071454 3193),
Point0,H2,,(7.86439293807 250),,,,,,,,(3.5527136788e-15 1539),(-2.6645352591e-15 1702),(-0.021091723095 1843),,,,,(-1.7763568394e-15 2628),,,,,
Point0,H3,,(8.40354536293 264),,,,,,,,(4.65262614006 1582),(3.93301302701 1732),(0.276570528704 1853),,,,,(5.22869242754 2671),,,,,
Point0,H4,(-8.881784197e-15 148),,(-8.881784197e-16 467),(-3.5527136788e-15 611),,(-0.00301920241871 936),(-2.6645352591e-15 1079),,(1.33226762955e-15 1398),(4.59540074291 1589),(3.88345889382 1738),,(0.0 2005),,(-4.4408920985e-15 2325),,(4.72029401573 2683),(-8.881784197e-16 2787),,,,
Point0,H5,(3.94931107842 192),,(8.48388715056 546),(7.88137265114 693),,(5.26479769791 966),(7.59049403588 1158),,(3.34472583567 1425),(6.66506007532 1622),(6.67379545676 1775),,(5.64805724462 2046),,(5.11431601586 2383),,(6.28209351135 2704),(6.09220381698 2836),,,,
Point0,H6,(-8.881784197e-15 148),(-7.9936057773e-15 305),(-8.881784197e-16 467),(-3.5527136788e-15 611),(-0.00120047114995 761),(-0.00301920241871 936),(-2.6645352591e-15 1079),(-6.2172489379e-15 1238),(1.33226762955e-15 1398),(3.5527136788e-15 1539),(-2.6645352591e-15 1702),(-0.021091723095 1843),(0.0 2005),(-0.00195718609851 2161),(-4.4408920985e-15 2325),(-8.881784197e-16 2484),(-1.7763568394e-15 2628),(-8.881784197e-16 2787),(8.881784197e-16 2950),(-0.00209544351248 3107),(-5.3290705182e-15 3249),
Point1,H1,(11.6466249556 105),(11.3656250794 260),(12.5630108533 419),(12.1639094487 569),(10.747546983 722),(12.7331849767 881),(11.1879609481 1036),(11.2452592412 1190),(11.8570074521 1346),(11.1287253462 1496),(11.3819499704 1650),(10.0364260246 1811),(11.4796141663 1969),(9.32131263661 2125),(12.6590855661 2280),(12.451456692 2435),(11.2233193867 2593),(11.5722600908 2750),(12.9724489551 2904),(10.1589824646 3058),(10.1909214295 3218),
Point1,H2,,,,,,,,,,,,,(-1.7763568394e-15 2001),(6.2172489379e-15 2157),,(0.0 2483),(-3.5527136788e-15 2626),,,(-1.06581410364e-14 3103),,
Point1,H3,,,,,,,,,,,,,(6.5067883497 2045),(6.01305957842 2208),,(4.53490290556 2510),(6.2581330873 2671),,,(8.60984032111 3168),,
Point1,H4,(7.1054273576e-15 145),(1.7763568394e-15 305),,(-3.5527136788e-15 607),,,(-3.5527136788e-15 1075),,(-8.881784197e-16 1393),,(8.881784197e-16 1698),,(6.33750046387 2053),(6.01113090377 2210),,(4.40332126422 2517),(6.21142953974 2676),(-5.3290705182e-15 2785),(-8.881784197e-15 2946),(8.60924927161 3169),,
Point1,H5,(11.0407293482 230),(11.1299567086 395),,(9.82225110879 695),,,(9.84008637342 1155),,(5.20091908753 1421),,(9.19580179317 1779),,(9.00745329143 2082),(7.78142918673 2242),,(10.4060459001 2571),(8.54840417936 2704),(7.71970023111 2833),(9.97536642905 3026),(9.88681430642 3192),,
Point1,H6,(7.1054273576e-15 145),(1.7763568394e-15 305),(0.0 465),(-3.5527136788e-15 607),(-8.881784197e-15 762),(-7.1054273576e-15 931),(-3.5527136788e-15 1075),(0.0 1233),(-8.881784197e-16 1393),(-1.33226762955e-14 1536),(8.881784197e-16 1698),(1.7763568394e-15 1857),(-1.7763568394e-15 2001),(6.2172489379e-15 2157),(8.881784197e-15 2321),(0.0 2483),(-3.5527136788e-15 2626),(-5.3290705182e-15 2785),(-8.881784197e-15 2946),(-1.06581410364e-14 3103),(-0.00762204548343 3266),
