Cycle,0.867053846154
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.95886872133 134),(9.32150270453 309),(10.3111655209 465),(8.91686451534 730),(7.41940872711 854),(7.33965977158 1051),(7.54610134695 1243),(7.65930886624 1417),(7.30358391042 1654),(8.44926612371 1855),(7.25657577751 2080),(11.4944260832 2304),(3.19437489185 2392),(3.81133106178 2515),(11.6041401689 2673),(8.77254977879 2825),(7.94240279792 3052),(8.89397569971 3241),(8.51408668025 3484),(9.84483626181 3664),(9.79889221396 3800),(9.51614821775 4050),(10.1081274249 4210),(9.20931652233 4414),(9.64019363563 4592),(11.3868536968 4743),
Point0,H2,,(8.49078859736 325),,,(6.89912901026 878),(6.70881415595 1096),(7.33849692758 1257),,,,(7.06651268887 2099),,,,(10.7493623796 2694),,,,(-0.000795545729438 3522),,,,(9.1257136925 4230),(0.0853307556929 4461),,,
Point0,H3,,(9.26372438429 338),,,(7.11964460264 899),(6.70898464871 1097),(7.38190399571 1265),,,,(7.14376111398 2107),,,,(10.9977228542 2704),,,,(9.43424744592 3609),,,,(9.36146885882 4239),(0.376839971485 4470),,,
Point0,H4,,,,,(6.87344877786 915),(7.1054273576e-15 1152),(6.55068705543 1286),,(5.62655578578 1699),(-0.00434813297875 1959),(-0.00238984975713 2141),,,(-0.91847303597 2540),(-0.0241081495508 2758),,(6.70052376638 3091),,(8.98870722235 3625),,,,(7.1054273576e-15 4289),(8.881784197e-16 4482),(-0.0099938209001 4641),,
Point0,H5,,,,,(7.10782216454 927),(5.55061004942 1201),(6.93035052859 1299),,(5.9951347929 1712),(4.87693980108 1994),(11.4318827678 2258),,,(11.0277709486 2623),(6.00440495941 2798),,(7.05207965894 3107),,(9.35333832648 3641),,,,(8.34151742761 4362),(4.99539055704 4512),(10.0292644812 4711),,
Point0,H6,(-0.0174546641692 2),(-1.7763568394e-15 174),(-7.1054273576e-15 384),(-0.00238872109653 590),(2.6645352591e-15 786),(1.06581410364e-14 980),(7.1054273576e-15 1152),(1.33226762955e-14 1343),(1.42108547152e-14 1552),(1.59872115546e-14 1759),(-0.00434813297875 1959),(-0.00238984975713 2141),(-0.21572368003 2352),(-0.0201623919611 2465),(-0.91847303597 2540),(-0.0241081495508 2758),(-0.00434319660878 2956),(1.15463194561e-14 3151),(7.1054273576e-15 3341),(-0.000795545729438 3522),(-1.7763568394e-15 3710),(0.0 3906),(2.6645352591e-15 4094),(7.1054273576e-15 4289),(8.881784197e-16 4482),(-0.0099938209001 4641),
Point1,H1,(22.1676393933 134),(22.1673438027 337),(20.2612802846 468),(20.0275049692 535),(20.6341224841 729),(21.2016951122 930),(18.9385907628 1106),(25.0375493224 1297),(7.13581063524 1384),(8.7056451555 1507),(24.0346553485 1662),(19.2747996708 1909),(17.5810159831 2105),(17.8367794316 2305),(17.2545576204 2505),(18.7782405623 2708),(20.0979924157 2910),(18.1894714539 3108),(19.0334008389 3264),(17.0530865467 3481),(19.5738882704 3666),(17.7675241007 3825),(19.3739948041 4049),(16.1557225695 4243),(15.8979420281 4419),(17.6979707816 4590),(17.9792681417 4743),
Point1,H2,,,(18.7800279276 489),,(-2.84217094304e-14 784),,,,,,,(-0.00361484797754 1964),(1.7763568394e-15 2145),,(-8.881784197e-15 2556),(-0.00148600567771 2752),(-1.06581410364e-14 2959),,,,,,,,,,
Point1,H3,,,(19.0894965382 502),,(18.4843028035 874),,,,,,,(11.1189810099 1999),(16.672177727 2249),,(15.1322843752 2646),(18.383987459 2827),(15.6128745751 3038),,,,,,,,,,
Point1,H4,(1.24344978758e-14 176),,,(-1.24344978758e-14 575),(18.4348045485 882),(-1.95399252334e-14 979),(-0.0225720418434 1152),,,,,(11.0105565061 2006),(16.3811564521 2264),,(14.9736458323 2657),(17.1478142541 2845),(15.1827881912 3057),,,(1.24344978758e-14 3522),(-0.00110234506451 3711),,(3.90798504668e-14 4099),,(-0.0642170282211 4468),,
Point1,H5,(21.913622791 308),,,(14.3182357895 625),(19.5199505093 901),(18.4140405005 1076),(24.0505325347 1270),,,,,(13.2273026659 2036),(16.5506564017 2276),,(16.5061947478 2681),(19.573619837 2889),(15.82849871 3077),,,(18.6783914689 3635),(17.4570356461 3805),,(13.6704547642 4214),,(16.4487862906 4560),,
Point1,H6,(-0.0015791553027 1),(1.24344978758e-14 176),(-5.3290705182e-15 387),(-1.24344978758e-14 575),(-2.84217094304e-14 784),(-1.95399252334e-14 979),(-0.0225720418434 1152),(-0.252417125508 1349),(-0.0677119599454 1459),(-2.61770532287 1533),(-0.0574777025286 1761),(-0.00361484797754 1964),(1.7763568394e-15 2145),(3.5527136788e-15 2351),(-8.881784197e-15 2556),(-0.00148600567771 2752),(-1.06581410364e-14 2959),(2.48689957516e-14 3153),(1.7763568394e-14 3342),(1.24344978758e-14 3522),(-0.00110234506451 3711),(3.19744231092e-14 3905),(3.90798504668e-14 4099),(2.30926389122e-14 4289),(-0.0642170282211 4468),(-0.00542638106723 4639),
