Cycle,0.893825757576
Average Width,5.83837769452
Width,,6.0658755622,6.01927026742,6.1722418561,5.99312673621,6.00992013724,5.90153319708,5.91801917375,5.8279509062,5.69571410329,5.76792217209,5.93968750721,5.73780433773,5.89305166319,5.83381678044,5.91148776909,5.78879581836,5.80102263815,5.94039856577,6.03994127817,5.82382423893,5.79055370768,6.0013941954,5.86209283204,5.6398519396,5.8835463629,5.87486081706,5.85392634751,5.79701007663,5.6584929159,5.73271199914,5.69775375342,5.71575604729,5.78186385758,5.72824621671,5.79856975453,5.68940600761,5.77099166457,5.58176318141,6.00278754264,5.85924849713,5.94498119252,5.80478568841,5.79396189784,5.6993401998,5.68169484936
Point0,H1,(8.35570402272 64),(7.63134696568 215),(8.68636054283 376),(8.26807768195 567),(8.10177866027 743),(8.15811279598 928),(8.99397162582 1079),(7.6595466214 1243),(6.07788740653 1401),(6.5931213453 1559),(9.26355640521 1724),(6.75404869808 1978),(9.7197506076 2102),(11.8456623766 2281),(9.30711503583 2494),(9.14710780587 2665),(9.12151456664 2861),(9.37562254564 3028),(10.9201705612 3224),(8.53938150089 3413),(7.52740690382 3592),(10.5225669968 3768),(8.71128897698 3969),(6.58363828999 4171),(9.31975997891 4343),(9.17754895701 4520),(8.9524147041 4711),(8.77735801705 4891),(6.57723634284 5119),(7.22157103233 5272),(8.1814187289 5473),(8.26003650357 5643),(8.83989546266 5833),(8.54723189189 6008),(8.61025537807 6219),(8.27205149728 6417),(8.44702668364 6600),(6.2337369376 6789),(8.73914657977 6973),(11.6616058943 7160),(10.065381304 7339),(9.57724619608 7517),(9.57039682106 7709),(7.24571546944 7878),(8.10926659081 8089),
Point0,H2,(3.32970696912 117),(1.11040356918 262),(-0.0128855631404 494),(3.74384259702 616),,,(2.62182371919 1160),,(5.67253250937 1413),(0.249938093166 1632),,,(1.61676518572 2180),(5.4039037429 2331),(4.45510693336 2523),,(4.82930230748 2888),(0.0603373680195 3146),,,(2.84910918078 3641),(4.8993463838 3817),,(3.91884633513 4198),,(0.945316025383 4612),,(0.306497688328 5023),(4.06217238726 5142),,,,(1.77655436991 5925),,,(4.63970667961 6441),,(3.30971742533 6834),,(2.33169793971 7240),,,(1.22190113354 7781),,,
Point0,H3,(3.51798328992 128),(1.47129224881 275),(0.0123611700421 504),(3.89478505851 624),,,(2.62761212098 1164),,(5.80857599299 1421),(0.264614109938 1639),,,(2.28823591266 2193),(5.58338050079 2346),(5.58630778645 2541),,(4.98710109334 2897),(0.157807503925 3156),,,(2.98537340691 3650),(4.93960074538 3823),,(4.17502072972 4208),,(1.05163305188 4623),,(0.320350166393 5029),(4.40206979341 5153),,,,(2.1068722677 5940),,,(4.92266169211 6451),,(4.1789974832 6852),,(2.50974738827 7250),,,(1.26263423433 7789),,,
Point0,H4,,(0.469816068102 303),(-0.0018582661315 510),(0.45652246444 671),(0.280198257094 850),,(0.15765842494 1192),(0.654005203581 1345),,(0.248211933961 1647),,,(0.241263902706 2216),(1.32536616912 2392),(1.97577591729 2569),,(0.761523147541 2958),(-0.00683472661707 3167),,(-0.0092237230737 3520),,(0.366781264654 3891),(0.584744727351 4087),(-0.00384379686638 4267),,(0.136040655959 4643),(1.97438887285 4810),(-0.00253834855244 5051),,,(2.01108512218 5547),(0.232654004899 5761),(1.49082568222 5958),,,,,,,(1.85520388493 7267),(0.497241431513 7438),(3.99680288865e-15 7634),,,,
Point0,H5,,(0.674286325442 317),(0.408469220723 529),(1.60965990315 689),(0.964379243903 865),,(0.254909088253 1200),(0.774495570529 1357),,(0.360681473013 1660),,,(0.367289515823 2225),(1.62298553511 2406),(2.7055613409 2586),,(1.38581489601 2974),(1.05076361091 3185),,(0.431937466277 3538),,(0.791507612582 3904),(1.43386998198 4109),(0.743309698156 4288),,(0.603304626714 4656),(1.97964890818 4814),(6.44681231154 5098),,,(2.17035826534 5561),(0.60364877981 5775),(1.50319298223 5963),,,,,,,(1.9582930456 7276),(1.5749002573 7456),(0.884693648438 7649),,,,
Point0,H6,(-0.00231003034024 186),(0.0 336),(-0.0128855631404 494),(-0.000155067369801 708),(-4.4408920985e-15 879),(-3.5527136788e-15 1032),(-9.32587340685e-15 1210),(-3.10862446895e-15 1373),(-0.000516617886408 1486),(-0.00356531325137 1675),(1.7763568394e-15 1847),(6.66133814775e-15 2056),(-0.00175112363315 2239),(-0.00395378566338 2441),(4.88498130835e-15 2623),(9.7699626167e-15 2758),(4.88498130835e-15 2991),(-0.00683472661707 3167),(0.0 3375),(-0.0582980624571 3558),(-0.0199304488691 3696),(4.4408920985e-15 3918),(3.99680288865e-15 4127),(-0.00384379686638 4267),(4.4408920985e-16 4486),(3.99680288865e-15 4669),(-1.7763568394e-15 4858),(-0.00253834855244 5051),(-0.00446235767364 5236),(-4.4408920985e-16 5419),(6.2172489379e-15 5595),(7.1054273576e-15 5790),(7.54951656745e-15 5981),(4.4408920985e-16 6176),(3.5527136788e-15 6365),(-0.00815015158002 6542),(6.2172489379e-15 6677),(-0.00290594834528 6908),(-0.00218859700356 7090),(0.0 7296),(8.881784197e-15 7474),(3.99680288865e-15 7634),(-0.00569520028215 7819),(8.881784197e-16 7957),(-0.0105706472569 8049),
Point1,H1,(32.3538358425 27),(33.8689776314 184),(34.8204224585 343),(35.9218777672 537),(34.3326546608 712),(34.593627995 877),(37.3204233474 1049),(36.6437039967 1211),(34.3436484623 1371),(34.8372188841 1529),(38.5219671376 1690),(35.3477038775 1884),(37.2715871595 2074),(41.3376920934 2250),(37.1040822058 2444),(38.4172402749 2634),(36.8791112849 2811),(35.665488274 2998),(37.9498337607 3195),(35.0289302645 3377),(32.7098608913 3561),(36.0165589422 3738),(36.685148113 3926),(35.5415310457 4126),(35.7585844352 4312),(38.6780098628 4490),(36.4651993533 4671),(37.52988815 4859),(36.8426302891 5066),(36.882694173 5242),(37.0636779584 5421),(38.5999526838 5611),(36.4996310919 5800),(37.7643867387 5979),(38.3734396954 6186),(38.0463323238 6363),(38.1582211665 6555),(29.7187536639 6731),(33.8603316793 6923),(35.4906351288 7117),(33.1556367893 7302),(36.0586974468 7482),(35.3357456726 7660),(32.3990875621 7850),(32.2214748717 8047),
Point1,H2,(5.25244512178 80),(6.22444111045 234),,(9.26933804373 587),,,,,,,,,,,(13.3999116369 2492),(2.34241092319 2735),(13.0482132035 2860),(1.16599926338 3119),,,,,,(13.2279621183 4173),,(5.02884841168 4584),,,,,,,,,,(14.1158207857 6411),,,,(4.83576815111 7211),,(4.2730333217 7581),,,
Point1,H3,(5.29459096897 85),(6.30693835555 241),,(9.59082964 595),,,,,,,,,,,(13.8646740793 2500),(2.34657393307 2737),(13.2902702331 2867),(1.23484183981 3125),,,,,,(13.3188225216 4178),,(5.37855781468 4595),,,,,,,,,,(14.6446834813 6419),,,,(5.04756583873 7219),,(4.3035220138 7585),,,
Point1,H4,(1.10928250914 121),(3.22689633707 274),(1.22862387653 465),(2.46761197168 643),(2.63337343783 820),(2.7333470561 978),(2.02615526065 1159),(1.40113130274 1319),(2.44370076443 1459),(3.27549903275 1619),(1.43426605622 1827),,(3.03834132477 2183),,(4.90612335734 2564),(0.700461372538 2756),(2.8090583822 2932),(0.287422148116 3140),,(2.11880951458 3493),(-0.380989461897 3668),(2.93326089755 3860),(2.83215118555 4067),(2.29453015269 4243),(2.26265598869 4420),(2.91716621552 4613),,(2.43230664544 4991),(3.477062001 5176),(2.74125945432 5363),,(3.29413949096 5731),(3.55432680994 5906),(3.12853893023 6115),(2.16325654512 6310),(3.31827119526 6484),(1.71073645732 6650),,,(3.45905264227 7236),(2.02291239327 7411),(1.72632610813 7605),(0.47573454751 7782),,
