Cycle,0.676041666667
Average Width,0
Width,,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0
Point0,H1,(6.49985838741 32),(6.19332439289 171),(5.73976274314 309),(5.83924064996 452),(5.0658279381 585),(5.46744727869 726),(5.67159531089 873),(5.21405370811 1012),(4.87168954478 1149),(5.2639057752 1287),(5.10817312802 1426),(5.21759971212 1559),(5.27397906168 1701),(5.74401356488 1847),(5.70509003929 1993),(5.36476752057 2135),(5.99530244646 2283),(5.64332741878 2424),(5.40011334325 2566),(5.73710095604 2713),(4.36946621745 2858),(5.53454100322 2999),(4.87222722241 3143),(5.46351667556 3277),(7.20785896481 3415),
Point0,H2,(4.57643317201 59),,(2.73737067199 333),,,,,,,,(0.910041727098 1480),(3.93270488954 1577),(4.27221813622 1718),,,,,,(3.72771995575 2585),(1.32961894815 2759),,,,,
Point0,H3,(4.58691607073 63),,(2.75444034509 338),,,,,,,,(1.14307891839 1491),(3.95369904038 1582),(4.56177344906 1729),,,,,,(3.83015979897 2592),(1.35725169689 2765),,,,,
Point0,H4,,(0.416948382626 245),(1.02965764011 387),,,,(1.1160764292 946),(0.834560848133 1089),,(1.15391527884 1361),(0.425603165667 1513),(1.84749447254 1608),(0.128581568828 1794),(0.694086178315 1937),(1.13989995304 2059),(1.68928154229 2186),,(2.04696646241 2468),(2.317532278 2615),(-0.00167661017752 2791),(1.05160832297 2927),(2.10246470759 3046),(0.600582458379 3217),,
Point0,H5,,(0.60827230234 260),(1.09095595741 395),,,,(1.31635704688 957),(1.02594903361 1101),,(1.19850285863 1369),(0.426934141184 1515),(1.8983580454 1615),(0.58684122622 1808),(1.25381410694 1951),(1.33617581699 2071),(1.71394563929 2192),,(2.18839641439 2479),(2.36880731109 2622),(0.233931250623 2806),(1.44450389507 2942),(2.12370402377 3052),(0.966605445853 3231),,
Point0,H6,(0.0 140),(4.4408920985e-16 281),(0.0 416),(-3.5527136788e-15 557),(-5.3290705182e-15 690),(0.0 830),(-1.33226762955e-15 977),(-0.00169540444624 1119),(-1.7763568394e-15 1259),(-2.6645352591e-15 1392),(-2.6645352591e-15 1531),(-4.4408920985e-15 1665),(-8.881784197e-16 1821),(2.22044604925e-15 1967),(1.33226762955e-15 2106),(1.33226762955e-15 2245),(-4.4408920985e-16 2392),(4.4408920985e-15 2536),(-0.00386083068055 2679),(-0.0155559328529 2822),(1.7763568394e-15 2966),(8.881784197e-16 3102),(-8.881784197e-16 3247),(-2.6645352591e-15 3390),
Point1,H1,(5.56596008016 34),(6.13471508046 170),(6.18928135625 309),(5.66720611197 452),(5.52167429563 587),(5.20160179099 724),(5.69020335707 864),(5.1599364826 1013),(5.52428320363 1146),(4.88637784459 1283),(5.02705677428 1432),(7.0671312136 1558),(5.51087604567 1702),(5.27205614676 1846),(4.38167038912 1994),(6.22650180395 2137),(5.87093318372 2281),(5.39282688603 2425),(5.04298114858 2566),(5.22151568252 2710),(6.31235389411 2856),(6.36829354205 2996),(5.70289816717 3140),(5.58880467444 3274),(4.91858249699 3416),
Point1,H2,,,(2.96846642141 355),,,,(4.10444419694 889),,,(3.11880016794 1302),(3.15300366984 1460),,,,,,,,,,(2.83788802274 2890),,(2.59817818952 3169),,
Point1,H3,,,(2.98704789598 360),,,,(4.14921217745 895),,,(3.53039444067 1314),(3.22191779026 1468),,,,,,,,,,(2.85874165485 2895),,(3.14381151735 3184),,
Point1,H4,(0.394235489152 118),(0.404862680367 247),(0.779465280235 385),,(4.4408920985e-15 673),,(1.42906653505 943),(3.53590659296 1041),(3.23390269408 1174),(1.27937611513 1361),(0.595637375115 1507),(2.07029893682 1608),(2.19025985047 1745),(0.601318991036 1935),,,(1.35520277515 2355),(2.19268294151 2471),(1.41945883681 2643),,(2.05736205093 2917),(0.48694698215 3074),(0.545649929494 3216),,
Point1,H5,(0.405244236602 123),(0.514087859838 258),(1.55093711832 399),,(0.420205359303 687),,(1.95892814796 957),(3.58515495789 1051),(3.4709963496 1186),(1.45308975204 1371),(0.704616955049 1516),(2.07062092832 1609),(2.65328114937 1759),(0.7962557242 1948),,,(1.46299404077 2364),(2.2326677582 2478),(1.42082227964 2645),,(2.16155497889 2926),(0.731451215244 3086),(0.782929924896 3228),,
Point1,H6,(3.10862446895e-15 137),(6.2172489379e-15 277),(5.77315972805e-15 415),(-0.00188613424805 551),(4.4408920985e-15 673),(2.22044604925e-15 830),(8.881784197e-16 977),(1.7763568394e-15 1117),(-0.000617977240924 1257),(8.881784197e-16 1391),(-8.881784197e-16 1530),(-1.33226762955e-15 1668),(-6.2172489379e-15 1816),(-0.000683059487514 1964),(-3.99680288865e-15 2106),(4.4408920985e-16 2244),(0.0 2385),(-2.22044604925e-15 2528),(-3.10862446895e-15 2677),(-3.5527136788e-15 2824),(-4.4408920985e-15 2964),(-4.88498130835e-15 3104),(-3.5527136788e-15 3244),(0.0 3384),
