Cycle,0.670454545455
Average Width,0
Width,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0
Point0,H1,(6.44902322287 38),(5.49404833338 178),(5.0552364698 314),(5.71589318394 454),(4.65502554877 594),(5.79039354254 730),(6.10665752517 869),(5.44273205371 1012),(5.37357935469 1150),(5.68038309103 1287),(5.21400213455 1428),(5.03168018266 1560),(5.84649265506 1707),(5.20702480956 1845),(5.49603216872 1997),(5.70115673931 2122),(5.45972931249 2262),(4.99790988791 2409),(4.83836178312 2551),(5.19066351964 2694),(5.92212843003 2837),(6.11632929433 2982),(5.0596923173 3125),
Point0,H2,(2.93385130957 85),,(1.81852124071 357),,,,,,,,(1.8013762705 1479),(1.24736906375 1626),,(0.654401481794 1923),(2.58494089272 2025),,(1.90916313023 2310),,,(3.41602997531 2713),(1.76525547124 2887),,
Point0,H3,(3.09566066647 94),,(1.88460471704 365),,,,,,,,(1.84442943929 1486),(1.29156850911 1633),,(0.788795155641 1933),(2.59032128722 2028),,(1.97739961115 2318),,,(3.47002931877 2719),(1.83607904013 2894),,
Point0,H4,(1.07263408458 118),(2.22081444409 228),(0.773138224902 396),(0.644281618561 527),(1.30483490559 648),(0.889697688439 803),,(0.697928712969 1089),(0.350099183607 1233),(0.302962145597 1361),(0.651731698112 1506),(0.698432903901 1651),(1.3245398266 1774),(0.0 1950),(0.666076589637 2055),(0.876647198127 2198),(0.530171850574 2353),,(0.10008973113 2644),,(0.664078440165 2917),,
Point0,H5,(1.21609500423 127),(2.26644183665 237),(0.777692972677 401),(1.10847844575 542),(1.54531120775 659),(0.964027102817 812),,(1.07391620117 1103),(0.855800024765 1247),(0.928794341245 1376),(1.47054375403 1520),(0.852906701072 1662),(1.34440181193 1781),(5.32196264736 1981),(0.940339188183 2070),(0.879108348607 2201),(0.719395864281 2365),,(0.309209229661 2656),,(0.779472234448 2927),,
Point0,H6,(-1.7763568394e-15 144),(-0.00331816364297 279),(2.22044604925e-15 426),(3.10862446895e-15 561),(-4.4408920985e-16 699),(-0.00140729764231 836),(-4.4408920985e-16 974),(3.99680288865e-15 1119),(8.881784197e-16 1261),(-8.881784197e-16 1392),(-4.4408920985e-16 1536),(3.99680288865e-15 1677),(1.33226762955e-15 1811),(0.0 1950),(2.6645352591e-15 2091),(1.33226762955e-15 2231),(1.7763568394e-15 2381),(3.33066907388e-15 2521),(4.4408920985e-16 2667),(4.4408920985e-16 2790),(1.33226762955e-15 2948),(-0.00456608682533 3085),
Point1,H1,(6.53081708948 37),(6.31454942534 170),(5.55730882098 309),(5.67755211961 453),(5.53582166443 595),(5.24075762421 729),(6.63477506621 868),(5.82076067202 1016),(5.65607313019 1148),(7.39472316852 1287),(6.22473195149 1428),(6.03092370411 1560),(5.67891374602 1726),(5.86968992748 1844),(6.13803070934 1983),(5.57844064091 2136),(5.52708349126 2262),(5.85366302375 2407),(5.37043312367 2547),(5.5935571588 2695),(6.08598206786 2835),(5.81827686726 2980),(4.7310815933 3123),
Point1,H2,,(6.06092436413 182),,,,,,,,,,(0.424622933425 1652),,,,,,(3.18351495475 2438),(3.71502407013 2566),(1.88144745968 2739),,,
Point1,H3,,(6.06163082046 183),,,,,,,,,,(0.613796674105 1662),,,,,,(3.25788798433 2447),(3.88972653816 2574),(2.07958965762 2749),,,
Point1,H4,,(0.745616806092 254),,(5.77315972805e-15 529),(2.24894646511 624),,,,(3.55467096424 1173),(2.51251416448 1331),(1.62932249369 1506),(1.33226762955e-15 1675),(2.46444758291 1753),(0.0491619655289 1918),(-1.33226762955e-15 2087),(2.7598652196 2163),(0.592200687242 2354),(1.39877906472 2478),(0.0392037748524 2647),(-2.64701597645e-05 2776),(1.83246011346 2884),,
Point1,H5,,(0.905522863159 266),,(0.617867460637 545),(2.89781791473 639),,,,(4.07802635875 1189),(2.68448388158 1341),(1.63844641663 1510),(5.27915903239 1702),(2.58853371396 1763),(0.599814260333 1934),(5.56667456318 2123),(3.29610254002 2175),(0.866615265101 2365),(1.4810779382 2487),(0.0566890507655 2653),(0.101180390303 2791),(1.97291229487 2893),,
Point1,H6,(4.4408920985e-16 142),(4.4408920985e-16 283),(1.15463194561e-14 425),(5.77315972805e-15 529),(2.6645352591e-15 697),(4.88498130835e-15 838),(1.33226762955e-15 972),(4.4408920985e-16 1115),(-2.22044604925e-15 1256),(-2.22044604925e-15 1386),(0.0 1532),(1.33226762955e-15 1675),(3.10862446895e-15 1802),(-4.4408920985e-16 1948),(-1.33226762955e-15 2087),(-1.33226762955e-15 2232),(-8.881784197e-16 2380),(8.881784197e-16 2520),(6.66133814775e-15 2661),(-2.64701597645e-05 2776),(-8.881784197e-16 2933),(-4.88498130835e-15 3086),
