Cycle,0.6841
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(14.5136903957 31),(11.7437790849 172),(13.9802189898 316),(11.1456481878 459),(10.0795606838 602),(11.7177298736 743),(11.9407483713 886),(10.1871912823 1028),(10.4809314337 1168),(10.7415756712 1304),(10.9543782265 1445),(10.7545841252 1589),(11.4684285643 1731),(12.4688772936 1865),(14.7388579365 2009),(13.880333443 2153),(12.704867634 2297),(13.3628770793 2442),(14.089675852 2586),(11.4286501104 2728),(14.9288199668 2873),(13.6183534946 3017),(14.1092190382 3162),(15.3165957618 3304),(13.6309709927 3451),(13.2007992293 3593),
Point0,H2,,(4.86623783567 209),,,,,(3.19814364005 935),,,,,,,,(7.47083831124 2051),,,,,,,,,,,
Point0,H3,,(4.87914286143 213),,,,,(3.28382054833 942),,,,,,,,(7.82535872904 2061),,,,,,,,,,,
Point0,H4,(3.15189752306 118),(0.837393728513 258),(7.99848911987 354),(1.41058526632 547),(0.51946867757 695),,(0.540289019423 964),(1.48833423812 1108),(0.549152808824 1247),(1.77940642498 1378),(1.1410185541 1516),(2.13511559422 1668),,,(2.95543481946 2096),(1.67441500244 2243),(1.13373740805 2385),(1.17296902341 2529),(1.85896650254 2676),(0.388380733921 2819),(1.9035207945 2963),(0.360311226729 3106),,(1.55892838905 3396),,
Point0,H5,(3.17715996637 123),(1.38096191075 270),(8.04726952129 361),(1.60127426377 557),(0.590694191806 701),,(1.17904327191 977),(1.99636645458 1119),(1.54377594974 1263),(2.4445395863 1394),(1.9125608164 1532),(2.13559158977 1669),,,(3.36643566117 2107),(2.37400873469 2255),(2.03821843199 2398),(1.61086596591 2541),(1.95883498709 2684),(0.776025617091 2831),(2.08652706226 2972),(1.60640010282 3120),,(1.98636907117 3406),,
Point0,H6,(-3.5527136788e-15 143),(-0.00524304625607 285),(-0.000767005112145 429),(-3.5527136788e-15 573),(-0.0117025512286 714),(-0.00134606100065 851),(-0.00830228817167 991),(-1.06581410364e-14 1135),(-7.1054273576e-15 1277),(-1.15463194561e-14 1418),(-8.881784197e-16 1553),(5.77315972805e-15 1694),(-0.00446030857606 1834),(-0.00596065239206 1977),(-3.5527136788e-15 2126),(5.3290705182e-15 2270),(8.881784197e-16 2414),(-5.3290705182e-15 2556),(-1.7763568394e-15 2701),(5.3290705182e-15 2843),(3.5527136788e-15 2989),(4.4408920985e-15 3133),(8.881784197e-16 3277),(-5.3290705182e-15 3422),(-6.2172489379e-15 3563),
Point1,H1,(16.7686196137 33),(15.1056564228 173),(17.4005763291 316),(15.214523931 458),(13.9257329378 602),(15.3825807547 744),(15.3607498216 886),(12.9129832365 1027),(13.5890316214 1166),(14.4267368634 1304),(13.2129288869 1446),(13.1582377459 1589),(14.6719887619 1728),(15.5069812147 1865),(17.6941816515 2009),(18.1998209945 2153),(15.7177015309 2298),(16.6967511469 2442),(17.7684484239 2586),(15.2306567472 2729),(17.6778863265 2874),(15.9753447199 3017),(17.2379282642 3162),(17.906141979 3305),(17.1279956528 3450),(16.3186876329 3593),
Point1,H2,,(5.63493398399 209),,,,,,,,,,,,,(8.11328231296 2055),,,,,,,,,,,
Point1,H3,,(5.76122203395 216),,,,,,,,,,,,,(8.20018046056 2061),,,,,,,,,,,
Point1,H4,(3.42605242216 118),(1.05843012791 258),(9.13177371992 357),(1.72946146285 546),(0.951182278726 694),,(1.35492960304 964),(1.71965992259 1108),(0.656916973263 1250),(1.81924928044 1381),(0.804733155533 1516),(2.20163859285 1665),,(0.611748237849 1958),(3.00102153583 2099),(2.02729682697 2244),(1.28898589226 2386),(1.62935184998 2529),,(1.02277254681 2822),,(1.45107930589 3108),(2.04284517542 3253),(1.71483463157 3395),,
Point1,H5,(3.52781908956 124),(2.03192732895 272),(9.17671176119 362),(2.34208421346 559),(1.0424421495 701),,(1.87016781298 976),(2.40349424446 1120),(1.92783623445 1264),(1.86794221192 1388),(2.09521317474 1534),(2.47128106382 1675),,(0.891970022524 1968),(3.36697389352 2109),(2.96335460172 2256),(2.23376870051 2399),(2.02511417969 2541),,(1.12642761108 2830),,(2.09038908543 3119),(2.43012413949 3263),(2.04199174202 3406),,
Point1,H6,(7.1054273576e-15 144),(7.9936057773e-15 286),(3.5527136788e-15 431),(1.95399252334e-14 575),(7.9936057773e-15 715),(-0.00131514200096 852),(0.0 992),(7.9936057773e-15 1136),(1.15463194561e-14 1278),(-0.00337330561856 1418),(1.7763568394e-15 1554),(4.4408920985e-15 1695),(8.881784197e-15 1837),(0.0 1980),(4.4408920985e-15 2127),(5.3290705182e-15 2271),(7.1054273576e-15 2414),(-7.1054273576e-15 2557),(-1.24344978758e-14 2702),(-0.000201479734788 2844),(-7.1054273576e-15 2989),(8.881784197e-16 3134),(-8.881784197e-16 3278),(-0.0035123082198 3421),(-0.00353803111833 3565),
