Cycle,0.835158730159
Average Width,3.41747764641
Width,,3.48569991168,3.53077955371,3.78173501637,3.59269137456,3.4458109255,3.45299544342,3.67153844293,3.2566940741,3.18088772429,3.29295681144,3.47500139832,3.33346442032,3.35262921776,3.64626554041,3.31250343245,3.31835734705,3.28227405646,3.52413556755,3.32070040936,3.34839159894,3.32531125446,3.25368469997
Point0,H1,(6.47620744921 47),(6.55349412751 214),(6.26877742025 392),(6.40256792405 567),(7.17347017557 728),(7.70557869502 907),(7.8981798326 1084),(6.93350157939 1263),(6.59178991631 1444),(6.57014678182 1610),(7.54879611087 1784),(6.73993200946 1963),(8.48033341815 2141),(7.88879663901 2314),(9.74424963033 2491),(8.16884158591 2665),(9.39059799028 2846),(9.21031006912 3031),(8.46651841055 3195),(9.07718032185 3369),(8.24780624951 3547),(7.13327429613 3724),
Point0,H2,,(4.70682176299 234),(3.94864120511 445),,(5.90855528137 744),,,(6.86820226644 1270),(3.27785886442 1512),,,(6.25464577345 1979),,,,,,,,(8.18701806963 3383),,
Point0,H3,,(4.99033379994 245),(3.94880796917 446),,(6.24395032703 754),,,(6.89348727484 1276),(3.28207921821 1515),,,(6.29149745133 1986),,,,,,,,(8.56130221887 3394),,
Point0,H4,,,(2.11484112758 494),,,,,(1.37446885703 1380),(1.24381475443 1543),,,,,(4.82842428583 2359),,,,,(1.80599494165 3300),,,
Point0,H5,,,(2.2565891625 505),,,,,(1.44735923104 1388),(1.3635423501 1552),,,,,(4.92133433553 2369),,,,,(2.11059212805 3312),,,
Point0,H6,(-0.00192577690148 174),(-3.99680288865e-15 359),(-3.5527136788e-15 530),(2.22044604925e-15 698),(-2.6645352591e-15 873),(-0.00219729665434 1053),(-6.50809051503e-05 1231),(5.77315972805e-15 1408),(-4.4408920985e-15 1573),(-4.4408920985e-15 1747),(-0.00287278394549 1928),(-1.7763568394e-15 2110),(3.5527136788e-15 2283),(5.3290705182e-15 2449),(1.7763568394e-15 2626),(1.7763568394e-15 2814),(2.6645352591e-15 2992),(1.15463194561e-14 3165),(5.3290705182e-15 3335),(3.5527136788e-15 3518),(-2.6645352591e-15 3693),
Point1,H1,(16.4537586628 44),(15.9608960625 217),(14.7558385279 394),(14.1293396381 566),(15.8783334031 730),(16.5495624033 907),(15.4459879497 1101),(15.3052086449 1267),(15.1601652641 1442),(14.8741726309 1609),(16.1063435256 1786),(15.424335592 1962),(16.0963935108 2140),(14.6512665934 2314),(17.9331276375 2489),(15.9133915685 2665),(16.4642625267 2843),(15.7004712489 3032),(15.1811948987 3194),(16.4126528738 3370),(16.3520199276 3547),(14.7387901795 3725),
Point1,H2,,,(3.52737737121 472),,,,(7.0325365397 1130),(7.76966523466 1309),(6.86477043598 1481),,,(7.2252438279 2012),,,,(6.78093383132 2716),(15.1861811689 2856),,(6.75190292646 3243),,,
Point1,H3,,,(3.67378780877 481),,,,(7.35152606332 1139),(7.77431685281 1311),(7.03183504824 1489),,,(7.23082735701 2014),,,,(6.81347867643 2720),(15.2710382935 2861),,(6.76494401822 3247),,,
Point1,H4,(2.36810193414 148),,(2.62749005083 503),,,(2.6645352591e-15 1051),,(3.09353737397 1377),,(5.63507621067 1659),(2.61943522663 1886),(1.52301917802 2083),,(2.04867470187 2420),(6.78087263439 2539),(1.53727439556 2788),,(2.35786708909 3140),(0.138293815901 3324),,,
Point1,H5,(2.40106376282 154),,(2.62763356656 504),,,(15.2258355627 1085),,(3.4044067863 1388),,(5.65820334935 1664),(2.61993627077 1888),(2.21161066451 2095),,(2.15567173976 2428),(6.80683245979 2543),(1.91788596802 2799),,(2.51947523219 3148),(0.143462668132 3327),,,
Point1,H6,(2.6645352591e-15 179),(-0.00328231749683 356),(-8.881784197e-16 528),(4.4408920985e-15 699),(-8.881784197e-16 871),(2.6645352591e-15 1051),(-5.3290705182e-15 1230),(-4.4408920985e-15 1408),(-3.5527136788e-15 1574),(-9.7699626167e-15 1744),(9.7699626167e-15 1928),(-8.881784197e-16 2111),(-8.881784197e-16 2282),(-1.42108547152e-14 2449),(-5.3290705182e-15 2625),(-6.2172489379e-15 2814),(-2.6645352591e-15 2992),(-2.6645352591e-15 3166),(-0.00248875825917 3335),(7.1054273576e-15 3517),(-0.00146283743749 3693),
Point2,H1,(15.0637194926 44),(14.6373103408 218),(14.4554621488 395),(12.7552268473 569),(13.5718413501 730),(13.9980041344 908),(13.573525619 1085),(11.9318509831 1274),(11.5430702058 1446),(11.9651751624 1611),(13.7069638576 1788),(12.7213478191 1963),(12.1523027763 2142),(12.4255614527 2315),(12.9749067767 2490),(11.9834555632 2665),(11.2847974664 2865),(12.0149820799 3034),(10.8360493904 3196),(11.9735185743 3371),(12.4899062894 3548),(11.0761451388 3723),
