Cycle,0.648944444444
Average Width,4.13218331159
Width,,4.50044613821,4.81909787041,4.43100987701,4.24155989682,4.15846908484,4.02104985967,3.97942627048,4.22353533089,3.89231827488,4.19436593971,4.31267827389,4.02612385174,3.9507891929,3.80004382433,3.77910325849,3.87347505695,3.7991689515,4.11185950093,4.02217080835,3.69251646158,4.01933587929,3.8321645043,4.09795638982,3.89334110953,4.42066731983,3.91547653021,5.61601586566,3.65203763837,4.35698729032,3.96850113962,4.49599126883
Point0,H1,(23.2619637168 54),(22.7811787884 195),(22.9256665206 329),(21.7767660495 464),(24.2499013903 601),(22.7742796878 742),(21.6667526333 877),(20.9423723255 1014),(20.0372656576 1150),(25.3383725202 1288),(22.5497373143 1428),(18.5740003653 1564),(15.8537878564 1700),(17.5154437102 1831),(17.0780759578 1962),(18.1135895142 2099),(14.3981263569 2233),(14.0375344825 2372),(14.3956636412 2502),(12.1018586995 2637),(12.9011582449 2771),(15.0785539694 2904),(13.8595850535 3041),(11.6780622981 3175),(10.5216621868 3305),(11.3556613047 3438),(19.1931768892 3571),(10.976772655 3704),(12.408524459 3831),(14.2435458685 3958),(16.1090780116 4090),
Point0,H2,,,(-0.519020858019 378),,(1.87757091218 645),(1.29837674698 787),(-0.0615912120359 920),,,(-0.00173158753261 1337),,,(1.7763568394e-15 1736),(0.986313036505 1878),(0.00936752307658 2004),,,(1.56660769729 2409),(-0.0294615031258 2544),(-4.4408920985e-15 2673),,,,(-0.030197675542 3212),,,,(-0.0617149268387 3743),(0.441096451043 3869),,,
Point0,H3,,,(-0.459040785859 385),,(2.49615397701 657),(1.52139599935 797),(0.315455416034 930),,,(0.189615355335 1345),,,(1.11676335465 1754),(1.14682700135 1886),(1.80976143799 2018),,,(1.68529309549 2416),(2.60107833615 2565),(4.76775264944 2693),,,,(0.104975223694 3221),,,,(0.420597059907 3764),(0.450319697031 3872),,,
Point0,H4,(-0.0505153215366 116),(2.13162820728e-14 241),(-0.486210384965 391),(1.42108547152e-14 515),(1.30843399096 673),(-0.0917172880016 815),(-0.23992319146 945),(4.4408920985e-16 1058),(0.0702902277972 1198),(-0.202795104961 1357),(-0.00472571896142 1495),(-0.0035798393644 1616),(1.06371479728 1761),(3.5527136788e-15 1903),(7.9936057773e-15 2033),(-0.010113400165 2155),,(-0.00160438769761 2435),(2.21811811589 2577),(2.94372549495 2712),(-1.06581410364e-14 2816),(-0.0031328882345 2950),(-0.00449917741102 3081),(-0.0020781330011 3232),(-0.0129652476151 3348),,(-0.0618498411124 3633),(0.22180266094 3776),(-0.0222788223426 3886),(-0.0118253646627 4014),,
Point0,H5,(2.0253390932 140),(3.46627657277 287),(2.30782307355 415),(2.39284929284 551),(2.38097098076 687),(1.93339010163 831),(2.47897422693 977),(2.33382161199 1101),(0.493206644698 1217),(1.51902365529 1378),(0.834133127743 1512),(1.16575029046 1643),(2.35802712213 1788),(1.70998500459 1920),(2.16017914248 2049),(1.92804280157 2179),,(2.34587942214 2462),(2.58174370112 2588),(3.23616973919 2724),(3.21682591948 2858),(3.37678659899 2993),(4.00947004702 3134),(1.74114547687 3260),(1.98052481996 3392),,(0.861277574363 3649),(0.412651850961 3788),(2.11476454362 3907),(2.92883877878 4035),,
Point0,H6,(-0.444537923291 8),(-0.0505153215366 116),(2.13162820728e-14 241),(-0.519020858019 378),(1.42108547152e-14 515),(-0.00777155113402 703),(-0.0917172880016 815),(-0.23992319146 945),(4.4408920985e-16 1058),(-6.66133814775e-15 1117),(-0.00543481212358 1232),(-0.202795104961 1357),(-0.32245583425 1529),(-0.0035798393644 1616),(1.7763568394e-15 1736),(3.5527136788e-15 1903),(7.9936057773e-15 2033),(-0.010113400165 2155),(-0.000147874065545 2292),(-0.00160438769761 2435),(-0.0294615031258 2544),(-0.00378167665557 2606),(-4.4408920985e-15 2673),(-1.06581410364e-14 2816),(-0.0031328882345 2950),(-0.00449917741102 3081),(-0.030197675542 3212),(-0.0129652476151 3348),(-0.0771332650994 3476),(-0.215523219874 3664),(-0.0617149268387 3743),(-0.0247730722515 3800),(-0.0222788223426 3886),(-0.0118253646627 4014),
Point1,H1,(21.8485107094 44),(20.8653207516 186),(21.7884778701 319),(21.8459727777 455),(24.5082221715 592),(24.7264796333 733),(23.2575332958 867),(21.9225199402 1006),(22.4473004084 1140),(27.2555974262 1279),(24.5702373131 1420),(23.6198843 1555),(21.2548568802 1691),(23.5577104583 1822),(24.5285024892 1952),(26.1320339836 2090),(24.7832040398 2224),(22.851254981 2363),(22.3067267869 2494),(21.3743517174 2626),(20.4031050272 2763),(25.4253970209 2895),(21.6597341907 3032),(21.0431591162 3165),(19.591677131 3295),(22.2094473758 3428),(24.3615984592 3562),(25.6189548207 3693),(21.2405380119 3821),(26.2138990575 3949),(27.0943920093 4080),
Point1,H2,,,,,(2.88722423274 641),(2.87335657912 782),,(0.576692716285 1050),,(1.20106092789 1329),,,(6.2172489379e-15 1727),(1.14741118559 1869),(-0.133767128089 1997),,,,(-0.0165728452443 2537),,,(-0.0154024242442 2942),,(0.125844876658 3204),(2.6645352591e-15 3339),(-0.0124813283989 3472),(0.608991287438 3605),,(-0.27517278273 3858),,,
Point1,H3,,,,,(2.95233362765 646),(2.96056046606 789),,(0.991140384891 1063),,(1.29918966716 1335),,,(1.42830299114 1741),(1.44683057084 1879),(2.00452930248 2010),,,,(2.8534099887 2556),,,(0.544414810789 2953),,(0.382084421161 3213),(0.795959530787 3355),(0.203228436468 3481),(0.630207141642 3608),,(-0.00787450962137 3866),,,
Point1,H4,(-0.0718753606738 116),(-0.0139260378221 233),(-0.0719018617407 383),(-0.0154491987014 519),(1.87759989129 663),(1.11509157324 809),(1.72636328685 914),(0.532666254933 1077),,(-0.00857418435809 1352),(-0.00121559487591 1485),(0.73162653822 1609),(0.833342545994 1754),(0.00252258257795 1896),(-0.114346284093 2025),(0.898081263017 2148),(-2.04281036531e-14 2291),,(1.83186327951 2570),(-6.2172489379e-15 2666),(-0.0167832211646 2804),(0.0388990339709 2964),,(-2.84217094304e-14 3228),(0.715670062512 3363),(-0.267774798647 3495),(-0.0120894564833 3623),,(-0.976660266402 3880),(0.0 4008),,
