Cycle,0.734407894737
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(10.7110190353 47),(6.95054699489 199),(8.44269276389 360),(9.04861035893 508),(7.777409101 665),(7.92763304129 811),(6.08040859053 977),(6.04994449231 1105),(4.6626741822 1258),(5.53169413766 1404),(5.65116710294 1547),(6.39256861169 1705),(7.62852104816 1875),(6.8798850603 2010),(6.95297572072 2194),(7.40165965736 2330),(9.27787798072 2495),(8.80895125776 2646),(6.5207692628 2793),(7.35461372305 2960),(8.47203521612 3097),(7.58976148426 3261),(5.98418365789 3400),(6.26559018496 3547),(7.2648988687 3712),(6.37653355976 3867),(7.16824721635 4009),(6.69026229798 4170),(8.02247420209 4336),(9.04623489803 4480),(7.14824228705 4639),(7.87682508378 4778),(6.5488486426 4946),(5.61129354243 5088),(5.6012990938 5233),(7.16448314771 5381),(4.88551769306 5514),(4.21764003523 5656),(3.57881274361 5796),
Point0,H2,,(6.26069251597 216),(6.28321318672 386),,,(7.32480625454 825),(3.89105718715 999),,(1.77563814291 1302),(4.17875832838 1433),,(1.10330050338 1797),,(6.28118746884 2023),(5.21176848197 2215),(6.83527074152 2342),,,(5.55571161995 2807),,,(5.5889259608 3289),,,,(2.09158368544 3928),,(3.33850812263 4210),(6.69511852927 4358),,,,,,,,(4.572090406 5526),,
Point0,H3,,(6.41120626184 226),(6.28896644383 390),,,(7.34596429563 830),(4.06605797644 1009),,(1.96465761458 1314),(4.20248852587 1440),,(1.34452562951 1807),,(6.82763500393 2038),(5.3571112663 2224),(7.33500530535 2355),,,(5.86138000855 2818),,,(5.5906662194 3291),,,,(2.16331597498 3936),,(3.87071992031 4224),(6.80473774923 4368),,,,,,,,(4.8453372953 5538),,
Point0,H4,,(1.59193658222 294),,,(1.78342160661 755),(-7.1054273576e-15 928),,,,(1.54776871254 1492),,(3.99680288865e-15 1823),(0.831722886631 1952),,,(6.27410089417 2374),,,(0.944732195054 2886),(1.81802118623 3029),(2.67612079236 3181),(2.65644602956 3323),,(0.472758315096 3633),(1.55996289964 3796),(0.813991811193 3961),,(0.704923862359 4254),(3.18249678884 4405),(1.98468045827 4550),,,,,(0.628726708972 5302),(1.34075420641 5449),,,
Point0,H5,,(1.73409399513 303),,,(1.98795876099 766),(5.98447767133 954),,,,(1.55614668605 1496),,(6.54975508338 1847),(1.3156467446 1967),,,(6.32749960239 2381),,,(1.3949191379 2897),(1.93791516083 3038),(2.76450667975 3190),(2.67184013479 3327),,(0.572833343854 3644),(1.74669523469 3806),(0.851906518913 3966),,(1.58604921343 4272),(3.32663036107 4414),(2.41199859709 4562),,,,,(0.702141715307 5311),(1.38222158029 5455),,,
Point0,H6,(-2.6645352591e-15 163),(8.881784197e-15 325),(-0.00210346328994 479),(-2.6645352591e-15 625),(-4.4408920985e-15 784),(-7.1054273576e-15 928),(-3.10862446895e-15 1068),(1.33226762955e-15 1215),(-0.00252551322739 1363),(7.9936057773e-15 1519),(8.881784197e-15 1663),(3.99680288865e-15 1823),(6.2172489379e-15 1983),(3.5527136788e-15 2143),(2.22044604925e-15 2300),(-0.00233796022509 2448),(-5.3290705182e-15 2609),(-3.5527136788e-15 2765),(-2.6645352591e-15 2913),(0.0 3060),(5.3290705182e-15 3216),(-0.083473900698 3367),(-0.00738619817851 3515),(-8.881784197e-15 3662),(0.0 3825),(-5.77315972805e-15 3982),(-8.881784197e-16 4129),(1.82076576039e-14 4289),(7.9936057773e-15 4440),(-0.00162781894723 4587),(-1.7763568394e-15 4741),(-8.881784197e-16 4896),(-0.00268780515275 5042),(-7.54951656745e-15 5182),(-0.00134607435269 5327),(-0.00211878258343 5479),(-0.00262745654896 5624),(-1.33226762955e-15 5759),
Point1,H1,(11.9579416112 38),(9.28551269404 234),(11.5097478112 358),(12.9246285561 529),(13.1222281724 661),(11.7740881808 807),(10.5754470008 953),(10.7974036104 1097),(8.43398981083 1241),(8.0315440371 1428),(7.51121560358 1544),(9.47791517249 1696),(10.400929204 1877),(12.7587419829 2010),(11.2154555268 2192),(12.8324031222 2327),(15.8868150514 2487),(15.6368461609 2643),(12.8337117134 2792),(13.3429687019 2941),(14.1187155316 3095),(14.4131310099 3262),(14.1040653153 3399),(13.5818343803 3544),(13.81349593 3713),(13.7794586774 3867),(13.2220151267 4007),(14.4359987669 4170),(16.2062549329 4335),(13.7538028553 4472),(12.9462067528 4638),(14.37809346 4775),(13.2715022258 4939),(11.1386422704 5085),(11.9910203575 5224),(11.1145005287 5369),(9.84129775191 5512),(10.0353129406 5653),(6.76476277685 5800),
Point1,H2,(10.4438035727 56),,(9.80938240562 378),,(11.4159390164 685),(10.2901571034 820),(9.7121537316 965),(9.83211311005 1113),(7.67876035352 1255),,(6.75793090086 1557),(8.47281226331 1728),,(11.8995789138 2022),(10.7684496405 2207),(11.1603378768 2342),(14.5921563415 2505),(13.6140855966 2664),(11.5624990141 2805),,(12.8509895531 3110),,,(12.1789826748 3561),,,(11.2499671017 4024),,,(12.9205824551 4484),,(12.6166971079 4789),,,,,(9.26402852219 5524),,
Point1,H3,(10.6140951962 66),,(9.98777183238 388),,(11.5056451025 694),(11.7326077329 835),(10.1309190672 977),(9.84884041258 1117),(7.764356705 1263),,(7.15614697749 1570),(8.96862356585 1742),,(12.2253001133 2034),(11.1253125561 2219),(11.6336022184 2354),(14.6268965363 2510),(13.7491061787 2672),(12.1313029653 2817),,(13.1483992469 3120),,,(12.1831578856 3563),,,(11.3264647157 4031),,,(13.4940355343 4496),,(13.3634842305 4801),,,,,(9.63532928661 5536),,
Point1,H4,(0.0 161),,(2.6645352591e-15 476),,,(2.56831677418 901),(9.035758096 996),(8.72366652946 1139),(9.7699626167e-15 1360),,(6.61607048234 1586),(0.0 1821),(3.04664001217 1954),(5.3290705182e-15 2142),,,,,,,(3.5527136788e-15 3214),,,,,,,(3.44859896309 4259),,(2.70058305771 4561),,(-1.7763568394e-15 4894),(2.63316230634 5014),(2.12812168268 5155),(2.66640926214 5302),,,,
