Cycle,0.722721088435
Average Width,3.87510030755
Width,,4.18194388075,3.94054732604,3.81113562117,3.95900288049,3.8888828315,4.15295725065,4.28656738429,4.20078547589,4.34088923294,3.88950581803,4.07442393401,4.54503926765,4.13378645894,3.98845745075,3.42620503593,3.76942111612,4.36659907562,4.05196902268,4.08540176691,4.21633069171,3.83522417945,3.83764234308,3.94571202972,4.2966144285,4.10681683509,4.3254941823,4.30108108691,3.74934527039,3.97693351644,3.68292433256,3.57596399222,3.9542820904,3.38730605033,3.32746957486,3.7201718599,3.71712061512,3.62137211617,3.7974482175,3.53741297668,3.73783068603,3.48912122514,3.57084546031,3.80198745082,3.47215956709,3.58977875285,3.35875419987,3.63333774338,3.51743146835,3.67808654521,3.89949505884
Point0,H1,(15.7015396679 35),(14.2029130806 168),(13.7138474774 308),(12.0860648635 450),(13.5989217318 609),(14.583559194 771),(15.2607811743 932),(13.5069828637 1088),(14.9018830313 1249),(12.6586019968 1414),(12.1944379179 1572),(11.8022121601 1720),(11.4349130838 1862),(11.2233932741 2017),(10.6781120476 2166),(11.498605591 2324),(13.0505390471 2481),(11.576815144 2623),(12.4085352605 2757),(13.4807684365 2904),(13.0980151078 3056),(12.8357547923 3209),(12.7096226953 3363),(13.9904500076 3512),(15.1669749161 3670),(13.8323644835 3831),(11.6895700753 3988),(11.7942619935 4133),(13.6363366511 4291),(13.0120097072 4451),(13.0920116499 4600),(11.6798230239 4746),(10.5810459684 4891),(11.8643881466 5033),(10.6527571515 5173),(11.9700217123 5319),(11.5161318845 5463),(11.4279205543 5605),(9.87478397831 5746),(12.0206983815 5881),(11.1554630484 6017),(11.1175426869 6149),(10.3083406179 6278),(11.219749117 6406),(11.3429086497 6534),(10.6877390814 6663),(13.2603611025 6806),(12.750724013 6953),(12.2206456142 7101),(14.7376495771 7253),
Point0,H2,,,,,,,,,,,(5.23003604856 1613),,(8.63009440295 1882),(8.60721480967 2039),(4.3636058355 2212),(6.29686067163 2371),(5.64159028178 2513),(4.30150712918 2653),(5.89005806441 2800),(6.40222913589 2945),(7.32529728752 3104),,(6.19703451775 3392),(7.2250402674 3554),(6.75653783774 3716),(7.08546478492 3875),(4.95516155829 4017),(4.68746809547 4180),(6.64861560078 4329),,(5.3234376295 4638),,,(5.91654727798 5077),(3.57470570649 5220),,(5.0350088878 5502),(7.40429486787 5626),(3.12474556851 5773),(5.0492131865 5920),(5.20901027246 6048),(5.86427315188 6175),(5.15684289297 6309),,,,(6.70498054919 6847),(5.61854570813 6997),,
Point0,H3,,,,,,,,,,,(5.31123648795 1622),,(8.6595646858 1886),(9.14557693157 2053),(4.39083996691 2218),(6.30651939996 2375),(5.96017292676 2528),(5.2136405899 2669),(6.19137496416 2810),(6.84510219782 2957),(7.32536700519 3105),,(6.73780160242 3412),(7.69800094716 3567),(7.11226317823 3726),(7.16363307679 3883),(6.124564918 4038),(5.17576384915 4192),(6.8069792402 4341),,(6.97391671384 4655),,,(5.92429825165 5080),(3.74570523511 5228),,(6.39419078147 5519),(7.55786799546 5634),(4.9670989374 5798),(5.8946518788 5934),(5.25748246517 6054),(6.10925926375 6187),(5.20149116082 6319),,,,(6.88281702056 6856),(5.75404291308 7005),,
Point0,H4,(5.14886254216 82),(4.80876822338 200),(1.36122209898 389),(0.890618940693 544),(2.18719391751 707),,,(2.27772209261 1185),,(5.98832868516 1457),,,(7.31047881101 1905),,(0.880576291136 2260),(1.88978074519 2418),(1.71101464221 2565),,(0.876188722596 2852),(1.77233607941 2994),(2.59612544149 3152),(5.34467378356 3251),,(0.679691934538 3618),(2.2268817045 3779),(1.72048738083 3926),,(1.01937346208 4230),(2.26162861821 4385),,(2.42813222663 4683),(3.41732663479 4835),(5.1358509266 4928),,(0.231297203899 5263),(0.111353506792 5413),(0.856971385162 5560),,(1.50428342561 5828),(2.25216971989 5958),,,,(4.01783777337 6448),(4.90494836577 6577),(3.93141143687 6702),(1.62490734582 6896),(1.39506588915 7044),,
Point0,H5,(5.20912759974 90),(6.88568979643 221),(1.42388685196 395),(1.56453514137 558),(2.22531051192 713),,,(2.60170508719 1195),,(6.15225459454 1467),,,(8.07309808615 1918),,(0.982966044951 2268),(1.95013067025 2425),(1.73104855031 2570),,(1.05477734196 2861),(1.92452154566 3003),(2.89508273503 3163),(5.58280924736 3262),,(1.41244535285 3630),(2.29621813179 3786),(1.7389443401 3931),,(1.03102206428 4234),(2.80675166472 4397),,(3.43451720327 4699),(3.63788541051 4843),(5.62897089426 4944),,(0.361819795915 5276),(0.392685497258 5423),(0.860579293972 5563),,(1.68140599091 5836),(2.31680476684 5964),,,,(4.92687348823 6462),(5.06935582221 6587),(4.22494903738 6714),(1.86850801071 6907),(1.51457722326 7052),,
Point0,H6,(-0.00129285202799 137),(-1.42108547152e-14 272),(-2.6645352591e-14 413),(-1.86517468137e-14 574),(-2.6645352591e-14 735),(-1.42108547152e-14 896),(-2.48689957516e-14 1054),(-2.84217094304e-14 1215),(-2.13162820728e-14 1382),(-1.95399252334e-14 1538),(-1.06581410364e-14 1689),(-7.1054273576e-15 1832),(-2.6645352591e-15 1982),(1.7763568394e-15 2139),(-0.00509683658607 2287),(7.1054273576e-15 2446),(-0.00706296776464 2590),(4.4408920985e-15 2728),(0.0 2875),(-4.4408920985e-15 3021),(-7.1054273576e-15 3181),(1.24344978758e-14 3327),(-0.0017574538546 3482),(0.0 3643),(-5.3290705182e-15 3804),(0.0 3954),(-1.7763568394e-15 4103),(1.15463194561e-14 4253),(-7.1054273576e-15 4417),(1.7763568394e-15 4571),(7.9936057773e-15 4718),(-8.881784197e-15 4863),(1.7763568394e-15 5003),(-0.00437813347104 5136),(-3.5527136788e-15 5287),(-2.6645352591e-15 5433),(-0.00455691300611 5578),(-4.88498130835e-15 5714),(7.1054273576e-15 5852),(7.1054273576e-15 5984),(1.7763568394e-15 6120),(-0.00234180468429 6234),(-9.7699626167e-15 6379),(-8.881784197e-16 6504),(5.3290705182e-15 6635),(-1.7763568394e-15 6774),(5.3290705182e-15 6924),(3.5527136788e-15 7069),(-0.000989098007834 7214),
Point1,H1,(16.2599092787 35),(15.617486365 167),(16.1037124285 306),(15.1371075097 449),(16.6435333391 607),(17.0680992702 770),(17.3015950927 931),(15.5411687243 1086),(17.2024792923 1248),(15.7516301592 1412),(14.8384090796 1570),(13.8157264796 1718),(14.4194684734 1860),(14.0849262549 2015),(14.0636836302 2164),(14.4906571037 2322),(14.7455059093 2478),(13.5681807093 2621),(14.5342082257 2756),(16.0095545547 2901),(15.5817678441 3053),(15.5490924341 3207),(14.4275939279 3361),(16.0035622907 3510),(17.2421199012 3669),(15.8278969331 3830),(13.366180175 3986),(14.9717072852 4132),(16.4795170287 4289),(15.5790771058 4450),(15.9181487829 4598),(14.0175850432 4745),(13.4457970342 4888),(15.6644918499 5031),(13.6624545873 5172),(15.6290224553 5317),(14.293930401 5461),(14.4281158552 5604),(12.4983548443 5745),(14.9199421814 5880),(13.5663192934 6016),(14.0309014615 6147),(13.697457732 6276),(13.5901182651 6405),(14.521674685 6533),(14.3287927327 6661),(16.1040744936 6804),(15.7934765256 6951),(15.1097997846 7099),(16.6713460197 7251),
Point1,H2,(5.46526981209 64),,(8.04732506061 335),,,(6.00129949388 820),(8.45228013801 960),(6.90756953284 1119),,,(5.12195022254 1598),,,(8.59221117082 2042),(4.5322931002 2212),(7.493501756 2349),(5.83955951495 2511),(3.874365356 2651),(5.6424034302 2799),(6.08230089152 2945),(7.27575801129 3091),(5.42628986089 3250),(5.85844338718 3388),(7.14532245981 3553),(7.20830264787 3716),(7.13135100501 3873),,(5.16384453172 4178),,,(5.8282229925 4637),(7.43931435955 4783),,,,(5.92901390126 5363),(5.50983282825 5502),(7.58831474335 5627),(3.1440324121 5772),(5.52764632457 5917),(5.08125760325 6045),(5.65991318576 6172),(5.13388613184 6306),(4.61237246327 6448),(5.40175349141 6574),,(6.82184995066 6848),(5.99371165926 6995),,
Point1,H3,(5.87030000946 82),,(8.05261045944 338),,,(6.00511219376 823),(8.7136588975 973),(7.462299529 1135),,,(5.67678429246 1621),,,(9.16373784553 2056),(4.56432951686 2217),(7.56480701695 2355),(6.49758935302 2526),(5.68373651941 2669),(6.14225391192 2811),(6.77568847314 2958),(7.27581262297 3092),(5.95782956537 3262),(7.02775916844 3408),(7.70270364303 3567),(7.3516865087 3724),(7.46905852272 3884),,(5.67030815013 4190),,,(7.11723775126 4653),(8.05639631948 4797),,,,(6.02413953946 5370),(6.60172432183 5517),(7.96397802704 5636),(5.31670485036 5795),(6.43772352817 5932),(5.83524122774 6060),(6.61439425544 6188),(5.23712949037 6319),(5.27617277003 6461),(5.66894326837 6586),,(6.88064365881 6855),(6.1339555718 7003),,
Point1,H4,,(5.10391904894 200),(1.11052120935 386),(1.10833479476 544),(2.5133049579 706),(2.42208513024 865),(2.43402160442 1025),(2.35868766567 1184),,(5.74188142843 1457),(0.706994775296 1669),(5.20485636103 1756),,(1.76578850793 2119),(0.971834389154 2257),(2.32351454736 2416),(2.03043677763 2563),,(1.04340400037 2852),(1.70209388255 2992),(2.48305067854 3153),(2.05136406918 3298),(1.88329593444 3460),(1.52227110064 3620),(2.06792141242 3780),(1.66683684141 3923),(4.80022097252 4014),(1.91482722871 4224),(2.60852461531 4385),(1.39953152356 4546),(2.69081631279 4684),(3.7581596693 4833),(5.49736483821 4926),(6.02687553733 5074),(0.15962222226 5268),(0.483563612227 5414),(0.988600656493 5555),,(1.29836239126 5826),(2.41763998602 5957),,,,(0.941783848788 6488),(1.21549210042 6615),(4.42221359068 6704),(1.78445899613 6897),(1.75566213099 7040),,
