Cycle,0.79190625
Average Width,6.7085884148
Width,,8.07439596303,7.96642974425,7.59783535857,7.69171533536,7.22331990853,8.10506331015,7.7193435387,7.60871122024,7.32445998418,7.07558334471,6.85560602613,8.56201499824,7.06319309328,7.55949671279,7.23940628947,6.72520893078,5.26547016872,6.34565125278,6.14735297965,6.26634674298,6.27006867785,7.43767333755,6.23696770004,7.2683724599,6.8149428303,5.20351558097,5.7677222802,5.79782732941,5.65668670462,6.60534578681,6.80211166886,5.97921578668,6.28158115262,5.98757266339,6.27033212127,6.27194475407,5.87939211402,6.22296417319,6.08795601784,6.17793367928,5.61539328542
Point0,H1,(14.577570861 67),(12.6348447954 234),(11.1930764692 388),(14.3472962067 548),(12.2842205188 709),(11.5390998064 867),(11.8480303907 1012),(14.0977174202 1168),(13.7513593945 1331),(12.5099389294 1501),(11.3774678231 1655),(14.7357432476 1817),(12.7358929321 1980),(12.3089508218 2131),(12.6825485696 2286),(16.2047326286 2445),(10.6606879527 2604),(15.5376018951 2763),(13.4340980085 2928),(15.7502350018 3096),(12.0250520854 3258),(14.9565061817 3425),(14.2209698337 3591),(12.1289584205 3747),(15.2823365305 3899),(15.3259028329 4054),(13.7668695496 4223),(13.5264570702 4381),(13.5782829687 4536),(15.9651826088 4708),(17.0379933871 4884),(13.0891895966 5053),(14.208799594 5222),(14.584739948 5397),(12.7075486716 5563),(13.6586841703 5731),(13.9675775565 5898),(13.9996503211 6068),(13.6643153549 6229),(15.367843859 6398),(16.5749662529 6568),
Point0,H2,(5.0977800852 113),,(2.36254213754 422),(3.74887375402 580),(1.273508496 751),(2.39931069083 894),(0.966211317393 1048),(6.42468374033 1198),(2.72301332535 1372),,,(5.16301912503 1850),,,(3.11044467055 2320),,(1.57434392679 2637),,,(4.93412084319 3135),,(5.53407407046 3469),,(3.70634245769 3778),,(4.50431144695 4092),(2.31389691894 4255),(3.73313666665 4413),,(3.00266480922 4746),(6.15882495071 4924),(-0.0029386695842 5084),(3.41834373721 5255),(4.40158478164 5434),,(3.85123731876 5760),,(3.76917912895 6098),(4.83001512721 6259),,,
Point0,H3,(6.68250091637 127),,(5.31844646566 448),(4.77823561934 596),(3.02577715722 769),(5.42332913878 915),(2.17088461638 1067),(6.49817309752 1206),(4.32375027934 1393),,,(6.84616110691 1878),,,(4.96664599985 2345),,(4.22159005879 2659),,,(6.80938781323 3154),,(5.93690373712 3486),,(5.73174451591 3807),,(7.59435769795 4113),(6.03750203237 4276),(5.91514879638 4435),,(4.68296137344 4767),(7.91205216898 4943),(2.48410372239 5109),(7.02481030405 5277),(6.24863614044 5455),,(5.88475767485 5785),,(6.8282244356 6123),(7.61328962298 6287),,,
Point0,H4,(-1.06581410364e-14 152),(3.97533095034 266),(2.79935671458 473),,(-5.3290705182e-15 797),(-7.54951656745e-15 962),(-0.00638147976651 1091),(3.21631301248 1257),(1.18789716688 1425),(3.36788365873 1530),,(3.45354902915 1919),,,(1.15522497446 2376),(8.99216053055 2476),(-0.00486863062079 2704),(6.98717613572 2793),,(2.96021158568 3199),,(1.74372628642 3534),,(1.77681243943 3846),(6.68178267587 3936),(3.76152007566 4138),(0.117056814886 4320),(0.336101323617 4477),,(-0.0266027909642 4802),(2.34204763062 4990),(-0.458178033428 5166),(2.61141311756 5301),(1.69945860447 5505),,(0.389112680866 5831),,(1.60464916582 6159),(4.64772219411 6311),,,
Point0,H5,(2.6383463131 189),(6.75792882507 288),(3.14787039567 486),,(0.0516845628545 805),(0.875160195321 976),(1.31474379437 1113),(3.33683692737 1266),(2.35573904181 1445),(5.63657990224 1555),,(3.50090457374 1925),,,(2.38536545837 2395),(13.3068191762 2504),(1.53294285167 2719),(9.77601302126 2816),,(3.0293219234 3206),,(1.99651435653 3545),,(1.8188142304 3851),(8.49224249233 3953),(3.84232733233 4146),(0.858553313898 4334),(3.2761414708 4495),,(2.24929472279 4826),(2.5178061031 4999),(0.940465121912 5183),(3.45950367316 5317),(1.97190267676 5516),,(2.37238696859 5853),,(2.10969650166 6179),(4.89808254579 6322),,,
Point0,H6,(-1.06581410364e-14 152),(-0.00233104716787 206),(1.7763568394e-15 360),(2.36254213754 422),(7.1054273576e-15 519),(3.10862446895e-15 683),(-0.0210488594793 813),(-7.54951656745e-15 962),(-0.00638147976651 1091),(-1.7763568394e-15 1303),(-0.00482554926713 1467),(-0.0196835099809 1622),(1.42108547152e-14 1688),(3.99680288865e-15 1760),(0.0 1950),(-0.00915537247957 2058),(1.46587335746 2162),(-0.000638795349953 2224),(-1.24344978758e-14 2413),(-7.1054273576e-15 2576),(-0.250771577513 2733),(-0.00965404369708 2894),(2.04281036531e-14 3071),(-0.0165827852445 3229),(-0.0134859193391 3292),(-0.21377893253 3361),(1.33226762955e-14 3563),(-0.00500730537593 3683),(8.881784197e-16 3868),(8.881784197e-16 4027),(-8.881784197e-16 4189),(5.3290705182e-15 4347),(-0.0046925343606 4511),(1.33226762955e-15 4677),(-0.0266027909642 4802),(-0.0290780840036 5021),(-0.0029386695842 5084),(-0.458178033428 5166),(8.881784197e-15 5368),(-0.0280047361541 5533),(-2.6645352591e-15 5596),(-0.00943190442722 5700),(-6.2172489379e-15 5869),(-3.5527136788e-15 6022),(-1.7763568394e-15 6202),(-6.2172489379e-15 6366),(-1.7763568394e-15 6540),(-0.00347083025543 6702),
Point1,H1,(22.8686227694 67),(18.1800563231 232),(16.4797030458 387),(20.288237455 547),(18.745637109 708),(16.458637005 866),(17.5470306559 1012),(20.0155980577 1167),(20.4431605778 1331),(18.2364263977 1498),(18.4654429855 1654),(19.7092444628 1816),(18.9261189631 1978),(17.8227271257 2130),(18.6680399438 2284),(23.5856041224 2443),(15.6310015814 2601),(23.0244981434 2761),(19.986781526 2926),(22.0647948599 3095),(20.2360234808 3256),(20.678472287 3424),(21.5677195072 3590),(18.1378777233 3746),(21.5027934731 3897),(22.5568763628 4053),(20.3722692112 4222),(19.4397135019 4378),(21.0723734319 4535),(22.7820622114 4708),(22.5294713146 4884),(20.6046325081 5052),(20.6677292947 5221),(21.3135843547 5397),(19.6143907457 5562),(19.9923357113 5730),(21.9055658117 5897),(20.2993943828 6067),(19.9595960281 6228),(22.811210865 6396),(24.3154082883 6567),
Point1,H2,,,(3.20059123685 419),,(3.81629416031 750),(2.48251817658 893),(2.8280150163 1043),(8.43787046394 1198),(5.1448085189 1361),,,(6.46938520006 1849),(3.70996424255 2011),(2.8000637227 2160),(5.01489418628 2319),,(-0.0359320389878 2638),(9.76163334501 2795),,(6.1602946343 3133),(4.34394877004 3291),(6.31464553918 3455),(4.19540409159 3624),(5.06527816837 3776),,(6.45104515099 4092),(4.2540125647 4254),(5.44592710332 4413),(4.31774955276 4575),(5.05293224245 4742),(7.22269574904 4922),,(5.07158353875 5255),(5.82729740975 5431),(3.38096171195 5595),(5.19353486156 5758),(6.20514170045 5934),(4.83531450412 6096),,,,
Point1,H3,,,(7.30188270962 447),,(5.08061473297 766),(7.03670445155 916),(4.85381924213 1064),(8.58487225699 1206),(7.34968722213 1389),,,(9.27003003428 1872),(6.58907093906 2030),(5.03696175827 2184),(7.47509563355 2340),,(4.02864270639 2659),(13.4682517739 2816),,(8.7708239677 3153),(7.5714536031 3312),(8.11018118254 3479),(8.185978847 3646),(7.60252581703 3801),,(10.1292358246 4113),(8.9847701494 4276),(9.33522401002 4434),(7.80392288879 4593),(6.74835524119 4762),(9.00604281154 4942),,(9.17391983201 5277),(8.66473353558 5454),(8.10191919739 5616),(9.14205630786 5781),(8.16690421768 5951),(8.91870503028 6120),,,,
Point1,H4,,(5.22462814931 265),(2.45903480442 477),(5.57217314897 578),(-0.00388261200984 799),(-0.139488946666 962),(0.654736978671 1096),(2.99214894719 1260),(2.49458160423 1423),(5.42871149823 1531),,(4.34223514549 1918),(-0.00686432840946 2060),(1.7763568394e-15 2224),(1.80778082831 2380),(12.1763640079 2476),(-0.563990919823 2702),(3.65107634421 2866),,(2.8463919781 3200),(1.34294855527 3362),(1.88528623247 3535),(1.13083060328 3682),(1.30280728054 3843),(7.53212889329 3935),(3.99060743054 4162),(1.06088096862 4320),(1.58185611861 4477),(0.948800413963 4634),(0.0113092271913 4803),(1.93932426827 4991),,(3.094798673 5303),(1.43405075242 5504),(2.41392286713 5663),(1.10091197235 5831),(1.71625420953 5995),(1.76971477423 6161),,,,
Point1,H5,,(9.36876401192 287),(3.07815103491 490),(7.20207566385 598),(0.2027981523 811),(0.290736575245 974),(1.58798133766 1114),(3.10995654968 1268),(4.19652975943 1447),(7.65047534525 1552),,(4.62708084239 1928),(0.830915185174 2075),(2.68033183 2240),(2.99478777386 2396),(17.543818414 2501),(1.6207948247 2719),(3.92256760384 2875),,(3.4282274896 3211),(1.80207000717 3373),(2.20337188209 3546),(1.57124204979 3694),(1.98919290937 3854),(10.5510602199 3954),(4.07896656191 4168),(2.31487525035 4334),(4.44437145215 4494),(1.46672830827 4649),(2.36111036079 4826),(2.82414305959 5004),,(3.58543139635 5315),(2.45613732283 5517),(2.89730169998 5675),(3.59209186701 5853),(1.92568075542 6006),(2.02633103954 6180),,,,
Point1,H6,(-3.5527136788e-15 205),(0.0 356),(3.20059123685 419),(-0.0046109486642 516),(-2.39808173319e-14 682),(-0.0456711928707 825),(-0.139488946666 962),(1.86517468137e-14 1130),(-0.00282660174363 1301),(8.881784197e-15 1469),(-8.881784197e-16 1623),(-0.0828888992937 1760),(8.881784197e-15 1949),(-0.00686432840946 2060),(1.7763568394e-15 2224),(2.84217094304e-14 2412),(-7.1054273576e-15 2575),(-0.0359320389878 2638),(-0.563990919823 2702),(-5.3290705182e-15 2894),(1.7763568394e-15 3069),(6.2172489379e-15 3228),(-0.00547661137253 3389),(1.86517468137e-14 3562),(1.42108547152e-14 3712),(8.881784197e-16 3868),(3.5527136788e-15 4026),(2.04281036531e-14 4190),(7.1054273576e-15 4348),(3.5527136788e-15 4510),(8.881784197e-16 4675),(1.50990331349e-14 4850),(-0.00701004599366 5021),(-1.24344978758e-14 5194),(-1.42108547152e-14 5368),(-0.00139850434807 5533),(0.0 5698),(1.7763568394e-15 5869),(-1.06581410364e-14 6035),(-8.881784197e-16 6201),(3.5527136788e-15 6365),(-1.42108547152e-14 6540),(-0.00848075963666 6702),
