Cycle,0.784941176471
Average Width,16.8029532618
Width,,13.8447024374,11.4062303341,10.4728839218,12.3765529149,9.95500297112,11.5387139317,9.58354292742,20.096300055,28.5364344822,25.0104796813,0,22.8076315932,15.9784835928,36.0338377171,8.33467004979,0.0,16.0688323174,0.0
Point0,H1,(12.911733492 87),(15.0855242744 260),(17.7127328829 393),(14.1397943652 587),(13.0316629148 764),(13.1703127246 924),(14.4947168008 1058),(13.2088635958 1262),(9.91268016124 1443),(8.90564330051 1612),(9.99042230074 1777),(10.279578578 1947),(12.0451137564 2093),(14.6970790729 2241),(10.9346770736 2367),(10.873372528 2580),(8.50187641335 2757),(6.25312285239 2927),
Point0,H2,,,,(0.743268240786 641),,,,,,,(2.90078330447 1828),,,,,,,,
Point0,H3,,,,(1.3386866193 655),,,,,,,(2.97802187488 1837),,,,,,,,
Point0,H4,(-0.58602902414 186),,,(3.99680288865e-15 675),(0.699778312623 862),,(1.07428328017 1196),(3.5527136788e-15 1344),(1.14727528857 1502),(1.32535540584 1683),(1.94697215811 1869),(1.8664406384 2006),(0.172601095875 2172),(2.50786169564 2302),,(0.342503201337 2671),(-2.6645352591e-15 2863),,
Point0,H5,(0.724557997353 206),,,(1.57815754157 715),(1.01611443122 874),,(1.34549157389 1208),(1.34789124815 1363),(1.35355501255 1517),(1.5553162715 1698),(1.94964683033 1873),(1.89347692564 2012),(0.903853377659 2188),(2.56200397137 2308),,(1.3306386274 2697),(0.561803694392 2879),,
Point0,H6,(-1.94993268704 49),(-0.58602902414 186),(1.59872115546e-14 352),(4.4408920985e-15 549),(3.99680288865e-15 675),(-0.00606555130022 889),(3.5527136788e-15 1020),(1.68753899743e-14 1226),(3.5527136788e-15 1344),(-0.00141659604567 1402),(7.1054273576e-15 1550),(-3.10862446895e-15 1740),(-7.1054273576e-15 1912),(5.77315972805e-15 2056),(-0.0116811091759 2202),(-0.0505433197027 2334),(-0.460986761228 2435),(-3.5527136788e-15 2722),(-2.6645352591e-15 2863),
Point1,H1,(15.8628146276 87),(17.3012245502 261),(20.446574887 393),(16.7349640623 588),(15.502938043 765),(15.2738226453 925),(16.6943464541 1059),(15.5498894896 1262),(11.9609504173 1444),(10.6562317421 1612),(12.7054532094 1781),(13.4337410182 1947),(14.8228076186 2093),(17.8619359625 2241),(15.1480057523 2368),(13.778295126 2583),(11.9852850322 2758),(7.60709385352 2929),
Point1,H2,,,,(1.65874909302 641),(1.70688779936 838),,(5.25819911215 1103),(-0.000497305050829 1341),(1.39288293055 1502),,,,,,,,,,
Point1,H3,,,,(2.99236136254 655),(1.75734306155 844),,(5.26302768989 1106),(0.978279327197 1361),(2.02899287761 1519),,,,,,,,,,
Point1,H4,(1.16616997254 187),,(0.35881902511 531),(4.26325641456e-14 675),(0.544091193315 866),,(2.08784542345 1194),(0.536264945525 1376),(0.459667498815 1549),(1.70773882823 1673),(2.29193516355 1874),(0.688097959296 2034),(0.45397356447 2174),(1.9127540835 2308),,(0.500631997648 2667),(-0.00496106508297 2864),,
