Cycle,0.749583333333
Average Width,4.12468604999
Width,,4.08407947551,4.09014744672,4.07046491664,3.91453977096,4.40662709075,4.34637896976,3.6276104511,4.10595288107,3.82073543813,4.29101938065,4.17431101433,4.39778100437,4.191288705,3.89656105855,4.75184016014,3.73456281853,3.72286534227,4.57310434082,4.74592660767,3.95944329954,3.71316687719
Point0,H1,(6.45023029053 29),(8.30728319849 186),(8.1517794089 348),(7.29927086164 514),(7.72723758318 670),(8.86295140193 837),(8.02658164305 1005),(8.14652861214 1167),(8.19547791836 1325),(7.60569648614 1491),(7.33856350453 1629),(8.14179048558 1786),(8.81132729946 1935),(7.80928660898 2091),(7.7306546912 2240),(8.17341072189 2400),(6.75553964994 2572),(8.14062388209 2726),(9.76109761526 2869),(7.88509980738 3032),(6.62496489331 3183),
Point0,H2,(5.20561366384 47),(3.62738910708 239),,(3.05921475618 559),,,,,,,(2.63522153955 1674),(1.50999892255 1835),(2.62532294875 1999),,(7.25305166165 2253),(4.85356562235 2432),,,,,
Point0,H3,(5.32243395889 56),(3.68379155449 248),,(3.10308312818 565),,,,,,,(3.36566743443 1690),(2.69555433377 1849),(2.66034935007 2004),,(7.34012995755 2261),(4.91225440845 2439),,,,,
Point0,H4,,(2.55810712444 279),(0.750443688636 443),(1.07315329405 590),(1.38687953644 779),(0.607773168807 940),(3.37416912803 1050),(1.71216714913 1260),,(1.46980490839 1564),(0.197371716327 1725),(0.268425740784 1873),(0.78173350687 2026),(2.37577888943 2167),(0.948243189061 2330),,(3.53264534108 2611),,,,
Point0,H5,,(2.84459523834 290),(1.28302813061 456),(1.47796179051 604),(1.52476855496 787),(0.726893354922 950),(4.48679647099 1066),(1.74059957323 1266),,(1.58133465039 1572),(0.280674391799 1734),(0.279201293173 1877),(1.33692445289 2038),(3.40875501325 2184),(0.976882669018 2337),,(3.85599892277 2627),,,,
Point0,H6,(-1.46549439251e-14 149),(-1.59872115546e-14 314),(-5.3290705182e-15 475),(-8.881784197e-16 638),(-6.2172489379e-15 804),(-1.33226762955e-15 970),(-2.6645352591e-15 1129),(-1.7763568394e-15 1289),(8.881784197e-16 1443),(0.0 1593),(-2.6645352591e-15 1747),(-3.10862446895e-15 1891),(-5.3290705182e-15 2055),(-5.3290705182e-15 2210),(-5.3290705182e-15 2357),(-8.43769498715e-15 2515),(-9.7699626167e-15 2677),(-7.1054273576e-15 2833),(-7.1054273576e-15 2994),(-7.1054273576e-15 3156),
Point1,H1,(8.02214916036 27),(9.89218343457 184),(9.57472662977 347),(8.65957204016 509),(8.41768682933 671),(9.9188578814 833),(11.2017046645 1001),(10.1825722613 1165),(10.5689939862 1325),(8.85959699937 1473),(8.6206571419 1627),(9.82064128583 1786),(11.2313140809 1932),(9.74088079857 2089),(9.00436437252 2243),(11.5280091869 2398),(9.73202460448 2555),(9.75463489802 2719),(10.977870442 2868),(9.94506561604 3030),(9.60949250467 3183),
Point1,H2,(6.16814498672 44),,,,(3.77931807396 745),,(8.04997238176 1023),,,,(3.92832608701 1673),(3.05455548992 1835),,,,,,,(4.16557237732 2920),,
Point1,H3,(6.30204790709 51),,,,(3.82620627211 752),,(8.05068404396 1024),,,,(4.55990315758 1691),(3.14318866006 1842),,,,,,,(4.84994527111 2933),,
Point1,H4,,(3.60396337193 241),,(3.32409096179 555),(0.773354748406 781),(1.79094492736 935),(4.09290427437 1048),(6.21277952855 1213),,(3.20135043108 1528),(0.670406204799 1721),(0.518433289217 1869),,,,(2.2361966247 2488),,,(2.03336055995 2956),,
Point1,H5,,(3.89780608935 258),,(3.72966820744 567),(0.789605996709 785),(1.94300068366 944),(5.5349858387 1063),(6.22375735897 1218),,(3.74701198466 1541),(1.23567706143 1733),(0.556652747469 1875),,,,(2.29815255725 2495),,,(2.38832456843 2969),,
Point1,H6,(-0.00132906180712 143),(6.2172489379e-15 310),(-0.00211411121437 474),(-0.00304600135189 629),(-1.24344978758e-14 800),(-1.42108547152e-14 967),(-1.42108547152e-14 1129),(-4.4408920985e-15 1287),(3.5527136788e-15 1441),(2.6645352591e-15 1592),(-8.881784197e-16 1748),(-9.13805525755e-05 1890),(4.4408920985e-15 2050),(-1.7763568394e-15 2210),(-5.3290705182e-15 2354),(-0.00196505348498 2518),(-3.5527136788e-15 2673),(-6.2172489379e-15 2832),(-1.06581410364e-14 2994),(-7.1054273576e-15 3155),
Point2,H1,(5.73857101303 53),(6.71478242392 210),(6.33177959989 376),(5.4501427486 535),(5.57258598935 696),(6.71705667741 859),(7.56467178153 1027),(7.37948599895 1191),(7.13728114546 1350),(6.2379717429 1497),(5.91574840987 1653),(7.43085653017 1810),(8.53569373336 1961),(6.51873427148 2116),(7.08203340599 2270),(8.27002049117 2424),(7.08963513227 2583),(7.63389848942 2739),(8.27038692132 2893),(6.91839022723 3055),(7.01630169849 3209),
Point2,H2,,(1.79682745594 270),(2.47025338656 430),(4.97654114827 549),(3.64042291863 739),,(3.1036157969 1073),,(2.67592436315 1400),,,,,,(4.42262691364 2303),(3.11955269779 2471),,,(2.98896881085 2945),,
Point2,H3,,(2.23072060832 285),(2.61687534942 441),(4.99177211656 553),(3.78950566172 750),,(3.96910756577 1088),,(2.81531709041 1410),,,,,,(4.51969867599 2312),(3.12902054046 2476),,,(3.28258928054 2957),,
Point2,H4,(0.0147142414152 146),(0.688400328362 306),(0.295816203206 477),(2.30386396705 581),(2.84665779977 771),(1.13998131816 960),(2.1849352012 1113),,(0.787632361185 1443),(2.83538215864 1553),,(0.185230626945 1889),(2.47433614824 2002),(0.445289018002 2212),,(1.76101391612 2513),(3.29471501295 2631),(0.993945668274 2833),(0.975192505302 2987),,
Point2,H5,(0.408562423774 159),(1.11293098606 320),(0.302318465357 481),(2.57994661113 593),(3.0558715061 782),(1.31030015537 971),(2.33489023778 1124),,(0.955198947423 1453),(3.33533187898 1567),,(0.428035962733 1902),(2.80106789824 2016),(0.729259016123 2222),,(1.77578104666 2518),(3.30781467524 2636),(1.19730561837 2843),(1.10361921996 2998),,
Point2,H6,(4.4408920985e-15 173),(-1.33226762955e-15 339),(-0.000931819691287 502),(-0.00491532245166 648),(3.99680288865e-15 825),(1.7763568394e-15 993),(0.0 1158),(-0.00176099872292 1313),(5.77315972805e-15 1468),(5.3290705182e-15 1624),(2.22044604925e-15 1774),(1.7763568394e-15 1917),(4.4408920985e-16 2073),(2.22044604925e-15 2236),(3.10862446895e-15 2381),(4.88498130835e-15 2543),(8.881784197e-16 2697),(-3.5527136788e-15 2860),(-8.881784197e-16 3020),(-0.00181055380811 3178),
