Cycle,0.654838709677
Average Width,15.8095377664
Width,,10.9379125261,19.4303375791,9.66584197204,0,13.4504489189,13.3162609199,13.266925875,34.4674522546,15.9491267555,13.435376118,13.7188628472,13.3532545429,11.3604490711,11.455979674,13.8182806259,25.0412134564,16.8682375728,30.6439884159,16.7157455497,9.42325900812,12.8886779265,13.2112125506,13.2995983655,13.5554258731,26.2368386789,15.0011472756,14.3952979333,11.8926862862,17.3597708055,19.3482562026,0,10.7782674116
Point0,H1,(6.11045074733 31),(7.47654082038 168),(5.57757580618 301),(6.92912238789 438),(7.21669332293 582),(7.37577251388 726),(6.4046861797 858),(8.30432672246 999),(6.50611869812 1128),(5.53630234759 1252),(5.96694133389 1381),(6.78425322604 1511),(9.39103003088 1654),(7.00639874409 1795),(6.41045899161 1938),(6.7457388194 2089),(5.71219063738 2233),(4.92395657695 2372),(6.19603157639 2513),(8.05132893352 2657),(9.84018701274 2787),(9.26411865634 2917),(7.59278699528 3049),(8.2182276586 3176),(8.20442218765 3302),(9.18572335453 3427),(10.7102658275 3560),(10.2442855226 3696),(9.76167711828 3825),(9.20302279538 3955),(11.3512878359 4095),(10.1329568499 4229),
Point0,H2,,,(-6.66133814775e-15 333),,(1.86750162742 611),(1.98466489142 754),,,,,(0.604428372378 1408),,,(1.11064969031 1827),,(1.43727936481 2128),,(0.351395337571 2401),(1.25152504389 2543),,,(4.74518620201 2944),(1.79056187223 3086),,,,,(3.21698637968 3730),(2.89400783721 3858),(2.79729191337 3984),,,
Point0,H3,,,(0.648440000437 351),,(1.86794207568 613),(2.1867920962 767),,,,,(0.963653785603 1423),,,(1.1120111468 1829),,(2.09435376337 2146),,(0.548152263578 2418),(1.56754071232 2555),,,(4.75154221265 2947),(2.38185146453 3103),,,,,(3.95110715971 3745),(3.50886607957 3873),(2.98384529667 3993),,,
Point0,H4,,(1.48749995678 207),(0.470635797467 365),,(0.0682642436423 658),(1.28503721131 794),,(5.77315972805e-15 1075),(1.62083777964 1177),(0.0241264885399 1308),(-0.000734163789351 1451),(0.959802221637 1552),(1.34374221672 1731),(-0.0204486657767 1869),,(0.931149469853 2178),(0.443599357979 2276),(-1.7763568394e-15 2444),(-4.66293670343e-15 2579),(3.8004200431 2688),,,(-0.478632822479 3128),(2.94769577566 3207),(2.05430316861 3332),(1.02482517178 3488),(0.458677483931 3640),(2.08536516682 3767),(1.31173711879 3897),(-3.99680288865e-15 4037),(4.33989236756 4131),,
Point0,H5,,(2.93797396166 227),(1.20533869962 399),,(0.0857094335366 663),(2.24158963234 814),,(0.886632519669 1092),(1.66068874183 1183),(0.433648307463 1331),(0.522912289832 1473),(1.21321516539 1565),(1.42711947089 1739),(0.61994437148 1888),,(1.42101417914 2192),(0.792548667325 2291),(1.21063612668 2469),(2.36320685654 2604),(4.82692902605 2729),,,(-0.00474476933291 3141),(3.16177065558 3219),(2.74534640431 3348),(1.23967816589 3501),(0.541383671031 3648),(2.16026561159 3774),(1.36232049373 3903),(0.657511703377 4051),(4.58069798192 4143),,
Point0,H6,(-0.0336123121897 2),(-0.00106800105296 64),(-0.00202965747085 269),(-6.66133814775e-15 333),(-0.000280903877499 470),(-0.00114003935937 673),(-1.7763568394e-15 833),(1.55431223448e-15 925),(5.77315972805e-15 1075),(-0.015799367428 1209),(-0.00807066109503 1350),(-0.000734163789351 1451),(6.66133814775e-16 1589),(-0.00704563307829 1762),(-0.0204486657767 1869),(-3.99680288865e-15 2039),(-0.00467917832283 2209),(-0.00537208313219 2330),(-1.7763568394e-15 2444),(-4.66293670343e-15 2579),(3.8004200431 2688),(0.0 2756),(-0.0324788764163 2876),(-0.0157931730071 3019),(-0.478632822479 3128),(-0.000771453896001 3270),(-3.99680288865e-15 3391),(-0.00420139091761 3526),(-4.4408920985e-16 3661),(8.881784197e-16 3794),(-2.6645352591e-15 3922),(-3.99680288865e-15 4037),(-1.7763568394e-15 4192),
Point1,H1,(7.14921217071 32),(8.46351086244 169),(6.98980927755 303),(7.788169928 438),(8.22688294045 583),(8.54892023938 727),(7.42853314657 860),(8.7148801961 999),(7.23647928922 1128),(6.45137659351 1253),(7.40300496133 1381),(8.67301453646 1512),(10.8564099128 1653),(8.74608330198 1795),(8.38101435545 1939),(7.87940659627 2089),(6.91825921309 2234),(6.41810081033 2373),(7.23987676208 2514),(9.34068222619 2658),(11.4477174618 2787),(11.7450652435 2917),(10.0233649044 3049),(10.4388521617 3176),(9.72898584567 3301),(10.84723911 3428),(12.7669662702 3560),(11.907599112 3696),(11.5698557734 3825),(11.1938490372 3955),(12.6002172617 4096),(13.0659303469 4228),
Point1,H2,,,(-6.2172489379e-15 336),(5.3290705182e-15 474),(1.74111036005 623),,(1.18231256946 891),,,,(1.41262288279 1408),(1.49255881378 1545),(2.08920192973 1704),(1.40424596175 1825),,(1.18660385755 2129),(1.023880246 2273),(0.471519876316 2400),(0.56756612426 2543),,,,(2.47920750742 3089),(3.4098566609 3207),(2.52686538971 3331),,,(3.40378324706 3729),(3.92277023881 3857),(3.84741928889 3986),,
Point1,H3,,,(1.05415040053 367),(1.53623198847 516),(1.86697822129 633),,(1.88735480904 905),,,,(1.87950712031 1422),(1.9362477606 1561),(2.26310348847 1714),(1.92040705447 1854),,(2.51417914538 2150),(1.28646564469 2286),(1.13125347573 2419),(1.4920012706 2560),,,,(3.2540484027 3105),(3.79163567538 3221),(3.01360091498 3346),,,(4.50693200328 3746),(5.13617871122 3874),(3.87933228099 3991),,
Point1,H4,,(1.54900856977 206),(0.711128914224 386),(0.69151502855 533),(-4.4408920985e-16 674),(1.48272910969 797),(0.0180825459759 945),(0.128904297057 1076),,(-0.00143842375683 1298),(-2.6645352591e-15 1452),,(1.82997506472 1731),(0.716446188838 1876),,(0.831254132184 2178),(0.898218396203 2304),(-1.7763568394e-15 2444),(-3.5527136788e-15 2582),(3.77619612045 2688),,(3.54825527437 2968),(0.718417915292 3130),,,(1.63190371918 3488),,,,(-1.33226762955e-15 4037),,
Point1,H5,,(2.84993299245 225),(1.09583345809 401),(1.3316714398 547),(0.346229432214 690),(2.01313501402 812),(0.373385898529 960),(0.57571372006 1089),,(0.666976649272 1326),(0.740745770676 1471),,(1.89156220366 1738),(0.883718552029 1886),,(1.48352340757 2193),(0.9397502282 2312),(0.636506513334 2463),(2.17931885688 2606),(4.87898435034 2726),,(3.61267290986 2975),(0.782342700779 3136),,,(1.6841473316 3496),,,,(0.554977491268 4050),,
Point1,H6,(-0.566576001602 63),(-0.00105560222872 269),(-6.2172489379e-15 336),(5.3290705182e-15 474),(-4.4408920985e-16 674),(-1.33226762955e-15 832),(7.1054273576e-15 971),(-7.1054273576e-15 1101),(-0.012412162209 1212),(-0.00143842375683 1298),(-2.6645352591e-15 1452),(2.22044604925e-15 1587),(0.0 1762),(-7.70276634654e-05 1905),(-4.63977841898e-05 2061),(-0.00260564877156 2209),(-2.22044604925e-15 2344),(-1.7763568394e-15 2444),(-3.5527136788e-15 2582),(-0.0100684430882 2755),(-0.0117879039213 2877),(-0.00980838071967 3021),(-0.0210286741696 3149),(3.5527136788e-15 3269),(3.99680288865e-15 3391),(-5.3290705182e-15 3527),(-2.6645352591e-15 3661),(-8.881784197e-16 3793),(-6.2172489379e-15 3922),(-1.33226762955e-15 4037),(-0.00489156546042 4193),
Point2,H1,(10.6382341496 33),(11.5576832146 170),(9.25127500445 306),(10.1817738952 441),(11.3785928081 584),(10.8303402271 728),(9.24394429636 861),(11.0342139997 1000),(10.1361964858 1129),(8.68566186388 1254),(10.0546130937 1383),(11.7200884617 1513),(14.2990997154 1655),(11.3821045047 1796),(11.6852078467 1940),(11.3757030725 2090),(9.80152987634 2237),(9.38270157435 2374),(9.5916157858 2514),(12.1410726635 2660),(14.7729984911 2788),(15.5736163457 2919),(14.2549653437 3051),(13.8464995018 3177),(13.331013587 3303),(14.6963001874 3429),(16.9750922827 3562),(15.8033241833 3698),(15.2290845571 3826),(15.2837212018 3957),(16.6718157517 4097),(17.006695895 4230),
Point2,H2,(0.589987393717 63),,(-8.881784197e-16 336),,,(3.40135031287 755),(1.79650710834 895),(4.07428511404 1024),,,(1.45955131396 1410),,,,,(2.40569705976 2129),,(1.25637948113 2400),(1.14405962584 2544),,(4.52754310882 2821),(6.33687900421 2946),(4.07108313934 3090),,,(4.27516272249 3462),,,,(4.48161015743 3987),,,
Point2,H3,(2.31221130782 82),,(1.48519122721 356),,,(3.44495869291 760),(2.06439782065 906),(4.3900107485 1034),,,(1.71993061312 1419),,,,,(3.5920124292 2147),,(2.1343045426 2416),(2.50242815942 2561),,(4.6636748479 2828),(6.48767552867 2954),(4.40028281749 3103),,,(4.34952503522 3468),,,,(5.04797545753 4001),,,
Point2,H4,(-0.00767319680597 115),(2.83077883914 209),(0.328361623115 384),,(2.57429663702 630),(1.05212700393 807),(-1.33226762955e-15 947),(-7.9936057773e-15 1080),(-0.00567070735025 1211),(-7.77156117238e-15 1281),(3.10862446895e-15 1459),(1.95357474959 1552),(2.25159746854 1736),,,(1.36605144733 2180),(1.43063217975 2270),(-8.43769498715e-15 2452),(-0.000701086651935 2584),(4.50543859788 2689),,,(0.379930161938 3132),(3.96577652836 3207),(2.9970024886 3331),,(1.18427138664 3642),(4.56436905869 3732),(4.67333541749 3857),(0.495928182244 4038),(6.37864070403 4131),,
Point2,H5,(0.648896905679 131),(4.23383101827 226),(1.12317145987 402),,(2.60506315192 636),(1.28887110968 817),(1.02101402925 964),(0.521679011276 1092),(0.162250012998 1222),(1.14357938627 1316),(0.450583597196 1474),(2.60477921517 1567),(2.25226970154 1737),,,(2.06520320857 2194),(2.62356307359 2288),(0.530427173694 2467),(2.26694486879 2606),(6.10314961135 2712),,,(0.47362832634 3138),(4.77939397736 3224),(3.67798557632 3348),,(1.20686129808 3647),(6.27402577366 3749),(6.25974865482 3875),(1.30553750501 4051),(6.86607210586 4144),,
Point2,H6,(-0.0480876545286 2),(-0.00767319680597 115),(-0.00867616712786 268),(-8.881784197e-16 336),(1.11022302463e-14 474),(8.43769498715e-15 557),(9.32587340685e-15 681),(2.6645352591e-15 833),(-1.33226762955e-15 947),(-7.9936057773e-15 1080),(-0.00567070735025 1211),(-7.77156117238e-15 1281),(-0.00883409816736 1352),(3.10862446895e-15 1459),(-0.00314060761722 1592),(-6.2172489379e-15 1763),(-7.9936057773e-15 1908),(-8.881784197e-15 2064),(-3.99680288865e-15 2210),(-3.5527136788e-15 2343),(-8.43769498715e-15 2452),(-0.000701086651935 2584),(-1.7763568394e-15 2757),(-0.00508429625518 2883),(-0.00455984611216 3024),(-0.0168772541082 3149),(-9.7699626167e-15 3271),(-1.15463194561e-14 3393),(-1.50990331349e-14 3528),(-7.1054273576e-15 3664),(-4.4408920985e-15 3794),(0.0 3923),(-0.00315376222364 4064),(-6.2172489379e-15 4195),
