Cycle,0.6707
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(18.0948136459 33),(23.3321331114 147),(21.1875140784 263),(20.1355154696 375),(19.8971832773 502),(22.7422774533 645),(23.0490351716 788),(21.0764135722 922),(22.1509665172 1062),(22.6819650142 1205),(24.3955681169 1354),(23.9075292421 1507),(22.1149552586 1653),(23.6279580705 1796),(20.1955992312 1938),(14.698079179 2071),(16.3429824211 2205),(17.899576925 2332),(19.4630079527 2459),(18.2973472833 2594),(18.1506784284 2730),(19.8185959681 2874),(17.8836705912 3025),(17.8824175431 3177),(21.4601675555 3337),(19.3670019518 3500),
Point0,H2,,(9.90940230141 174),,,,,,,,,(10.0195178503 1395),,,,,(5.65500325592 2111),(5.69228678206 2239),,,,,,,,,
Point0,H3,,(10.0840435194 181),,,,,,,,,(10.9217615322 1407),,,,,(5.72929089237 2119),(6.51708081585 2252),,,,,,,,,
Point0,H4,(6.89681633927 60),(3.26031421051 213),(1.7763568394e-15 322),,(2.49085018721 575),(3.16191761221 721),(3.92482148921 865),,(8.36435590387 1105),(3.27666307848 1298),(5.94556576566 1440),(12.026733818 1539),,,(4.26337138198 1990),(1.47545392567 2147),(2.02601725587 2277),(3.0845127046 2403),,(1.76283647651 2673),(2.66810526662 2819),(3.74352816596 2961),(0.398282616416 3120),(2.7080954287 3256),,
Point0,H5,(9.71697406298 80),(3.83127899783 222),(5.10160012576 341),,(2.60162582025 582),(3.2238742334 726),(4.51866469341 875),,(8.4570539229 1112),(4.17114364309 1309),(5.96648375668 1444),(12.1715317456 1548),,,(6.14793616408 2009),(1.8382481173 2157),(2.32583552114 2285),(3.44040352131 2412),,(2.48796423781 2685),(2.9645829522 2828),(4.61133550276 2972),(2.05313451379 3135),(3.0769457525 3269),,
Point0,H6,(1.42108547152e-14 113),(7.1054273576e-15 237),(1.7763568394e-15 322),(3.5527136788e-15 473),(7.1054273576e-15 610),(1.06581410364e-14 752),(-0.0028747830982 894),(7.9936057773e-15 1030),(-0.00189004802373 1169),(0.0 1325),(1.7763568394e-15 1472),(-7.1054273576e-15 1621),(-0.00296650249894 1759),(-1.7763568394e-15 1902),(-7.9936057773e-15 2045),(-7.1054273576e-15 2173),(1.50990331349e-14 2301),(3.5527136788e-15 2429),(1.7763568394e-15 2559),(-9.7699626167e-15 2700),(-0.00237433400054 2844),(-0.00781796967691 2992),(0.0 3148),(7.1054273576e-15 3306),(3.5527136788e-15 3470),
Point1,H1,(14.9472215459 33),(18.3141417891 146),(17.3314005711 262),(17.763577868 374),(17.5807448114 502),(21.0484752224 645),(21.3404860441 788),(20.1838700937 921),(22.0654523372 1062),(24.6330983117 1205),(26.353239222 1353),(24.2438892987 1507),(23.7497802772 1653),(26.1540441718 1796),(22.4169254158 1936),(16.0419303829 2071),(17.61338815 2204),(18.884995162 2330),(19.8931732212 2459),(19.6342840656 2594),(19.7337990309 2729),(20.1598250239 2873),(19.3441463957 3024),(20.9151407346 3176),(21.8520671164 3337),(19.8427792404 3500),
Point1,H2,,(6.76954383152 173),,,,,,,,,,,,,,(6.38174424455 2110),(6.62492349619 2239),(8.36412071481 2374),,,,,,,,
Point1,H3,,(7.34135008532 186),,,,,,,,,,,,,,(6.52194999584 2119),(7.63043434435 2253),(8.37104369958 2377),,,,,,,,
Point1,H4,(5.78196417396 60),(2.12410896555 213),(-1.59872115546e-14 322),,(2.93218076955 575),,(4.12215736862 865),,(8.86861361735 1105),(3.96811491473 1299),(11.0063873306 1398),(12.6712407718 1540),,(3.97957436127 1876),(4.72926437675 1995),(1.89614514048 2147),(2.95418671518 2278),(3.90772971722 2405),,(2.77612138983 2674),(3.01828669392 2818),(4.1302407322 2960),(1.09018795182 3121),(3.39940870514 3256),,
Point1,H5,(8.23043201259 80),(2.73185582854 222),(4.3019581698 339),,(3.15272763193 584),,(4.53697187065 875),,(9.03712379927 1113),(4.37130151711 1308),(11.1566518121 1405),(12.6784158331 1543),,(4.00020883521 1880),(5.21817111851 2007),(2.31607593851 2157),(3.04087309476 2284),(3.95914076315 2410),,(3.02506725654 2683),(3.34070563684 2827),(5.01730534637 2972),(2.25510409628 3134),(3.60309537315 3267),,
Point1,H6,(-3.5527136788e-15 115),(-8.881784197e-15 237),(-1.59872115546e-14 322),(-1.7763568394e-14 472),(-1.7763568394e-15 610),(-7.1054273576e-15 751),(-1.42108547152e-14 893),(-1.95399252334e-14 1030),(-7.1054273576e-15 1169),(3.5527136788e-15 1325),(1.06581410364e-14 1472),(1.24344978758e-14 1619),(2.30926389122e-14 1761),(3.5527136788e-15 1901),(-4.4408920985e-15 2043),(7.1054273576e-15 2173),(1.95399252334e-14 2301),(1.24344978758e-14 2429),(1.24344978758e-14 2559),(1.7763568394e-14 2700),(-0.00222589601191 2844),(3.5527136788e-14 2991),(1.42108547152e-14 3148),(-0.0053037117833 3305),(1.7763568394e-15 3470),
