Cycle,0.789964583333
Average Width,3.85967158316
Width,,3.73349664509,3.7860304464,3.64635311632,3.69951587188,3.73905988538,3.98636541641,3.86509558332,3.87002293465,3.79528194468,3.86257870209,3.96486355167,3.85963126852,3.75718781929,3.86756965432,3.80478343808,3.80025454993,3.82211973528,3.94622708329,3.88008296769,4.08062432561,4.32772331644,4.0504725275,3.80061406361,3.81498995152,3.73084477994
Point0,H1,(6.74760664752 51),(6.38082371188 216),(4.61571316473 357),(4.97684414945 553),(6.13673815096 721),(7.60671281899 859),(7.06305028048 1000),(8.13820519318 1162),(6.03202303319 1335),(7.37006648225 1501),(8.86816698637 1671),(6.63152839826 1833),(4.98037190449 1982),(7.36208266433 2130),(7.0746555932 2290),(7.73046644477 2504),(8.24766434703 2628),(8.72695538323 2814),(8.16612701457 2991),(8.50421618452 3153),(10.3292774283 3330),(8.30414833352 3520),(5.49684665822 3661),(5.21387789923 3885),(5.29525587406 3991),
Point0,H2,,,,,(5.96297554931 734),(6.2672299178 878),(6.8830604614 1011),(7.39116466913 1195),(5.28820900938 1355),,,,(1.99359882382 2008),(3.52415083149 2171),,,(6.81427777244 2647),,,(3.083882589 3234),(8.69879674585 3348),,,,
Point0,H3,,,,,(5.97361204551 738),(6.82043151747 891),(6.89478739607 1015),(7.79977900319 1211),(5.75248411668 1374),,,,(2.72779174333 2038),(4.04994673266 2186),,,(7.22506574487 2673),,,(3.14097588647 3241),(8.90710238599 3358),,,,
Point0,H4,(3.71266086124 81),(4.60940609884 245),,(-0.00363056908464 635),(4.4408920985e-15 805),,(5.99547642641 1036),(1.93555869221 1267),(3.76968464792 1410),(1.92301721261 1615),(7.0078175023 1700),(5.79177197784 1866),(0.242233264741 2085),(1.65669362501 2216),,,(1.85746261092 2732),(-0.00136441078817 2935),,(1.87975920991 3262),,,(-3.99680288865e-15 3781),,
Point0,H5,(4.73668702745 101),(4.88690554709 260),,(5.88281799875 679),(7.59030037114 838),,(6.63514455395 1051),(1.94888493313 1271),(3.85518668244 1418),(1.93063555165 1619),(7.27708565004 1715),(5.84204496157 1874),(0.249413297317 2088),(2.11170615222 2231),,,(2.4799291738 2745),(7.46454033013 2970),,(2.09280434235 3272),,,(4.39512936962 3824),,
Point0,H6,(0.0 172),(-3.99680288865e-15 328),(1.33226762955e-15 476),(-0.00363056908464 635),(4.4408920985e-15 805),(8.881784197e-16 968),(4.4408920985e-15 1128),(3.5527136788e-15 1294),(1.15463194561e-14 1467),(1.7763568394e-15 1641),(0.0 1802),(2.22044604925e-15 1951),(-1.99840144433e-15 2100),(-0.00315437707633 2256),(0.0 2426),(-4.4408920985e-15 2597),(-2.6645352591e-15 2763),(-0.00136441078817 2935),(-3.5527136788e-15 3114),(-0.00138367950746 3294),(-5.3290705182e-15 3468),(-6.66133814775e-15 3625),(-3.99680288865e-15 3781),(-4.88498130835e-15 3960),
Point1,H1,(25.613356436 33),(22.1443509197 201),(22.1284095723 353),(20.8584466962 507),(24.0212815192 670),(24.139696845 834),(24.1560843645 994),(24.6534655402 1157),(22.9370284924 1328),(23.3960677896 1495),(24.509032451 1667),(21.5096638942 1832),(20.0524181016 1982),(23.500575696 2128),(25.0005336582 2289),(23.9566628135 2463),(24.5302542879 2626),(23.5005649702 2792),(24.4046307912 2964),(23.3780249417 3150),(23.023893483 3327),(21.0337759651 3492),(21.0557076014 3652),(19.9540454171 3816),(22.198069486 3986),(20.9414531055 4159),
Point1,H2,,,(9.63940768819 401),,,(11.504395424 882),(12.9147935833 1042),,,(13.6187008846 1537),(13.3877802686 1714),,,,(17.4095556258 2311),,,(6.34708323454 2883),,,,,,,,
Point1,H3,,,(9.70810148916 406),,,(11.597199208 888),(12.9747332738 1047),,,(13.689709274 1543),(13.4065968251 1718),,,,(17.4270705367 2314),,,(6.46878271424 2890),,,,,,,,
Point1,H4,(4.56659240732 142),,(3.56200231955 443),(3.30298393739 604),,(3.23363764 944),(3.96678761327 1102),,(4.19395780584 1437),(3.40429380487 1613),(4.3089406487 1774),(3.75007368793 1919),,,(11.8492686644 2339),(2.83737784431 2579),,(3.87547070264 2912),,(3.241033576 3261),,(2.9919373767 3600),(10.8350247286 3698),,,
