Cycle,0.921538461538
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(23.0037253173 150),(25.7389745755 343),(23.4810699996 545),(24.7352346686 743),(23.134726838 949),(25.0808065754 1143),(23.614922199 1340),(27.9107555416 1541),(26.0062882017 1747),(24.4374912723 1942),(25.9730430901 2150),(23.4504513313 2342),(26.0589394731 2538),(25.4268472815 2741),
Point0,H2,,,,,,(13.4825930291 1190),,,,,,(10.0304874907 2392),,,
Point0,H3,,,,,,(13.7260967591 1199),,,,,,(10.1029283087 2398),,,
Point0,H4,(9.25978004398 198),,(1.13908223672 671),,(2.00485514519 1071),(3.70823387426 1282),(3.38608852733 1472),(5.03931050167 1679),(3.08205098065 1873),(1.63381264388 2081),,(2.08274799658 2483),,,
Point0,H5,(9.41267917647 205),,(1.50110809035 683),,(2.18694001093 1080),(3.83901218222 1289),(3.4131169841 1476),(5.20017351269 1687),(3.11553209956 1878),(1.97776265464 2091),,(2.20172360049 2490),,,
Point0,H6,(-0.337836499275 38),(-0.0195859436445 109),(1.24344978758e-14 306),(-3.5527136788e-15 507),(-2.30926389122e-14 701),(-7.1054273576e-15 909),(-0.00558797705173 1105),(-5.3290705182e-15 1308),(-7.1054273576e-15 1504),(-5.3290705182e-15 1709),(-0.000279657506786 1906),(-1.06581410364e-14 2107),(1.7763568394e-15 2312),(1.06581410364e-14 2506),(-5.3290705182e-15 2701),
Point1,H1,(10.9468071405 138),(11.0260696066 334),(11.6634513193 532),(15.6015754761 723),(11.0618588321 934),(11.9822846468 1133),(10.927813582 1333),(12.3186146766 1533),(13.1191743505 1735),(11.6255147506 1932),(12.9834384717 2134),(9.84011018372 2339),(12.3337894278 2533),(12.6843737566 2728),
Point1,H2,(-5.3290705182e-15 175),,,(-0.00655891024282 770),,(-8.881784197e-15 1168),,(-5.3290705182e-15 1568),,(-1.7763568394e-14 1969),,,(2.6645352591e-15 2564),,
Point1,H3,(7.3970494901 224),,,(8.26148070156 846),,(10.073847101 1274),,(11.2436786658 1675),,(10.6702404048 2064),,,(0.528597506407 2576),,
Point1,H4,(7.1842200253 233),,,(8.24566123815 852),,(9.24252752896 1292),(-6.2172489379e-15 1374),(10.6426560541 1688),,(10.6324475251 2072),,,(0.516228980427 2580),,
Point1,H5,(9.51184865731 288),,,(9.98067830591 903),,(10.0527402074 1309),(12.0829036446 1497),(12.4120387991 1707),,(12.2092069181 2105),,,(11.3469855873 2699),,
Point1,H6,(-5.3290705182e-15 175),(2.6645352591e-15 373),(-0.0100612883613 576),(-0.00655891024282 770),(-3.5527136788e-15 976),(-8.881784197e-15 1168),(-6.2172489379e-15 1374),(-5.3290705182e-15 1568),(-1.15463194561e-14 1776),(-1.7763568394e-14 1969),(-1.50990331349e-14 2178),(-2.6645352591e-15 2369),(2.6645352591e-15 2564),(0.0 2767),
