Cycle,0.877884615385
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(20.4322056494 42),(25.3976979475 234),(21.2420116649 428),(21.4623251236 634),(22.6516396404 829),(21.5938551061 1032),(21.7243851997 1227),(21.8268674306 1432),(22.6685104031 1629),(20.3416353975 1832),(21.8357659269 2030),(21.3594898704 2232),(22.1152038681 2426),(23.2445541873 2634),
Point0,H2,,,,,(10.9093845213 877),,,,,,,,,
Point0,H3,,,,,(10.9196130022 881),,,,,,,,,
Point0,H4,(2.26199316548 165),(12.5683363216 282),(1.28026591125 560),,(2.68865246099 964),,(11.8972627345 1275),(2.23948243951 1567),(3.85802101191 1764),(0.70628501366 1972),,(9.57941654647 2282),,
Point0,H5,(2.37537513206 172),(12.7740338539 290),(2.22404619114 575),,(2.84982439416 972),,(11.9418080235 1280),(2.50559696731 1579),(3.91422983363 1769),(1.17274430073 1983),,(9.70029871656 2289),,
Point0,H6,(1.7763568394e-15 191),(-7.1054273576e-15 395),(-0.00835804196221 591),(3.5527136788e-15 796),(-5.3290705182e-15 993),(0.0 1194),(-3.5527136788e-15 1392),(3.5527136788e-15 1597),(5.3290705182e-15 1793),(3.5527136788e-15 1996),(8.881784197e-15 2192),(1.06581410364e-14 2389),(-0.015309220846 2590),
Point1,H1,(9.48642160804 158),(8.92068394885 359),(11.697361811 555),(9.03910042332 706),(9.03440876884 760),(9.93398855145 952),(10.0264677987 1160),(8.43990706034 1356),(10.0132393307 1561),(9.47578088726 1755),(10.1197755323 1958),(8.12296506447 2154),(8.6314641086 2340),(10.2749957121 2524),
Point1,H2,(-0.0070333457858 199),(1.7763568394e-15 390),,(8.75322985318 725),,(-1.7763568394e-15 994),(7.1054273576e-15 1191),(8.881784197e-16 1393),,,,,,
Point1,H3,(4.48941995186 241),(10.3970477881 495),,(8.75903412451 729),,(9.51879998231 1089),(6.48817232858 1298),(8.40024276146 1511),,,,,,
Point1,H4,(3.97104288846 253),(9.8827164402 511),(-3.5527136788e-15 595),,(-1.33226762955e-14 789),(9.2503015074 1104),(6.48496072902 1302),(8.39731229236 1514),,,(3.5527136788e-15 2001),(8.881784197e-16 2195),,
Point1,H5,(5.85013396129 278),(10.3666947121 529),(8.88314998269 681),,(5.05069464074 844),(9.73811834621 1131),(7.60828654188 1327),(9.03801404887 1534),,,(7.99436287168 2111),(4.6084372714 2247),,
Point1,H6,(-0.0070333457858 199),(1.7763568394e-15 390),(-3.5527136788e-15 595),(-1.33226762955e-14 789),(-1.7763568394e-15 994),(7.1054273576e-15 1191),(8.881784197e-16 1393),(-2.6645352591e-15 1595),(7.1054273576e-15 1795),(3.5527136788e-15 2001),(8.881784197e-16 2195),(-0.0040110570227 2390),(-0.00512211781791 2590),
