Cycle,0.722424242424
Average Width,15.3468291404
Width,,12.5243745045,0,5.63778758719,51.5191598978,0.0,0,0.0,0.0,0,0.0,8.83691661195,13.9810660349,7.65759025527,5.50931564738,17.2088290224,7.44250084226,0,11.1095390424,21.0275801909,10.1824652913,0.0,0,0.0,14.1723351203,0.0,31.9603145976,17.1281029333,0.0,0.0,0.0,9.65138866753,0.0,0.0,0
Point0,H1,(8.55587958869 149),(9.3791868764 314),(5.31313669983 490),(6.0627131075 648),(8.27630903921 813),(8.90937530308 979),(6.97015117162 1140),(9.03746048227 1293),(8.71960198692 1457),(11.2079687999 1611),(10.3246722341 1770),(7.44666789615 1935),(4.96955585427 2098),(6.19410371828 2250),(6.70418466002 2406),(9.24827985894 2552),(10.5766981227 2697),(8.98087109698 2839),(11.3442204971 2968),(8.76963591567 3103),(12.9854061027 3242),(10.6285327088 3390),(13.8162176188 3543),(10.5012542074 3685),(11.0400864752 3831),(10.2068737539 3972),(9.11865846422 4117),(12.50107561 4258),(11.6405364383 4389),(9.22889846371 4529),(10.208048497 4675),(7.85007718998 4813),(9.49601973781 4950),(9.57192649133 5083),
Point0,H2,(4.02982359034 180),(3.5694718509 355),(1.2703442463 532),,(3.92232533615 848),(3.58835875902 1011),,(1.03498892849 1350),(4.6159443438 1495),(3.75314300079 1652),(2.57228298958 1820),(1.00362699691 1969),,(-0.11285768652 2304),,(4.545211632 2575),(0.847115707868 2768),,,(2.33114848239 3140),(5.20722271582 3288),(4.42110398855 3428),(5.52833239453 3573),,(3.75483313439 3855),(4.06076943182 4000),(2.06424784664 4146),(8.28190744971 4288),,,(3.47279522024 4712),,(3.56513906694 4975),,
Point0,H3,(5.16629651007 200),(4.0616114291 369),(1.4980520727 551),,(4.50511926419 865),(3.59254441656 1013),,(1.462463685 1362),(4.63324823174 1500),(5.49699875682 1671),(2.58531953047 1824),(2.36618809181 2003),,(0.730369298272 2326),,(5.15536159212 2607),(0.853816086931 2771),,,(3.83186088995 3166),(5.21851215324 3292),(4.50757885153 3435),(6.17565911255 3593),,(4.15998767514 3867),(5.26925192698 4019),(2.95732353491 4162),(8.87661138425 4305),,,(3.50520890713 4719),,(4.66364955448 4993),,
Point0,H4,(2.39945723589 234),(0.677450828278 424),(0.672340608294 581),,(-2.22044604925e-15 912),(-0.0184499237479 1059),(-5.77315972805e-15 1211),(-0.180933784739 1382),,(0.472477619159 1718),(-0.00384883308993 1871),(0.771466696543 2027),,(0.111318172791 2357),,(4.96782733454 2619),(-0.0003627414198 2791),(1.9165708604 2869),,(1.95685953257 3190),,(1.20600908204 3470),,(3.03563618365 3710),(0.98327539981 3909),,(-0.0238184665831 4186),,,(-0.0259219393846 4610),(1.97248581923 4755),(1.26219947658 4845),(1.02244094313 5027),,
Point0,H5,(2.7379894054 248),(1.78782994657 449),(0.903375193399 597),,(2.18641367439 934),(1.74873847606 1093),(4.52382083389 1248),(1.74320301735 1405),,(0.996314148498 1730),(1.225927473 1891),(0.983622620176 2039),,(0.20780070505 2369),,(5.01892577042 2626),(0.483268899554 2804),(2.71253119203 2898),,(2.33205081984 3200),,(1.61501406006 3483),,(4.05227037761 3740),(1.27800522187 3920),,(1.80479031146 4212),,,(1.62160555805 4630),(2.18608576308 4765),(3.01899735816 4867),(2.21129014254 5042),,
Point0,H6,(2.6645352591e-15 84),(-8.881784197e-16 288),(5.10702591328e-15 466),(-4.4408920985e-15 620),(-0.0439940379525 727),(-1.06581410364e-14 782),(-2.22044604925e-15 912),(-0.0184499237479 1059),(-5.77315972805e-15 1211),(-0.180933784739 1382),(-0.000640334185539 1557),(-1.06581410364e-14 1743),(-0.00384883308993 1871),(1.00362699691 1969),(-0.0169142226655 2063),(-0.0284628403129 2166),(-5.3290705182e-15 2227),(-0.11285768652 2304),(-0.000518941344793 2379),(-0.00218622063869 2527),(-6.2172489379e-15 2672),(-0.0003627414198 2791),(-6.2172489379e-15 2941),(-0.000567789381841 3071),(6.2172489379e-15 3217),(-2.6645352591e-15 3361),(5.3290705182e-15 3507),(-0.00421616167249 3644),(-0.00488908157995 3782),(-0.00794928850047 3938),(-0.000144604816185 4084),(-0.0238184665831 4186),(-0.0154161905362 4356),(1.22124532709e-15 4496),(-0.0259219393846 4610),(-0.0034960062607 4786),(1.26219947658 4845),(-0.0124437281879 4918),(6.2172489379e-15 5058),
Point1,H1,(9.82186890606 145),(11.046614654 312),(7.95737021939 487),(7.48517133519 647),(10.0542725507 810),(10.3512166276 977),(8.10595687175 1136),(10.5381823342 1290),(11.0035408722 1454),(12.9866159373 1608),(12.4768795679 1768),(8.93502946095 1933),(7.15125249045 2095),(8.42756037765 2247),(8.21488481 2404),(11.3852785117 2550),(12.8022997075 2695),(11.1931379636 2837),(13.5200934259 2966),(11.4512727004 3100),(15.7338826244 3240),(12.6615276062 3386),(16.1247824212 3540),(12.4888201584 3683),(13.3001036462 3828),(12.4941897522 3970),(11.3076307991 4115),(13.7989783441 4253),(15.1201883786 4386),(11.3381992136 4525),(12.8926613176 4672),(10.4934058257 4810),(12.1624986146 4948),(13.3769567817 5080),
Point1,H2,(4.71117759886 176),(4.08742849201 354),,,(4.17221425332 845),,(1.32094777361 1169),(1.49227389048 1349),,(4.35570338913 1651),(3.54166972468 1818),(1.83026937207 1966),,,(2.25196748752 2427),,,,,(3.23999409832 3137),(5.94155772016 3284),(4.92359165493 3426),(5.94572173756 3569),,(4.24005223251 3854),(4.77674191178 3998),(1.93089459101 4143),,(5.54077757839 4416),(4.93858604111 4563),(4.5622070175 4705),,(4.23476708818 4974),,
Point1,H3,(5.26107192264 196),(4.37810128258 365),,,(4.80978714418 862),,(1.69557742205 1184),(1.67964435598 1359),,(6.0194963932 1669),(3.54268188858 1820),(3.49200980842 1997),,,(3.22293297281 2443),,,,,(4.86519719316 3158),(6.06277755757 3292),(5.13655071097 3436),(6.5793456806 3588),,(4.97391172977 3870),(6.12941547353 4017),(3.24174087327 4160),,(5.6386599624 4423),(5.1954213953 4574),(5.07696522012 4719),,(6.00274867333 4993),,
Point1,H4,(2.62087043026 231),(-7.1054273576e-15 423),(2.27244091048 526),,(3.10862446895e-15 906),(-8.881784197e-16 1069),(-7.54951656745e-15 1210),(0.0832343146512 1379),(-0.00744223065304 1554),(0.776210191468 1715),(0.202663240596 1869),(0.908747662277 2023),,,(0.361045596919 2500),(5.31813298989 2573),,(2.80683075323 2866),,(2.0766403636 3189),(2.46911954131 3335),(1.18406385725 3472),,(2.97222699931 3709),(1.13678112431 3908),,(-0.50665687493 4189),(8.4169340585 4286),(1.25179770984 4469),(-0.0447283682031 4609),(2.50435793751 4752),(1.88670620601 4842),(1.54086946417 5026),,
