Cycle,0.775463659148
Average Width,4.61829246721
Width,,5.98756282009,4.19260767428,5.63494189431,2.84158383651,0.0,0,3.29774780927,0.0,3.40300722317,3.45256131642,6.79145654245,4.18005848044,3.72402453609,5.0826017166,6.75817995126,4.3493403626,4.21323054165,0.0,5.64714632085,4.33662844933
Point0,H1,(4.82795643544 86),(7.30661733923 283),(6.55582310707 490),(3.74424064337 615),(11.1810145932 699),(4.27233201243 904),(6.38953766671 994),(14.4224337446 1100),(4.90094380643 1274),(4.64598315768 1364),(8.89635079527 1486),(8.33918863651 1653),(5.54096680076 1815),(10.3703472744 2012),(11.9641260459 2165),(8.73055127909 2340),(8.63016544872 2522),(10.8913964021 2707),(9.02193952622 2884),(6.22031214454 3065),(5.19617943104 3129),(10.640825497 3325),
Point0,H2,,(5.20557393221 304),,,,,,,,,(6.02640804121 1505),(3.11985680776 1717),,(8.12812234964 2033),(6.42276823978 2204),(1.98757826881 2399),(2.44847828716 2571),,(3.81840183478 2941),,(-0.0105096323059 3181),,
Point0,H3,,(7.00205094114 324),,,,,,,,,(8.17197200304 1526),(3.14819466342 1726),,(8.72531863897 2044),(8.91263416054 2225),(2.7336654827 2415),(4.16130200357 2603),,(4.53742750748 2958),,(3.63021944068 3224),,
Point0,H4,,(-0.00776271135513 402),(0.672864283786 533),,(9.539118525 736),,,(3.89345734683 1188),,(2.14685086903 1389),(-0.00636096436981 1584),(2.8189134696 1748),,(6.2172489379e-15 2079),(2.01706342619 2256),(1.11925621531 2434),(0.914456994555 2628),(-0.000849405278238 2805),(2.62589689514 2980),,(-0.0214056775364 3245),,
Point0,H5,,(2.63886682017 437),(2.95274815899 559),,(9.80333601474 747),,,(3.96816467826 1195),,(3.8115015154 1410),(2.3398392501 1605),(2.81896491743 1749),,(5.05706203373 2128),(5.72172505201 2279),(2.25281553251 2450),(1.90879994515 2644),(1.14307309365 2828),(3.26025261117 2995),,(8.72113883276 3269),,
Point0,H6,(-0.650988119509 57),(-1.13602197553 147),(-0.00776271135513 402),(-0.00161978117073 587),(-0.0754360932981 879),(-0.0150765472178 948),(-0.110891803311 1033),(-0.683473479156 1242),(-0.00567343622393 1316),(8.881784197e-15 1437),(-0.00636096436981 1584),(3.5527136788e-15 1787),(-0.0568795227368 1913),(6.2172489379e-15 2079),(5.3290705182e-15 2308),(-1.33226762955e-15 2487),(-8.881784197e-16 2667),(-0.000849405278238 2805),(-0.00139976825714 3037),(-0.00915860366271 3103),(-0.0105096323059 3181),(-0.0214056775364 3245),
Point1,H1,(9.29665339734 32),(12.2808310556 227),(10.015719584 431),(16.3051304726 644),(7.83317954403 847),(3.90541971667 940),(17.8495811168 1042),(9.65555910888 1215),(13.6883376195 1430),(13.0651946092 1599),(9.93747744046 1760),(13.9830653598 1937),(13.8567415191 2112),(12.3225294802 2286),(12.8380528925 2464),(13.6755881152 2652),(12.5074785897 2829),(9.40863921458 3012),(11.7792403695 3214),(10.665773879 3271),
Point1,H2,(0.0706574304885 120),(9.44423249901 259),,(12.0198497478 682),,,,,(9.19682343077 1453),,(3.77458419899 1803),(7.3944503832 1979),(7.1798799615 2152),,(2.76836173769 2533),,(4.10942337092 2925),,,,
Point1,H3,(1.17137781388 138),(9.59420770073 270),,(12.6800442916 695),,,,,(10.9277661057 1470),,(4.9594477818 1818),(8.43482994436 1991),(9.29292294902 2170),,(4.35368600703 2552),,(4.44816914086 2937),,,,
Point1,H4,(0.366336526313 157),(0.972663055236 360),,,,,,,(1.41004577443 1529),,(1.53342527814 1863),(-0.00357716478146 2031),(2.82977752682 2204),(1.9782358114 2383),(2.11527636501 2575),(0.592691101958 2752),(3.07472768877 2958),,,,
Point1,H5,(1.14847734265 180),(1.7521355423 377),,,,,,,(2.82078834621 1545),,(1.53914824712 1868),(2.59812371537 2072),(5.04900839866 2226),(2.47337224995 2399),(2.68472298135 2590),(1.56743930141 2772),(3.08385951335 2962),,,,
Point1,H6,(-0.00624276116385 1),(0.0706574304885 120),(-0.00621669818434 195),(-0.000157478654991 400),(-0.00711295141065 532),(-0.100361636002 823),(6.66133814775e-15 893),(-0.56215717993 974),(-0.117022639739 1190),(-0.0046103622094 1266),(-0.0374800993969 1382),(-0.00892261502075 1565),(7.9936057773e-15 1733),(1.50990331349e-14 1907),(-0.00357716478146 2031),(1.15463194561e-14 2252),(8.881784197e-16 2428),(1.24344978758e-14 2614),(-0.000140077759067 2791),(-0.01669590969 2984),(-0.0263644182232 3050),(0.0400477562261 3129),(-0.00721370282623 3189),(-0.0398645978607 3383),
Point2,H1,(11.2375137967 32),(11.4928335854 226),(10.7490741127 431),(12.1829014237 643),(8.70140294959 847),(3.48888790463 938),(15.6086515257 1043),(9.30230457755 1215),(12.5166716839 1430),(12.2002885983 1598),(9.25338701156 1760),(13.0334878694 1937),(13.6274260614 2112),(10.4585507953 2286),(11.4608257397 2465),(12.6967666671 2652),(10.7053214862 2827),(8.68561719283 3010),(11.5169519792 3214),(10.3797131605 3270),
Point2,H2,(1.71660403351 121),(8.06813745543 257),,,,,,,(8.56792399259 1452),,,(7.48438647176 1979),(7.00938760238 2150),,(2.09040161157 2529),,(4.54817103095 2883),,,,
Point2,H3,(3.00641786636 138),(8.44604095448 273),,,,,,,(10.3486935654 1469),,,(8.45835943591 1991),(8.69739826281 2169),,(3.78249350461 2551),,(4.6836543269 2895),,,,
Point2,H4,(1.34142666183 161),(0.516616283539 359),,,,,,,(0.989806688153 1527),,,(-0.00449402663994 2032),(2.75643152579 2203),(1.3773211921 2381),(1.50838154253 2576),(0.635864485619 2750),(3.00192521077 2924),,,,
