Cycle,0.969444102354
Average Width,4.41991474135
Width,,4.11842405093,4.7892371139,4.35093590083,3.63811260193,4.16698768496,4.28919869352,4.0811398851,3.91835887706,4.12422856268,4.34019222575,4.02822642394,4.18472808869,4.2724631047,4.18894222879,4.37288202672,4.25879100114,4.43644252605,4.57999075392,7.80939566601,4.28980244039,4.34274853971,4.68230427405,4.52589775878,4.33678370757,4.75535886234,4.38247000659,3.74789363554,4.74567611633
Point0,H1,(16.3680398396 61),(9.61553397818 269),(6.33089519966 511),(6.87444245504 695),(8.0111658994 875),(12.5334479739 1089),(11.4580598058 1295),(9.36937402032 1504),(11.2375940697 1703),(12.9664774589 1902),(10.261721206 2107),(13.3854115736 2307),(13.7119075195 2522),(13.6893307369 2751),(14.7458526423 2969),(14.1294606318 3188),(14.8594412393 3415),(14.7833520174 3619),(20.1267293764 3827),(12.2560959621 4030),(12.6382535788 4222),(15.3418575331 4409),(13.9594317448 4578),(12.4432766928 4750),(17.0703344887 4962),(10.8482558456 5140),(5.08804925761 5275),(17.6373438866 5341),(17.5582598153 5546),(13.0726108593 5747),
Point0,H2,,,,,,(7.69031818076 1129),,,(8.3671756909 1756),,(9.24311761987 2149),(5.5640636197 2375),,,,(13.7754988536 3197),(4.56152606399 3512),,,,(10.2125641731 4239),(9.05989872856 4436),(13.1131873771 4590),(2.97307105147 4857),(8.38132703269 4989),(2.73935903847 5193),,(12.9810299565 5357),,,
Point0,H3,,,,,,(9.99648718937 1146),,,(8.56562187661 1768),,(9.69112705393 2164),(6.48759722968 2391),,,,(13.9508633593 3206),(4.56275319071 3514),,,,(10.3884630996 4247),(9.36029362776 4446),(13.3351922827 4598),(3.38372979169 4870),(9.37618305369 5002),(4.73498580038 5208),,(15.083212566 5371),,,
Point0,H4,,,,,,(5.78836538568 1190),,,(3.52634481531 1827),,(4.87943642913 2196),(4.73764329794 2412),,,,(6.51203398701 3285),(1.53917562977 3558),,(2.65127438864 3932),,(7.76418308941 4269),(3.77506566245 4514),(10.6833260779 4621),(0.521627247641 4893),(4.54923141174 5055),(5.3290705182e-15 5226),,(1.83570502029 5483),,,
Point0,H5,,,,,,(6.78414014847 1207),,,(3.54027891763 1831),,(6.38935168955 2216),(5.28505830847 2425),,,,(6.5485240347 3292),(3.31441774122 3574),,(3.22465464264 3953),,(7.99655604531 4278),(4.02562331896 4526),(10.9652109523 4631),(0.903255740824 4903),(5.46865484511 5078),(4.09672746427 5244),,(2.15196389894 5493),,,
Point0,H6,(-0.0305179567653 246),(-2.35367281221e-14 329),(-0.018008224222 453),(-0.464959481705 644),(-1.78745906965e-14 716),(-0.101239019683 787),(-1.7763568394e-15 853),(-0.816711389556 1000),(-0.0340290921043 1059),(-5.3290705182e-15 1255),(-9.7699626167e-15 1461),(-1.33226762955e-14 1667),(-5.82111887848e-05 1875),(7.9936057773e-15 2072),(1.7763568394e-15 2274),(5.3290705182e-15 2484),(2.6645352591e-15 2709),(1.7763568394e-15 2933),(3.5527136788e-15 3157),(-2.39808173319e-14 3378),(-2.84217094304e-14 3590),(-7.9936057773e-15 3725),(-0.000691713770038 3986),(-0.00673315129417 4194),(7.9936057773e-15 4372),(3.5527136788e-15 4549),(-0.0103239274401 4700),(-7.9936057773e-15 4916),(-2.04281036531e-14 5109),(5.3290705182e-15 5226),(-0.0403705832585 5314),(0.0 5512),(-0.493912647732 5718),
Point1,H1,(25.3086873739 53),(15.368151942 232),(11.5969017722 470),(19.2551731068 656),(17.8172526314 843),(20.739141511 1051),(22.3844352199 1258),(20.5653991811 1464),(21.8122956426 1672),(22.3329326942 1866),(20.9945877954 2072),(23.4647240212 2274),(24.6840929987 2487),(25.4500044334 2715),(24.9071252801 2935),(24.2707883185 3168),(24.4015474377 3379),(22.9017688158 3585),(25.832848455 3789),(22.0670437212 3993),(21.4424600433 4186),(23.8392378029 4374),(20.9535247613 4558),(20.9383667111 4713),(25.8520374669 4926),(18.4095715592 5105),(26.7800177511 5304),(26.4520434869 5510),(22.45689119 5710),
Point1,H2,,,(6.07845188927 513),,,(12.0597583658 1093),,,,,(15.2450466708 2117),,(19.6587567454 2507),,(14.9598536425 2985),,,(0.741055242411 3690),,,(18.8669936155 4200),(4.65660128672 4482),(14.5947748206 4587),,(16.1808818328 4953),,(22.2997841681 5319),,,
Point1,H3,,,(6.20667794641 520),,,(13.6071232634 1107),,,,,(15.2529541931 2120),,(19.9477548992 2515),,(15.2790583834 2993),,,(1.91577907769 3713),,,(19.1665609549 4208),(4.81755643018 4490),(14.623673051 4591),,(16.5310034073 4962),,(24.4611371427 5331),,,
Point1,H4,(16.1396113091 118),,(-1.68753899743e-14 550),,,(7.04676192 1156),,(2.49270120631 1605),(3.06012172303 1815),,(8.38113497035 2158),,(10.3106569433 2586),,(3.56920263697 3092),(3.00954432675 3317),(3.79327974641 3522),(-0.00332402333267 3731),,(14.5619396458 4039),(3.23832513277 4310),(-1.7763568394e-14 4511),,(1.85655111272 4853),,,,,,
Point1,H5,(16.3653401783 127),,(2.49865653679 570),,,(7.39576498715 1167),,(2.71522216855 1614),(3.11939841643 1820),,(8.79366737454 2171),,(10.4245806975 2594),,(4.18366240034 3102),(3.06827846577 3323),(4.90557340921 3535),(1.70009032288 3745),,(14.8891019908 4048),(3.24553038433 4313),(20.8245330627 4543),,(2.47125238088 4864),,,,,,
Point1,H6,(-0.0902815535028 207),(1.7763568394e-14 291),(-0.0437596718205 360),(-1.68753899743e-14 550),(-0.00201118339513 606),(-2.6645352591e-14 815),(-3.19744231092e-14 1021),(-2.13162820728e-14 1217),(2.48689957516e-14 1424),(1.7763568394e-14 1631),(6.03961325396e-14 1838),(3.5527136788e-15 2034),(-2.13162820728e-14 2238),(-1.24344978758e-14 2448),(-5.3290705182e-15 2672),(-2.84217094304e-14 2896),(-3.5527136788e-15 3119),(-1.24344978758e-14 3342),(-1.59872115546e-14 3552),(-0.00332402333267 3731),(-0.0138241450159 3952),(-2.84217094304e-14 4156),(-2.30926389122e-14 4336),(-1.7763568394e-14 4511),(2.48689957516e-14 4681),(-0.023679385871 4878),(1.7763568394e-15 5072),(-0.0114805390659 5190),(-0.05805495573 5273),(1.59872115546e-14 5474),(5.3290705182e-15 5679),
Point2,H1,(24.881302544 55),(14.3770167657 233),(12.3987701681 470),(20.2155522392 655),(19.1654686859 867),(20.5924294263 1052),(22.0938667013 1258),(21.4002540335 1466),(23.5184746178 1671),(22.025520088 1887),(21.1600839426 2074),(24.8066029805 2278),(25.2592704705 2488),(26.4284968531 2718),(26.3717563317 2938),(24.2199653747 3163),(25.2734675822 3380),(22.293928805 3589),(26.5373336377 3786),(22.9321834601 3994),(21.6833000908 4187),(24.49675319 4375),(20.7018612775 4558),(20.8947123303 4714),(25.4839429187 4927),(21.3272852557 5109),(26.3043119836 5304),(26.8621225863 5510),
Point2,H2,(23.9291283935 70),,(5.85675036149 512),,(5.25534101063 965),(13.1618407713 1095),(13.2097808985 1301),,,(14.1618236342 1914),(14.9554954456 2116),,,,(16.0570730583 2986),,,(-0.0362983993461 3687),,,(19.9032160736 4201),(4.92194406925 4485),,(6.4688604477 4821),,(12.4311611536 5157),(22.2654971179 5320),,
Point2,H3,(24.060166833 77),,(6.6304175605 525),,(6.21934623756 978),(13.882693451 1106),(14.1901172902 1313),,,(14.4432364022 1922),(15.3654249028 2127),,,,(16.2396156158 2993),,,(1.35586905905 3715),,,(19.9976316257 4206),(4.98411569752 4491),,(6.60881215768 4830),,(12.7409496324 5166),(23.2113906769 5330),,
Point2,H4,,,(2.6645352591e-15 550),,(2.17086641854 1000),(6.61339055234 1155),,(3.06818374919 1604),(-8.33813997918e-05 1838),(4.19534892818 2004),(3.41405822675 2211),,,(4.02868559399 2868),(3.77974732314 3092),(3.0454406452 3317),(4.27768629086 3523),(0.290044729679 3730),,,(4.07470032854 4308),(2.30926389122e-14 4512),,(2.87445571285 4854),,(7.20383801944 5194),(16.4375835397 5355),,
