Cycle,0.873529411765
Average Width,3.39028154245
Width,,3.38802754426,3.41992022846,3.44282006117,3.34496130325,3.32599055345,3.42925752549,3.47580723164,3.38237344721,3.36680855557,3.33798250263,3.33799977775,3.3957405753,3.372987706,3.41701634801,3.38348544108,3.36271166753,3.42631915368,3.41485814166
Point0,H1,(4.82056365872 26),(6.14277089409 215),(7.14394932989 408),(7.18141490112 597),(6.95766380894 804),(6.1112459373 967),(10.3045895896 1162),(12.0295641626 1341),(11.7974951128 1528),(9.84779280113 1706),(7.48957229012 1897),(8.0250015416 2087),(7.05563074447 2265),(8.82315502375 2457),(8.96779675271 2634),(8.2940149016 2822),(8.23731071107 3000),(9.15806650401 3193),
Point0,H2,(4.12789347905 43),,(3.49913672228 454),(0.607989016944 676),(-2.22044604925e-15 869),,,,(5.01848064682 1578),,,,(6.2044368902 2278),,(3.62378349458 2678),,,
Point0,H3,(4.16403249257 50),,(3.69996728991 465),(1.93417115252 699),(0.932939486483 886),,,,(5.10174086506 1585),,,,(6.50111590487 2288),,(3.8398633889 2688),,,
Point0,H4,(2.72635550412 86),,(0.524629480308 526),(-7.54951656745e-15 735),(0.491553992909 899),,(1.47992350196 1284),(1.28986206813 1461),(3.7164649682 1610),(-0.00266901895171 1825),(0.729219716403 2019),(0.198704937117 2211),,(0.0 2579),(0.727960399196 2757),,,
Point0,H5,(2.88428015863 97),,(1.14741322007 543),(6.44134501004 775),(1.1386344105 918),,(1.51638351857 1291),(1.40566391433 1469),(3.7222052714 1613),(0.913294277155 1843),(1.11068290629 2032),(0.410251472844 2224),,(0.491523429451 2593),(0.831478530472 2766),,,
Point0,H6,(-2.22044604925e-15 167),(-0.00232689546554 368),(-1.33226762955e-15 560),(-7.54951656745e-15 735),(-2.22044604925e-15 869),(4.4408920985e-15 1119),(2.6645352591e-15 1309),(7.9936057773e-15 1488),(6.2172489379e-15 1675),(-0.00266901895171 1825),(8.881784197e-16 2048),(1.33226762955e-15 2236),(-0.000462122783262 2413),(0.0 2579),(-1.33226762955e-15 2783),(-0.000148334350488 2967),(1.7763568394e-15 3150),
Point1,H1,(43.4286042833 41),(42.3874059628 225),(44.1491816351 412),(46.3359764631 603),(48.4452555776 792),(45.136927061 972),(45.9816037133 1162),(51.6579575111 1355),(51.4156693146 1533),(55.1641671934 1722),(49.4932573599 1901),(49.9523744505 2091),(50.4285830646 2282),(47.1902223394 2462),(49.4136679997 2650),(48.435069933 2829),(50.1380771824 3019),(49.525672445 3195),
Point1,H2,(18.3883829276 92),,,(19.0236922046 649),,,,,,,,(22.3543760197 2139),,,,(21.0483958676 2877),,
Point1,H3,(18.4517137356 96),,,(19.6120819792 658),,,,,,,,(22.6014593289 2146),,,,(21.0516665884 2879),,
Point1,H4,(4.81634115072 167),(2.21770957242 358),,(5.60972364993 723),,(3.20967321294 1094),(5.5403469393 1287),(4.58034165833 1477),(6.28022948612 1653),,,(6.58546942388 2213),(3.45830584177 2409),(21.3055672575 2509),(2.85673223903 2774),(5.38667874331 2949),,
Point1,H5,(5.22553621915 175),(2.64731695563 367),,(6.23648130484 734),,(3.29123983276 1100),(5.55083812438 1290),(5.18075327822 1486),(6.5070624404 1661),,,(7.0183792157 2222),(3.46079572068 2411),(21.4594359287 2514),(3.29086203386 2783),(6.33406362254 2959),,
Point1,H6,(8.881784197e-15 191),(-3.5527136788e-15 381),(-0.00331167553619 566),(7.1054273576e-15 752),(-3.5527136788e-15 940),(1.06581410364e-14 1122),(1.06581410364e-14 1313),(1.7763568394e-14 1502),(-1.7763568394e-14 1681),(-1.06581410364e-14 1870),(-1.42108547152e-14 2050),(1.06581410364e-14 2240),(1.42108547152e-14 2429),(-3.5527136788e-14 2611),(-4.61852778244e-14 2797),(-7.1054273576e-15 2976),(-3.5527136788e-15 3158),
Point2,H1,(62.8831019719 41),(60.9409859785 227),(62.116485462 413),(59.4409044541 603),(58.9028907541 792),(63.8055711403 974),(65.2552647185 1162),(59.8122680059 1353),(56.4404387267 1534),(63.1312213294 1723),(60.1190628226 1902),(67.5088762745 2091),(66.2630889265 2282),(63.2347818933 2463),(62.5333663016 2650),(60.0863945673 2830),(69.4208044633 3019),(66.1787119629 3196),
Point2,H2,(21.5558288379 93),,,(19.4164761745 651),,,,,,(23.3991677506 1773),,(25.2100940258 2141),,,,,,
Point2,H3,(21.573639643 95),,,(19.7540203916 657),,,,,,(23.4385719963 1776),,(25.3048744705 2145),,,,,,
Point2,H4,(6.40828504152 165),(2.77806218753 357),,(5.62552293281 724),(4.07830923675 920),,(21.4078710493 1214),(3.74633964689 1476),(5.81398544881 1653),(5.78680073407 1847),,(7.82191990873 2212),(4.13294230229 2405),(25.5943924001 2511),(2.81052500463 2773),(6.62190973464 2948),,
Point2,H5,(7.55561199923 175),(4.11440666292 368),,(6.51293555954 735),(4.17358558335 925),,(21.4268917143 1216),(4.85647177509 1487),(6.08079053516 1660),(6.14665140976 1854),,(9.04144265109 2223),(4.88357736192 2415),(25.5983603554 2512),(3.71387882239 2784),(8.0048524258 2959),,
Point2,H6,(-0.0120899364177 191),(-0.00493059208248 382),(-4.97379915032e-14 568),(-4.97379915032e-14 752),(-1.06581410364e-14 941),(-0.00471796192766 1123),(1.7763568394e-14 1313),(-3.5527136788e-15 1502),(-3.90798504668e-14 1680),(-3.90798504668e-14 1870),(-3.19744231092e-14 2050),(-1.06581410364e-14 2241),(-7.1054273576e-15 2430),(-7.1054273576e-15 2611),(-2.48689957516e-14 2797),(-3.5527136788e-15 2976),(-1.7763568394e-14 3158),
Point3,H1,(19.5708985471 40),(19.2573389093 232),(20.1823520348 412),(15.2781652879 602),(14.8272678542 792),(21.0952841995 975),(20.1972550409 1160),(13.9911978056 1350),(12.5638604607 1536),(15.0437642478 1722),(15.4461452814 1916),(19.7356625788 2091),(19.2084010328 2282),(18.4896398067 2462),(17.0142351296 2649),(15.7887557602 2831),(21.6718510761 3018),(19.3405818725 3195),
Point3,H2,(6.46882708928 91),,,,,(2.64078368029 1066),,(0.948463283864 1450),,,,,,,(0.972270438252 2740),,,
Point3,H3,(6.46981602787 92),,,,,(2.65660452293 1070),,(0.980134255874 1456),,,,,,,(1.50941865231 2754),,,
