Cycle,0.816023391813
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.30444444355 29),(9.08574341462 214),(7.46680611493 389),(9.4529218693 551),(9.77744379619 719),(8.49181159373 889),(8.69521656728 1061),(9.15255620497 1223),(9.50499566069 1387),(9.78658988031 1560),(10.0879802517 1738),(8.83270448634 1910),(10.0127967936 2072),(10.9595963902 2243),(9.54210659149 2412),(9.4656249175 2582),(10.7689474038 2743),(11.8026992788 2903),(10.9760854286 3071),(10.7476441111 3243),(9.34870141841 3412),(11.081792283 3576),(11.3112383466 3743),(9.93864997984 3910),(10.0115406226 4070),(10.0837611576 4230),(10.4649303906 4390),(11.4424808833 4553),(9.97738364246 4724),(10.2529880916 4871),(12.0666359505 5032),(11.1232578729 5198),(10.3513934654 5366),(9.22297836314 5525),(10.4865097095 5677),(9.15149708393 5839),(10.5959781843 6006),(9.49923983754 6172),(8.82818117926 6337),(11.2512364908 6501),(10.615928385 6668),(11.4222388915 6845),(10.6198729513 7021),(10.5050676637 7190),(12.1334246137 7356),(12.1759215533 7528),(10.6552295034 7701),(10.8203633417 7862),(10.9506470982 8022),(11.0740250292 8186),(10.1216538681 8359),(9.11312431286 8519),(10.066361976 8679),(10.951773556 8851),(10.0237804985 9025),(10.3290648558 9191),(11.5849772907 9353),(11.0745103157 9525),
Point0,H2,,(3.0312848338 262),,,(3.93450860901 775),,,,(3.9597261554 1443),,(3.51340893831 1786),(2.72329661951 1958),,(4.27955039532 2294),(3.67194795097 2465),,(3.69879650739 2790),,(4.82422452993 3131),(4.56030857464 3291),(3.03058158244 3460),(4.43261457718 3623),,(4.35639545607 3959),(3.68850324021 4118),(4.07709222468 4277),(4.72909491373 4436),(4.3057004766 4599),(3.98620505564 4775),(2.82210774299 4915),(4.81200235244 5080),,(3.73420573904 5414),(4.27096804247 5572),(4.69433914594 5729),(3.69223113525 5901),,(4.57337822746 6215),(3.65670205359 6388),(5.33112308954 6550),(5.55598048639 6716),,,(3.88773228142 7239),(5.08412797221 7411),,(6.31820071925 7725),(5.75357860205 7885),,,(6.65169879867 8380),(3.19555481064 8563),,(4.91094871725 8902),(4.48061792516 9070),(4.0068283945 9237),(5.52200518517 9399),,
Point0,H3,,(3.95287450771 278),,,(4.41588008858 789),,,,(4.17870313109 1457),,(3.84242141188 1799),(3.08444594206 1972),,(4.94785948223 2308),(4.11526808425 2482),,(4.70974674248 2806),,(4.97289712135 3141),(4.62972890092 3299),(3.86466788312 3476),(5.46631660311 3639),,(4.52789784073 3970),(4.04074043701 4132),(4.74925249884 4292),(5.65708151866 4452),(5.41650220753 4616),(4.01214593506 4780),(5.25058637503 4934),(5.67934129861 5096),,(4.29318088942 5428),(4.67784259226 5586),(5.13225102963 5744),(3.734619445 5910),,(5.59512924453 6235),(3.78323783162 6399),(6.17865292272 6565),(5.59364636125 6724),,,(4.61572587027 7254),(5.70487344791 7429),,(6.36226885711 7730),(5.83672919363 7891),,,(6.66230991808 8383),(4.26390535885 8580),,(5.41881265603 8916),(4.75201389442 9086),(5.43819855422 9254),(6.5816150019 9414),,
Point0,H4,(2.28554956851 133),(0.993795013553 319),(2.33307947125 437),,(1.89585885311 821),,,,(2.12899701915 1485),,,,,(1.03771609525 2356),(1.30118257803 2516),,,,(1.47802989336 3186),(1.29122447414 3346),(-0.00731491001063 3526),(2.11016059182 3685),,(1.19165828903 4008),(0.93646762021 4166),(1.46481305982 4326),(1.39311869212 4504),,(0.450468521323 4825),(1.04107514988 4980),(1.82958276512 5140),(4.22066472407 5257),(1.49849255522 5460),(1.83168189383 5622),(1.86188419645 5780),(0.798130846267 5947),,(1.4173800072 6277),(1.45717882362 6434),(1.88007474227 6612),(1.24454097754 6789),,(3.929593854 7064),(1.06847898849 7300),(1.42624369974 7479),(4.23635876774 7577),(3.88290991522 7754),(4.15364746185 7911),,(0.602761555889 8294),(3.16994719982 8407),(0.136270769342 8635),,(1.57390667616 8964),(1.97799646719 9120),(1.27210910739 9300),(2.54075068769 9461),,
Point0,H5,(2.39458862874 145),(1.31182401888 333),(3.72593456598 455),,(1.90066452133 825),,,,(2.19331430219 1492),,,,,(1.58514761283 2368),(1.30648061891 2519),,,,(1.96197032397 3199),(1.39362633396 3355),(0.467722341235 3539),(2.29885006588 3694),,(1.22809974992 4014),(1.20217472036 4177),(1.49611355239 4332),(1.42471524665 4509),,(0.522724834389 4832),(1.63194762764 4992),(2.32851957515 5152),(4.35027358115 5266),(1.92562390627 5473),(2.02658730841 5631),(2.04642121426 5790),(0.799389791485 5949),,(1.62711668623 6287),(1.70464304512 6445),(2.10413897912 6622),(1.66655647503 6800),,(4.69344609481 7086),(1.77171641824 7313),(1.47813742241 7485),(5.01460257466 7594),(4.19759482941 7767),(4.67454494886 7924),,(0.858368689428 8306),(4.15267878869 8422),(0.151366796555 8640),,(1.78275441974 8974),(2.25113321923 9132),(1.63152460562 9311),(2.59409159836 9467),,
Point0,H6,(-0.00143933059405 1),(1.02140518266e-14 175),(7.54951656745e-15 354),(-0.00271180019012 522),(1.59872115546e-14 688),(6.2172489379e-15 862),(-0.00134859230121 1027),(3.5527136788e-15 1196),(1.33226762955e-14 1360),(-4.4408920985e-16 1533),(4.4408920985e-15 1710),(-0.00275088628082 1875),(2.6645352591e-15 2045),(3.5527136788e-15 2209),(0.0 2384),(0.0 2551),(-0.00580495020234 2708),(5.3290705182e-15 2875),(-3.5527136788e-15 3040),(-1.7763568394e-15 3216),(4.4408920985e-15 3377),(-0.00731491001063 3526),(-7.1054273576e-15 3712),(-8.881784197e-16 3874),(0.0 4036),(1.7763568394e-15 4195),(-1.7763568394e-15 4355),(0.0 4526),(-0.00382998607502 4688),(3.10862446895e-15 4844),(-8.881784197e-16 5007),(-5.3290705182e-15 5169),(-2.22044604925e-15 5333),(-0.00505641020587 5491),(0.0 5648),(8.881784197e-15 5809),(-3.99680288865e-15 5971),(-5.3290705182e-15 6143),(-1.06581410364e-14 6305),(-1.7763568394e-15 6466),(2.6645352591e-15 6640),(-2.6645352591e-15 6815),(6.2172489379e-15 6992),(-3.10862446895e-15 7149),(2.6645352591e-15 7328),(1.59872115546e-14 7502),(1.15463194561e-14 7663),(8.881784197e-15 7829),(-0.00270127642226 7988),(2.6645352591e-15 8159),(3.10862446895e-15 8326),(9.32587340685e-15 8487),(0.0 8649),(-2.6645352591e-15 8817),(-1.7763568394e-15 8992),(-2.6645352591e-15 9159),(-2.6645352591e-15 9327),(1.7763568394e-15 9490),
Point1,H1,(6.08578858094 28),(7.00156499553 214),(5.79221891447 389),(6.58726489887 552),(7.23492438212 718),(6.33788082516 888),(6.3057421183 1062),(6.31573210426 1223),(6.69096168174 1387),(6.99071636239 1561),(8.05366940205 1737),(6.42509510013 1910),(7.09497607824 2072),(8.00359384921 2243),(7.01020339124 2412),(6.80516579547 2581),(7.68100464128 2743),(9.21826516927 2902),(8.27812516259 3070),(8.16117886593 3245),(7.26441127743 3412),(8.47699603736 3576),(8.9675204046 3743),(7.97536898307 3910),(7.83932576912 4069),(7.85856710681 4229),(7.69899812195 4390),(7.8720005144 4552),(7.77353936983 4724),(7.49803750391 4871),(9.07976944215 5033),(8.66561861209 5200),(7.57232302227 5366),(7.53838134061 5524),(7.46848769273 5679),(6.87693798814 5842),(7.89107977803 6005),(7.33627828282 6171),(6.78080591774 6337),(8.75938354678 6500),(8.32258042166 6669),(8.42972438507 6846),(7.81343948582 7023),(8.10545224716 7189),(8.48828688372 7355),(9.09681777209 7528),(7.73844861033 7701),(7.67315368857 7861),(8.47927951378 8022),(8.15241127688 8185),(7.13394518477 8358),(6.75610351075 8519),(7.39268115472 8679),(8.16554957392 8852),(7.45095371775 9024),(7.27840950505 9191),(8.20534262148 9354),(8.30317851541 9524),
Point1,H2,(2.78451086282 91),,,(2.9297240949 599),,,(2.14136993006 1109),(2.38483701813 1272),,,(3.39864577152 1795),(2.349204562 1963),,(3.09990577337 2294),(3.23704935756 2463),(3.64478351023 2601),,,(3.67635580505 3126),(3.28074555731 3291),(2.40865782982 3467),(4.11319741215 3624),,,(2.78564067506 4118),(3.51476743726 4277),(3.71363076181 4437),(3.15932510925 4598),,(2.63489142879 4916),(4.67240388384 5082),(3.66807248773 5250),(3.23890190252 5416),(3.45702299039 5571),(3.63344295106 5730),,,,(3.30078988305 6390),,(3.64925252977 6731),(3.96249070442 6904),(3.46019537394 7065),(3.04225674239 7238),,,(3.27633153864 7755),,,(3.82653061032 8237),,(2.43570053146 8564),,(4.68579029928 8903),(3.57870196373 9076),(3.09389590152 9235),(4.61627891198 9398),,
Point1,H3,(2.78597495151 93),,,(3.70713125011 619),,,(2.82638796643 1123),(2.5834899885 1283),,,(3.53022156552 1807),(2.36890600562 1969),,(3.76577340967 2310),(3.57665852548 2480),(3.99390843185 2611),,,(4.18479777606 3141),(3.36747802235 3303),(2.60188523896 3482),(4.48714674642 3638),,,(3.0237709878 4133),(3.91880994171 4290),(4.12491282976 4451),(4.02236466799 4617),,(4.00567597224 4934),(4.95184916076 5097),(4.08694347292 5264),(3.50526645964 5429),(4.31312444854 5587),(3.67615735916 5739),,,,(3.35360257134 6400),,(3.79359515273 6742),(4.10810345768 6914),(3.75420027317 7085),(3.52603360121 7252),,,(3.31594641334 7762),,,(3.86365920324 8245),,(3.32283388656 8581),,(4.95469707719 8915),(3.89451882325 9088),(4.01376886997 9252),(5.32218985587 9414),,
Point1,H4,(1.23825295671 124),(2.1610650424 262),(2.0848264059 435),(1.15934074453 656),(3.63077584842 774),,(1.22835673591 1147),(0.559828351258 1330),,,(1.03793173508 1837),(0.50814236087 2019),,(0.818829899047 2354),(0.883731807826 2513),(1.75172161418 2634),(2.94992640807 2790),,(1.18247107402 3191),,(0.327726549688 3523),,(4.13034752205 3797),,(1.06597227381 4169),(1.57499768089 4323),(0.758409358357 4500),(0.931389864754 4660),(0.200598135503 4823),(0.689689293543 4984),(1.73554613359 5141),(0.911627465003 5296),(1.64730030777 5461),(1.5273484688 5623),(1.07606058532 5780),(2.99775092886 5897),,(3.72830592892 6217),(0.956042418096 6436),,(1.07618641256 6787),(1.29501912592 6961),,(0.347429860832 7299),(0.843662770679 7478),,,,(4.00291356959 8071),,,(0.501037751903 8630),,,(1.59454061085 9115),(0.859571658887 9298),(2.09948505486 9462),,
