Cycle,0.677023255814
Average Width,6.16605964113
Width,,6.68174207109,6.5261860402,6.77910860489,6.91858087653,6.95092509663,6.95111700442,6.66125045796,6.6188540468,6.79736008265,6.5282560709,6.52350625215,6.04056140962,6.10173468879,5.93293682804,5.90026406956,5.92516209566,5.87805626061,5.59418368925,5.6837051813,5.46426042503,5.74807744622,5.83609624773,5.97813129646,6.00432236597,6.06539749946,5.86593698862,6.01620242774,6.02356505468,5.88809899425,5.71349077141,5.78112496363,5.69718459829,6.05256106942,6.17618518909,6.13310722093,5.79709815967,5.85846514724,5.96070252924,5.93878418532,6.25874822579,6.24487997132,6.44222853768,6.68397871785,6.68450534951
Point0,H1,(21.8939986154 34),(23.3195434199 170),(23.9457170111 319),(26.1370000817 470),(24.3759739309 619),(19.2169367952 758),(22.3236584845 887),(21.2603783947 1016),(21.7559206732 1157),(21.2676366008 1297),(20.5999747309 1438),(17.5998072858 1579),(18.2216991613 1717),(17.7703992325 1848),(16.8403295612 1976),(15.7317678282 2102),(13.9854912665 2227),(14.1325309593 2342),(14.9327747383 2455),(14.4970089355 2570),(15.5822115002 2694),(18.2085605682 2826),(21.8510362036 2984),(19.1772493557 3143),(20.4151961403 3291),(18.7156118896 3446),(16.3696855825 3587),(17.7635977054 3716),(17.1280116029 3834),(14.9896071532 3955),(17.4541232036 4087),(17.3125584681 4230),(19.7581751566 4379),(17.9813054158 4521),(16.2745073195 4654),(15.9646798634 4785),(18.4397289811 4921),(19.1882618366 5078),(19.2373066815 5228),(21.6236708111 5397),(21.5973750591 5557),(20.2483354311 5715),(13.4207020423 5900),(16.5300812628 5998),
Point0,H2,(10.7580363257 61),,,(15.0338950459 493),,(8.15773993297 781),(12.5601987029 910),,(11.7871763845 1180),(11.5534769497 1323),(11.3152386039 1467),,(7.80544855007 1738),(8.89213425274 1872),(7.90203046453 2002),(6.62983464145 2125),(6.14826601832 2251),(6.70068602119 2366),(8.44944224739 2483),,(10.3156815393 2722),,(16.544842669 3003),(7.25850016436 3214),,(10.5591779655 3470),(9.02313354548 3616),(9.10466966055 3745),,,,(11.7527025169 4253),(13.2922798574 4417),(9.50171711067 4546),(10.3970952592 4680),(10.4483810089 4816),(13.9144418166 4941),(12.5478011448 5103),,(14.1309901278 5421),(12.7985117074 5578),,,,
Point0,H3,(12.0750307017 74),,,(15.5948483213 502),,(11.0777572419 799),(12.8572830832 917),,(12.7520073704 1192),(12.9577760384 1337),(12.4397703847 1480),,(10.56024398 1755),(10.1582341993 1890),(8.49578811708 2016),(8.13760454526 2142),(7.53663916228 2266),(8.04582101472 2384),(8.95861132541 2497),,(10.3663279203 2727),,(16.7460461366 3009),(7.29530887444 3218),,(11.0001839679 3479),(10.0573017313 3629),(9.40102218051 3755),,,,(11.9641981744 4262),(13.3665986759 4423),(11.4511088034 4564),(11.0366220276 4693),(10.8056006746 4826),(13.9602609966 4946),(12.6448345404 5109),,(14.7263429787 5432),(14.5371881838 5593),,,,
Point0,H4,(2.94232992733 112),(5.74501691876 256),(4.56441423554 399),(6.05546533341 562),(12.5180926919 656),(2.30296282363 834),(2.63903683142 966),(3.05420894148 1095),(3.56664916517 1233),(4.37869497652 1376),(4.23732042019 1522),(9.0817699341 1609),(1.78100248867 1794),(2.00040571072 1925),(0.739465349701 2055),,(0.0681418192543 2301),,,,(3.52545427997 2770),,(5.27957290409 3076),(5.99037177693 3238),(5.06243013106 3376),(3.03454531041 3522),(2.80211507325 3657),(2.70431126106 3788),,,(3.24848619007 4164),(5.02490098854 4324),(5.13693566605 4465),(3.43495633446 4595),(4.35222160134 4725),(4.0431078651 4865),(4.620167709 5008),(4.97511608409 5173),(7.13928002671 5306),,,,(3.66409865953 5937),,
Point0,H5,(5.58484085719 127),(7.1782020301 270),(4.69410727067 406),(7.30220311031 574),(12.7228430261 664),(2.71217921239 844),(2.88851559266 974),(3.12720734801 1101),(4.93635300337 1246),(5.86780417147 1390),(4.82663230201 1533),(10.6071038043 1625),(3.37135097678 1807),(2.5574637759 1935),(0.95067225978 2063),,(0.141214992395 2306),,,,(4.58054093577 2782),,(5.33076758675 3081),(6.00540184468 3241),(5.09160988968 3381),(3.74245503277 3534),(2.96861888589 3664),(2.7050801304 3789),,,(3.3947786991 4171),(5.07821138394 4330),(5.65756414887 4475),(3.95072875001 4605),(4.48300761076 4732),(4.90555889548 4877),(4.78480606698 5016),(5.02306867673 5178),(7.2896630024 5314),,,,(5.22507976751 5950),,
Point0,H6,(-0.0563439538832 1),(7.1054273576e-15 144),(1.7763568394e-15 289),(3.5527136788e-15 440),(1.7763568394e-15 592),(-8.881784197e-16 731),(8.881784197e-15 860),(5.3290705182e-15 989),(7.1054273576e-15 1124),(-5.3290705182e-15 1265),(1.42108547152e-14 1409),(-0.017803506495 1552),(1.24344978758e-14 1689),(2.30926389122e-14 1823),(4.4408920985e-15 1950),(2.6645352591e-15 2075),(-1.7763568394e-15 2194),(4.4408920985e-15 2313),(-1.68753899743e-14 2429),(-7.1054273576e-15 2542),(-0.00101053127108 2656),(-1.7763568394e-15 2800),(-1.7763568394e-15 2957),(0.0 3106),(-7.1054273576e-15 3264),(-1.42108547152e-14 3417),(0.0 3554),(-4.4408920985e-15 3682),(-1.42108547152e-14 3807),(-0.00164437932098 3921),(-0.00248178501602 4053),(-1.33226762955e-14 4197),(0.0 4351),(-1.06581410364e-14 4495),(-2.57571741713e-14 4624),(1.7763568394e-15 4754),(7.1054273576e-15 4895),(-1.7763568394e-15 5043),(-1.7763568394e-15 5199),(-1.06581410364e-14 5362),(1.7763568394e-15 5526),(-2.13162820728e-14 5682),(-0.00469271599961 5830),(-1.24344978758e-14 5970),
Point1,H1,(26.4798748155 33),(28.4749790835 169),(29.0440350631 318),(31.0154394265 469),(28.7066279723 618),(23.4076246551 756),(27.5645967912 886),(26.8564196843 1015),(28.2376196934 1155),(26.8858544273 1296),(26.2659569161 1437),(24.4817025231 1578),(24.5749520427 1715),(24.7790250614 1847),(23.3916182723 1975),(22.6759215778 2101),(20.2932089862 2226),(21.5601471438 2341),(22.4934240362 2454),(22.7742743672 2568),(24.2128493898 2693),(28.297287763 2825),(31.1915233352 2983),(27.4842990992 3141),(28.7599301911 3290),(27.1162747311 3445),(22.7277881324 3585),(24.4902447556 3715),(24.7729757794 3833),(22.8838410479 3954),(26.0896444558 4085),(26.1457020532 4229),(27.8894176221 4378),(25.7448678144 4520),(22.6414374033 4653),(24.087233533 4785),(26.9914973926 4920),(27.2599869373 5076),(27.064834261 5227),(28.2372102173 5396),(29.0661133048 5556),(25.1641360284 5713),(20.046160931 5859),(23.1670755018 5998),
Point1,H2,(12.8469807175 59),,,(17.4016873216 492),,(8.88337359338 780),(13.8224178867 909),,(13.0626077074 1179),(12.8818430448 1323),(13.0782127674 1465),,(8.93882390139 1738),(11.0606037061 1872),(10.4858518329 2001),(8.32575751008 2125),(7.42001539724 2248),(8.59665829043 2366),(11.6446229265 2483),,,,,,,(13.6969956191 3469),(11.2613314016 3612),(12.5442169704 3743),,,,(15.5036261453 4252),(17.2565651224 4417),(12.3151957634 4546),(12.0667289654 4680),(13.6932792676 4814),,(16.0387044852 5101),,(16.8161544833 5419),(14.9290182841 5578),(10.2043531649 5736),,
Point1,H3,(14.6162976395 72),,,(17.9004538583 500),,(12.6265643106 798),(14.1888645906 917),,(15.082644477 1192),(14.8838079011 1336),(14.8152850442 1478),,(12.7908964687 1754),(13.3373602903 1890),(11.9033443309 2016),(10.8091943156 2143),(10.4356995996 2265),(10.8760240937 2384),(12.0751061054 2495),,,,,,,(14.253937153 3478),(12.7890287394 3627),(13.0664675555 3754),,,,(16.0409905882 4262),(17.3022750959 4421),(15.0741643769 4563),(13.0675946833 4692),(14.3728249707 4824),,(16.1643675231 5107),,(17.4217536071 5429),(16.7336371199 5591),(14.7588162015 5753),,
Point1,H4,(3.87129002267 111),(6.70834643971 255),(4.83279592518 398),(6.43727868352 560),(13.9250922084 654),(2.28197641541 832),(2.74528618829 964),(3.71342565479 1094),(4.05594118126 1231),(4.5797212057 1374),(5.12141750578 1520),(11.4185021538 1608),(3.08377680252 1792),(2.54316873909 1923),(1.69988757127 2053),,(0.311226632567 2298),(1.77720879555 2411),,,(4.97883939666 2769),(7.69067419753 2907),(5.78364963064 3073),(7.03136790342 3235),,(3.91146052522 3521),,(3.46810123054 3786),,,(3.75554408383 4161),(6.09612870166 4322),(6.83697072935 4463),(4.29560668492 4593),(4.4185056067 4723),(4.89948614295 4863),(4.84098462863 5007),(6.16896670603 5170),(7.56239021506 5307),,,(3.46506986527 5790),,
