Cycle,0.840800395257
Average Width,145.021502209
Width,,145.021502209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(23.6968074466 51),(24.3891829573 226),(25.2257848751 400),(25.7658137136 558),(25.1312477221 732),(23.6902417066 909),(26.6637382696 1089),(25.934292441 1262),(26.0791608469 1457),(27.840102121 1631),(29.8709090026 1809),(28.1755177097 1981),(28.2287711047 2159),(28.8208911308 2333),(25.9416872824 2509),(24.7208871083 2685),(27.748567491 2880),(28.810631114 3057),(28.9893264345 3232),(28.5456461053 3407),(28.3408847385 3582),(27.0882416013 3758),(26.7996944376 3934),
Point0,H2,,(12.3979305099 256),,,,,(10.7241633784 1133),,(12.7955510233 1486),(6.89596070368 1712),,(11.0680615467 2029),,(10.9146614335 2380),(10.1893793124 2556),,,(14.3588078809 3090),,(11.8950650415 3453),(10.0777359374 3628),,,
Point0,H3,,(12.4883357657 261),,,,,(11.1939772798 1142),,(13.1254857311 1494),(6.9095495443 1715),,(11.1910446643 2035),,(11.5870931336 2391),(10.9852116263 2566),,,(14.3618183932 3091),,(12.0035159091 3459),(10.2280019772 3635),,,
Point0,H4,,(3.10450611037 326),(2.92830019363 506),(4.38696582346 654),,,(3.46405862084 1184),,(3.33450866489 1558),(5.07449433916 1735),(3.74904325218 1910),(3.11020764029 2087),,(4.88018351157 2436),(0.775967927048 2633),,(4.16830010099 2978),(3.83995714859 3162),,(3.46372385733 3508),(1.67993555937 3688),(0.434866156316 3884),,
Point0,H5,,(3.70771127466 337),(3.03889502372 512),(4.81554332813 665),,,(3.59246139537 1192),,(4.51236951914 1570),(5.42432911397 1744),(4.33052839579 1921),(3.63908747023 2097),,(4.884552481 2439),(1.51265615514 2644),,(5.65489612352 2993),(3.92167266209 3168),,(4.12638719156 3520),(1.93710513753 3698),(0.478639314928 3889),,
Point0,H6,(-0.0518657853079 1),(5.3290705182e-15 177),(-1.06581410364e-14 354),(-1.7763568394e-14 528),(-1.24344978758e-14 703),(-0.00207361021794 878),(-0.0037286959026 1053),(-3.73034936274e-14 1230),(-1.24344978758e-14 1410),(3.5527136788e-15 1587),(-2.6645352591e-14 1762),(-7.1054273576e-15 1939),(7.1054273576e-15 2116),(-5.3290705182e-15 2294),(1.06581410364e-14 2471),(2.30926389122e-14 2656),(1.7763568394e-14 2834),(1.59872115546e-14 3011),(1.59872115546e-14 3186),(2.13162820728e-14 3363),(-0.00263635163136 3543),(7.1054273576e-15 3719),(-5.3290705182e-15 3900),
Point1,H1,(16.5555898637 52),(17.196041731 227),(19.5279461416 402),(19.6515499073 556),(18.8342025863 732),(18.1214000672 908),(20.4283178824 1086),(20.425630769 1261),(18.9197686942 1458),(21.5621897611 1633),(24.1307536931 1808),(21.4201924968 1980),(22.2640356326 2160),(21.5083454443 2333),(19.5659344229 2508),(18.910435009 2684),(20.0802954969 2882),(21.9786745288 3059),(21.0961392892 3230),(21.0193947679 3407),(21.1818306934 3581),(21.0799580449 3757),(20.6515683114 3934),
Point1,H2,(5.96573602271 108),,,(16.7159619964 572),(17.0470641323 744),,(19.4411087043 1097),,,(4.17511992287 1735),,(9.96623286188 2030),,,,,,(11.4858663436 3088),(10.4886004129 3276),(10.5639215599 3456),(8.80280053751 3626),,,
Point1,H3,(5.98159722261 112),,,(16.9722654708 579),(18.463713581 756),,(19.6504513032 1104),,,(4.4776872604 1744),,(10.0473838667 2036),,,,,,(11.5323121768 3092),(10.5707646615 3282),(10.5640513673 3457),(9.36041682321 3637),,,
Point1,H4,(-7.9936057773e-15 176),(3.91688489084 326),,(3.98152478984 652),(9.72457859902 783),,(9.97203454671 1132),,,(2.6645352591e-14 1762),(3.81898949457 1908),(3.59153040893 2089),,(9.99715613245 2380),,,(3.26961126028 2979),(2.83671244257 3162),(3.71851106142 3333),(3.40885080661 3510),(2.17233824071 3690),,,
Point1,H5,(16.3661842491 209),(4.08396410501 334),,(4.67149680997 665),(9.77712618867 788),,(10.5270664318 1141),,,(24.0663709883 1794),(4.14135593316 1918),(3.67218536845 2095),,(10.447946657 2391),,,(4.71470682253 2994),(2.96247479162 3168),(3.75848890266 3338),(3.55609182306 3518),(2.17933411296 3693),,,
