Cycle,0.677902421652
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(7.17366647372 112),(7.81901840569 254),(6.18800246988 390),(6.64045467638 526),(6.9252367475 671),(6.27671089572 811),(6.17236206739 958),(6.11217472477 1078),(6.32732635636 1228),(5.98042235319 1358),(5.59449104343 1506),(6.25091335325 1643),(5.48898794775 1783),(6.80699708569 1923),(5.20765011868 2070),(6.11836591201 2179),(5.70586576369 2343),(6.47691693813 2461),(6.84785374372 2618),(5.39143107999 2753),(6.1642139252 2871),(6.97178203527 3036),(5.23348749329 3165),(4.92132669654 3316),(6.42640727609 3474),(6.70622331739 3630),(5.70805950075 3756),
Point0,H2,(0.0 137),,,,,(1.33226762955e-15 848),,,,(6.66133814775e-15 1399),,,,,,(4.88498130835e-15 2235),,,(8.881784197e-16 2650),,,,(4.72044767161 3184),(4.61682766629 3330),(0.0 3510),,,
Point0,H3,(4.71858117383 178),,,,,(4.06945629077 882),,,,(2.85233223011 1433),,,,,,(4.18094761424 2270),,,(2.70057812076 2678),,,,(4.98900635915 3195),(4.75707201416 3338),(3.89041156891 3544),,,
Point0,H4,(4.46995581159 202),(-0.00423885187676 282),(-0.000872255526692 422),(5.3290705182e-15 564),(2.6645352591e-15 706),(3.24421955666 902),(-4.4408920985e-16 984),(-4.88498130835e-15 1122),,(2.70899050706 1448),(6.2172489379e-15 1540),(2.6645352591e-15 1674),(-0.00443026613154 1816),,(-0.00078799665831 2101),(3.98683953667 2282),(1.7763568394e-15 2373),(-0.0128998059313 2512),(1.23181726127 2703),(-0.00276793863814 2782),(8.881784197e-16 2932),(-4.88498130835e-15 3078),(-3.5527136788e-15 3222),(-2.6645352591e-15 3365),(3.50865748412 3562),(3.5527136788e-15 3660),,
Point0,H5,(7.19061554875 230),(4.56920621278 319),(2.87021674179 451),(4.94242397098 592),(6.08733481112 782),(6.02628561489 933),(2.40965021919 1009),(2.94471187336 1150),,(5.51238344981 1478),(2.77305141379 1567),(3.06652769683 1711),(3.37921868346 1862),,(4.08680888045 2130),(5.56459788426 2315),(5.43664155298 2402),(2.65236229508 2544),(3.96062182043 2731),(3.67337446277 2817),(3.54498136506 2959),(3.73797509872 3116),(3.48158850166 3248),(3.31697905937 3388),(6.15380730755 3604),(4.54367375465 3697),,
Point0,H6,(0.0 137),(-0.00423885187676 282),(-0.000872255526692 422),(5.3290705182e-15 564),(2.6645352591e-15 706),(1.33226762955e-15 848),(-4.4408920985e-16 984),(-4.88498130835e-15 1122),(-0.000882934795027 1259),(6.66133814775e-15 1399),(6.2172489379e-15 1540),(2.6645352591e-15 1674),(-0.00443026613154 1816),(1.7763568394e-15 1957),(-0.00078799665831 2101),(4.88498130835e-15 2235),(1.7763568394e-15 2373),(-0.0128998059313 2512),(8.881784197e-16 2650),(-0.00276793863814 2782),(8.881784197e-16 2932),(-4.88498130835e-15 3078),(-3.5527136788e-15 3222),(-2.6645352591e-15 3365),(0.0 3510),(3.5527136788e-15 3660),(8.881784197e-16 3814),
Point1,H1,(7.56616696658 113),(7.16328241279 252),(7.02766680506 389),(7.32790729799 532),(6.19889494855 672),(5.91886003794 811),(5.86585523869 958),(5.74878474124 1079),(5.83287366243 1226),(6.0040302677 1363),(6.10359511344 1506),(5.95752528606 1639),(5.82582505702 1784),(6.5162083251 1920),(4.8194735066 2068),(6.34185617378 2178),(6.35307028626 2320),(6.74771763942 2453),(6.40426014366 2619),(5.71965428004 2752),(6.4393768631 2883),(6.60500809265 3040),(5.44853910287 3169),(5.79241091643 3323),(7.24421268521 3480),(6.72787868565 3631),(5.53190404618 3754),(7.46566675397 3902),
Point1,H2,(-6.2172489379e-15 137),,,,,(-0.0018098363768 847),,,,(7.9936057773e-15 1399),,,,,,(5.30322013306 2197),(5.9530484015 2337),(-8.881784197e-16 2511),,(-0.00642499879505 2783),,,,,(-2.22044604925e-15 3511),,,
Point1,H3,(4.94002093311 173),,,,,(4.12148194848 881),,,,(2.95286156495 1428),,,,,,(5.40584279316 2205),(6.04034352139 2344),(3.31668894366 2544),,(4.0625670181 2817),,,,,(4.38280892737 3546),,,
Point1,H4,(3.96913140873 194),(-5.77315972805e-15 280),(-1.7763568394e-15 422),(-4.4408920985e-15 564),(-0.00354288318494 707),(3.1306558925 900),,(3.5527136788e-15 1119),(5.3290705182e-15 1259),(2.72788462718 1442),(3.10862446895e-15 1539),(-4.4408920985e-16 1672),,(-8.881784197e-16 1956),(-0.00447787122051 2101),(-0.000458438588249 2235),(-3.5527136788e-15 2373),(2.95940174199 2557),(1.7763568394e-15 2648),(3.34326234451 2833),(-8.881784197e-16 2931),(-0.00392194400867 3077),(-8.43769498715e-15 3222),(-7.1054273576e-15 3364),(3.76307244425 3565),(4.4408920985e-16 3661),,
Point1,H5,(6.68772610066 232),(5.14627385499 317),(3.67820830417 455),(4.63788534623 589),(5.57474744093 782),(5.65266750039 932),,(3.17411668523 1148),(2.31144828545 1285),(5.62281170099 1476),(3.66227933715 1567),(3.14870487106 1715),,(3.28513293327 1980),(4.35583302894 2131),(5.35294892192 2269),(5.46131316403 2411),(6.17336275053 2597),(2.84687828225 2673),(5.87849531657 2862),(3.71291587151 2962),(3.82375532256 3108),(3.99500895905 3253),(4.22321359269 3389),(6.00896481993 3601),(3.97945737994 3695),,
