Cycle,0.604267676768
Average Width,6.48357172092
Width,,6.61579233664,6.62352139321,6.55330322084,6.53100314318,6.49259709043,6.12793153206,6.45387023192,6.31960983575,6.38540763146,6.46035745314,6.41472538529,6.45698229556,6.46743987719,6.41512836349,6.8364402839,6.63426931562,6.57701025889,6.58333447349,6.47995434612,6.33161856567,6.4306136712,6.28554670175,6.56197750783,6.70803259336,6.54700279317,6.60214251212,6.40926618746,6.34562642597,6.38451005184,6.55666257971,6.42059044415,6.56930374292,6.63039088918,6.22947537685
Point0,H1,(7.58678271163 82),(7.45941871427 219),(7.33342759886 341),(8.14671748934 468),(8.43404474147 600),(6.28640141705 727),(8.22445784455 850),(8.34878309083 974),(9.52840114142 1100),(9.33275697634 1230),(9.13774579057 1361),(8.57590801746 1491),(8.23560409061 1615),(9.02865445102 1741),(10.7738722773 1874),(9.01270577051 2011),(8.54145642282 2141),(9.62448691944 2265),(9.18051764594 2386),(8.12718900841 2510),(8.70721537655 2629),(7.8311793136 2741),(8.30599419711 2859),(8.92211830218 2973),(8.45377824832 3086),(8.53380473497 3205),(7.63806858797 3326),(7.4463579075 3454),(6.83626534708 3584),(8.01468804809 3708),(6.80402062577 3827),(8.27265306915 3954),(9.40702235157 4082),(6.73935102952 4208),
Point0,H2,(0.870598043816 125),,(0.426590392095 387),(1.83996029438 508),,(0.0 764),,,,(1.66512758847 1273),,,,,,,,,,(6.66133814775e-15 2542),,,,,(-0.0727662983325 3123),,,(1.25376015139 3492),,,(0.0 3864),,,,
Point0,H3,(1.00724909383 134),,(0.447680425572 392),(2.11104416472 519),,(1.38633623146 782),,,,(1.84419487069 1285),,,,,,,,,,(1.64360172957 2561),,,,,(0.265139099282 3135),,,(1.60371668127 3510),,,(0.672301927445 3884),,,,
Point0,H4,(-0.00481679748308 154),(1.45911127434 267),(0.0 408),(0.534450363346 542),(2.45656408879 640),(0.718984764947 797),(0.477961088983 888),(1.64489907499 1012),,(1.7763568394e-15 1308),(1.54618616093 1401),(1.20490339197 1526),(0.722031176129 1650),(0.0 1818),(1.00900285039 1913),,(-0.430525357786 2175),(1.71799258605 2331),(0.833703319736 2426),(1.0438180632 2578),(1.92946762886 2660),(-0.00799614765603 2779),(1.56373828565 2888),(0.391348496113 3008),(0.0871401557615 3146),(0.731662344846 3256),,(0.391916923732 3531),,(0.825394155544 3740),(0.28368224355 3905),(0.56413829567 3995),,,
Point0,H5,(0.850255966967 173),(1.45920543387 268),(0.847730342406 425),(0.74031400072 552),(2.73647503266 651),(0.906451331372 807),(1.81822651519 910),(1.85411120199 1024),,(0.887272575318 1324),(2.62574305966 1419),(1.9510883763 1547),(1.19920270229 1666),(1.21449289431 1835),(1.37974112244 1926),,(0.629646721691 2194),(1.88546097235 2341),(0.985206926636 2437),(1.04667523968 2580),(2.5517952874 2675),(0.926529624114 2798),(1.900891286 2903),(1.05993075373 3022),(0.552314478466 3161),(1.1302934556 3272),,(0.923334447779 3544),,(1.52415699988 3758),(0.284517839614 3908),(1.0009499101 4011),,,
Point0,H6,(-0.0444330018539 23),(-0.00481679748308 154),(2.6645352591e-15 308),(0.0 408),(-0.0019731110316 566),(4.88498130835e-15 696),(0.0 764),(8.881784197e-15 822),(3.10862446895e-15 938),(4.4408920985e-15 1062),(-0.0124075424166 1193),(1.7763568394e-15 1308),(6.66133814775e-15 1461),(6.2172489379e-15 1582),(-8.881784197e-16 1694),(0.0 1818),(-0.000522408738537 1962),(-0.00879208009156 2087),(-0.430525357786 2175),(8.881784197e-16 2359),(-0.00361409595207 2464),(6.66133814775e-15 2542),(4.4408920985e-16 2598),(-0.00850817299242 2712),(-0.037947937891 2818),(-4.4408920985e-15 2931),(4.4408920985e-16 3041),(-0.0727662983325 3123),(8.881784197e-16 3294),(-0.00469330885797 3400),(3.99680288865e-15 3558),(7.9936057773e-15 3620),(2.22044604925e-15 3798),(0.0 3864),(1.33226762955e-15 3921),(8.881784197e-16 4044),(2.6645352591e-15 4175),
Point1,H1,(14.7181294924 28),(14.3587164139 166),(14.5606484915 288),(15.1403491102 414),(15.3474184627 545),(14.4366333064 673),(15.2208758811 796),(16.1575604189 920),(17.9389968265 1045),(17.6094443493 1175),(16.5390883055 1307),(15.3123953445 1436),(15.639519026 1560),(16.7554166264 1687),(16.9478516297 1819),(15.6042547737 1958),(15.8928969265 2087),(16.2187841052 2210),(16.2164574551 2332),(15.5969075206 2455),(16.4539146899 2573),(15.4196503424 2689),(14.9820761274 2805),(15.0071956493 2919),(15.58031537 3032),(15.9336144332 3150),(15.1140334654 3272),(15.4494714544 3400),(13.4385237948 3529),(14.7176043022 3654),(14.2503243384 3773),(15.1858998835 3899),(16.0954946215 4026),(14.1408840214 4154),
Point1,H2,,,(2.28481413433 326),(3.67321275654 452),,,,,,(4.215679176 1221),(3.58163014067 1347),,,(2.99323006124 1736),,,,(3.24982985077 2242),,,,,,,,,(1.9222632124 3311),(2.84442243178 3441),,(1.3324919678 3685),,(2.13686871849 3940),,,
Point1,H3,,,(3.04123756392 340),(4.94353527507 467),,,,,,(4.27815744584 1229),(5.17669550262 1363),,,(3.06584946801 1743),,,,(4.71181279217 2260),,,,,,,,,(2.14851365873 3325),(3.18673115367 3455),,(3.30168637563 3704),,(3.19699462487 3955),,,
Point1,H4,(1.90192399465 66),(2.57198832549 200),(1.25244058175 359),(2.01829897509 490),(4.34868210149 582),(2.94678131807 709),(2.34842621643 833),(4.2225843515 959),,(0.923778057553 1256),(1.90143839755 1387),(2.34707813122 1473),(1.85695519958 1594),(0.295518812886 1765),(1.99407093832 1860),(1.54102205279 1992),(1.03131481424 2121),(2.48867926608 2281),(1.88113289794 2371),(1.73773825839 2489),(3.32641494689 2609),(1.58576448735 2724),(1.67141417022 2836),(1.48207578801 2952),(1.67851985752 3069),(2.90067069462 3193),(-2.6645352591e-15 3351),(1.0079436334 3480),(-1.7763568394e-15 3567),(1.88263398681 3723),(1.90819314221 3812),(0.0 3979),(3.80702657343 4069),,
