Cycle,0.895448717949
Average Width,34.8707681943
Width,,0,0,0.0,0,0,0,14.1029009137,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,55.6386354749
Point0,H1,(20.3596763096 33),(18.3607901159 225),(15.6267506952 416),(14.9703083818 595),(14.517521859 787),(14.6199322908 979),(13.1965141958 1157),(15.4696027051 1344),(13.6825165742 1533),(17.0739545332 1710),(15.5119612766 1891),(16.0037498439 2067),(17.2689636537 2246),(18.136969705 2437),(18.0533217368 2617),(17.2692404893 2810),(17.6856259738 3006),(15.5063158257 3185),(16.9453555617 3377),(18.1767279242 3572),(16.6742263823 3761),(17.2007508878 3939),(18.2637602667 4127),(17.1215040884 4321),(17.4673856977 4502),(18.751470951 4690),(18.199325295 4881),
Point0,H2,,,(5.88167065964 462),,,,(5.41096646838 1196),(6.23922569764 1391),(2.58146422946 1618),,(6.9423661379 1934),(7.33352285166 2111),(9.21864916115 2287),(10.4957474995 2478),(9.51491349032 2652),,(7.14580632275 3053),,(7.95885964233 3422),(8.97904986842 3614),(6.67188442828 3802),(7.93632681633 3981),(7.82544938575 4172),(8.64933559344 4364),(8.27754131093 4541),,
Point0,H3,,,(6.10967980049 473),,,,(5.76944732541 1208),(6.53332931307 1402),(2.60634690182 1623),,(7.34403524334 1945),(7.78979418679 2123),(9.61881541829 2299),(11.3163317782 2491),(10.0913188684 2672),,(8.17818350141 3067),,(8.33396338654 3434),(9.336588164 3625),(7.92190882795 3818),(8.82438550758 3995),(8.77632056068 4186),(9.81430901291 4379),(9.15206980789 4559),,
Point0,H4,(10.5230185955 77),(1.25549939286 342),(0.782168540546 540),,,(6.13607973518 1025),(1.41606542345 1272),(3.55214228762 1441),(1.32666984254 1642),(1.18039857035 1835),(1.53725929521 1992),(2.00091023488 2187),(2.20519939554 2381),(2.8244067978 2556),(2.33551961499 2752),(8.15005392434 2852),(2.20172251141 3134),(7.67331021929 3226),(1.82407544189 3515),(1.13406907943 3711),(1.09247331898 3881),(0.976000362281 4056),(2.62418195928 4225),(1.9813075939 4445),(0.825790537823 4638),,
Point0,H5,(10.8790438574 87),(1.73144716549 357),(0.791664431245 545),,,(6.19989036418 1032),(2.16100219918 1287),(3.63802746398 1450),(2.74159300255 1657),(1.47239272764 1846),(1.54411406984 1996),(2.56166433123 2199),(2.2579311634 2388),(3.2240210872 2566),(2.36354275819 2757),(8.78408414735 2870),(2.23978693172 3140),(9.04437871025 3245),(2.6642626468 3528),(1.30410717563 3719),(1.69661330492 3895),(1.65081105539 4072),(2.65033061435 4230),(2.46952011168 4456),(1.21652292955 4648),,
Point0,H6,(0.0 186),(-8.881784197e-15 378),(-7.1054273576e-15 563),(-8.881784197e-16 756),(3.5527136788e-15 949),(-8.881784197e-16 1123),(8.881784197e-16 1306),(4.4408920985e-15 1497),(-0.000901047050437 1674),(-0.00182610331636 1862),(4.4408920985e-15 2035),(2.6645352591e-15 2216),(7.1054273576e-15 2406),(1.24344978758e-14 2585),(1.42108547152e-14 2775),(-0.00405237192212 2968),(5.3290705182e-15 3158),(2.6645352591e-15 3348),(-1.7763568394e-15 3543),(4.4408920985e-15 3733),(7.1054273576e-15 3910),(8.881784197e-16 4094),(-0.000225312248444 4288),(0.0 4472),(-2.6645352591e-15 4661),(-2.6645352591e-15 4850),
Point1,H1,(15.9230669634 52),(14.3581795943 244),(12.0962519139 435),(11.8705284139 614),(10.9361229675 806),(11.8281109247 998),(10.3675962868 1177),(12.4128219397 1365),(10.7819793784 1553),(13.2214300987 1732),(11.2435448459 1912),(12.9475749885 2085),(13.4036960875 2267),(14.0632942671 2458),(14.4487000855 2637),(13.782619185 2831),(13.2982957846 3026),(11.7612982357 3206),(13.3050384545 3397),(14.574712541 3591),(12.8512864024 3781),(13.6612451448 3959),(14.1304389538 4147),(13.1594850582 4340),(13.25807522 4522),(14.617321131 4709),(14.0479843515 4901),
Point1,H2,,(6.76267562384 285),(5.01981122673 481),(4.88817575491 661),,,(4.73426562692 1214),(5.29057920995 1410),(2.58695202535 1633),,,(7.20182387125 2131),(7.53838836878 2307),,,,(5.95922828456 3073),,,(7.62621810048 3637),,(6.64471274623 3999),,,(6.93765656066 4560),,
Point1,H3,,(6.76506513528 287),(5.37503192715 493),(4.9501246413 668),,,(5.3861059418 1229),(5.3528706488 1419),(2.84377352758 1644),,,(7.51873223863 2142),(7.85083601007 2319),,,,(6.69805871702 3086),,,(7.63987904059 3642),,(7.46929082963 4014),,,(7.38987062468 4578),,
Point1,H4,(9.43606347484 96),(0.605095827941 353),(0.913398312497 551),(0.514804954576 748),,(5.16585195316 1043),(1.12841275216 1289),(3.18632966838 1455),(1.52462756793 1663),(0.355112417465 1849),(1.45451188265 2014),(2.14528063119 2211),(1.33493812081 2401),,(8.46375591885 2671),(7.09516267966 2870),(1.74615449217 3153),(7.1972356965 3242),(1.86862656804 3535),(1.07970505834 3728),(5.86494436219 3822),(0.522982753826 4078),,,(0.841181082578 4655),,
