Cycle,0.888333333333
Average Width,3.70409758637
Width,,3.76345112139,3.85673536959,3.82147294511,3.70166935898,3.53013912687,3.71846398891,3.8359985018,3.81943790854,3.81781493735,3.93286325237,3.78765652645,3.86161795877,3.90085455371,3.83214952111,3.71320618236,3.93503938871,3.86574535169,3.91074068115,3.89960089728,3.45160750728,3.59099978701,3.31735102822,3.50972983019,3.69404170189,3.63353749991,3.63339882752,3.67140152915,3.46608921815,3.74577532495,3.65365368595,3.69542006387,3.62623835767,3.51848325796,3.6404133579,3.5488904317,3.53346837368,3.67269265738,3.89770707017,3.51597310063,3.76691641997,3.76311325938,3.52053876483
Point0,H1,(14.4115251903 30),(14.5497390531 221),(12.1249697411 407),(12.6139772059 583),(14.4317963916 769),(19.3398630413 958),(20.1701256759 1135),(21.3735120823 1325),(20.106742837 1516),(21.7724363949 1693),(22.2139695934 1875),(21.5299998901 2063),(20.7767575296 2239),(20.5362291464 2425),(19.6796754389 2610),(20.8806449204 2784),(20.9443253955 2974),(21.6472400735 3162),(20.3683486172 3331),(18.7154674179 3512),(21.2156861739 3692),(19.2262234326 3859),(20.8602551436 4046),(20.7600715477 4227),(20.3905221106 4402),(20.2198758371 4591),(18.8912858679 4785),(16.5848086406 4972),(19.3774220903 5155),(17.8602095657 5343),(16.8511036533 5520),(20.5874823033 5694),(19.9510201267 5869),(18.8975403243 6039),(20.1073799916 6221),(19.6922297334 6404),(19.3085372702 6585),(20.4104152231 6769),(18.6565154814 6958),(18.7077271498 7137),(22.7866781505 7322),(17.0563516566 7506),
Point0,H2,,,,(7.44205604864 624),,(14.0439638989 979),(10.5471257622 1178),(11.0730749444 1372),,(12.316359961 1736),,(8.80156772206 2108),,,(12.2831765306 2652),(9.53501242488 2828),,(11.9898710333 3200),,,,(9.97381686614 3901),,,,,(10.2800408782 4831),,(11.7922088156 5207),,(7.79089248693 5561),(8.42090227664 5739),(8.72590489828 5917),(8.92394647548 6079),(10.5466710926 6269),(10.4798339577 6445),(9.42960821433 6627),,(9.10084132076 7004),,,
Point0,H3,,,,(7.54923557659 632),,(14.103162108 984),(11.5553096174 1191),(12.2561369934 1385),,(12.9880724726 1749),,(10.747043938 2122),,,(13.4511452571 2665),(11.2980495488 2844),,(12.4580840073 3215),,,,(11.408930342 3916),,,,,(10.6015555408 4842),,(11.7980352056 5212),,(8.57843031272 5575),(10.0220723991 5754),(9.25566306137 5929),(9.42542810166 6095),(10.5574339677 6273),(11.2507052947 6459),(10.1236372074 6644),,(10.1132759062 7019),,,
Point0,H4,(6.91001837486 77),(6.78808627168 268),(7.97342027487 447),(1.92525269979 689),(6.78674366686 812),(10.9023220121 1005),(3.61456903372 1250),(4.00433267667 1438),(3.62100313452 1625),(6.95745715969 1782),(14.839543128 1916),(2.7834088888 2170),,(2.4759124434 2557),(3.48326702667 2732),(3.13594014728 2905),(11.5991417574 3017),(3.59481055803 3275),(11.4927484562 3373),,,(1.769279698 3978),(12.5805480522 4093),(11.2932018753 4270),(9.56519485059 4444),,(1.70844826878 4908),,(2.72763380554 5279),(8.12491646926 5387),(1.40409128455 5629),(2.1955054682 5799),(2.4032638377 5975),(2.19361074385 6151),(4.63515061138 6323),(1.99903344768 6521),(2.11343839155 6717),(10.0050237151 6814),(1.81879135411 7081),,,
Point0,H5,(7.06367708909 87),(7.33681949225 282),(8.83971789231 465),(2.24739611235 702),(8.4809319182 827),(11.7882909365 1017),(4.3971162499 1266),(4.87755469696 1453),(3.66113888732 1630),(7.02019547904 1791),(15.2852380428 1928),(3.17832756259 2182),,(2.61272320546 2564),(3.51269688115 2737),(3.30824995036 2914),(13.075114216 3031),(3.9963115987 3284),(12.3783183881 3386),,,(2.65086535323 3990),(12.9605211562 4104),(12.2407687158 4283),(10.2020418895 4456),,(2.07858134333 4918),,(2.74557793851 5283),(9.52537397149 5402),(1.40878726167 5632),(2.77655765138 5812),(2.80297995047 5987),(2.64030249587 6163),(4.71220668053 6330),(3.17837866621 6535),(2.11592182726 6719),(10.7235148956 6827),(2.68423523079 7094),,,
Point0,H6,(-1.06581410364e-14 185),(2.6645352591e-15 371),(2.13162820728e-14 549),(3.5527136788e-14 740),(-0.00550818388447 925),(1.7763568394e-14 1099),(7.1054273576e-15 1288),(1.95399252334e-14 1479),(-7.1054273576e-15 1655),(-1.7763568394e-15 1845),(1.95399252334e-14 2034),(-1.7763568394e-15 2206),(1.06581410364e-14 2392),(1.24344978758e-14 2581),(1.95399252334e-14 2757),(-4.4408920985e-15 2939),(8.881784197e-15 3127),(7.1054273576e-15 3302),(1.06581410364e-14 3478),(-8.881784197e-15 3655),(7.9936057773e-15 3829),(-5.3290705182e-15 4006),(1.7763568394e-15 4196),(2.6645352591e-15 4371),(7.1054273576e-15 4556),(3.5527136788e-15 4758),(7.1054273576e-15 4935),(-1.24344978758e-14 5126),(-0.00476453307923 5311),(-3.19744231092e-14 5485),(-0.00126096776732 5655),(-3.5527136788e-14 5833),(-3.64153152077e-14 6005),(-1.7763568394e-14 6183),(-1.95399252334e-14 6372),(-1.24344978758e-14 6551),(-1.06581410364e-14 6739),(-7.1054273576e-15 6924),(-3.5527136788e-15 7109),(-0.00206341408836 7286),(7.1054273576e-15 7477),
Point1,H1,(29.1984851309 32),(29.7652622454 224),(27.1896034154 406),(28.449481357 581),(31.2898227933 771),(31.1325198881 960),(29.8961001452 1135),(33.3402217417 1327),(31.7006462691 1518),(32.0974493025 1694),(33.1755792752 1876),(31.2450508299 2064),(31.1016178685 2240),(31.8552089838 2429),(31.1155001144 2611),(31.2540296011 2787),(33.0831921847 2975),(30.7776888942 3161),(29.4698360455 3334),(29.9453131612 3514),(27.7457992804 3694),(29.957486611 3859),(31.5470712072 4045),(28.3487762547 4229),(28.0902592299 4403),(31.676233051 4594),(30.0717176568 4789),(28.9404036036 4973),(30.4280051889 5158),(29.3076437803 5345),(27.2195322195 5520),(30.7763392946 5696),(31.1307085205 5872),(28.6813539455 6040),(32.98191187 6223),(31.4587104541 6404),(28.6496045285 6587),(30.3878843738 6770),(33.1686898083 6961),(28.8530711042 7138),(33.4323843882 7323),(32.2658899171 7508),
Point1,H2,(12.0258809274 76),(14.8148172021 270),(15.9505096254 448),,,(14.2216999458 1007),(14.9727657962 1183),,,,,,(14.9584166245 2286),,(17.1949643766 2655),,(16.9925880062 3023),,(16.9267087886 3374),,(14.1849176508 3745),(15.6845797293 3903),,(14.3136136505 4271),(13.2472230694 4448),,(16.4634830903 4833),(15.1471550907 5013),,,(12.7707233557 5566),(13.5219025525 5742),(14.1532361838 5919),(14.1236785364 6077),(17.2213336917 6270),(15.3288578262 6447),,(14.3602170526 6815),(13.515840369 7005),(11.6682545473 7180),,
Point1,H3,(14.0721482962 91),(15.8202847308 282),(16.1935805587 457),,,(15.2510485849 1018),(15.5821196109 1193),,,,,,(16.760798846 2299),,(18.7901778102 2667),,(17.9657116786 3034),,(18.4930185716 3389),,(14.3471228508 3753),(16.3647826401 3914),,(15.7221910416 4284),(13.9480681513 4460),,(16.9572683956 4844),(15.6448425301 5028),,,(13.7516832079 5578),(15.481704267 5755),(14.9632937995 5930),(15.7963335027 6092),(17.4041364996 6278),(16.9595190293 6459),,(16.7993835062 6830),(15.361442073 7018),(14.8764435682 7196),,
Point1,H4,(3.76262335987 153),(4.59310399398 348),(5.05718429943 524),(15.9805960899 625),(15.927684575 816),(3.89600779807 1068),(4.38798004415 1258),(4.36329148017 1451),(4.77340376218 1627),(5.32775190845 1819),,(14.2087080267 2111),(4.25866323104 2361),(4.60064725172 2557),(4.30895307682 2732),(15.8365214807 2829),(5.06080232286 3099),(4.10297568153 3276),(5.05730417227 3451),(3.55423227765 3627),(3.96133685531 3804),(4.78960298226 3980),(3.70889344227 4173),(2.87045961766 4353),(3.08221042067 4520),(15.6523693746 4639),(5.27748185191 4908),(3.88272628305 5099),(16.4086117387 5203),(12.6429464916 5391),(2.68779080498 5628),(4.01354109142 5805),(3.51510987296 5981),(4.39208762064 6156),(3.46585447146 6348),(5.42728374369 6524),(13.881596296 6626),(3.90093638592 6893),(2.74778636616 7085),(3.92374174292 7255),,
