Cycle,0.693484848485
Average Width,14.6819463615
Width,,7.01021217467,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,5.91635211604,31.1192747937,0.0,0.0,0.0,0.0,0,0
Point0,H1,(15.7201840552 30),(18.711243558 168),(17.3163895747 310),(18.7035408883 456),(21.2544037948 602),(20.2115255992 748),(16.4852904373 890),(14.4223791741 1032),(13.890463715 1171),(15.74371171 1302),(16.999401261 1444),(17.7278318444 1589),(18.3861955219 1736),(16.4103210588 1890),(15.180053531 2037),(13.242283971 2193),(18.4411544793 2343),(19.1473386293 2486),(19.9061504631 2632),(18.1460705479 2781),(15.3939321377 2929),(14.7016135396 3075),(14.9160405062 3219),
Point0,H2,,(9.5783829283 207),,(8.53370585813 497),(11.6239753239 638),,(6.31696571148 927),,,,(7.1435314089 1468),,(7.74625915572 1781),(8.61416487661 1916),,(5.14691719297 2220),(7.23900672435 2370),(9.92934375644 2509),(9.17049793946 2675),,,,
Point0,H3,,(11.5136571336 222),,(8.71212011938 506),(12.0809807506 649),,(7.54686626745 943),,,,(7.62964331587 1477),,(7.77195879309 1786),(9.26237624156 1929),,(6.28034885789 2238),(9.62803915602 2394),(10.1283839075 2516),(9.47563809665 2685),,,,
Point0,H4,,(2.78646343394 255),,(3.45903825899 549),(3.30498061588 696),(4.11550846295 841),(2.18196069409 982),(6.99245397485 1076),(5.61107422384 1197),,,,(1.90347056638 1827),(1.3123066717 1987),,(0.675985007432 2294),(1.83012983906 2441),(2.17084663807 2581),(2.9287929218 2727),(9.47653501811 2819),(3.32875219296 3014),,
Point0,H5,,(5.69853349951 272),,(3.63557627095 556),(3.37703492132 701),(4.11690220483 842),(2.2535805005 988),(7.17194746721 1085),(7.44561039575 1215),,,,(2.85308736698 1840),(2.36188722332 2000),,(1.13071956069 2304),(1.84492874946 2444),(2.83966632293 2592),(3.03548288989 2733),(9.72379461463 2829),(3.44642842935 3021),,
Point0,H6,(0.0 142),(8.881784197e-15 288),(-1.24344978758e-14 402),(-1.06581410364e-14 574),(-5.3290705182e-15 719),(-7.1054273576e-15 863),(-0.000605855915046 1006),(2.6645352591e-15 1140),(3.5527136788e-15 1270),(-0.00310836525456 1409),(5.3290705182e-15 1556),(6.2172489379e-15 1710),(7.9936057773e-15 1857),(9.7699626167e-15 2014),(3.5527136788e-15 2162),(-1.7763568394e-15 2316),(6.2172489379e-15 2460),(1.06581410364e-14 2606),(-5.3290705182e-15 2751),(-1.06581410364e-14 2896),(-3.5527136788e-15 3042),(4.4408920985e-15 3183),
Point1,H1,(15.6798690691 29),(16.3431254189 167),(9.62467096547 311),(13.4350574496 456),(15.5419673151 602),(16.1945707949 747),(15.6266419912 890),(12.8325469779 1032),(12.1087880598 1171),(12.247494764 1301),(11.7967636175 1444),(12.1199947736 1589),(12.0687724451 1735),(9.64800262946 1889),(10.1627120661 2037),(14.6010235497 2193),(14.8855701649 2342),(11.7604455129 2486),(11.7332804376 2632),(10.5962808235 2782),(10.3667412975 2929),(12.9545479564 3074),(12.4067670049 3219),
Point1,H2,,(7.75287008979 208),,,(8.59788796613 635),(10.1281257351 786),(5.34799721578 929),,,,(4.38878475303 1470),(5.27277558396 1613),,(5.46823664636 1916),(3.78425961353 2061),(5.68683922892 2221),(4.76129006562 2369),(5.84022497736 2508),,,(6.74800879935 2957),,
Point1,H3,,(8.92030936956 222),,,(9.21247356339 648),(10.1656240871 791),(6.45339305018 944),,,,(4.53289550014 1478),(5.3817292367 1619),,(5.98835790489 1929),(3.99483135374 2069),(6.29116519365 2235),(6.93875197109 2394),(6.09750328882 2517),,,(6.87095119095 2965),,
Point1,H4,,(1.06237895434 255),,(2.17453632983 549),(2.20348368387 694),(3.41874988569 836),(1.71230907008 983),(5.54109737973 1072),(4.35633139937 1197),(2.67440715668 1351),,(0.905440245718 1680),(1.00239483732 1827),(0.733556781502 1985),(2.1061881867 2128),(0.442979877232 2294),(0.363681960783 2439),(0.277151852469 2580),(4.21329370949 2673),(5.57764136793 2818),(2.40092041696 3012),,
Point1,H5,,(3.03480958015 272),,(2.31852788005 557),(2.35392593615 702),(3.53367121952 844),(1.73072411303 988),(6.16320443357 1086),(5.5206150644 1213),(2.77978109818 1358),,(1.19310761132 1694),(1.59947994153 1840),(1.23388227797 1999),(2.75532738295 2142),(0.904115529174 2304),(0.683108219713 2449),(1.75959679137 2594),(4.89709410801 2688),(6.35509455095 2833),(2.60662249075 3021),,
Point1,H6,(-1.7763568394e-15 142),(-0.0071159839544 289),(-1.7763568394e-15 430),(-6.2172489379e-15 574),(-1.06581410364e-14 718),(0.0 863),(-9.7699626167e-15 1005),(-0.00163015402594 1140),(-3.5527136788e-15 1269),(-0.000618271636317 1408),(1.33226762955e-15 1558),(-8.881784197e-15 1708),(0.0 1856),(-3.10862446895e-15 2013),(-0.00889750288141 2160),(-5.3290705182e-15 2316),(-2.6645352591e-15 2460),(-1.7763568394e-15 2607),(5.3290705182e-15 2750),(3.5527136788e-15 2895),(-2.6645352591e-15 3042),(-5.3290705182e-15 3180),
Point2,H1,(13.0306076234 32),(13.1180280141 169),(6.27256760053 313),(10.3236882134 458),(12.5332076952 604),(12.6439828354 750),(14.1691757645 891),(10.6753191837 1033),(8.70712864897 1173),(8.64013290389 1303),(8.07271978179 1444),(8.28208472926 1591),(8.18164529944 1737),(6.16495704371 1893),(6.2719907197 2039),(12.6193750347 2195),(11.4998742313 2343),(7.87499803549 2487),(7.5065811081 2635),(6.71025128456 2792),(6.89798462562 2933),(10.7834683344 3076),(9.90813591008 3220),
Point2,H2,,(6.59088625631 211),(4.32095398471 329),(4.11805610691 498),(6.68137497114 638),,,,(3.4980303178 1202),,(2.85566292297 1469),(2.69734430689 1638),,(3.69016687395 1920),(3.29834559845 2061),(5.42168427453 2221),(4.57279810536 2369),,,,(5.94999314132 2956),,
Point2,H3,,(7.39995484262 223),(5.62984551917 362),(4.19914513833 506),(7.02926516743 650),,,,(3.50925158367 1205),,(3.24094294418 1481),(2.77335816252 1646),,(3.95351181643 1935),(3.44623737269 2070),(6.04270167733 2235),(5.67517699177 2392),,,,(5.97679531079 2961),,
