Cycle,0.673244047619
Average Width,3.02179332697
Width,,3.04416104087,2.90117638622,3.11140821638,2.9994659311,2.95707928061,3.11517036222,3.09589008964,2.92724330047,3.05308316746,3.15892410209,2.94299262942,3.10919680026,2.97911261109,3.09159314926,3.20555383438,3.08616167359,3.00434643264,3.02453982339,3.10193258365,3.06428189292,2.94236496126,3.08791273733,3.11361056951,3.05031011844,3.02685831952,2.9069856518,3.10561271976,2.97537015643,2.92781328254,3.12525862223,3.10402107068,3.03027343596,2.85619120586,2.95938166133,3.20880001666,3.13555210362,2.87456151524,2.91612727498,3.13597898849,3.12768547217,2.92100519773,2.98029321352,2.97959617205,3.00011063268,2.96406551452,3.19618318645,3.17645310854,2.88028073399,3.08234435173,3.1276041741,2.98004847189,2.92769904678,2.80385758604,2.77397655149,2.91783241267,2.98527391695,2.96161217446
Point0,H1,(16.800362374 65),(17.797450536 197),(21.8270741708 330),(21.3208925228 471),(20.6429068254 614),(21.4945170559 746),(18.9278774922 882),(16.2756930594 1011),(21.9581413644 1142),(23.0898521298 1273),(18.3287154283 1414),(20.6410564558 1546),(20.6104301094 1687),(19.8540300499 1829),(20.6434715445 1971),(19.1990753002 2101),(19.4491935321 2237),(19.5313419694 2378),(18.8262763335 2511),(19.8883030174 2650),(17.7899696182 2792),(18.7788071117 2936),(17.3130322832 3078),(17.7111061746 3222),(16.7813769801 3355),(17.8228114548 3496),(17.3892658016 3639),(15.7185016762 3781),(15.8449121468 3926),(16.6046392899 4065),(16.6244763536 4200),(16.6224159737 4341),(15.7709270983 4478),(15.8695637773 4618),(17.6737414377 4759),(17.3988696815 4896),(16.4164418406 5034),(14.8051764628 5176),(16.8319353471 5319),(16.1102134166 5449),(15.9648462689 5590),(14.8156892823 5728),(15.7681774771 5864),(15.2234206 6006),(14.7969380235 6138),(15.9504071878 6275),(14.9044171866 6407),(13.0969100256 6539),(14.5939765622 6678),(14.5510609171 6806),(15.7026607053 6937),(14.261941815 7071),(13.0645818297 7208),(10.0541008558 7342),(12.5061143634 7470),(13.8163137074 7607),(12.9686142361 7737),
Point0,H2,(6.93263022431 99),(7.14322323684 223),(9.58639194322 371),(10.9359353334 494),(9.47224160236 664),,(8.1915078092 914),(7.30423413898 1043),(12.2628356841 1164),,(7.79152457954 1463),(8.70040170629 1589),(11.6012298926 1708),(11.8384289192 1851),(9.83940975453 2003),(9.31088209413 2126),(11.7487511908 2278),(8.48848847461 2420),(11.3800019765 2547),,,,(7.87806505278 3101),(8.82318879342 3244),(8.22779847481 3395),,(7.74374197394 3689),(8.35341084501 3805),(9.57133434156 3951),(7.49299343334 4098),(8.92751614548 4224),,,,(8.6920030611 4785),(9.67379981301 4932),(6.85523324605 5078),(10.0983893952 5195),,(6.75805573723 5491),(9.15517405692 5613),,(10.3131039065 5883),(8.68795950844 6033),,,(8.21143767812 6431),(7.06064841625 6583),,(6.62830771303 6831),(8.45664726972 6985),,(7.09201332225 7234),(3.76025638025 7381),(4.78178864094 7513),,,
Point0,H3,(7.19024240325 108),(7.53430020626 234),(10.1665577443 382),(11.0728241947 499),(9.70483119978 672),,(8.69083034 926),(7.53789659295 1053),(13.3621094829 1176),,(7.99428754762 1471),(9.11829969818 1599),(12.0240916441 1716),(12.6099145073 1862),(9.88240911499 2008),(9.87006444961 2136),(11.7920528688 2283),(9.51591147459 2433),(11.5640841771 2555),,,,(8.3579367437 3111),(10.010920607 3257),(8.49707920436 3404),,(7.75330071252 3692),(8.6949114145 3814),(9.87949733381 3960),(8.24140114349 4111),(9.05580478518 4231),,,,(8.79829887268 4791),(9.68798340029 4935),(6.9852502091 5085),(10.4205623219 5203),,(7.50040713904 5503),(9.46118855299 5621),,(10.7229523855 5891),(8.70216875285 6036),,,(8.35667594613 6437),(7.21231846095 6591),,(6.73338295123 6837),(8.53717590464 6991),,(7.53450075565 7249),(4.24628700615 7393),(4.78949551053 7516),,,
Point0,H4,,(7.27018356968 244),,(8.29962899756 519),(5.54458832831 696),,,,,,(2.73667116268 1496),,(9.06335273502 1736),(4.3633657302 1911),,(2.95071902774 2183),,,(3.57843533836 2598),(2.00308807449 2744),(8.12797022278 2838),,(7.50008053162 3126),,(1.95680122298 3451),,,(1.57574953833 3861),,,,,,,(2.9123085673 4838),(3.32678704186 4982),(0.485693906097 5127),(7.4733422505 5226),,,,(1.21135793319 5817),(7.73304818114 5912),,(3.20289983127 6213),,,,,(0.575409829338 6889),,,,(1.54041945261 7416),,(5.65618654317 7654),,
Point0,H5,,(7.59149284753 255),,(8.56230995357 527),(5.56793506434 700),,,,,,(2.94138731919 1503),,(9.3767878256 1744),(4.6272524994 1918),,(2.98633467764 2188),,,(3.80778368009 2606),(2.17047664824 2751),(8.55726223519 2848),,(7.60909551823 3133),,(1.95702911326 3452),,,(2.42192931238 3874),,,,,,,(3.24217030186 4847),(3.53588309435 4990),(0.897931747016 5137),(7.49217444988 5229),,,,(1.40048972989 5824),(7.83244809153 5918),,(3.66513778146 6223),,,,,(0.732690958083 6896),,,,(1.74177395567 7424),,(6.46538436316 7666),,
Point0,H6,(-1.27676269655 35),(-0.0394342390758 159),(1.86517468137e-14 300),(1.06581410364e-14 441),(7.1054273576e-15 579),(2.13162820728e-14 720),(1.7763568394e-14 848),(1.06581410364e-14 977),(2.57571741713e-14 1110),(-0.00603077752147 1246),(8.881784197e-15 1379),(-7.1054273576e-15 1519),(9.7699626167e-15 1656),(-0.0154608887332 1794),(1.95399252334e-14 1938),(6.2172489379e-15 2065),(-3.5527136788e-15 2207),(-0.00120795353487 2351),(-8.881784197e-15 2481),(-1.59872115546e-14 2624),(-2.6645352591e-14 2766),(-3.28626015289e-14 2907),(-4.4408920985e-15 3049),(0.0 3191),(1.68753899743e-14 3326),(-0.00309512512585 3469),(-7.9936057773e-15 3608),(-0.00584526326445 3747),(-8.881784197e-15 3892),(3.5527136788e-15 4032),(8.881784197e-16 4171),(-0.00312201746805 4305),(1.7763568394e-15 4448),(-1.42108547152e-14 4590),(-2.30926389122e-14 4729),(2.6645352591e-15 4865),(-2.13162820728e-14 5008),(1.15463194561e-14 5149),(2.13162820728e-14 5283),(2.04281036531e-14 5423),(3.5527136788e-14 5556),(-0.000465796422692 5695),(1.7763568394e-15 5838),(9.7699626167e-15 5969),(0.0 6109),(1.50990331349e-14 6242),(1.50990331349e-14 6378),(7.9936057773e-15 6511),(2.22044604925e-14 6644),(7.1054273576e-15 6775),(6.2172489379e-15 6908),(-1.42108547152e-14 7042),(-0.0106509486338 7178),(1.06581410364e-14 7313),(1.15463194561e-14 7440),(9.7699626167e-15 7577),(1.33226762955e-14 7709),
Point1,H1,(22.3624919148 31),(24.5107513744 163),(27.0726899153 296),(28.3003557985 437),(28.1886115815 580),(27.4442649707 714),(25.2298516592 847),(22.8919634481 977),(28.2301082233 1109),(26.7853561143 1240),(25.4714146431 1380),(25.7100562116 1512),(27.2714214745 1653),(24.2025797258 1795),(24.4904952142 1937),(24.4723409921 2067),(26.1137839282 2203),(24.4252870615 2344),(23.9623544468 2477),(25.410929349 2616),(25.0442620917 2759),(24.1830910102 2902),(21.5862355506 3045),(23.3334376543 3189),(22.680682138 3320),(25.7993459688 3463),(22.9098010868 3605),(22.3006281901 3748),(23.693866059 3892),(21.3758773688 4029),(22.0110396767 4166),(24.1592966963 4308),(24.5020495491 4442),(23.3072759696 4583),(22.1209129708 4725),(23.1852235038 4863),(25.5769767877 5001),(23.394590066 5143),(23.2760055933 5285),(20.5625500264 5417),(23.5190945994 5556),(23.3961732936 5695),(23.2000097789 5831),(22.3879765268 5972),(22.6690862894 6105),(21.2583921564 6241),(20.8783728506 6374),(22.3088860544 6505),(20.6689191073 6642),(19.9946333171 6772),(23.8959670375 6903),(22.1651296743 7036),(23.3154000942 7174),(20.1883179598 7309),(19.9924989954 7438),(21.3938759294 7573),(19.6300525078 7704),
Point1,H2,(9.2339213598 66),,(10.9907997337 334),(13.8442174899 461),(14.0405171461 606),(12.5827366622 759),(9.95979066236 880),(9.13244947749 1009),,,,,(14.4018198124 1676),(11.8641397983 1820),(11.0742336438 1968),(11.2871587636 2094),,,(12.3283858667 2516),,,,(9.84768898315 3069),(10.8977710992 3212),(10.5019592462 3362),,(11.5721369204 3628),(11.6195838422 3773),(13.1499170381 3918),(9.06413076826 4064),(10.7435012478 4191),,(10.8764340592 4486),(13.5115852315 4604),,(11.9131841637 4896),,,,,(12.9396991455 5579),,,,,(9.81860506154 6275),,,(9.49499585014 6673),(8.08639689124 6798),,,,(7.74287639418 7347),(7.58319197262 7477),(9.90904692139 7596),,
Point1,H3,(9.27525248692 71),,(12.010694405 347),(14.0696257876 467),(14.5845976163 614),(12.7039827531 765),(11.1397601765 895),(9.30962110302 1016),,,,,(14.6525381945 1682),(12.5892874365 1830),(11.5006412432 1979),(11.9151765291 2105),,,(12.4986365522 2524),,,,(10.3565962617 3078),(11.5779246404 3222),(10.7697726508 3371),,(11.8704261636 3635),(11.8478569917 3779),(13.3458628956 3925),(10.1758707531 4078),(10.821502099 4196),,(10.8892964656 4490),(13.5735585995 4609),,(12.2993111128 4906),,,,,(13.6297669922 5588),,,,,(10.1822918323 6284),,,(9.50801218231 6676),(9.04163656928 6811),,,,(8.18106895688 7358),(7.6389280366 7483),(10.5328193058 7605),,
Point1,H4,,,,(10.1238875899 486),,,,,,(10.7490965156 1286),,(10.8908244243 1556),(9.72737698136 1704),(4.1787571298 1879),,(4.1333294738 2149),(3.6489135801 2295),(10.7761511175 2389),(3.57651483834 2566),(2.92344807181 2710),(10.3675968658 2806),,,(3.7823106377 3270),,,(7.94703177645 3658),,(4.81209778126 3973),(1.36028535534 4122),(9.21653720929 4214),,(2.42245315505 4536),(0.384115174268 4682),,(4.2180355237 4950),,(9.28804833497 5190),,,(4.57360488534 5638),,(10.5409817915 5880),,(9.77082583753 6150),,,,,,,,,,,(1.7784768656 7653),,
