Cycle,0.974107142857
Average Width,3.84982195487
Width,,3.91129211254,3.99093723596,4.00634913332,3.87059997316,3.81781865344,3.91129407054,3.83384916939,3.83980709063,3.74481305718,3.81084332951,3.88528962825,3.77372079241,3.76915446242,3.67828360486,3.67955358809,3.6561622065,3.62691501904,3.56607724373,3.66970155258,3.6371525965,3.60169268629,3.65614734044,3.72420889979,3.63960159607,3.7560639113,3.74656646525,3.74395922485,3.8354874338,3.74668139304,3.72248103412,3.69141087328,3.72889798479,3.76852395674,3.83826832174,3.86140963056,3.85327923821,3.85085384011,3.89894955888,3.91186243355,3.82168587233,3.89064338647,3.81119919898,3.86241021571,3.8944286303,3.94402031166,3.93357395621,3.96617905903,3.88493408967,3.95944439591,3.89228675457,4.06899999641,4.20495620644,4.0864444615,4.20285418311,4.25180564667,4.20978011755,4.29824460204
Point0,H1,(63.1629663921 32),(68.1132566534 242),(66.9744115019 454),(62.2537305857 641),(66.6192563216 850),(67.6590332208 1061),(64.2671146012 1270),(60.5227123994 1456),(62.7951925241 1669),(63.7923367953 1879),(64.4423681346 2064),(64.8378115265 2273),(60.2858139872 2465),(62.9981617757 2673),(58.801695841 2887),(57.4881992535 3072),(54.7087013516 3265),(53.4928240055 3456),(53.7844720245 3649),(52.1601417464 3841),(54.5290980621 4033),(56.0187564463 4248),(59.2546311747 4433),(54.5991855775 4625),(57.625231765 4816),(60.2940471821 5029),(56.4694803706 5217),(57.2350283667 5409),(57.7932139621 5622),(55.3073091927 5808),(55.211349786 6021),(57.0829792789 6208),(56.9867774334 6400),(58.6686581704 6616),(54.7882672472 6785),(56.6085602456 6976),(58.5784181002 7192),(61.0327392433 7382),(56.0094927364 7553),(59.9513547201 7767),(61.1513171117 7956),(58.1150762772 8168),(61.1595464117 8357),(61.568095766 8547),(60.8257796728 8760),(60.2714412966 8948),(62.149599233 9136),(63.1626496039 9351),(62.2601151032 9556),(61.1013108935 9745),(63.3052865187 9960),(60.3945999229 10145),(64.6966435829 10354),(60.3728723766 10545),(64.1663428027 10753),(65.6701309622 10965),(59.9155737395 11153),
Point0,H2,,,,(57.959973674 652),,(8.65462898092 1195),,,(7.13763226614 1803),,,,,(7.40742934526 2812),,,,(49.6662840335 3470),(50.2674763953 3661),(48.3256233768 3852),(50.145812869 4045),,,(49.4578388373 4640),(52.690986314 4829),,(51.9974223325 5229),(53.6978134384 5420),,,,(26.2260035466 6258),,,(51.7744688119 6796),,,,,,,,,,,,,(20.2359005032 9429),,,,(56.2756447284 10157),,(56.3316900073 10556),,,
Point0,H3,,,,(61.4143964386 663),,(9.67379636668 1204),,,(7.56048154147 1811),,,,,(7.87438227769 2820),,,,(50.348625583 3477),(52.089367301 3671),(51.1817795336 3863),(51.2520613633 4054),,,(49.516240565 4643),(55.3987935833 4840),,(53.9875107867 5239),(56.5989359581 5432),,,,(26.4346999013 6263),,,(54.5735190592 6807),,,,,,,,,,,,,(20.2462001195 9431),,,,(58.0771757782 10167),,(59.6574386828 10568),,,
Point0,H4,,(8.28145336252 378),,(8.24701734381 777),(9.3479970439 985),(-0.01248569575 1222),,,(2.84217094304e-14 1828),,,,,(-2.48689957516e-14 2837),(6.73239851556 3004),(7.67231413853 3195),,,,,(-6.75015598972e-14 4195),(8.3742341528 4361),,(26.5299077834 4675),(7.9011060538 4953),,,(8.08595122683 5545),,,(7.75900433869 6139),,,,,,(9.10690347693 7306),,,(9.22866007221 7881),(2.13162820728e-14 8115),(8.16592995232 8281),(8.81570102136 8474),(3.19744231092e-14 8708),(8.97449816074 8873),(7.81533252704 9065),(8.25958320841 9273),(7.8780594157 9481),,,,(8.25536751939 10280),,(6.70654400943 10681),(8.69781889334 10889),,
Point0,H5,,(9.52395501733 388),,(9.24410964646 788),(10.863612501 996),(61.947408445 1255),,,(62.0081614527 1859),,,,,(57.4104108482 2868),(6.75078319714 3007),(7.8749064656 3201),,,,,(55.7786443095 4225),(9.36805361209 4372),,(26.5718891013 4678),(9.45818131544 4965),,,(9.24416234189 5556),,,(8.29068291099 6147),,,,,,(9.70756412082 7315),,,(10.0662081996 7891),(56.440589578 8146),(9.94620606845 8293),(10.4508541024 8485),(59.3630706345 8738),(9.91536193807 8884),(8.49101367799 9075),(9.56021174015 9284),(9.60942582173 9493),,,,(9.22827526213 10291),,(7.56975524608 10692),(10.0108242437 10900),,
Point0,H6,(-1.42108547152e-14 199),(3.90798504668e-14 406),(1.06581410364e-14 610),(4.26325641456e-14 807),(2.13162820728e-14 1014),(-0.01248569575 1222),(4.26325641456e-14 1421),(6.03961325396e-14 1622),(2.84217094304e-14 1828),(4.97379915032e-14 2026),(-5.68434188608e-14 2231),(1.06581410364e-14 2434),(-4.26325641456e-14 2631),(-2.48689957516e-14 2837),(-2.48689957516e-14 3032),(-2.84217094304e-14 3224),(-0.00450936324846 3418),(2.13162820728e-14 3617),(1.7763568394e-14 3810),(-2.13162820728e-14 3998),(-6.75015598972e-14 4195),(-6.03961325396e-14 4391),(-1.42108547152e-14 4588),(-2.84217094304e-14 4784),(-2.84217094304e-14 4983),(-0.00365285228115 5186),(-0.0049197809232 5379),(4.97379915032e-14 5574),(7.46069872548e-14 5772),(3.90798504668e-14 5974),(7.46069872548e-14 6168),(6.03961325396e-14 6368),(3.19744231092e-14 6565),(1.42108547152e-14 6756),(3.5527136788e-15 6942),(0.0 7139),(-7.1054273576e-15 7334),(-3.5527136788e-15 7523),(3.5527136788e-15 7716),(2.84217094304e-14 7910),(2.13162820728e-14 8115),(-5.68434188608e-14 8311),(-3.5527136788e-15 8503),(3.19744231092e-14 8708),(1.7763568394e-14 8903),(-1.06581410364e-14 9097),(2.48689957516e-14 9302),(-2.13162820728e-14 9510),(-2.84217094304e-14 9705),(-7.1054273576e-15 9910),(-4.26325641456e-14 10111),(2.13162820728e-14 10311),(3.5527136788e-15 10513),(-0.00601303630114 10711),(-1.06581410364e-14 10918),(-0.0109355019063 11115),
Point1,H1,(60.4879023537 33),(63.097260742 243),(62.4899453547 454),(59.3661723694 664),(66.6999524733 850),(64.7162062893 1061),(62.3411698069 1271),(59.9071325722 1456),(65.040802298 1669),(63.7706589599 1879),(62.2602297144 2064),(65.1350292579 2273),(62.1644247397 2465),(63.32214101 2673),(62.7288813623 2888),(64.1737559169 3073),(63.8399752501 3264),(60.6899014548 3457),(58.3885254887 3649),(58.6447646406 3841),(62.3339586354 4033),(63.3404020403 4248),(61.6241847178 4435),(58.7934581332 4624),(59.4643659074 4816),(63.6240066836 5030),(60.6627877491 5217),(60.4067861308 5432),(62.9923921032 5623),(63.2366413618 5809),(64.8803032313 6022),(60.3486315019 6208),(59.9238702968 6401),(61.5061480353 6615),(57.8072567165 6785),(59.1417709982 6976),(60.2999428302 7192),(61.2568497234 7382),(57.2162911098 7553),(61.4571611127 7767),(61.2581945069 7956),(61.50165846 8168),(63.0440714303 8357),(60.5703074048 8546),(59.7789344358 8760),(59.7200878429 8948),(60.7472283139 9136),(64.1435672677 9351),(61.3818827088 9555),(58.9698845967 9745),(59.1619100349 9960),(54.4948556024 10145),(58.9985806617 10354),(56.7634377598 10568),(56.8373005892 10753),(57.6157580686 10965),(51.545491081 11152),
Point1,H2,(56.0950501795 45),,,,,(7.92439049428 1194),,,(7.06286810225 1804),,,(31.2746294502 2323),,,,(31.4684284118 3123),(30.8695999326 3314),(56.9644681259 3471),(54.2506870322 3660),(54.3342303642 3852),(57.5317725108 4045),,,(26.5513335091 4674),(54.2536203954 4829),,(56.2969420076 5229),,,,,(28.3030608904 6258),,,(54.2249913382 6796),(54.0649813344 6989),,,(53.3388546318 7564),,,,,,,,(56.3584632535 9151),,,,,(51.1661392105 10157),,,,,
Point1,H3,(58.2821834555 55),,,,,(9.00636796662 1204),,,(7.23243962207 1810),,,(31.3116927324 2326),,,,(31.4781693598 3125),(31.1052557144 3319),(57.108455977 3475),(57.0437664942 3671),(58.2670439242 3864),(58.8530633949 4054),,,(26.7415198211 4679),(56.8340285529 4839),,(58.2149784645 5239),,,,,(28.3814248944 6262),,,(57.29742235 6807),(56.3752127421 6999),,,(57.2067172636 7576),,,,,,,,(56.442694567 9155),,,,,(52.8150615444 10167),,,,,
Point1,H4,(8.05014033817 168),(6.97453314619 379),(5.68434188608e-14 610),(8.4175222259 777),(8.37031370116 985),(-4.26325641456e-14 1221),,,(0.0 1828),,,,,,(7.89484445387 3002),(8.68276788361 3194),(7.65030938546 3389),,(29.9620729016 3699),,(2.84217094304e-14 4194),(9.71144941452 4361),,,(8.28362412949 4953),,(4.61852778244e-14 5379),(8.07830809585 5546),,,(8.23718515822 6140),,,(6.63384156184 6734),,(-3.5527136788e-14 7139),(8.93666173955 7306),,(1.06581410364e-14 7715),(8.830567384 7882),(3.90798504668e-14 8115),(8.37443476179 8281),(8.39443409847 8474),(-2.48689957516e-14 8707),(8.4358676231 8875),(8.0584923171 9065),(7.57274899639 9272),(8.1327687662 9481),(7.54426207978 9676),,,(7.53500920055 10280),(-1.7763568394e-14 10512),(6.24489300443 10681),,,
