Cycle,0.753805555556
Average Width,15.8727207452
Width,,12.9078632148,23.4130021185,16.359434267,10.8150488257,14.3192330061,12.9390082138,12.0129084523,15.1303517442,13.2099580249,12.6658046563,12.3089917841,12.233768641,9.98352211018,16.452444789,0,0,49.1786238801,15.3228978544,12.1216980149,12.0814749547,20.7034770224,13.8602478325,13.2139270745,14.8800010434,17.7283404919,11.5304212013,20.7751659048,0,14.252780379,0,0.0,17.9735244113,0,0.0,17.0559882699,14.8789934283,0.0
Point0,H1,(8.66629980745 32),(10.8948731739 187),(10.7409711485 344),(10.9835256204 497),(10.5113905909 654),(11.1411362851 804),(10.3946749543 958),(11.9297832229 1117),(7.42680622635 1274),(9.7582619858 1427),(8.73945107476 1581),(7.48107002904 1726),(7.58159076104 1887),(9.56386502819 2033),(8.67953248905 2189),(8.19597063192 2335),(9.51603917654 2493),(9.11432221077 2653),(8.40483384559 2814),(8.92548034915 2965),(7.74675805533 3118),(7.84158206182 3270),(6.9834171533 3448),(6.19776926857 3577),(7.30407911686 3749),(7.35377399295 3890),(6.75939220605 4058),(7.3310730681 4220),(7.84463541763 4372),(7.86274563952 4531),(7.68515961087 4691),(8.66464720156 4849),(8.69004099463 5004),(6.41985977828 5150),(7.29448204825 5308),(6.73871503593 5470),(7.00598918057 5615),
Point0,H2,,(4.6147454742 236),,,(4.75010856291 699),(4.92123361647 843),,(6.31970362327 1161),,,,(2.31375551012 1770),,,(4.27316881521 2232),,,,(4.30238956395 2851),,(3.82793803439 3158),(1.03970473109 3365),(6.72166735188 3462),(3.37232465865 3599),(1.72908117724 3803),,,(3.86941516635 4250),(5.28019926973 4408),,,,,,,,,
Point0,H3,,(4.69375617892 243),,,(4.77458947761 705),(5.49302159379 856),,(6.71413902136 1173),,,,(2.88986574118 1784),,,(4.32007700668 2239),,,,(4.36306209584 2859),,(4.20301215697 3174),(1.15130235973 3376),(6.87974577855 3473),(3.78724806501 3611),(2.12941634129 3816),,,(4.72850877042 4265),(5.64765120873 4422),,,,,,,,,
Point0,H4,(3.94510212641 75),(0.854358123273 277),,(4.8701937214 539),(1.48771118287 746),(0.681404539929 906),(5.0717847931 1004),(2.00823833039 1206),(-0.0122625818252 1362),(4.41818558489 1469),(0.496158360073 1676),(1.11510491813 1815),,(4.13900524387 2076),(1.14382881034 2284),(1.55669750026 2378),(5.42254643557 2541),(4.09617939603 2699),,,(1.89699416425 3209),(-7.1054273576e-15 3395),,(0.12332363116 3673),(1.1107227719 3835),,(0.978093073346 4147),(1.95794917252 4306),(1.98519058889 4470),(1.35280799425 4633),,,,,(2.37257789554 5354),,,
Point0,H5,(4.66339181407 92),(2.14102209653 293),,(5.15390179881 550),(1.59529717389 754),(0.818133752545 915),(5.20513658981 1012),(2.3450040838 1218),(0.248667780509 1379),(4.48888675373 1476),(0.580564139022 1684),(1.11817440303 1818),,(4.25148902419 2086),(1.20756230705 2291),(2.53335830282 2398),(5.45889326647 2546),(4.57282031987 2712),,,(2.16946067174 3219),(6.89779794653 3426),,(0.802047025327 3687),(1.24072025507 3844),,(1.57983404218 4164),(2.69513680156 4323),(2.02248252036 4477),(1.57512953078 4644),,,,,(3.55292215053 5371),,,
Point0,H6,(-0.02941523221 2),(-4.4408920985e-16 152),(1.7763568394e-15 310),(1.33226762955e-14 467),(-0.00136379857814 613),(1.33226762955e-14 772),(-8.881784197e-16 929),(-0.000663391541639 1075),(8.881784197e-15 1241),(-0.0122625818252 1362),(7.1054273576e-15 1537),(-0.0020229313899 1698),(8.881784197e-16 1845),(-4.4408920985e-16 2003),(-0.0023361689543 2141),(-1.11022302463e-14 2307),(-0.00405789853125 2456),(-7.54951656745e-15 2619),(-1.33226762955e-14 2776),(-1.06581410364e-14 2932),(-0.0020368519527 3087),(2.22044604925e-15 3238),(-7.1054273576e-15 3395),(-0.00583981556484 3544),(-0.00731145351582 3700),(9.7699626167e-15 3860),(3.99680288865e-15 4023),(1.68753899743e-14 4183),(1.73194791842e-14 4342),(4.4408920985e-15 4500),(2.6645352591e-15 4661),(5.3290705182e-15 4820),(-2.22044604925e-15 4969),(2.22044604925e-15 5121),(-5.77315972805e-15 5264),(0.0 5429),(-0.0911771323215 5580),
Point1,H1,(10.2191452 33),(12.1129497118 188),(11.8781439555 345),(12.7283106305 498),(11.9342826335 654),(12.5212936822 805),(11.8697921864 959),(13.2882357078 1117),(9.03785840674 1276),(10.7874091047 1426),(10.0220521662 1582),(9.17202857488 1727),(9.50397396889 1888),(10.5745193235 2034),(9.15949630586 2189),(9.14641770356 2335),(11.0306417908 2494),(10.3450527464 2654),(9.99585622133 2815),(10.9742458928 2967),(9.16362963568 3118),(9.27424185212 3273),(8.62367487212 3428),(7.40119382691 3578),(8.81983634309 3746),(9.12245054941 3892),(7.55696383725 4058),(7.7382584771 4219),(8.21307402726 4370),(8.97992567197 4532),(8.24237543522 4705),(9.40462987539 4850),(10.1598675475 5005),(7.15339989007 5152),(8.05679346474 5311),(8.03199539386 5474),(8.03164304345 5615),
Point1,H2,,(5.1712592137 237),,,,,,(6.85646912322 1163),,,,,,,,,,,(5.50635684605 2853),,,,,,(1.89806870932 3805),(4.72983788595 3935),,(3.8844374996 4250),(5.39663188019 4410),,(5.03410482326 4734),(6.12455544892 4881),,,,,,
Point1,H3,,(5.31355504137 245),,,,,,(7.35779620675 1174),,,,,,,,,,,(5.52977803679 2858),,,,,,(2.21150851108 3817),(5.04714969331 3946),,(4.47830442286 4265),(5.76029723212 4425),,(5.37884655573 4745),(6.22988120022 4890),,,,,,
Point1,H4,(4.41572118547 77),(1.31799029638 278),,(5.70562172146 540),(1.29528938049 747),(5.99253674965 848),(5.83253136153 1006),(2.38580305044 1207),(-0.00384336093622 1369),(0.764321159717 1515),(0.506957048543 1676),(3.33152568148 1772),(5.71828869015 1933),(4.46806333661 2075),(1.40458576745 2283),(2.61331984918 2379),,(4.60678643111 2701),(1.94231161453 2907),,(4.17408227547 3163),(1.25522023548 3363),(7.49830329694 3463),,(1.1625800563 3835),(1.52070392046 3993),(0.810681451562 4151),(1.56244681659 4295),(2.8608020725 4470),(1.43629576271 4633),(1.34170589571 4794),,,,(3.37285966087 5356),,,
