Cycle,0.684427083333
Average Width,7.60269500616
Width,,5.41103835206,7.22619370984,6.94359107996,6.48342842799,4.9551201947,6.47545499728,6.53132409571,6.09240481999,11.7646350554,10.7137722874,5.68538633057,6.76700598977,15.1966048399,8.16717906526,9.36308684674,9.93618030182,5.76537147588,5.61075901183,9.90209932009,8.057248553,8.54555958675,8.13319898403,7.94980524396,0,6.14620347561,5.55316691714,6.23559602188,0,6.07519392707,7.06130330105,5.85069083379,7.89953404976,9.18540809462
Point0,H1,(9.09601893473 88),(8.54749875887 239),(8.05944830984 384),(8.89482824679 523),(7.51742458808 664),(9.42250959978 814),(8.96398491434 958),(7.96537143476 1099),(8.75613636743 1236),(9.2028610883 1379),(9.78019078351 1524),(9.43707796548 1670),(9.87386304536 1813),(9.97242768553 1952),(11.0390279708 2096),(10.1959363854 2241),(9.66068216815 2388),(8.9967677751 2527),(10.0686603577 2668),(11.7022002737 2805),(11.0178812516 2947),(11.2765976484 3089),(10.7503898765 3231),(9.16528415919 3364),(9.45675832957 3497),(9.22745625519 3634),(10.6816909198 3777),(10.5286733392 3917),(9.86453984277 4059),(9.57015741158 4195),(9.51833016484 4334),(9.18980426951 4475),(9.39123336208 4618),
Point0,H2,(1.65701263702 128),,,(4.49684069238 551),,(3.57464843573 839),(3.49641616821 984),(3.67697631934 1124),,(2.95042621519 1421),,(3.699429782 1706),(3.24906663313 1846),,,,(3.75965216337 2424),(3.93000103781 2554),(4.62353755362 2701),,,(3.55449842665 3135),(4.53814983765 3258),,,,,(3.00989651116 3965),(3.78063138015 4091),,(4.45195301156 4363),(3.79416058019 4514),,
Point0,H3,(2.34182836792 142),,,(4.99520329593 564),,(4.42737830356 855),(3.90185055498 996),(4.54297301544 1139),,(3.51206123036 1434),,(3.88189946562 1716),(3.75426023033 1860),,,,(3.82201027918 2431),(4.25130028675 2566),(4.62795355937 2703),,,(3.78653261116 3144),(4.71585133708 3266),,,,,(3.24745127547 3977),(3.87202747361 4098),,(4.50306925433 4369),(3.85616701352 4522),,
Point0,H4,(0.815705013265 165),(1.27749765433 311),(0.522997244413 458),(1.12885204985 610),,(1.4043355508 893),(0.37089330501 1036),(0.672796994581 1183),(3.02411085171 1274),(0.728368372646 1460),(0.860967973041 1614),(1.40796202293 1759),(0.744786618327 1890),,(1.35064675109 2175),(1.16743567994 2334),(1.02137141836 2462),(0.940428492079 2606),(1.38094395095 2748),,,(0.644566329861 3169),(1.14571721049 3308),(1.91414817705 3434),,(1.35895431036 3711),(1.46311769696 3855),(0.863172870492 3999),(7.1054273576e-15 4139),(1.16887250276 4266),(1.77656524863 4416),(2.20258790726 4557),,
Point0,H5,(0.94508490987 175),(1.39286160414 321),(1.27573788623 474),(1.22886208173 617),,(1.88928928287 906),(1.05656621157 1051),(1.03050890149 1194),(3.98225655208 1292),(1.2366409502 1478),(1.32052777977 1626),(1.52824340024 1767),(0.8071983644 1898),,(1.38613212872 2181),(1.24889374959 2343),(1.22283614965 2473),(1.2572450882 2618),(1.84562989427 2761),,,(1.00079804576 3180),(1.83009144475 3322),(2.53886830918 3448),,(1.47624685962 3720),(1.64704956154 3865),(1.3904192388 4011),(0.32813463882 4154),(1.27425617403 4274),(1.8227726482 4422),(2.42493636146 4567),,
Point0,H6,(-0.00736658696259 2),(-0.00509746667905 196),(3.10862446895e-15 353),(8.881784197e-15 491),(6.2172489379e-15 634),(9.32587340685e-15 775),(3.5527136788e-15 926),(4.4408920985e-15 1066),(-0.00135136561523 1209),(-8.881784197e-16 1350),(3.99680288865e-15 1495),(-9.32587340685e-15 1641),(-1.7763568394e-15 1785),(-7.54951656745e-15 1917),(-1.7763568394e-15 2058),(-9.32587340685e-15 2212),(-9.32587340685e-15 2360),(4.4408920985e-16 2494),(3.5527136788e-15 2634),(2.6645352591e-15 2777),(2.6645352591e-15 2915),(7.1054273576e-15 3059),(-8.881784197e-16 3197),(6.2172489379e-15 3338),(4.4408920985e-15 3468),(5.3290705182e-15 3601),(7.1054273576e-15 3740),(7.1054273576e-15 3883),(7.9936057773e-15 4027),(7.1054273576e-15 4139),(4.88498130835e-15 4297),(0.0 4443),(-0.00111477862485 4588),
Point1,H1,(10.462819281 77),(9.23339961393 226),(9.39122938803 372),(9.6840637118 510),(9.91818667366 651),(10.9318920166 796),(10.1759904631 947),(9.29558494173 1087),(9.43855173342 1223),(9.46914606872 1367),(11.1525913124 1513),(9.92925665135 1660),(9.75894426742 1802),(10.4184738295 1942),(11.0246108057 2084),(10.438674858 2231),(10.5994223391 2376),(10.1497592969 2519),(9.90523954623 2657),(11.3982918559 2794),(10.7198545785 2936),(11.0862742907 3079),(10.0825113348 3220),(8.85402730518 3355),(10.4617019138 3485),(11.1191733013 3624),(11.0584789631 3765),(9.8764868105 3906),(10.7969218532 4048),(10.2197811809 4185),(10.5192066873 4324),(9.86572267225 4463),(9.56577466853 4607),
Point1,H2,,(3.42180398997 257),(2.79424219523 399),(4.36653415208 546),(3.30333467741 692),(3.94561491828 837),(3.2331454979 974),(3.78914311545 1114),(0.514799466336 1295),(2.82334504218 1398),,(3.58080948492 1698),(3.58749620806 1833),(3.83019150072 1971),(4.40275507129 2115),(3.31235653912 2274),(3.52237263218 2408),,(3.92300893013 2691),,(2.80205845684 2978),,,,(3.67663949682 3523),,,(4.01572177166 3937),,(3.41565948285 4223),,(3.74838603931 4498),,
Point1,H3,,(3.44551747067 262),(3.23958069904 411),(4.8935131345 559),(3.51499444324 703),(4.41417522804 850),(3.81903237385 987),(5.16366718886 1130),(0.57064973239 1302),(3.33345444974 1413),,(3.59233076152 1702),(3.89179556793 1845),(3.84275234544 1975),(4.46752557844 2122),(3.32966079111 2280),(3.87353300954 2422),,(3.9276506705 2694),,(3.05729380539 2990),,,,(4.13939985667 3536),,,(4.10430486758 3944),,(3.50294280267 4231),,(3.78348560682 4504),,
Point1,H4,(0.219439334047 162),(0.324784872202 307),(0.858733623836 448),(1.62957702391 595),(0.999604533471 739),,(1.78806715045 1028),(0.957375445337 1177),(0.258139529168 1317),(1.35909105742 1440),(0.568737884807 1602),(0.460626846612 1750),,(1.33847833913 2019),(1.58603820248 2161),,(1.88578490917 2451),(0.937170111101 2593),(1.22123683022 2739),,,(1.18013571804 3154),(0.536190106884 3299),(1.42270251441 3430),,(1.4932530128 3699),(1.45234009205 3843),(0.882369704021 3985),(-7.9949376778e-05 4129),(0.902707586602 4263),(1.74974084831 4404),(1.05880641736 4548),,
