Cycle,0.790800653595
Average Width,6.63491842463
Width,,6.62532508441,6.31280566387,7.57032982504,7.07314043265,7.28353524389,5.76028071345,6.63828255717,6.38850604665,6.48838737676,6.5595013279,6.27593686017,7.3384079842,6.56253209024,6.4441361112,6.90696227824,6.32902253055,6.82543922953,6.04600028735
Point0,H1,(11.3331314938 33),(11.4496807575 213),(11.4778517905 395),(13.6521927558 569),(14.0691338221 731),(13.5274744709 892),(13.1826152895 1057),(13.778337907 1236),(13.7638518437 1423),(13.0549463304 1587),(9.8017621078 1759),(14.0634389426 1937),(12.4964304691 2118),(12.2443604391 2288),(12.6337396275 2447),(9.74121812818 2603),(10.0558280464 2753),(8.48799041484 2902),
Point0,H2,,,,(8.33705327559 604),,,,(12.2752317288 1250),,(11.1981042293 1601),,,,,,,,
Point0,H3,,,,(9.23980148568 620),,,,(12.4918378351 1257),,(12.0098062731 1612),,,,,,,,
Point0,H4,,,(2.02354009748 507),(2.09192594427 672),(9.83454001913 771),(6.03966010444 939),,(6.99496166387 1287),,(1.29775839422 1691),,,,(1.73596305113 2382),(1.25374524853 2541),(5.45376069051 2653),,
Point0,H5,,,(2.46064178716 519),(2.22669989554 679),(10.3207314879 787),(7.60233577045 958),,(7.53685522666 1304),,(1.5812206227 1702),,,,(2.13457536097 2393),(1.95321775423 2554),(6.03205104464 2666),,
Point0,H6,(0.0 185),(1.06581410364e-14 364),(-7.9936057773e-15 537),(-1.95399252334e-14 697),(-0.00365868265747 855),(0.0 1028),(2.6645352591e-15 1208),(-3.5527136788e-15 1386),(-4.4408920985e-15 1560),(-0.0026668263989 1725),(-0.0109775938609 1906),(-2.6645352591e-15 2090),(3.5527136788e-15 2251),(-1.7763568394e-15 2412),(2.6645352591e-15 2570),(8.881784197e-16 2720),(2.6645352591e-15 2874),
Point1,H1,(13.6172759749 34),(13.9118018902 213),(13.733698542 397),(15.9985269261 569),(16.2238758656 730),(16.2803900252 891),(15.5981014475 1059),(16.4289282821 1237),(16.5454734929 1424),(15.8929990822 1587),(12.732337991 1760),(16.5063794098 1938),(14.1112852862 2119),(13.8169194385 2290),(13.9932062901 2448),(11.246954366 2602),(10.7216772473 2754),(10.0241034996 2903),
Point1,H2,,,,(9.5391611304 606),(11.9005013668 770),,,(14.7625317362 1250),,(12.8223361706 1603),,,,,,,,
Point1,H3,,,,(10.8994097673 622),(12.1598448562 785),,,(15.1865757468 1259),,(13.6982576598 1614),,,,,,,,
Point1,H4,,,(2.43228372915 508),(2.94640279767 674),(1.28626193596 837),(6.99758583231 941),,(8.6567164006 1286),,(1.91523639515 1689),,,,(2.18057591645 2382),(1.83436391608 2542),(6.16548675406 2656),,
Point1,H5,,,(3.1195838549 521),(2.94766242495 676),(1.30828087393 841),(8.22784388505 958),,(9.29324076938 1302),,(2.09936110755 1698),,,,(2.28073775719 2390),(2.4320194007 2554),(6.21605363497 2663),,
Point1,H6,(-8.881784197e-15 186),(-6.2172489379e-15 365),(-8.881784197e-15 538),(-1.7763568394e-14 698),(-1.06581410364e-14 856),(-8.881784197e-15 1028),(-1.7763568394e-15 1210),(2.6645352591e-15 1387),(0.0 1561),(-1.7763568394e-15 1724),(-2.6645352591e-15 1908),(0.0 2091),(-0.00102306458157 2252),(-2.6645352591e-15 2412),(-8.881784197e-16 2571),(1.7763568394e-15 2724),(2.6645352591e-15 2875),
Point2,H1,(13.1913522835 34),(13.1919025506 214),(12.4356455333 400),(15.3259618738 568),(15.4979622786 730),(15.9465309252 890),(14.689927308 1059),(16.7974780835 1236),(16.0894305458 1425),(14.8257334746 1588),(11.9748464824 1761),(15.3798041096 1938),(14.2665994769 2118),(12.8156861462 2289),(12.9074014865 2448),(10.337136634 2606),(9.011711641 2755),(9.25853537123 2902),
Point2,H2,(8.49009210272 81),(11.7277866528 230),,,,(6.2797824937 939),,(14.7594501463 1250),,(12.0770398451 1604),,,,(7.56143505656 2334),(6.34209112204 2498),,,
Point2,H3,(8.62637769685 89),(11.739787979 234),,,,(7.92140104952 958),,(15.2693382618 1259),,(12.4677616779 1613),,,,(7.96544001355 2346),(6.50907730062 2506),,,
Point2,H4,(4.52214616652 130),(3.55878971515 328),(1.78364130024 506),(9.50485701782 606),(11.9554721624 764),(0.954017023035 1011),,(8.49896285279 1288),,,,,,(2.45899733945 2382),(1.80335114186 2543),(5.0285773323 2655),,
Point2,H5,(4.93347044485 142),(3.8063788882 340),(2.7769181576 521),(10.4579899855 623),(12.4265611327 781),(1.01215651149 1017),,(8.88593195065 1304),,,,,,(2.6917173749 2392),(1.96220481531 2552),(5.28196226944 2665),,
Point2,H6,(-8.881784197e-15 186),(-8.881784197e-16 364),(-4.4408920985e-15 538),(-0.00531748310034 697),(-8.881784197e-15 855),(8.881784197e-16 1031),(5.3290705182e-15 1210),(5.3290705182e-15 1387),(3.5527136788e-15 1562),(-0.00647650301165 1723),(-8.881784197e-16 1910),(-1.7763568394e-15 2091),(-9.7699626167e-15 2253),(-8.881784197e-15 2412),(-6.2172489379e-15 2571),(-0.00290632884765 2709),(0.0 2875),
Point3,H1,(10.4688387009 33),(10.0553591369 214),(10.9674815746 401),(12.5510785636 568),(12.7635469152 782),(10.6380075077 888),(11.4547729078 1059),(12.7673053045 1235),(12.507713246 1423),(11.8012265475 1585),(9.75575143649 1787),(12.9843643876 1936),(10.4598566931 2117),(9.04806104078 2288),(9.58255811049 2445),(7.36258468726 2604),(6.03168184448 2753),(6.40545100948 2923),(5.9080769746 3060),
Point3,H2,(6.70572518276 74),(9.70358537603 225),(10.5062056237 419),(8.02929532148 604),,(-0.0041461817513 936),,,,,(4.86580014623 1808),,,,,(3.63118487605 2650),,,,
Point3,H3,(7.08706625517 88),(9.83739424585 234),(10.5255812265 425),(9.68484769511 623),,(2.48212822046 961),,,,,(6.5203298099 1823),,,,,(3.97408825916 2663),,,,
Point3,H4,(4.20707180988 126),,(1.87274802562 506),(-0.00731714987471 695),,(0.845853686005 986),,,,,(0.005275737207 1868),,(6.46657740148 2172),(6.2591303075 2333),(4.48284498696 2495),(-8.881784197e-15 2702),,(-0.00851646154127 3008),,
Point3,H5,(4.88221261252 143),,(2.17855280381 517),(12.6016154955 729),,(0.901019472711 995),,,,,(0.487262418319 1895),,(6.82730816655 2188),(6.26289954422 2336),(4.71251216329 2505),(0.250606603313 2716),,(0.281733669922 3019),,
Point3,H6,(-1.06581410364e-14 185),(4.4408920985e-15 360),(-5.3290705182e-15 536),(-0.00731714987471 695),(-0.0560621875291 853),(-0.0041461817513 936),(-0.018473817094 1027),(9.7699626167e-15 1209),(7.1054273576e-15 1383),(7.1054273576e-15 1559),(-0.00668363852115 1723),(0.0 1907),(6.2172489379e-15 2089),(7.9936057773e-15 2251),(7.9936057773e-15 2410),(-0.00388008532661 2568),(-8.881784197e-15 2702),(-8.881784197e-16 2874),(-0.129734105832 3031),
