Cycle,0.78828
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(41.4128290271 35),(43.650004928 212),(41.5285681639 394),(41.0017664093 573),(40.663429403 742),(39.5933825818 920),(40.6475297326 1103),(40.1222747395 1282),(39.7119703216 1456),(39.0987007083 1625),(40.0305221696 1798),(39.0951065891 1978),(37.7785092186 2155),(36.9053832345 2322),(37.0106215081 2483),(38.5798451628 2651),(39.0604427022 2820),(38.3381906443 2995),(39.5530941339 3173),(38.1870690308 3348),(40.1527799363 3522),(39.553778104 3698),(38.5974430733 3875),(39.5143039864 4052),(36.7343486462 4226),(40.4284024936 4402),
Point0,H2,,,,,(5.13706701602 837),,,,,,,,,,(12.0359876959 2534),,(12.1059438794 2871),(12.7280646888 3046),,(12.8993629197 3398),,,,,,,
Point0,H3,,,,,(5.3098963415 844),,,,,,,,,,(12.1343448831 2540),,(12.1450464672 2875),(12.7515173061 3049),,(12.925541396 3401),,,,,,,
Point0,H4,(0.471844003803 165),(4.49382381429 333),(4.47467080375 511),,(2.71259140928 862),(4.56562901005 1039),(4.18913326112 1215),(3.02070578666 1389),(3.42297702447 1565),(2.82723248577 1742),(3.05409655274 1918),(3.69271253494 2093),(3.96935875716 2252),,(4.36652946626 2589),,,,(0.318788043137 3296),(3.4209648757 3456),(3.78678395982 3628),(4.39753577792 3805),,(3.11197692734 4163),,,
Point0,H5,(0.527593263492 170),(5.56832233971 345),(4.71812320937 519),,(4.28883257106 874),(5.04259311431 1048),(4.36714657468 1222),(3.70045504073 1400),(4.93897265276 1578),(3.33366637052 1752),(4.47702868821 1930),(4.77562266998 2105),(4.37285747376 2262),,(4.93680455537 2599),,,,(1.286205088 3307),(3.42265859913 3457),(4.12819525096 3638),(4.4278180451 3810),,(3.11245615447 4164),,,
Point0,H6,(-0.143775468061 2),(7.1054273576e-15 179),(-2.13162820728e-14 361),(3.5527136788e-15 537),(2.30926389122e-14 711),(1.95399252334e-14 889),(1.06581410364e-14 1066),(1.7763568394e-15 1243),(-0.0044412047435 1418),(3.73034936274e-14 1593),(2.30926389122e-14 1767),(-3.5527136788e-15 1945),(1.06581410364e-14 2122),(5.3290705182e-15 2284),(-0.00602999108776 2444),(-1.42108547152e-14 2617),(1.7763568394e-15 2789),(5.3290705182e-15 2962),(-3.5527136788e-15 3140),(-1.24344978758e-14 3318),(-0.00654384721308 3482),(1.24344978758e-14 3661),(-3.5527136788e-15 3837),(-1.7763568394e-15 4021),(-1.59872115546e-14 4188),(-0.00768599886826 4363),
Point1,H1,(31.6135241808 39),(37.2402117225 215),(39.1888908095 397),(38.3136183458 577),(39.2182577185 744),(39.6723748132 923),(41.1168687824 1106),(41.7712232031 1284),(41.4852958012 1459),(42.497769656 1627),(43.4527610207 1800),(42.0939328393 1980),(40.8314841705 2158),(44.7161458874 2325),(45.1457149218 2486),(44.045964013 2654),(43.8250496314 2823),(43.8276775409 2998),(44.9674355624 3175),(42.7640237942 3351),(45.3680642291 3524),(46.1679302018 3700),(44.2368159909 3877),(45.4104790739 4055),(43.29805422 4228),(45.1286436304 4405),
Point1,H2,,,(5.85394387143 490),,(4.30021773797 842),,,,,,,(6.11805431273 2071),,,,,,(12.1898758692 3048),,,,,(13.1501391186 3929),(13.0010960716 4104),,,
Point1,H3,,,(5.86596515724 493),,(4.34730461686 846),,,,,,,(6.22717578622 2077),,,,,,(12.3146813484 3054),,,,,(13.1824101699 3932),(13.155441405 4110),,,
Point1,H4,,(3.64505988309 336),(3.14580555006 513),(2.66513127081 690),(2.37203532305 864),(3.57953164781 1041),(2.72814954933 1216),(2.69411001432 1391),(3.33750530097 1568),(2.0343931513 1745),(2.66181957183 1919),(3.19532315697 2097),(3.41245573653 2255),,(4.17369536482 2591),(1.40463295462 2775),(2.71693938133 2927),(1.03768254279 3126),(0.267734144246 3298),(2.93364222472 3456),(3.76339635771 3630),(3.55858711721 3807),,(3.80496316738 4162),(2.69323141657 4337),,
Point1,H5,,(4.822967729 348),(4.26280213977 525),(3.07833486642 699),(4.08745489658 877),(4.61929087285 1052),(3.37870222402 1228),(3.71786243775 1404),(4.83642535761 1581),(2.90513157979 1757),(4.29955346835 1933),(4.76793939394 2109),(3.94074716672 2266),,(5.20346187276 2603),(1.43541491334 2779),(2.83209265087 2934),(1.20839624151 3132),(1.58668629414 3310),(3.28852883513 3466),(4.16454374705 3640),(3.68378217134 3814),,(3.81805366945 4165),(2.7766519573 4343),,
Point1,H6,(-0.212492233225 4),(1.06581410364e-14 181),(1.24344978758e-14 364),(1.7763568394e-15 541),(-1.7763568394e-14 714),(-1.7763568394e-15 892),(1.7763568394e-14 1069),(1.42108547152e-14 1246),(-0.00403449185558 1421),(-2.48689957516e-14 1596),(-4.79616346638e-14 1770),(-1.7763568394e-14 1948),(-7.1054273576e-15 2125),(-0.00582810995163 2287),(-1.42108547152e-14 2446),(-1.06581410364e-14 2620),(1.06581410364e-14 2791),(5.3290705182e-15 2964),(3.5527136788e-15 3143),(-5.3290705182e-15 3321),(1.7763568394e-15 3486),(8.881784197e-15 3663),(-1.42108547152e-14 3838),(-2.13162820728e-14 4024),(-1.7763568394e-14 4190),(0.0 4368),
Point2,H1,(6.9447383471 57),(8.10874299513 207),(10.7210345636 402),(11.2121649092 575),(11.3869449307 736),(12.7405471603 911),(13.5648009857 1094),(15.5513718612 1276),(14.2862310252 1452),(14.3137090645 1617),(13.9971172827 1791),(13.8600199491 1972),(15.432928927 2147),(19.4304123185 2317),(18.8630927791 2477),(15.8646108368 2661),(16.7409501708 2814),(17.597559501 2990),(16.7664840314 3166),(17.2206257925 3343),(16.3171383536 3517),(18.0519864186 3693),(18.0288159069 3868),(17.8154086797 4046),(15.9798569614 4219),(16.4196396423 4397),
Point2,H2,,,(7.8687812694 428),(7.0584493712 616),(10.6972786 747),,,,,(13.7565518683 1629),(12.6042710408 1804),,,,,,,,,,,,,(8.2271147922 4098),,
Point2,H3,,,(8.01305936833 436),(7.1864007854 626),(11.2049676305 758),,,,,(13.7760679584 1633),(12.8356499668 1812),,,,,,,,,,,,,(8.22732379013 4099),,
Point2,H4,(1.0604024244 131),(0.142651738361 329),(1.84606182383 504),(0.944179161705 687),(1.43828125884 853),,(1.63253680346 1198),(1.41292435155 1384),(0.873282376843 1558),(0.982502024937 1735),(5.3290705182e-15 1911),(1.49068080093 2083),(2.22118712013 2248),,,,,,(-8.881784197e-15 3270),,(1.15722100076 3622),(1.9175881389 3801),,(1.51011604764 4154),,
Point2,H5,(1.17511962614 140),(1.14295263335 343),(2.40088543948 516),(0.945215952832 689),(1.9578161723 867),,(1.80743928526 1208),(1.93766279705 1396),(1.24882833151 1571),(1.08043194772 1745),(0.924780542641 1926),(2.12208347705 2098),(2.66750989393 2259),,,,,,(0.733375671363 3290),,(1.68409876412 3635),(2.22675608421 3811),,(1.63006849998 4162),,
Point2,H6,(-0.000416626698954 169),(6.2172489379e-15 356),(1.06581410364e-14 534),(8.881784197e-15 705),(-1.7763568394e-15 883),(1.7763568394e-15 1059),(-2.6645352591e-15 1230),(0.0 1413),(5.3290705182e-15 1586),(-0.0061669951484 1761),(5.3290705182e-15 1911),(3.5527136788e-15 2115),(-6.2172489379e-15 2278),(-7.9936057773e-15 2436),(-2.6645352591e-15 2612),(-7.1054273576e-15 2781),(-1.15463194561e-14 2950),(-8.881784197e-15 3117),(-8.881784197e-15 3270),(-1.42108547152e-14 3470),(-1.59872115546e-14 3653),(-1.86517468137e-14 3830),(-1.42108547152e-14 4012),(-1.15463194561e-14 4180),(-8.881784197e-15 4353),
Point3,H1,(8.69819052612 146),(17.2144017418 266),(4.28131768366 393),(6.13134474827 503),(13.3426618777 605),(8.17292118512 792),(8.55605894302 851),(11.5946209725 1029),(11.346982149 1142),(10.1395700955 1206),(9.41415102184 1337),(9.55531157088 1554),(8.47901432722 1654),(8.32803643924 1733),(8.43655562024 1826),(8.57606308826 1906),(9.77921580935 2010),(7.65576015114 2183),(7.62908406955 2261),(9.53481313917 2357),(9.04143938725 2426),(10.7121542155 2512),(9.940417872 2693),(8.25889697284 2854),(8.62966560318 2931),(12.4585019342 3044),(4.4358349081 3178),(6.21053600513 3286),(11.9709406357 3367),(8.15425241811 3548),(7.60847420971 3627),(9.75858779108 3736),(10.9807249896 3932),(10.7934182034 4083),(10.2717941999 4164),(9.76270064682 4256),(9.44953302659 4440),(10.0350324337 4632),
Point3,H2,,(16.1130686655 287),,,,,(-3.5527136788e-15 882),,(9.55589044266 1163),,,,(7.47959648916 1684),,(7.88524487121 1847),,(8.91055975577 2042),(6.17688352823 2218),,(8.4630322993 2377),,(9.00131737443 2554),(8.61939217817 2716),(7.73461836354 2889),,(11.2477718733 3070),,,,
Point3,H3,,(16.1319882028 291),,,,,(10.040266162 969),,(9.86217193796 1174),,,,(7.63579372655 1698),,(8.08074873088 1862),,(8.96023541267 2050),(6.34014524787 2229),,(8.90430673166 2391),,(9.64343825837 2570),(8.73632648754 2724),(8.03160264126 2903),,(11.3415345787 3078),,,,
Point3,H4,,(14.6581358308 313),,,,,(9.69981563681 982),,,(3.5527136788e-14 1242),,,,,,(-0.00196420757294 1938),(7.84032861063 2070),,(-0.00584990748783 2292),,,(9.35090445024 2583),(7.2985042962 2742),,,(10.580485382 3095),,,,
Point3,H5,,(14.6943289774 317),,,,,(10.6037905445 999),,,(9.37481517812 1309),,,,,,(9.52030924519 1984),(8.84946026457 2085),,(9.42836618441 2337),,,(9.4787940817 2590),(8.89270503784 2758),,,(10.8434667741 3104),,,,
Point3,H6,(-3.92932464433 23),(-0.0831270005812 171),(-0.131236799146 354),(-0.0116953047305 454),(-0.298596919172 529),(-0.0176494932267 713),(-3.5527136788e-15 882),(2.48689957516e-14 1062),(3.5527136788e-14 1242),(6.2172489379e-15 1420),(-3.5527136788e-15 1594),(-0.00147810027137 1766),(-0.00196420757294 1938),(-0.00719199059634 2120),(-0.00584990748783 2292),(-8.881784197e-16 2461),(-3.5527136788e-15 2621),(2.13162820728e-14 2792),(-0.0100269989997 2957),(-0.0526758020453 3136),(-0.0408278929134 3231),(-0.0469040958186 3308),(8.881784197e-15 3487),(2.84217094304e-14 3659),(-2.57571741713e-14 3836),(-3.19744231092e-14 4012),(-2.30926389122e-14 4191),(-1.42108547152e-14 4364),(-1.33226762955e-14 4540),
