Cycle,0.751909041394
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(12.5648819542 143),(13.5174599147 291),(17.8090458029 452),(16.9451303598 611),(21.8911949361 772),(19.1859972102 902),(19.2895583593 1088),(17.0658240993 1256),(18.8063163631 1375),(18.1552291485 1567),(19.742003039 1713),(22.4100513228 1817),(14.163695436 2010),(19.2698678069 2107),(18.3321490551 2294),(12.8355137593 2415),(14.4517166014 2480),(18.8623272021 2621),(19.1615781252 2740),(15.5165768362 2941),(11.0106582588 3020),(13.3635313491 3118),(14.5764308359 3279),(17.558425698 3425),(15.4507188238 3561),(15.8201383537 3781),(16.9022160922 3928),(16.0657208288 4114),(18.091509 4287),(16.8398644067 4464),(13.9345408348 4584),(13.3799977009 4782),(15.1516695612 4916),(15.3905022449 4986),(16.3683137534 5162),(12.4955073539 5327),(14.9567826458 5492),
Point0,H2,,,,,,(16.4087791676 919),(-2.13162820728e-14 1123),,(16.9659211988 1397),,,(18.2894362289 1840),,(14.289859795 2144),(16.0117536501 2312),,,,(16.3061952646 2770),,(9.60901294834 3038),(-2.84217094304e-14 3149),,,(13.7316192568 3604),,(16.2078589525 3941),,,,(9.46131073406 4623),(12.4163862437 4802),(13.8318817959 4936),,,
Point0,H3,,,,,,(16.8641067209 928),(12.8722925742 1183),,(18.70618248 1416),,,(19.6053952866 1856),,(17.6434930696 2163),(16.307793598 2320),,,,(18.1445380972 2786),,(9.70827974426 3045),(13.3046216866 3232),,,(14.7128018141 3618),,(16.8215673564 3952),,,,(12.0551200921 4643),(13.135815154 4815),(14.2301147829 4949),,,
Point0,H4,(1.24344978758e-14 170),(3.5527136788e-15 326),(-1.7763568394e-15 488),,,(0.0 959),(12.8455654057 1188),,,(-1.95399252334e-14 1605),,(-8.881784197e-15 1898),,,,,(2.30926389122e-14 2507),,(-8.881784197e-15 2824),,,(13.172664787 3243),,,(1.59872115546e-14 3657),(-0.0111202366488 3818),(2.6645352591e-14 3988),(1.7763568394e-14 4161),(2.6645352591e-14 4333),,,,,(-0.00177761620897 5024),,
Point0,H5,(12.802408182 257),(15.0614974787 424),(14.8555326138 564),,,(13.7773689987 1039),(13.2919505936 1205),,,(19.5715410303 1685),,(11.852398807 1965),,,,,(13.5460189154 2550),,(15.1728677909 2895),,,(13.2156731641 3251),,,(8.00999527156 3695),(14.5416388699 3899),(15.6711668867 4086),(16.5507530583 4242),(15.9672733009 4441),,,,,(10.7040761502 5098),,
Point0,H6,(-0.0139301224045 1),(1.24344978758e-14 170),(3.5527136788e-15 326),(-1.7763568394e-15 488),(-1.59872115546e-14 646),(3.5527136788e-15 808),(0.0 959),(-2.13162820728e-14 1123),(1.06581410364e-14 1292),(0.0 1456),(-1.95399252334e-14 1605),(-2.84217094304e-14 1750),(-8.881784197e-15 1898),(-1.42108547152e-14 2044),(-0.00310667195726 2198),(2.30926389122e-14 2355),(2.30926389122e-14 2507),(-1.24344978758e-14 2661),(-8.881784197e-15 2824),(-2.30926389122e-14 2988),(-2.84217094304e-14 3149),(-0.00150976107765 3314),(-1.7763568394e-15 3483),(1.59872115546e-14 3657),(-0.0111202366488 3818),(2.6645352591e-14 3988),(1.7763568394e-14 4161),(2.6645352591e-14 4333),(1.42108547152e-14 4498),(2.13162820728e-14 4677),(5.3290705182e-15 4848),(-0.00177761620897 5024),(-0.001290271765 5200),(2.13162820728e-14 5356),(-5.3290705182e-15 5529),
Point1,H1,(4.94008148103 88),(5.87609048117 257),(8.0474840573 453),(8.09201804725 565),(11.5593380065 770),(10.5885451876 902),(10.1433685735 1089),(9.51405686099 1258),(10.5885725031 1369),(9.44141036013 1570),(10.5880700033 1683),(10.0263351693 1819),(6.60895736036 1961),(6.59612307644 2015),(8.84728698885 2104),(8.0421262688 2292),(6.72029325314 2405),(6.11944278779 2550),(7.57429445348 2620),(7.01490138728 2734),(7.87111081701 2896),(6.75953870288 3212),(6.62928554225 3425),(6.60659341545 3551),(5.38676044046 3750),(5.77289822686 3956),(6.95512361968 4070),(6.95000920679 4237),(6.41290852353 4439),(7.3189926987 4553),(4.76625717604 4732),(6.42348653958 4906),(3.581999951 5093),(4.12857600974 5165),(2.63699073213 5282),(3.66855883583 5467),(5.71764902279 5623),
Point1,H2,(4.55017680075 104),(5.38588804605 279),,,,,,,,,(9.67862661199 1702),,,,,,,,,,,(5.84534768136 3251),,(5.84120864361 3577),,,(5.65536373077 4104),(5.98007933677 4260),,,(3.78796686286 4758),(5.49558019732 4925),,,,
Point1,H3,(4.89936284035 119),(5.42713316846 287),,,,,,,,,(9.89880428678 1713),,,,,,,,,,,(6.12545334744 3273),,(5.86717102071 3584),,,(5.91081381335 4119),(6.40943136749 4283),,,(4.01469813282 4773),(5.86460939809 4944),,,,
Point1,H4,(4.34411426509 134),(-1.59872115546e-14 327),(-2.6645352591e-15 488),(6.296230107 593),(3.5527136788e-15 808),,(-0.00241798798997 1123),,,(-1.15463194561e-14 1605),(-7.1054273576e-15 1750),(8.44709836489 1842),(6.00937179519 1978),,(6.49726047948 2128),,(4.51075396093 2466),(5.36537217834 2569),,(4.68908409797 2774),,(-7.54951656745e-15 3317),,(-0.00246155487301 3657),,(-1.7763568394e-15 3991),(4.4408920985e-15 4164),(0.0 4338),,(2.39890341034 4632),(3.20321212098 4798),(-5.3290705182e-15 5028),,(-0.00941148611628 5202),,
Point1,H5,(4.59602097544 145),(7.98018213797 422),(7.04063133574 531),(7.35727203316 611),(9.74026957746 877),,(9.42547151851 1205),,,(8.12807378176 1646),(8.1733881964 1786),(8.59838695743 1852),(6.51395816893 1995),,(7.48007415464 2160),,(4.72246451902 2478),(5.7181865069 2585),,(5.78165800304 2790),,(5.8033991729 3377),,(4.58135391673 3724),,(6.78599205823 4045),(5.0411898676 4198),(5.22605099177 4396),,(2.60091513656 4643),(3.35658324173 4811),(2.29713539558 5050),,(1.37553953941 5227),,
Point1,H6,(-1.42108547152e-14 170),(-1.59872115546e-14 327),(-2.6645352591e-15 488),(-2.6645352591e-15 645),(3.5527136788e-15 808),(-3.5527136788e-15 961),(-0.00241798798997 1123),(6.2172489379e-15 1295),(-2.6645352591e-15 1456),(-1.15463194561e-14 1605),(-7.1054273576e-15 1750),(-1.24344978758e-14 1897),(-2.13162820728e-14 2043),(-1.59872115546e-14 2199),(-1.50990331349e-14 2358),(-3.10862446895e-15 2508),(-0.00254320960389 2661),(-0.00883324056547 2823),(-0.074935012826 2993),(-0.0170414066808 3064),(-0.0261289136045 3146),(-7.54951656745e-15 3317),(-7.1054273576e-15 3483),(-0.00246155487301 3657),(0.0 3818),(-1.7763568394e-15 3991),(4.4408920985e-15 4164),(0.0 4338),(3.5527136788e-15 4502),(-0.00602269301659 4672),(4.4408920985e-16 4854),(-5.3290705182e-15 5028),(-0.00941148611628 5202),(-0.000417210176346 5358),(-1.33226762955e-15 5532),
Point2,H1,(21.9802143204 34),(20.7345399905 203),(20.5490817874 361),(23.724445539 522),(23.7888281355 681),(22.4595503983 840),(21.5927210379 995),(24.0979309054 1156),(21.6805618939 1325),(21.9575369456 1486),(22.8272781487 1636),(22.4764325912 1785),(22.5320886787 1932),(19.667464628 2078),(23.1565336167 2232),(19.5536238051 2387),(19.9976017861 2540),(21.5893468682 2697),(20.7846021426 2857),(20.5763368122 3020),(19.8533274001 3182),(20.9685050648 3348),(22.4930243693 3518),(20.638060927 3689),(20.2564198998 3853),(22.1371141027 4018),(22.96085881 4191),(24.570886112 4361),(20.1346423528 4530),(19.7810821131 4715),(19.071632982 4880),(20.0731297036 5056),(18.6873109951 5229),(17.9325532375 5392),(18.9000909877 5562),
Point2,H2,,,,,,,,,,,,,,,,,,(1.74928289595 2768),,,(1.93666027991 3270),,(3.07571076199 3598),,,,,,(9.7699626167e-15 4615),,,,(-0.0126646559982 5304),,,
Point2,H3,,,,,,,,,,,,,,,,,,(1.87660309791 2775),,,(1.94891345663 3276),,(3.10599899306 3604),,,,,,(1.59569008322 4636),,,,(1.13264063407 5323),,,
Point2,H4,,,(3.99251990448 454),(3.23457121434 617),(4.90477488286 775),(1.50567730786 935),(4.01176544694 1093),,(1.07683811202 1407),,(1.56664364097 1721),(-1.59872115546e-14 1858),(2.62051787531 2002),(0.441068754838 2147),(0.553310753925 2326),(1.66004131469 2464),,(0.950797042763 2790),(2.21833174045 2929),(2.04550828672 3126),(1.92956247172 3282),(7.9936057773e-15 3446),(2.11881305546 3623),,(0.701628567447 3960),,(2.41212528654 4271),(2.96263249444 4475),(1.41251925463 4645),(1.50119268998 4826),(-0.00896933787499 4955),,(0.873540448587 5334),(1.76938050992 5495),,
