Cycle,0.908578947368
Average Width,14.0094524997
Width,,0.0,13.7818592119,16.3613629318,11.0565165475,9.75383479168,9.95067641683,12.783978151,13.2916151764,12.806941292,10.3074551478,12.3727476281,11.5072256839,19.7864344691,19.1069466892,0,20.92211133,0.0,19.4694672863,0.0,10.8920672421
Point0,H1,(11.7583688436 45),(9.51148468236 224),(9.8182335975 423),(9.369996888 611),(9.77152439476 808),(10.5922197745 1004),(9.36669144438 1199),(10.9976544872 1389),(11.3464065216 1588),(10.7239557956 1787),(10.7210898587 1970),(10.9109027217 2158),(12.0508495608 2355),(12.0172273111 2547),(12.5216571179 2732),(12.0687665999 2926),(13.7832394282 3121),(12.456975366 3305),(13.3249548645 3495),(8.34660171241 3679),
Point0,H2,,,(2.00420186969 485),,(2.80415114326 883),(5.15612530985 1041),,(5.57041770222 1423),,(3.86393351831 1849),,,,(2.62561223422 2626),(3.18638136737 2798),,,,,,
Point0,H3,,,(2.92379002079 502),,(3.33992279482 899),(5.18127171343 1046),,(5.70766650357 1432),,(4.01208154902 1863),,,,(2.7196319761 2635),(3.31363070072 2808),,,,,,
Point0,H4,,(1.17445588618 343),(1.65898551286 523),(1.04456338972 722),(1.3241720106 929),,,(2.26544311933 1499),(2.09123217411 1719),(0.762867922284 1911),,(0.23631046785 2287),(1.85627000414 2462),(0.693559516531 2667),(0.23797545777 2848),,,(4.03432274687 3373),(1.17861261196 3606),,
Point0,H5,,(1.53360650644 359),(1.90150010277 537),(2.50394293296 748),(1.32570608048 932),,,(2.33413824481 1508),(2.16351699844 1726),(0.80698070873 1918),,(0.927930503349 2304),(1.85654255136 2464),(0.707874368289 2673),(0.424925506294 2861),,,(4.05222630797 3378),(1.85810202062 3622),,
Point0,H6,(-7.1054273576e-15 190),(-3.10862446895e-15 384),(-4.4408920985e-15 574),(0.0 770),(-4.4408920985e-15 970),(-3.10862446895e-15 1162),(-0.000121906029038 1350),(-1.7763568394e-15 1548),(5.3290705182e-15 1747),(6.2172489379e-15 1934),(8.43769498715e-15 2124),(4.4408920985e-15 2319),(2.6645352591e-15 2510),(8.881784197e-16 2693),(3.10862446895e-15 2881),(-0.00100382479585 3076),(1.7763568394e-15 3262),(-2.6645352591e-15 3452),(-0.00730935060111 3645),(-7.77156117238e-15 3735),
Point1,H1,(11.886677849 44),(9.96413900674 225),(11.5776558952 424),(10.2537771415 611),(10.8193099656 807),(11.6360042139 1004),(10.0451887151 1199),(11.8688620497 1389),(12.4748362489 1587),(11.6153521128 1785),(11.7995708519 1971),(12.8543185871 2159),(12.3200950122 2354),(12.2292953808 2547),(13.6005817484 2732),(12.5572661772 2923),(13.9823699666 3118),(13.3943549194 3304),(13.8621205435 3495),(10.4367138455 3679),
Point1,H2,,,,,(3.11764787007 882),,,,,(3.53243644563 1849),,(2.44797433586 2244),(2.13365357221 2437),,(3.55782843048 2796),,,,,,
Point1,H3,,,,,(3.66939339611 899),,,,,(3.77953092767 1861),,(2.48088098574 2250),(2.33466856354 2449),,(3.6694762696 2804),,,,,,
Point1,H4,(1.17752943768 166),(1.50776887822 344),,(1.0246924662 724),(1.63154130611 930),(3.5848030847 1094),(4.66063184722 1238),,,(0.272827338511 1907),(4.16201035409 2044),(0.920700015053 2289),(1.16805705568 2481),(2.3820095407 2626),(0.320058907642 2847),(0.238689386707 3057),(5.19450964329 3188),(0.560610914165 3432),(0.9027339047 3607),,
Point1,H5,(1.18679129875 171),(1.84133704178 360),,(2.38227095844 747),(1.65728368592 936),(3.58973379462 1098),(5.29490348079 1260),,,(0.867110473992 1921),(4.16694320533 2048),(1.32299739061 2303),(1.17692154032 2485),(2.53499907254 2636),(0.395915535417 2856),(0.2732411265 3066),(5.28454297084 3198),(0.584806997039 3438),(1.51826991611 3624),,
