Cycle,0.888120471014
Average Width,5.59176629555
Width,,6.52936992055,5.99589547528,5.95129210397,5.94475526594,5.89562585321,5.98481261771,5.54935263428,5.60493084411,5.560510303,5.12153810953,5.1197563351,5.52356533227,5.50161029176,4.99894515721,5.99357741286,4.33831069262,5.99804988168,5.4975576331,5.27613044037,4.6012953664,6.86176195948,5.33084085043,3.66461533082,7.35829128141
Point0,H1,(8.66428680217 40),(7.37923471472 221),(7.5178465803 413),(10.0061340514 608),(10.0544141091 797),(9.81189168844 994),(9.02403180481 1185),(8.37376428402 1376),(7.01749456514 1551),(6.97448144927 1744),(6.96595110546 1932),(7.6446950454 2151),(7.80159112142 2320),(6.8844950076 2531),(11.676487213 2700),(5.8919977514 2806),(10.2837425663 2889),(8.44753511902 3080),(8.94888518189 3323),(7.54173530017 3453),(10.6919943282 3636),(8.3181835546 3844),(6.18874983545 4011),(7.95825419542 4204),(6.26063572808 4393),
Point0,H2,(6.21861018213 92),,(6.5577885526 430),,,,,,,(2.81347152763 1819),,,,(4.16312610845 2553),,,(9.38647211455 2905),,,(4.10941269124 3501),,(7.09850237319 3867),,
Point0,H3,(6.23820803265 98),,(6.564360675 434),,,,,,,(2.83544763468 1827),,,,(4.93168184696 2566),,,(9.95900440425 2918),,,(4.28667504329 3512),,(7.16748159635 3876),,
Point0,H4,(0.704948351202 170),,(-0.00376706295793 534),(-0.000244254583223 723),,,(1.75527226832 1268),(0.946259701457 1480),(4.25672174312 1597),(0.922863041287 1873),,(3.39814487443 2219),,(-8.881784197e-16 2627),,,,,,(0.847843923394 3569),,(1.25307373455 3964),,
Point0,H5,(0.940170172242 179),,(0.483081565208 552),(0.513450569295 740),,,(1.79586853111 1278),(1.12952184333 1492),(4.33932219234 1606),(1.19271330314 1888),,(3.77678934929 2233),,(2.23500015133 2649),,,,,,(1.06934155517 3583),,(1.26213493815 3967),,
Point0,H6,(-0.00440555382431 194),(-1.11022302463e-14 355),(-0.00376706295793 534),(-0.000244254583223 723),(4.4408920985e-15 945),(-8.881784197e-16 1144),(-3.99680288865e-15 1329),(-7.1054273576e-15 1515),(-3.99680288865e-15 1710),(8.881784197e-16 1905),(-0.0786935277706 2061),(-0.00444329932185 2281),(1.7763568394e-15 2462),(-8.881784197e-16 2627),(-0.000898758128676 2851),(-1.06581410364e-14 3043),(-6.2172489379e-15 3205),(-0.00360070296108 3415),(-0.0053134432692 3600),(-8.881784197e-16 3797),(-2.22044604925e-15 3986),(-0.00142131003702 4171),(-4.4408920985e-15 4361),
Point1,H1,(10.3338944992 47),(9.2366068622 220),(9.52667890644 412),(12.4855820185 606),(12.0304476122 795),(11.924426339 988),(11.2532114559 1180),(9.85658472805 1373),(9.28638618182 1548),(9.33517882721 1746),(9.84874522238 1932),(9.64431118048 2121),(10.3089636787 2317),(9.10722950267 2528),(14.1337693362 2699),(13.5099736588 2892),(11.9706616072 3080),(11.1245396159 3275),(11.8721270016 3452),(13.7904767627 3637),(10.8197961835 3841),(9.3155728613 4012),(10.7580541793 4204),(9.52823220716 4394),
Point1,H2,,,(2.73437149823 492),,,,,,(8.68725037812 1560),(1.43254391096 1853),,(8.81247483448 2135),(9.86256938624 2329),(5.47965383286 2554),,,,(8.84173284432 3301),(6.43740583781 3502),,,,,
Point1,H3,,,(2.77282957988 500),,,,,,(8.90969816498 1569),(1.56415312105 1863),,(9.51762079269 2150),(10.0364116191 2338),(5.66658449076 2563),,,,(9.79206628903 3318),(6.46219840395 3507),,,,,
Point1,H4,,,(8.881784197e-16 532),(1.2067980263 726),,(1.88050332627 1096),(0.316627669828 1304),(1.15036822473 1477),(5.4308253965 1594),(1.21158677262 1877),(6.44936026915 1975),,(0.942339252043 2433),(-0.00413138756348 2626),(4.20033530142 2780),,,,(1.80821097364 3572),(3.44159766087 3764),(1.33412300158 3961),,,
Point1,H5,,,(1.41007919142 550),(1.21359112012 730),,(2.11737566927 1109),(0.501111958896 1315),(1.39938877618 1491),(5.67277954949 1604),(1.40210858093 1887),(6.88018222023 1987),,(0.985531987844 2440),(2.07977688475 2646),(5.61341928894 2803),,,,(1.86501699319 3579),(3.63275244546 3773),(1.33951700652 3965),,,
Point1,H6,(-2.6645352591e-15 190),(-0.00357088726657 381),(8.881784197e-16 532),(-0.00455551516332 752),(-7.9936057773e-15 943),(-0.0031252201983 1139),(4.4408920985e-15 1328),(7.1054273576e-15 1516),(6.2172489379e-15 1710),(4.4408920985e-15 1904),(-2.6645352591e-15 2078),(8.881784197e-16 2277),(-3.5527136788e-15 2463),(-0.00413138756348 2626),(-2.6645352591e-15 2850),(-1.24344978758e-14 3041),(-9.7699626167e-15 3205),(-7.1054273576e-15 3412),(-7.1054273576e-15 3600),(-1.33226762955e-14 3795),(-7.1054273576e-15 3984),(-6.2172489379e-15 4172),(2.6645352591e-15 4359),
Point2,H1,(8.89069550294 51),(8.28345039615 221),(8.19755451783 413),(11.408171483 607),(10.9305047584 802),(10.6083613869 991),(11.2151200207 1182),(10.0509822287 1373),(8.67043572749 1549),(8.7027426695 1744),(8.9456099709 1932),(8.33885823442 2128),(9.78483579905 2319),(9.07359408417 2509),(13.1993289284 2701),(12.1123246854 2894),(11.1082360875 3081),(10.4121519454 3281),(11.2965229593 3453),(13.2832597044 3638),(10.6036286076 3842),(9.48646419778 4011),(9.92076681441 4205),(9.0843258823 4394),
Point2,H2,,(7.25414736304 237),(2.08356010092 499),,,,,,(7.8878339853 1564),,(7.41242314294 1950),,(9.5821650728 2329),,,,,(8.3863158807 3303),,,,(4.84207795918 4058),,
Point2,H3,,(7.28361617782 242),(2.08466930446 501),,,,,,(7.92195356533 1569),,(7.46161757172 1955),,(9.73397804647 2339),,,,,(9.25617169042 3319),,,,(5.19052311619 4071),,
Point2,H4,,(0.119436995023 352),(-0.00183307376421 535),(1.222555584 725),,(2.06658111094 1099),(2.42413344296 1271),(0.850763062548 1480),,(1.16684986619 1870),(5.94855077721 1978),(3.29372806185 2220),(7.44105434339 2366),,(3.70226612786 2780),(0.986272935695 3020),(0.0952287027023 3206),,(1.50496683908 3574),,,(0.348251303448 4158),,
