Cycle,0.761833333333
Average Width,173.546148858
Width,,0,0,0,0,0,0,0,0,0,0,0,173.546148858,0,0,0,0,0,0,0,0,0
Point0,H1,(19.2507609267 31),(19.3415844264 194),(21.0129394325 363),(20.8455019478 526),(19.5311074957 686),(21.5681105475 849),(22.4491202495 1018),(21.5763193636 1180),(21.2546827126 1333),(18.5296135203 1488),(17.0698164692 1648),(18.7321968578 1809),(20.6155362714 1966),(20.342525604 2126),(19.6156262246 2286),(18.5457125219 2445),(18.7349792578 2605),(19.4236153857 2765),(20.0079031073 2924),(20.3174571415 3085),(20.5885385993 3247),
Point0,H2,,(7.94317030475 241),,,,(9.03373342239 897),,,,(8.88379496079 1538),(7.31660490214 1694),,,,,,,,,,
Point0,H3,,(8.02389350704 247),,,,(9.04483736493 900),,,,(8.89080695685 1540),(7.41548394222 1700),,,,,,,,,,
Point0,H4,(1.71425061579 135),(2.42429794226 294),(3.47695184015 454),,(0.426097305261 794),(2.80830042161 954),,(3.87859130651 1272),,(2.04464944459 1593),(1.11499579221 1752),(1.21119389524 1899),(8.06129057132 2013),(9.79119632746 2170),(8.95144186587 2333),(7.98501934849 2489),(7.26623503909 2650),(8.63805262614 2809),,,
Point0,H5,(2.05113267164 146),(3.13523506766 306),(3.55303099044 461),,(0.784903356853 804),(2.85964636414 960),,(4.12220827895 1280),,(2.45137135862 1603),(1.6969544657 1763),(1.41768157767 1909),(8.0810342917 2018),(10.1657439019 2181),(9.10299471016 2341),(8.73600413342 2501),(7.61202745743 2664),(8.72727924204 2816),,,
Point0,H6,(-3.5527136788e-15 162),(2.13162820728e-14 324),(2.6645352591e-14 486),(-0.00414355987005 649),(-0.00668989578103 815),(1.42108547152e-14 979),(1.95399252334e-14 1139),(1.42108547152e-14 1299),(1.06581410364e-14 1458),(-0.0099804905353 1619),(-0.00315076307562 1777),(-5.3290705182e-15 1927),(-3.5527136788e-15 2089),(1.06581410364e-14 2256),(-2.6645352591e-15 2408),(-5.3290705182e-15 2564),(-6.2172489379e-15 2730),(-3.5527136788e-15 2886),(0.0 3048),(-1.7763568394e-15 3216),
Point1,H1,(14.0070963514 30),(14.6702372945 194),(15.7270570051 365),(15.0192981977 526),(15.1616935765 685),(16.8974189797 849),(17.3389600748 1019),(16.4990313966 1179),(16.5342810896 1338),(14.2809064789 1486),(12.1148063436 1647),(13.6331379276 1808),(15.6079975005 1964),(15.8498376906 2125),(14.5863482107 2285),(14.1754248827 2444),(13.8457451857 2603),(14.4270042734 2763),(15.0938866679 2923),(15.6130819836 3085),(15.5258511804 3245),
Point1,H2,,(6.57787072546 240),,(4.41946715925 572),,(6.97264397595 896),,,,(13.5874083294 1497),(5.08457358029 1692),,,,,,,,,,
Point1,H3,,(6.67827659488 247),,(4.49440158203 579),,(7.00916252892 901),,,,(13.8532717661 1505),(5.28892175283 1701),,,,,,,,,,
Point1,H4,(1.13222943799 133),(2.5080214729 292),,(1.16638742879 610),(0.261191747231 790),(2.04713616288 950),,(3.04272143711 1269),(7.03545357008 1399),(1.93835231445 1593),(0.814018027341 1750),(0.644504264992 1902),(6.63132350831 2011),(7.18304397495 2167),(7.35359979999 2332),(6.2909785988 2487),(5.15760534162 2648),,,,
