Cycle,0.767524904215
Average Width,4.3041611288
Width,,3.71722003241,4.72085164481,4.60200578335,4.45122139291,3.03162124316,4.95487650748,4.27546067551,4.27387534241,3.62258526993,3.37975924431,5.61369532934,4.35444003283,4.53159872179,4.51326898114,4.14246795584,3.80873058263,3.91733751808,4.96523902915,4.28527944988,4.27059476011,4.61335128983,5.20041445884,3.63150103792,3.79891751453,6.20300218004,3.5985306455,4.69739164912,4.18356529172,4.68556534779,3.08046495169
Point0,H1,(14.4743294028 69),(20.0133608325 244),(20.6554486187 407),(18.7257622568 573),(21.0717776309 743),(17.8905539398 903),(19.1768440472 1067),(14.3969487672 1234),(15.6271412568 1392),(19.9623921957 1556),(19.0089724407 1720),(19.1214674314 1880),(16.9181192374 2042),(16.1585205686 2197),(16.851826906 2355),(16.9872836709 2512),(18.2234752004 2667),(17.1090369165 2829),(17.8362548694 2987),(18.6465291687 3147),(17.2260770156 3310),(14.3371154064 3466),(16.9719584691 3626),(19.3764096936 3784),(16.2470211835 3946),(16.5388161116 4110),(15.1820791251 4262),(15.4565700562 4423),(12.5264256527 4583),(15.176434774 4745),
Point0,H2,(2.119166121 119),,(2.21567931235 488),(6.44444899716 616),,(5.85003008191 951),(6.5641414948 1115),,,,,,(5.11182929854 2088),,,(6.39753887764 2550),(6.86633506086 2715),(5.63092843388 2872),(6.12551178818 3031),(7.42733596116 3193),(5.98586752716 3353),(4.13034310691 3509),,(6.73369184308 3831),(4.23100359486 3988),(4.70247033969 4149),(4.05136003289 4305),(6.35802807914 4461),,,
Point0,H3,(2.46939776777 129),,(2.2657641479 493),(6.61228998747 623),,(5.87870378414 957),(6.56536652055 1117),,,,,,(5.14639730161 2093),,,(6.86378401396 2560),(6.90677505816 2719),(5.76204297028 2879),(6.1395008482 3035),(7.43777747709 3196),(6.00535483253 3357),(4.98585758727 3522),,(6.91877943309 3839),(4.63876744022 3999),(5.53967136769 4162),(4.73225584357 4322),(6.3581239559 4462),,,
Point0,H4,(-0.174580263565 171),,(0.357754628617 516),(4.62116819229 645),(2.30557329479 834),,(2.70209070086 1163),(1.89672316829 1327),(1.43603568273 1489),(2.96670147058 1646),,,,(1.58246064627 2287),(2.96907753465 2446),(0.966298294277 2608),(2.05001777139 2767),(0.784492560196 2933),(0.679714742287 3089),,(1.95951375274 3410),,,,(0.55890386941 4046),(0.391290831907 4211),(1.27953259518 4354),,(0.218409824302 4670),,
Point0,H5,(1.51900657241 190),,(0.544751620955 525),(4.78918878577 653),(2.53200437152 844),,(2.97519337965 1175),(2.22024039017 1338),(1.72202142878 1499),(3.15018292786 1655),,,,(2.06348145034 2299),(3.0701168806 2454),(1.2797615641 2619),(2.37647969659 2778),(0.848661470603 2939),(0.988366184604 3100),,(2.02024915126 3417),,,,(1.6406703265 4061),(0.475877326135 4219),(1.71384986008 4365),,(0.64873179568 4685),,
Point0,H6,(-0.275357971392 11),(-0.174580263565 171),(8.881784197e-15 363),(-1.7763568394e-14 536),(-1.7763568394e-15 700),(8.881784197e-15 866),(3.5527136788e-15 1032),(8.881784197e-16 1197),(-4.4408920985e-15 1356),(0.0 1515),(-0.00626187764703 1678),(7.9936057773e-15 1841),(-0.00196774101212 2006),(1.7763568394e-15 2157),(-8.881784197e-16 2317),(-5.3290705182e-15 2476),(-7.1054273576e-15 2633),(-0.00204102764527 2796),(8.881784197e-16 2952),(-4.4408920985e-15 3113),(0.0 3274),(1.59872115546e-14 3435),(-0.0130800172265 3584),(1.42108547152e-14 3744),(1.42108547152e-14 3914),(1.50990331349e-14 4076),(-0.000142049027551 4231),(1.7763568394e-14 4381),(1.68753899743e-14 4537),(-0.00302700459608 4700),
Point1,H1,(20.0422335053 74),(22.1547750285 249),(22.4957659215 412),(21.2724198317 579),(24.4129791762 749),(21.5017492428 908),(21.9661618319 1073),(19.2302314996 1238),(20.523717953 1398),(27.0436564574 1562),(23.648271681 1725),(21.8143581752 1886),(20.8526629768 2048),(19.465571682 2203),(20.330299152 2360),(21.4744870223 2517),(23.1248503197 2673),(20.2605371855 2834),(20.5302410127 2993),(21.5005707157 3153),(20.2576807134 3316),(16.8080620543 3474),(20.769405313 3632),(24.7603481233 3791),(19.446119042 3953),(22.3706772374 4116),(20.6571592601 4268),(20.7459074851 4426),(17.4247908049 4591),(24.5889641138 4751),
Point1,H2,,,,,(5.89561279606 809),,(6.84354948077 1120),(3.59713197355 1283),(7.49645446799 1441),(10.9777980406 1600),(6.32049841769 1766),,(5.73145485259 2092),,(5.96451840204 2400),(6.97263871281 2557),,,,,(2.73827865462 3391),,,,(6.37483197574 3994),(6.45666159444 4156),(4.88542916947 4312),,(2.87924372918 4627),,
Point1,H3,,,,,(6.01978416069 817),,(6.87016394847 1124),(4.69944242214 1306),(7.51861117676 1445),(10.9795294874 1602),(6.32423736807 1769),,(5.82692980701 2099),,(6.09420542361 2408),(7.35822123979 2566),,,,,(2.76560209437 3397),,,,(6.52377315838 4002),(6.98287553063 4166),(5.13763382448 4324),,(2.89208291055 4630),,
Point1,H4,(-0.00865545210796 177),(4.36180879782 326),(0.495267313649 517),(5.05892972375 648),(3.39210499167 839),(6.17108181082 955),(2.62127964821 1168),(3.40787642008 1334),,(2.30585377001 1647),,(2.79824028782 1965),(2.32749717966 2131),(1.9452406205 2294),(2.84317611665 2452),(1.43637323208 2615),(2.7718629224 2774),,(0.568455395698 3094),(7.56719446195 3198),(2.0042862459 3414),(3.275820925 3516),(1.94603834413 3718),,(-0.403433003178 4052),(0.0364469480769 4219),(1.45807229941 4361),,(1.54565742424 4651),,
Point1,H5,(2.35349421248 197),(4.5491155143 337),(1.41804262477 531),(6.63961143778 667),(3.97199844163 850),(6.7420290893 967),(3.23976335136 1183),(3.45470643031 1340),,(4.40283422492 1666),,(2.86082862206 1971),(2.32806560472 2132),(2.27908193212 2304),(3.61182457513 2465),(1.53730731547 2623),(2.9741739168 2783),,(0.708136602642 3105),(7.68341040954 3205),(2.17450310476 3424),(3.80200443162 3528),(2.11831597999 3727),,(0.991856978567 4068),(0.156177218039 4227),(1.60365503276 4369),,(1.73998622712 4661),,
Point1,H6,(-0.0667324407308 2),(-0.00865545210796 177),(-0.00723848186808 369),(-1.68753899743e-14 544),(-1.42108547152e-14 705),(-1.24344978758e-14 872),(-1.06581410364e-14 1037),(-8.881784197e-16 1202),(-8.881784197e-15 1362),(-0.0125455496169 1520),(-8.881784197e-15 1685),(-0.0161925515401 1845),(-0.00306517272445 2011),(1.86517468137e-14 2161),(6.2172489379e-15 2322),(-0.00987956258348 2482),(1.95399252334e-14 2639),(5.3290705182e-15 2801),(-0.00061933024049 2957),(1.7763568394e-15 3117),(-1.42108547152e-14 3279),(-1.68753899743e-14 3441),(-0.145902672433 3579),(-1.59872115546e-14 3750),(-7.9936057773e-15 3918),(-0.403433003178 4052),(-1.7763568394e-15 4234),(-0.00781476120545 4386),(-0.00198181219514 4544),(-0.00258888316587 4703),
Point2,H1,(14.0049817256 75),(16.264951925 250),(15.7043869263 412),(15.1557096395 580),(5.29859292973 673),(18.1062228157 749),(15.0459042958 908),(15.6313199398 1074),(12.8624299375 1238),(15.0749785602 1398),(22.2299028545 1563),(15.2168888281 1724),(16.6632155766 1887),(15.1207621909 2049),(14.2906371526 2204),(14.0696014661 2361),(15.9426227151 2521),(16.8371131951 2676),(14.2005837495 2835),(14.8399916609 2994),(15.6595802059 3154),(14.3069951365 3317),(11.8092684197 3475),(16.3734481892 3633),(18.567745977 3791),(14.3556172758 3954),(18.5738606559 4116),(16.5454648898 4267),(15.8934327807 4426),(13.252776503 4592),(21.68234295 4752),
Point2,H2,,,,(4.75298200764 621),,(3.40988235106 806),(4.56061390139 953),,(7.9936057773e-15 1281),(4.88113884086 1441),(9.3402898343 1599),(-0.0406498231866 1765),,,(3.47292098983 2242),(3.7556526992 2399),(3.71538476443 2555),,,,(5.15922718813 3199),(3.04167641591 3362),(1.89758391417 3519),,,(5.7599933755 3991),,(3.10022329043 4331),(0.521661402302 4511),(0.72840896574 4626),,
Point2,H3,,,,(4.92390509894 629),,(4.05777418786 819),(5.38250924369 968),,(2.4741332067 1319),(4.90315844845 1446),(9.3649917029 1603),(0.945960361886 1785),,,(3.72025343099 2252),(3.90509154592 2408),(4.81259250722 2568),,,,(5.22299282055 3205),(3.48566609033 3377),(2.22358116041 3533),,,(6.06556610377 4002),,(3.10460678037 4335),(0.577183762923 4520),(0.882523195578 4633),,
Point2,H4,(-0.0129161193419 171),(3.60577571401 324),(-1.68753899743e-14 515),,,(1.61218610561 839),(4.10174351024 988),(1.36877753955 1158),(2.10830122952 1333),,(1.84711180849 1642),(0.447653738438 1802),,,(1.38136538809 2289),(2.43341720876 2433),(0.541344357309 2610),,,(0.040175911061 3092),,(2.1024847817 3408),(-0.0178518079738 3559),(1.22614515707 3714),,(-0.0158715709297 4051),(-1.06581410364e-14 4213),(0.829632191349 4363),(0.489915649574 4530),(0.36632106504 4648),,
Point2,H5,(2.47491765532 197),(3.75809515643 337),(1.53225697083 533),,,(2.95741198793 854),(4.23920281006 998),(2.68447971268 1182),(2.30333624717 1343),,(4.47959195314 1666),(0.752765244214 1816),,,(1.77280757453 2303),(3.19711306006 2462),(1.39750005864 2626),,,(0.644376420789 3107),,(2.98263721148 3425),(1.36715089239 3579),(2.18248742501 3731),,(2.13240629331 4069),(0.945733222192 4228),(0.888193045224 4370),(1.0035516368 4545),(1.26176157731 4670),,
Point2,H6,(-0.0938143703245 3),(-0.0129161193419 171),(-0.0133462566795 370),(-1.68753899743e-14 515),(-0.00445419372843 705),(-2.6645352591e-15 873),(-1.50990331349e-14 1041),(7.9936057773e-15 1203),(7.9936057773e-15 1281),(-1.42108547152e-14 1362),(-0.0132189124941 1520),(-0.0606017438511 1688),(-0.0406498231866 1765),(-0.149190906628 1838),(-6.2172489379e-15 2013),(-8.881784197e-15 2158),(-0.0102904849629 2323),(2.6645352591e-15 2483),(-5.3290705182e-15 2640),(-0.0273881366821 2802),(-1.33226762955e-14 2958),(1.7763568394e-15 3119),(4.4408920985e-15 3281),(-0.00609048083321 3444),(-0.0178518079738 3559),(-5.3290705182e-15 3752),(-1.46549439251e-14 3919),(-0.0158715709297 4051),(-1.06581410364e-14 4213),(-0.00933406649703 4385),(-0.0075881029872 4559),(-0.0133409307474 4699),
