Cycle,0.731402387042
Average Width,5.70439321012
Width,,5.31669373052,5.67442597422,6.5778591174,5.40821654925,5.72520975581,6.09033173788,6.32675504955,5.9420413811,5.33008295596,5.27464822603,5.47642357492,5.60083750163,5.6974447311,5.62007196847,6.32867589716,5.77421382387,5.99381811546,5.11468107649,5.73230771931,5.02551399103,5.25622924967,5.62903848583,4.98285676175,4.64420092303,6.20215447783,5.79728721674,5.84055198965,5.7801533029,5.32507572177,6.71576623432,6.36227081524,5.71873489519,6.19329763526,5.54958955896,6.19095907205,4.68870135848,5.85004417466,5.49560826383,5.29380127543,5.11557716952,4.76374833332,5.40173844146,5.41248547242,5.66468820039,5.66875279577,4.99102412269,5.80163392264,6.78428054103,5.98207116482,6.18338788003,5.78592784326,6.11642818963,6.44917683545,6.53138735301,5.86188006378,5.44743490946,4.9799728486,5.5066315738,5.2493476692,5.42851058314,5.20077078317,6.11291290516,5.83195825955,5.7048915768,7.14787905183,5.94393526447,5.96561475007,5.97478831001,5.04772039382
Point0,H1,(11.5221153052 26),(13.0867878635 186),(16.3529746604 344),(15.3300243564 492),(14.6235949469 648),(17.932593837 794),(18.2411076165 954),(17.4469641214 1098),(16.2717530642 1246),(15.5415906138 1407),(17.4357540526 1563),(17.580861563 1721),(18.4595609539 1884),(17.1959846185 2052),(17.3382357001 2214),(19.4143921328 2379),(17.5036291737 2542),(16.5959818465 2697),(16.0139906716 2839),(14.6029039799 2983),(16.4697367551 3125),(16.0844616093 3277),(12.0833167521 3411),(16.9118732416 3547),(16.6635122088 3690),(14.7488800151 3820),(17.2492016556 3961),(18.3031667251 4091),(18.7400947723 4220),(20.4648129052 4363),(13.4122961663 4505),(19.7342906632 4650),(17.8879455822 4788),(19.6182908243 4921),(17.3650592489 5058),(15.6751634076 5194),(17.2672247693 5325),(17.5771418351 5465),(19.015641676 5607),(12.8079102388 5744),(15.5336899684 5884),(19.1443083933 6028),(21.0967404375 6170),(18.9061090205 6312),(16.9701722164 6457),(20.1273091147 6607),(22.0508283556 6765),(21.174542671 6931),(19.8596214058 7096),(20.0930725262 7258),(18.9601039274 7422),(18.9859049391 7580),(20.6447770443 7738),(16.3319058075 7890),(18.6758929198 8033),(17.7728020746 8182),(16.2500576421 8330),(18.9998605727 8480),(17.3495193215 8631),(19.1552468399 8776),(18.1036716073 8926),(20.0576498436 9081),(20.6288134081 9239),(20.7767268464 9400),(18.9072234078 9550),(20.0234084353 9706),(22.1878560573 9865),(17.8799090989 10023),(16.9531306843 10168),
Point0,H2,,,,,(6.05902900474 696),(7.52348458142 840),(6.83995180591 999),,(10.4865527978 1289),,(7.01033623633 1609),,(8.06760773007 1931),(6.53295821517 2108),,(11.2520006269 2421),(1.7763568394e-15 2597),(1.28785870857e-14 2741),(8.23911543961 2866),,(8.90816571543 3150),(8.0642770272 3313),(3.66637395285 3446),(12.4701431594 3567),(6.10334953872 3737),(7.09698267141 3867),(5.97182419797 4011),,(7.88431607826 4267),,(0.563882329565 4541),,(7.28260242041 4819),(12.8292450598 4942),(7.18617733142 5097),,(7.53516362131 5364),,,(6.02489309738 5772),(7.60457766834 5924),,,,(7.46917860173 6502),,,,,,,(7.83647255601 7621),,(5.52989771565 7922),,,(10.5877059711 8352),,(7.44850457507 8682),(8.20298754246 8824),,(12.5740347554 9105),(11.8994185497 9264),,,(7.59799899525 9754),(11.7550207032 9894),(7.45354478682 10078),,
Point0,H3,,,,,(6.18247552592 704),(8.29899283347 854),(7.29567312842 1010),,(10.6961709364 1299),,(7.7487898945 1621),,(8.23549232517 1943),(6.70210463332 2117),,(12.2238420599 2436),(2.47481328488 2619),(2.06555416676 2760),(9.25390732037 2884),,(11.4945346038 3170),(8.15297913796 3320),(4.87984139431 3460),(12.4971218537 3571),(6.45763691126 3747),(7.15026179691 3872),(6.19488399726 4019),,(7.93711725003 4273),,(2.88301263914 4563),,(7.69073850013 4830),(13.1547111691 4950),(7.20949053339 5101),,(7.66968710687 5372),,,(7.27703903922 5787),(9.71694576981 5943),,,,(7.47412247544 6505),,,,,,,(8.07189835659 7632),,(8.20633407816 7941),,,(10.6687470556 8357),,(7.46007091357 8686),(8.46389841828 8833),,(12.5900782237 9108),(12.0427479183 9270),,,(7.81807458611 9764),(12.4891492803 9912),(7.51386564233 10085),,
Point0,H4,(0.370623560986 111),(1.33662502072 277),,(0.921066120538 585),(1.63568416012 745),,,,,(1.88219907379 1505),(-0.00526202367922 1678),(2.3263808844 1828),(3.62132930516 1987),(2.82853652738 2149),,,(2.43684054896 2624),(1.51647688848 2771),(-0.0170026043463 2926),,(1.7763568394e-15 3206),,(1.40264563702 3486),(8.82460829881 3595),(2.75666866451 3772),,,(2.82511417996 4167),,,,,,,,,,(3.54606022841 5543),(2.58378034412 5687),(-7.1054273576e-15 5826),,,,(4.71155471308 6394),(2.63815396867 6551),(3.60848326412 6710),(3.55386647191 6867),,,(2.9492608382 7364),(1.02594808816 7525),,(1.60561082369 7827),(2.48911010869 7973),(5.68401006932 8120),,(3.14690120343 8399),,(3.01666255864 8713),(3.37975653401 8870),,(2.58377207563 9172),,(2.29081914188 9494),,,,,,
Point0,H5,(2.09151778062 139),(2.62519322428 292),,(0.922950485778 587),(1.87316623903 754),,,,,(2.05080576511 1517),(0.0505882444876 1684),(2.32815777132 1830),(4.49557670459 2000),(3.84664780248 2162),,,(5.54887828168 2644),(2.98645741189 2787),(0.0584878799215 2934),,(6.35565410701 3236),,(2.31678132812 3504),(8.90866488006 3601),(2.7687762589 3775),,,(3.28898179796 4177),,,,,,,,,,(3.80619092009 5552),(3.06606582434 5698),(3.50875716492 5844),,,,(4.71165138205 6395),(2.8950537218 6560),(4.01888781792 6720),(4.73941652005 6881),,,(3.59197199471 7376),(2.38237245015 7539),,(3.2835540102 7843),(3.0673576649 7985),(5.85986032104 8127),,(5.17344409338 8424),,(3.28757271613 8721),(4.09426018036 8881),,(3.58289753763 9186),,(3.00641409415 9506),,,,,,
Point0,H6,(-0.00183013337567 159),(-8.881784197e-16 309),(3.5527136788e-15 465),(-5.3290705182e-15 610),(9.7699626167e-15 768),(9.7699626167e-15 927),(-0.000615612229037 1068),(2.13162820728e-14 1219),(1.24344978758e-14 1379),(1.06581410364e-14 1535),(-0.0257876144551 1690),(0.0 1855),(-1.7763568394e-14 2020),(-1.7763568394e-14 2181),(-7.1054273576e-15 2342),(-7.9936057773e-15 2511),(1.7763568394e-15 2597),(4.4408920985e-15 2665),(1.28785870857e-14 2741),(-0.0478149208576 2806),(-0.036906663894 2943),(1.59872115546e-14 3092),(1.7763568394e-15 3206),(4.4408920985e-15 3374),(1.95399252334e-14 3520),(8.881784197e-16 3651),(1.15463194561e-14 3794),(2.13162820728e-14 3931),(-6.2172489379e-15 4063),(0.0 4194),(-0.00972161833162 4336),(-0.0108766297112 4480),(0.563882329565 4541),(-0.0160259784461 4617),(3.5527136788e-15 4754),(1.50990331349e-14 4889),(-3.5527136788e-15 5026),(0.0 5165),(1.15463194561e-14 5297),(7.9936057773e-15 5435),(1.7763568394e-15 5572),(-7.1054273576e-15 5715),(-7.1054273576e-15 5826),(4.4408920985e-15 6002),(5.3290705182e-15 6141),(7.1054273576e-15 6277),(1.7763568394e-15 6422),(3.5527136788e-15 6577),(-1.7763568394e-15 6737),(0.0 6899),(-0.00235309173911 7060),(-0.000194522924681 7230),(-3.5527136788e-14 7394),(-4.08562073062e-14 7553),(-1.7763568394e-14 7711),(0.0 7860),(5.3290705182e-15 8002),(-0.0255126559374 8149),(-3.5527136788e-15 8301),(-5.3290705182e-15 8450),(-0.0228945544967 8596),(-5.3290705182e-15 8742),(0.0 8899),(-0.00195240583546 9050),(1.7763568394e-15 9206),(-8.881784197e-15 9338),(-1.06581410364e-14 9522),(-1.50990331349e-14 9678),(-2.30926389122e-14 9829),(-5.3290705182e-15 9988),(8.881784197e-16 10135),
Point1,H1,(16.2084070626 30),(15.3031934204 190),(18.3775350789 348),(19.3470361376 497),(16.3891163264 652),(19.3691698819 799),(18.6082647464 959),(19.1141232855 1103),(19.8955176927 1250),(19.058218397 1410),(20.429452201 1568),(20.1878963365 1726),(20.8541619542 1888),(19.9094321807 2056),(18.2448548045 2218),(21.7057313075 2383),(20.093522628 2545),(20.6116818198 2701),(18.3559229978 2843),(19.3611125152 2988),(20.0684422947 3129),(18.1336734792 3281),(14.4431275852 3415),(20.8558358052 3551),(18.9218466716 3692),(17.8406301281 3824),(19.4901632738 3965),(19.5867748219 4095),(21.4242946738 4225),(21.6339123231 4367),(15.0075187987 4509),(21.183429163 4654),(18.82608813 4791),(22.2113976834 4926),(19.7476634603 5062),(19.854953686 5198),(20.8138062437 5329),(20.4661947811 5470),(21.2430493546 5610),(17.7484474912 5747),(21.8512337381 5888),(23.1620997885 6032),(24.3169851504 6175),(21.9775721095 6316),(21.1459065055 6461),(23.859910604 6610),(24.3813883564 6769),(22.5361795109 6935),(21.6875220046 7100),(22.2376619062 7263),(20.8097671041 7426),(20.7877587069 7584),(22.0447723093 7743),(17.5653224367 7894),(20.4919845464 8037),(20.6832252894 8186),(19.919891551 8334),(21.8477676738 8484),(20.6355957447 8636),(21.8923267976 8781),(21.6930377221 8929),(21.7015830279 9086),(22.4956452746 9244),(22.0613093584 9405),(20.6032509718 9554),(21.2204628371 9711),(23.6028704177 9869),(20.8759596066 10027),(20.5775289313 10172),
Point1,H2,,,(8.4255175427 398),,(5.63006620281 701),(6.4877997055 846),(6.35823290043 1004),(12.7727785939 1125),,(8.46389783821 1456),(7.83705665297 1612),,(8.86147823146 1935),,,(12.7684189327 2425),,(4.46106290629 2746),(8.8708135844 2871),,(9.98422581877 3155),(6.89707512902 3314),(5.07727558514 3450),(9.2929102598 3597),,(7.08000290363 3871),(5.83081996118 4018),(4.77586674034 4145),(8.45062908387 4271),(13.8503742331 4392),(1.89175046323 4541),,(7.8310518676 4825),(13.7629955486 4950),(7.84706072168 5100),,(7.40117268666 5372),,,(10.7429052869 5773),(10.2568564773 5928),,,,,,,,(9.45621147958 7129),,,(8.16969750097 7625),,(5.86772847498 7927),,(8.84620385094 8226),,,,(8.93122376624 8830),(9.25929379099 8975),(12.3038704108 9109),,,,,(11.3066230984 9898),,,
Point1,H3,,,(8.46794369742 403),,(5.85533410434 710),(7.1649331347 859),(6.74529548358 1014),(12.8355992743 1130),,(8.4895725387 1461),(8.64506866754 1625),,(9.23705418355 1946),,,(14.537663626 2441),,(5.62805225196 2761),(9.49942993191 2883),,(12.6079264366 3173),(7.91400568858 3330),(6.29134579706 3464),(9.74536746895 3607),,(7.20686661515 3878),(5.91573212598 4024),(4.95167562325 4152),(8.60513045195 4278),(13.8514713003 4393),(4.0704972055 4566),,(8.56437965705 4838),(13.7984275429 4954),(7.9438593531 5107),,(7.45864253185 5378),,,(13.2960350507 5791),(11.9930006068 5946),,,,,,,,(9.53474734989 7135),,,(8.45594191274 7636),,(8.70723099757 7947),,(8.91801166282 8233),,,,(9.08214298603 8838),(9.38772247514 8983),(12.4984337577 9115),,,,,(11.494103734 9915),,,
Point1,H4,(0.56556996239 121),(1.07241770679 282),(4.6575370663 439),,(1.56725556137 749),(2.00531552348 903),,(2.42094866319 1196),(4.45596451434 1358),,,(2.09574763835 1823),(4.02207097825 1990),(2.75274021906 2155),(2.58737547696 2319),,(1.7763568394e-15 2602),(3.87100174205 2778),(0.477672539007 2928),(2.03032368229 3065),(-7.1054273576e-15 3210),,(2.2123957348 3496),,,,,(2.66124943579 4173),,,,(3.62229344871 4734),,(4.65063852895 5006),,(4.00654279655 5277),,(4.27500376411 5549),(3.22117145603 5692),(2.48567845188 5830),,,,(4.22816482529 6400),(2.70563453322 6556),(4.42276777603 6715),(3.48895388803 6874),,,(2.79099730878 7370),(1.91084783039 7531),,(1.59080889641 7832),(2.57831195824 7978),(5.99360054617 8125),,(3.1260450839 8403),(3.80673348137 8575),(2.81964366127 8717),(3.8369787541 8875),,(2.57403056743 9178),,(3.39845589019 9499),,,(4.77316255091 9965),(5.34715842604 10109),,
