Cycle,0.688617021277
Average Width,3.9066306196
Width,,3.94630525993,3.84706268948,3.79365110353,3.88172527076,4.10070019631,3.92213556597,3.90000746136,3.78100730225,4.00508585207,3.88795077275,3.83484991078,3.92514486983,3.84637811265,3.87482991949,3.76688982035,3.93930871806,4.00610811911,3.88871837884,3.88848238838,3.92770013389,3.7954802417,3.87500108476,3.48393129035,3.83631898969,3.87797071285,4.2379092789,4.18634059112,3.67974153114,4.31367958063,3.58875376035,3.90893127946,3.91423272791,3.82534124295,3.89781877135,3.96649199018,3.68523088485,3.99104892161,3.89221553397,3.8957211335,3.83787302287,3.7613753745,3.95089272179,4.10016045974,4.18714455493,4.22024711118,3.58927373594,4.02833769126,4.02676367555
Point0,H1,(21.6326367424 24),(20.3752122464 144),(20.1517543905 269),(23.8142011162 407),(21.9871504046 556),(22.7742320212 714),(20.946007133 880),(17.1820901084 1042),(23.5387300699 1195),(22.0985055169 1343),(23.6512509048 1481),(27.8498404449 1611),(25.5714643282 1748),(28.5073100098 1882),(27.638481001 2023),(23.940818428 2166),(23.8289386378 2319),(25.7034405581 2473),(28.3406697145 2630),(27.1574325619 2790),(24.9047729761 2935),(23.23409816 3079),(21.2010593884 3220),(26.9867110494 3353),(26.8619807349 3495),(26.1187355275 3638),(26.0831661749 3782),(24.1105980487 3924),(23.0720759178 4069),(13.1112259372 4217),(16.7325042555 4356),(20.4888109719 4474),(16.647334543 4598),(22.045760806 4711),(23.8006271421 4837),(20.7858365176 4983),(24.9722900161 5126),(24.9492604893 5273),(23.012642966 5429),(21.0368089899 5575),(19.8103219242 5718),(19.1791085335 5860),(15.0737940144 5991),(18.5545328637 6109),(26.0528687209 6230),(25.1096555234 6349),(27.1656780594 6480),(29.9143196335 6617),
Point0,H2,,(5.4947264122 171),(7.68020831664 298),(9.92350297388 429),(6.82561900115 587),(10.8563345552 741),(8.70777257618 909),(2.87254045885 1067),(8.56677931632 1227),,(10.5529978107 1508),,(5.96330462088 1772),,(7.5371227005 2046),(6.54271804785 2188),,(9.02914468475 2501),(4.42599757216 2654),(7.15984052145 2812),(4.89274406895 2961),,(2.90611821089 3243),(8.78535198151 3383),,(11.0459315859 3660),(7.98924376284 3805),(7.09903682028 3948),(6.30834289127 4096),,(6.0297763801 4380),,(4.19762961771 4622),(8.05394669601 4734),(7.00719511452 4860),,(8.81805692359 5149),,,,,,(2.22517648481 6026),,(7.59863721657 6254),(9.10527718905 6376),,
Point0,H3,,(8.83291204092 191),(11.373221586 318),(13.5340061379 455),(10.7515243912 609),(12.9625815874 760),(13.4979639486 933),(9.80319292478 1095),(12.7517653689 1248),,(12.172432431 1531),,(14.9021684632 1797),,(9.41220752676 2061),(11.0321936257 2217),,(14.8308060558 2524),(11.5562176409 2683),(12.6858378576 2843),(12.6297340919 2987),,(11.5767386771 3268),(13.0739118455 3405),,(15.4795525499 3680),(11.9093770885 3824),(12.1714462747 3972),(8.28781358449 4127),,(9.36373373593 4405),,(5.29031508533 4638),(9.98327654264 4750),(10.9537552798 4877),,(11.6787787657 5168),,,,,,(3.52014238721 6044),,(13.7385081049 6278),(15.4223675757 6398),,
Point0,H4,(5.21669317989 54),(5.50380813341 214),(1.38326481429 364),(6.10933924274 497),(0.435628583199 660),(-0.000205978088719 818),(3.27375597197 982),(-0.0602543552722 1138),(5.79195317627 1286),(7.12152577625 1372),(1.45821569727 1558),(9.25320509043 1642),(4.3946768404 1831),(10.8710872736 1914),(9.27532791301 2068),(2.85816117896 2260),,(3.56128382664 2584),(0.392237444117 2722),(0.907351580734 2886),(-0.00948403344835 3032),(4.17547014325 3107),(2.14474785324 3303),(0.141452196785 3447),(6.04172725699 3518),,,,(1.81940625254 4167),(2.61431062959 4247),,(4.61712495959 4513),,,(3.93298742721 4932),(3.56481287257 5006),(0.186897079659 5220),(10.8544083713 5303),(4.00178527111 5453),(4.2624583731 5603),(5.04097757166 5742),,(3.39135381366 6052),(5.31112523354 6139),,,,
Point0,H5,(10.0025466814 77),(5.9815326957 223),(1.44225680951 368),(8.18624440528 512),(3.28260889403 675),(3.78950611308 836),(3.50255418192 990),(2.83346132278 1155),(5.983281547 1293),(11.9529911137 1394),(4.27762241305 1571),(14.0366532351 1663),(4.86916380424 1840),(14.4530370918 1934),(9.34125662347 2074),(3.86373546178 2272),,(3.71096558178 2591),(2.05266712647 2739),(1.93001886394 2898),(1.45254147391 3047),(10.126671276 3132),(2.73780354581 3313),(1.11291826287 3458),(11.171235734 3549),,,,(2.30899459087 4177),(5.41598672781 4274),,(7.82389560697 4533),,,(4.32179571231 4943),(8.24190447011 5034),(3.64508501512 5235),(12.1699663453 5324),(11.4359184037 5480),(8.71579226796 5629),(9.0869428123 5771),,(3.59736171285 6061),(9.10240243764 6163),,,,
Point0,H6,(1.42108547152e-14 114),(3.5527136788e-15 243),(5.3290705182e-15 381),(-1.7763568394e-14 531),(-8.881784197e-15 689),(-0.000205978088719 818),(-1.59872115546e-14 1010),(-0.0602543552722 1138),(1.24344978758e-14 1314),(1.7763568394e-14 1455),(5.3290705182e-15 1585),(0.0 1714),(-1.06581410364e-14 1856),(7.1054273576e-15 1995),(-0.00377829651585 2125),(-1.06581410364e-14 2289),(-5.3290705182e-15 2448),(3.5527136788e-15 2607),(-0.00180806628809 2759),(-1.95399252334e-14 2910),(-0.00948403344835 3032),(-0.000975739451697 3189),(3.5527136788e-15 3327),(1.42108547152e-14 3469),(7.1054273576e-15 3594),(8.881784197e-15 3754),(-0.00314016701426 3890),(-0.0203970090669 4034),(-3.10862446895e-15 4192),(-0.0352463698666 4323),(1.24344978758e-14 4449),(-0.07599696165 4566),(-0.0140120509728 4685),(-0.00570990689192 4804),(-4.4408920985e-15 4960),(-0.00645622351269 5087),(5.3290705182e-15 5249),(1.42108547152e-14 5386),(-0.0102757272112 5545),(-3.10862446895e-15 5689),(-3.5527136788e-15 5825),(-0.035052805237 5950),(-0.006916711486 6080),(7.1054273576e-15 6199),(1.95399252334e-14 6322),(1.24344978758e-14 6448),(7.1054273576e-15 6590),
Point1,H1,(36.164268288 25),(36.1851573744 144),(36.2400613042 269),(40.1122735269 408),(34.7495423736 558),(37.6960294091 715),(34.1361810922 881),(29.7120181637 1042),(35.9961972636 1195),(33.9054843383 1342),(37.1971263978 1482),(40.321184301 1612),(38.3379213642 1749),(40.5589115931 1883),(41.2751295064 2023),(37.6612727146 2167),(37.0536023183 2319),(39.1425796436 2474),(38.8563848641 2632),(37.6691728002 2790),(37.0415972447 2936),(35.7544743303 3080),(35.0611315118 3221),(39.5096336403 3354),(39.4808376657 3496),(37.1881010198 3639),(37.2016798568 3783),(36.6698761138 3925),(30.9852892731 4070),(21.4281126569 4217),(24.0413294939 4356),(29.2342518413 4475),(24.7063291508 4598),(32.0219614636 4712),(34.1735932431 4838),(34.85075913 4984),(34.9860370669 5127),(35.9065524844 5274),(33.2691058114 5430),(30.2912362166 5575),(29.1462695712 5718),(30.5899986709 5859),(22.5112404797 5991),(30.08258074 6110),(37.1999105954 6231),(41.3171726402 6351),(39.0811322368 6480),(43.7000498114 6617),
Point1,H2,,(11.8930964545 173),,(13.7802466387 431),(14.4038955361 587),(15.8153977849 745),(12.2049725592 908),(8.14874496197 1068),(12.0816218931 1226),(9.53579046554 1373),(12.7217653302 1509),,(9.17731344841 1774),,(10.0245863217 2048),(10.3512611897 2189),(14.110668568 2347),(13.2208416197 2503),(8.97858676946 2656),(9.23727591359 2813),(8.21813163438 2962),,(6.59878153212 3245),(11.6984133446 3383),(8.8070588888 3519),(10.2514133972 3661),,(9.01364884787 3950),(9.09231095442 4096),,(8.61296029837 4382),,(6.8986820644 4623),(11.2321601686 4735),(9.00593631084 4861),,(11.6990796263 5149),,(6.21577658802 5453),,(9.08704175593 5741),,,,(9.68602651158 6254),(13.6296610407 6380),,
Point1,H3,,(17.3740547146 193),,(18.942583177 456),(19.5724685746 606),(19.2204586232 765),(19.3151819826 931),(16.6962096323 1093),(19.4436634881 1249),(17.9630308747 1396),(17.7080795437 1535),,(20.7170055001 1797),,(15.2502147088 2073),(17.3349999651 2216),(21.9142864265 2367),(20.4558781453 2526),(17.2078851706 2684),(18.1548488074 2840),(17.0313299804 2990),,(19.1464229179 3268),(20.053127851 3406),(16.0516671655 3549),(17.4806244845 3689),,(15.94729529 3973),(11.0123125238 4116),,(13.0082226541 4405),,(8.71494676496 4647),(14.2779906279 4752),(14.7415699474 4878),,(16.4779906913 5169),,(15.6581261567 5479),,(14.8298503184 5765),,,,(18.4739960808 6278),(22.1169532414 6400),,
Point1,H4,(9.6304417575 53),,(13.3605675812 301),(5.255771675 501),(3.49548645032 661),(2.99704908548 820),(4.68269263539 982),(2.76976817331 1140),(6.24876502498 1287),(5.24856416883 1433),(4.84404037721 1560),(11.4905943106 1643),(6.16562442303 1832),(13.9640674836 1912),(2.13162820728e-14 2125),(4.27287472735 2260),(4.59252001965 2421),(3.76251585474 2584),(1.75980232646 2724),(1.11975748473 2887),(0.829885780076 3033),(7.78722866681 3106),(3.29609435691 3304),(2.09906635318 3451),(-7.35674004915e-06 3598),(-0.182326808736 3739),(9.37939404014 3806),,(1.6895008121 4168),(5.85797315308 4245),,(8.2854477275 4513),,,(2.82889488093 4936),(8.50541446597 5007),(2.28687152131 5222),(14.6047962669 5302),(-0.0350168035916 5535),(5.82319614013 5600),,(9.61254785383 5890),(5.60736400666 6019),(8.29477580113 6141),,,,
