Cycle,0.815182291667
Average Width,7.45470382696
Width,,7.26275121464,7.13879282895,6.52728408013,8.72817433334,10.8428060671,10.4714998176,14.3877630412,10.6928984438,14.603781364,11.1122222068,10.7353246024,10.5846379379,10.33880189,10.8721679759,8.51355867623,7.55255230318,6.72562556711,7.16058385053,7.17336185518,7.15340522192,6.54522852301,6.99539161744,6.52393711204,5.98359211819,5.63204092746,5.7397307174,6.15150566112,5.7258476381,5.92801914075,6.05073759069,6.01270200157,6.19881979085,6.28050675156,7.40359399096,6.92846315983,7.48623572793,6.3574436477,6.19420136524,5.72952837614,5.76727038756,5.82158424047,5.79824978725,5.92249789738,6.16235779465,5.94019369763,5.58264120969,5.13071141887,5.05098816534,5.65847378606
Point0,H1,(5.00209445223 23),(5.74325264591 179),(5.87831843541 344),(7.03176637548 502),(6.19763324693 665),(5.91494969453 842),(6.95496623266 992),(6.67136007907 1160),(6.79772201821 1330),(7.66637730774 1496),(7.01595483413 1667),(7.02892227175 1835),(7.29196988509 1989),(7.14324842511 2159),(5.92896397749 2324),(8.57206086862 2486),(7.44333258791 2661),(7.71439565699 2821),(7.27171827191 2995),(6.68951461754 3158),(7.96826624782 3331),(8.06473146206 3502),(7.40124751714 3662),(9.82425269844 3826),(8.82783881746 3992),(7.43022704796 4154),(10.2413786194 4322),(9.28538301277 4487),(8.60637957198 4659),(9.78542263358 4823),(9.92727773152 4995),(9.49635024732 5171),(9.18528618809 5333),(10.5625260315 5509),(9.09314261531 5682),(10.9165220678 5854),(8.81454666271 6021),(9.01704399478 6193),(8.92848126016 6355),(8.59824491672 6531),(9.04425233839 6693),(10.0383137113 6859),(9.62427307429 7030),(9.96290596936 7192),(10.4404935079 7364),(10.044052243 7522),(9.3439397433 7684),(12.0098816183 7841),(11.5696558438 8004),
Point0,H2,(1.69581891506 63),,(3.62112152374 371),(5.29348057476 539),,(4.02534976557 865),(1.06195856123 1078),(2.05389131395 1201),(3.75530135772 1359),,,(4.90303079735 1869),,,(3.49192273365 2353),(4.71218675311 2533),(2.22304764084 2741),(4.77114241054 2866),(5.30655881279 3014),,(4.09017901938 3380),(4.65213687395 3535),,(7.24187303421 3850),(4.72809663906 4032),,,(5.24818166145 4528),(5.12357945676 4685),,,,,,(5.06777702692 5719),(6.80963388552 5889),,,,(5.23041469403 6564),,,(6.07406252236 7072),(6.55453363571 7229),,(6.45087134764 7544),(4.31798468107 7724),,
Point0,H3,(1.9167409589 74),,(3.90907234853 385),(6.03274571372 555),,(4.34092661935 876),(1.08648259116 1084),(2.06475081749 1206),(4.11917471709 1374),,,(4.93850445856 1875),,,(3.92695245644 2368),(4.82573139303 2542),(2.33101669116 2749),(4.79286042755 2872),(5.50888491633 3024),,(4.28272612622 3390),(4.68381675725 3549),,(7.25902229486 3854),(4.73252386898 4035),,,(5.52591325936 4540),(5.58433941405 4711),,,,,,(5.34342098794 5737),(7.10065452542 5901),,,,(5.52354773623 6580),,,(6.41762150212 7086),(6.96557717807 7243),,(6.53720050532 7550),(4.72199493216 7736),,
Point0,H4,(0.435007588585 99),,(3.48994540164 402),(2.88555808703 582),,(8.881784197e-16 924),(0.30719013395 1109),(0.519834024797 1241),(1.91565944333 1411),(2.99683623028 1569),,,(0.9975886418 2093),(0.24741560573 2255),(2.31379146561 2402),,(1.40061002576 2768),(1.64096794 2928),,,(1.26306392457 3425),,,(3.98869298357 3907),(0.942282951107 4094),(2.3959450155 4227),(3.71706536466 4403),,(1.84097548709 4747),,,,(1.53280786505 5427),,(3.41652553298 5764),,(1.01682615284 6120),(1.07092715603 6284),,,(1.58866951301 6789),(1.29625491953 6978),(2.28210918245 7137),(2.46267128908 7294),(0.352785768656 7449),(1.35053441895 7623),(1.62437294555 7763),,
Point0,H5,(0.635450546982 111),,(3.58534908514 413),(2.99913821864 590),,(0.21994020823 940),(0.310057611474 1112),(1.11213150037 1269),(2.25276574461 1429),(3.32510305887 1582),,,(1.026025175 2100),(0.94618979961 2271),(2.47110203878 2415),,(1.59860017336 2778),(1.64381727185 2932),,,(2.15539785164 3447),,,(4.03955394466 3914),(1.72537691493 4108),(2.53403521641 4237),(3.76251054608 4410),,(2.00665589097 4759),,,,(2.22594951916 5445),,(3.71068967686 5776),,(1.16976364178 6132),(1.11501272684 6292),,,(2.05709722752 6807),(1.39210432927 6985),(2.35861102627 7144),(2.56809569347 7303),(0.50510010632 7458),(1.35227830286 7625),(8.08279568566 7789),,
Point0,H6,(-6.66133814775e-15 129),(-0.00231127488985 304),(-1.33226762955e-15 475),(-6.2172489379e-15 636),(6.66133814775e-15 795),(8.881784197e-16 924),(-0.00119563516911 1127),(-0.00361322265611 1293),(-1.7763568394e-15 1467),(-2.6645352591e-15 1636),(1.06581410364e-14 1803),(1.11022302463e-14 1956),(4.4408920985e-15 2123),(-0.000268143255212 2287),(1.33226762955e-15 2457),(1.7763568394e-15 2629),(3.5527136788e-15 2795),(0.0 2966),(-3.99680288865e-15 3130),(-0.00231906792247 3290),(-2.6645352591e-15 3468),(-0.00211002973622 3626),(1.7763568394e-15 3790),(-3.5527136788e-15 3963),(-2.6645352591e-15 4125),(-0.000578433562841 4284),(-0.00730551567216 4458),(-0.000407949288783 4625),(-4.4408920985e-15 4794),(-3.10862446895e-15 4969),(-8.881784197e-16 5132),(-7.1054273576e-15 5307),(8.881784197e-16 5481),(8.881784197e-16 5647),(0.0 5820),(-3.10862446895e-15 5995),(-1.15463194561e-14 6157),(-1.50990331349e-14 6325),(-0.000462354136291 6494),(-0.00453019763549 6664),(-5.3290705182e-15 6827),(1.7763568394e-15 7002),(-8.881784197e-16 7164),(-2.6645352591e-15 7325),(-0.0048356265781 7476),(-8.881784197e-16 7650),(-1.7763568394e-15 7813),(-0.0168301422349 7975),
Point1,H1,(8.90602314695 25),(10.1730223926 182),(10.7155227184 343),(10.719146989 505),(9.53616783772 666),(10.0156266655 826),(10.3388347679 994),(10.3439304903 1161),(10.2330825064 1332),(11.3634245322 1497),(10.7751188026 1670),(10.0434789014 1835),(10.9402528302 1992),(10.4428301734 2163),(9.8225779011 2326),(11.9082147788 2489),(11.6711546695 2664),(11.9839514428 2825),(11.9148773806 2998),(10.6345446554 3162),(12.6952017262 3334),(11.8705869857 3503),(10.6796721287 3665),(14.0888279767 3829),(13.8467972787 3995),(11.8740640167 4156),(14.5717020751 4325),(14.0747287529 4488),(13.6934130937 4661),(14.3277066729 4826),(14.1423691992 4999),(13.3358874412 5174),(13.4218592775 5338),(13.9678436041 5512),(12.7557001062 5685),(14.2857386185 5859),(12.9153890556 6025),(12.2830084349 6197),(12.0656525729 6358),(12.4145594747 6533),(12.7085149453 6697),(13.1664412448 6862),(12.794945916 7033),(12.9545514603 7195),(14.0484327325 7365),(13.5294045212 7526),(13.0031255506 7686),(16.6641400255 7844),(15.1417177504 8007),
Point1,H2,,,,,(4.70583728082 703),(6.16244222899 868),,,(5.04973139869 1362),,(4.76505432238 1718),(5.79515833437 1874),(4.61989501983 2040),,(5.34590943683 2357),,,,,(5.98055411127 3205),(6.2308259472 3384),,(4.92416719393 3698),,(6.73135771589 4036),,,,,(6.14904277772 4869),,,,(5.80101403607 5559),(6.76848489489 5718),(8.68924129285 5894),,,,,,(6.02105184792 6903),,(7.3039942846 7235),,,(5.23589790849 7725),,
Point1,H3,,,,,(5.58473233433 720),(6.59414323092 879),,,(5.50296469163 1376),,(4.96943925702 1727),(5.99603495438 1884),(4.65909864435 2045),,(5.65056604658 2368),,,,,(6.11791208071 3214),(6.327390515 3392),,(5.73490931169 3713),,(7.08232359802 4047),,,,,(6.90779389332 4881),,,,(6.16954984357 5569),(6.92729464451 5731),(8.94706432462 5903),,,,,,(6.13464336126 6911),,(7.99583524427 7248),,,(5.5573094352 7736),,
Point1,H4,,,,,(1.92645565845 773),(1.16311054867 925),(0.583305270881 1109),(0.768957054248 1267),(2.03748573294 1439),(3.76491568528 1577),(1.28792684611 1777),,(1.35064097615 2099),,,(6.40106130343 2535),(1.97923818527 2770),(6.27724794414 2867),,(1.56741635309 3257),(2.63470934025 3434),(6.48905638262 3542),(2.79858080637 3741),(2.95164617226 3939),(1.69940512311 4096),(1.87082520164 4260),,(6.82270232337 4533),,(0.942776421335 4953),(6.27029478921 5046),(2.79829979649 5284),,(2.11222886113 5618),(3.96381121778 5768),,,(1.32499983735 6283),(5.72057181388 6404),,(1.49715497889 6801),(1.48252313516 6980),(6.71129279924 7076),(2.23894118081 7302),(1.1779253264 7453),,(2.08250850624 7766),,
