Cycle,0.693125
Average Width,0
Width,,0,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(9.72109951744 85),(9.83984833105 276),(8.33104857534 419),(8.75712652318 582),(7.53629395031 740),(8.85922322065 883),(11.2727213368 1028),(10.4156696366 1174),(13.511551911 1330),(9.91892418153 1463),(14.3923041104 1617),(8.78113323501 1761),(11.2076581645 1846),(7.15717082313 1919),(19.5781564111 2061),(15.2041139546 2212),(16.4424654946 2326),(14.7788572145 2499),(12.9351702307 2610),(16.2938607047 2764),(11.2112728778 2905),(10.7197769858 3075),(12.3409143252 3144),(9.73743987117 3337),(18.1762497305 3453),(6.37621489971 3594),(4.98412116968 3655),(12.5636964976 3834),(10.7701907187 3988),(9.3031981404 4146),(7.99767265746 4307),(11.5822655599 4420),(13.3453353129 4606),(6.42685905482 4771),(5.79497601594 4908),(12.0465598152 5041),(8.18757553044 5152),
Point0,H2,,,,,,,,,,,(1.68753899743e-14 1646),,,,,,(15.3780927029 2343),,(1.7763568394e-15 2678),(15.6916409727 2774),,,,,(16.4999137745 3465),,(2.78513208723 3675),(-1.24344978758e-14 3870),,(0.239642664903 4184),,(9.81854054654 4437),,,,(6.08840282549 5063),,
Point0,H3,,,,,,,,,,,(2.96743684692 1683),,,,,,(15.593953816 2351),,(7.54941626939 2699),(16.2915909242 2784),,,,,(18.1426896077 3480),,(2.91408796631 3682),(7.25692767713 3919),,(2.29580195099 4209),,(10.9318272373 4450),,,,(8.38240376058 5077),,
Point0,H4,,(8.881784197e-16 310),(-0.000961660778061 461),,(1.42108547152e-14 767),(-8.881784197e-16 909),(0.923931512506 1070),(-0.000949469097167 1215),,(-0.0061838081778 1499),(1.4597395993 1699),,,,(-5.3290705182e-15 2100),,,(-1.24344978758e-14 2536),(5.76147715496 2711),,,,,(-8.881784197e-15 3395),,,(-0.00267774134222 3703),(5.89932529767 3941),(-1.42108547152e-14 4018),(-0.0131083803646 4229),,(-0.0282273396728 4484),,,(-0.045508499276 4952),(-1.24344978758e-14 5098),,
Point0,H5,,(4.96379364884 340),(7.96502799955 533),,(8.37471932951 854),(9.04632223909 997),(5.35930459145 1094),(6.83888516082 1272),,(13.1592103769 1575),(6.94688812206 1724),,,,(2.65803140481 2125),,,(7.96852663071 2566),(8.57649375892 2728),,,,,(3.12402486135 3414),,,(5.07938125137 3739),(7.72559599038 3961),(7.33864202799 4087),(6.00606260399 4260),,(3.71443855355 4519),,,(9.411918009 4998),(2.68732590036 5116),,
Point0,H6,(-0.00473791054199 160),(8.881784197e-16 310),(-0.000961660778061 461),(-0.0218600579422 620),(1.42108547152e-14 767),(-8.881784197e-16 909),(-0.00156875414366 1130),(-0.000949469097167 1215),(-0.00112713463843 1378),(-0.0061838081778 1499),(1.68753899743e-14 1646),(1.33226762955e-14 1798),(-3.5527136788e-15 1947),(-5.3290705182e-15 2100),(-0.00548434123584 2259),(-1.24344978758e-14 2392),(-1.24344978758e-14 2536),(1.7763568394e-15 2678),(-5.3290705182e-15 2824),(-0.00913594333879 2985),(-8.881784197e-16 3106),(-2.26485497024e-14 3241),(-8.881784197e-15 3395),(2.57571741713e-14 3566),(-0.0389654715833 3626),(-0.00267774134222 3703),(-0.00588629730039 3766),(-1.24344978758e-14 3870),(-1.42108547152e-14 4018),(-0.0131083803646 4229),(-0.0166533014176 4338),(-0.0282273396728 4484),(5.3290705182e-15 4666),(-0.892877260442 4822),(-3.88578058619e-15 4885),(-0.045508499276 4952),(-1.24344978758e-14 5098),
Point1,H1,(8.92478657057 28),(9.36890115349 184),(7.19527451249 348),(9.56218437568 490),(10.2151950744 639),(9.59047343935 797),(6.92030388066 942),(10.6547095277 1088),(9.86440276908 1234),(10.1203079422 1385),(10.9944615218 1530),(8.74260969069 1679),(8.69341950175 1833),(10.9760902431 1976),(5.12164737866 2119),(7.32095290672 2290),(5.35971122221 2409),(7.31004008136 2564),(6.67796077846 2700),(6.33598957673 2837),(7.07548756232 2991),(7.16291164127 3130),(4.52490590769 3331),(3.73600960687 3402),(6.84423487251 3484),(13.456291438 3591),(14.0663925502 3741),(13.5996840201 3896),(12.8897016442 4064),(11.3800718779 4208),(10.3911014908 4365),(11.7722010613 4522),(13.8151022945 4670),(12.8870350883 4832),(11.3253301201 4980),(12.876437125 5131),(10.7147876836 5289),
Point1,H2,(8.33945107792 40),(7.43838766245 203),,,(10.0444920656 648),,,,,,,,(3.01633846918 1867),,,(2.31964157918 2312),(3.43367469025 2431),(4.59844625822 2593),,(3.8433382425 2856),(4.49167917095 3012),,(2.34926027669 3350),,,,,,,,,,,,,,,
Point1,H3,(8.44885002369 47),(7.55536965066 211),,,(10.0579106617 652),,,,,,,,(3.46780758544 1881),,,(3.18931653566 2325),(5.2057899188 2454),(4.60087631689 2595),,(4.33630769339 2867),(6.4689689868 3030),,(2.86625114481 3361),,,,,,,,,,,,,,,
Point1,H4,,,,(0.982198536941 586),,(0.565397875354 887),(3.06097407124 983),(0.684669416609 1175),(6.42235734998 1265),(2.71498264637 1450),(5.23885551513 1577),,(3.15840930478 1894),,,(1.55565317947 2348),(2.3358315499 2484),(1.7330743039 2645),(1.12857541602 2769),(1.73064046933 2891),(4.26550270308 3051),,,,,(3.56121286469 3658),,(2.09122180947 3988),(1.26325140252 4146),,(3.4907589263 4421),(4.33755149136 4592),(2.98246048976 4760),(1.32996294765 4918),,,,
Point1,H5,,,,(1.06522090746 592),,(1.13291667725 899),(3.28278935232 996),(1.22490985653 1187),(7.24096587071 1280),(2.80231088514 1457),(5.24871379269 1581),,(3.24911664898 1902),,,(1.55839227048 2351),(2.81025343522 2500),(2.07230669685 2656),(1.40529512565 2781),(1.89143605507 2900),(4.45640157329 3060),,,,,(4.34190796688 3670),,(2.40305484616 3999),(1.60205537224 4158),,(4.6720119352 4436),(4.49992559754 4603),(2.99992581295 4765),(1.46847950557 4926),,,,
