Cycle,0.738885869565
Average Width,12.9963943121
Width,,10.8605721223,0.0,0,18.7074581568,0,0.0,0.0,19.7463474348,19.1885144694,20.2357072083,13.1897021427,16.1251173083,18.4777825745,9.8159645163,12.7904916763,13.5616968942,12.5305640382,9.93084692479,12.0021142685,9.50925788366,13.4122407538,9.82514933707,11.9715024514,10.0959105083,9.11858549913,10.5573360368,25.6695842555,12.9444948966,11.893534351,11.2988478552,9.38330040059,11.063790255,8.74192536983,8.91276238694,11.7782500463,12.4133056447,10.494375122,13.5867899176,17.958609066,0,11.6194616294,10.4494401792,9.03324586619,14.3731677894,10.4158511732,16.172174075
Point0,H1,(12.3038283136 63),(9.99315967928 217),(12.2506419637 363),(9.72839282243 511),(11.1517288638 663),(9.03817559244 826),(8.82707445127 972),(11.9647519443 1110),(11.3477527704 1259),(9.73601689332 1421),(8.50228183493 1560),(8.78841213879 1707),(10.2418767985 1846),(10.5755024834 1994),(11.5316126769 2169),(9.74623754794 2328),(10.5067200312 2476),(9.82035865962 2624),(10.1110292016 2794),(11.0033726295 2936),(8.95831736392 3082),(9.52325203785 3228),(10.3975756867 3388),(8.96097368617 3558),(8.09342360817 3707),(10.227515534 3853),(10.6664651445 4010),(8.39855737651 4171),(8.72066296406 4332),(7.04197799807 4458),(7.46517539268 4604),(11.7753358639 4763),(8.89727447043 4904),(9.72873681562 5049),(10.725531489 5191),(10.4090118683 5337),(9.05110470586 5493),(7.79790858813 5653),(9.83271723556 5800),(6.36959605529 5945),(11.2325088516 6095),(10.7813026713 6262),(8.6861489154 6398),(9.35763754683 6540),(10.5402118173 6698),(10.0582990496 6864),
Point0,H2,,,(4.44787244601 404),,,,(8.42823268142 985),,,,,(6.65076364587 1731),,,,,(5.9023652965 2516),,,(2.96094134139 2975),(4.30275091817 3121),,,(5.62175476149 3581),(4.061344239 3753),,,,,(0.903144336098 4503),,(8.02012965383 4788),,,(6.57492311095 5236),,(5.72661386496 5529),,,(5.52803895919 5963),,,,,,
Point0,H3,,,(5.26563461902 418),,,,(8.48538097387 992),,,,,(7.47773219571 1746),,,,,(6.0008164415 2525),,,(4.40561873997 2992),(4.56580732957 3133),,,(5.67006445869 3587),(4.13418961943 3761),,,,,(2.05002589486 4524),,(9.24344371687 4803),,,(6.57563356673 5238),,(5.95914838608 5542),,,(5.67461557975 5976),,,,,,
Point0,H4,(-0.00675114070504 159),(6.19827829659 248),(1.52008396869 451),(5.94676938616 553),(7.43581239771 706),(-0.00934282858887 918),,(5.15642396819 1154),,,(4.37752719598 1594),,,,(5.42942452435 2215),,,(6.22359198349 2669),,(0.0895560518121 3031),(1.46637135243 3174),(5.30629663037 3272),,(0.408115896674 3655),(1.04322642337 3796),(4.44054702835 3895),(5.42177122686 4053),(1.70742007145 4263),(4.14402583381 4374),(0.17112077873 4550),(4.56230367888 4639),,(4.19267049973 4950),(4.55179650205 5089),,,(1.97448121915 5587),,,(2.62870002591 6037),(8.57304634422 6133),,(4.83939942119 6434),,,
Point0,H5,(0.850412018321 178),(7.82131153578 271),(1.76365175125 462),(6.01941611959 563),(8.44734548172 721),(0.430947119465 933),,(5.5944593477 1167),,,(4.64196087438 1610),,,,(5.62228746642 2224),,,(6.29914327845 2679),,(0.105476938023 3038),(1.49047574451 3180),(5.47149743374 3283),,(0.592741946187 3665),(1.48597329106 3808),(5.10056220917 3912),(6.07287116356 4068),(1.93795559565 4275),(5.00290485279 4387),(0.503913183259 4562),(5.09128092716 4656),,(4.56666957268 4961),(4.80439243473 5101),,,(2.42214534901 5599),,,(2.75612749072 6045),(8.87086626027 6145),,(5.80648666685 6454),,,
Point0,H6,(-0.00675114070504 159),(-7.1054273576e-15 333),(-7.1054273576e-15 479),(-0.00567999931287 622),(-0.00484856374957 789),(-0.00934282858887 918),(-0.00822166216513 1073),(-1.50990331349e-14 1224),(-1.33226762955e-14 1376),(-1.46549439251e-14 1524),(0.0 1665),(-0.00310395289917 1809),(-7.9936057773e-15 1963),(4.4408920985e-15 2143),(3.5527136788e-15 2291),(-0.00524781303464 2442),(4.4408920985e-15 2591),(-0.00855577432452 2752),(6.2172489379e-15 2907),(-0.00273934177737 3047),(3.5527136788e-15 3198),(6.2172489379e-15 3355),(-0.00119165264354 3526),(9.32587340685e-15 3677),(1.06581410364e-14 3823),(-7.1054273576e-15 3979),(-8.881784197e-15 4144),(-0.0011124701397 4300),(-0.00323941574401 4431),(-1.33226762955e-15 4574),(5.3290705182e-15 4718),(4.4408920985e-15 4875),(1.37667655054e-14 5014),(8.881784197e-16 5153),(-0.000626672524453 5300),(7.1054273576e-15 5457),(2.6645352591e-15 5619),(-8.881784197e-16 5763),(6.2172489379e-15 5909),(1.24344978758e-14 6064),(1.7763568394e-15 6226),(-5.3290705182e-15 6368),(0.0 6511),(5.3290705182e-15 6670),(-4.4408920985e-15 6830),
Point1,H1,(12.7547836167 60),(10.0214560484 215),(12.4613136835 360),(10.2145306726 506),(11.1266445932 661),(9.0090921322 822),(8.39778983656 968),(12.503837072 1108),(11.9875628281 1255),(11.4200190589 1404),(10.7052582229 1558),(10.3047362697 1696),(12.1826225503 1842),(13.155452711 1992),(14.1342774605 2167),(12.0543873793 2325),(12.4775794591 2472),(12.7686704129 2620),(12.8243159261 2787),(13.8891076175 2935),(11.4694998331 3080),(12.6939750723 3226),(13.1282206161 3386),(13.0958570506 3558),(11.971151552 3706),(12.7212767769 3852),(13.104481301 4007),(11.2502040333 4169),(11.4639464511 4328),(10.2751899064 4457),(11.0404797651 4601),(14.3527498365 4750),(12.3396100347 4903),(13.370661786 5047),(13.7561774254 5188),(13.4720914666 5334),(12.3009620036 5491),(10.3428841265 5650),(12.3712912297 5797),(8.70752905023 5942),(14.1855490569 6094),(14.2268635419 6259),(12.651360334 6396),(12.7831658815 6539),(14.0795139464 6696),(12.887782683 6859),
Point1,H2,,,(4.46890723795 400),,,,,,,,,(7.0397031026 1730),,(9.22213372112 2037),,,(6.70707882036 2515),(7.40430477674 2663),,(3.7262180266 2974),(4.93496830811 3122),(6.18598145167 3269),(6.94092752182 3432),(5.98779901669 3603),(5.81301911262 3748),,,(6.38465621214 4214),,(2.62900035565 4502),,,,(5.89679920539 5091),,,,(5.94179116074 5678),,(5.86419193195 5985),(9.68462023561 6131),,,,,
Point1,H3,,,(5.29462629759 415),,,,,,,,,(7.88476336029 1744),,(9.37729813523 2045),,,(6.80814677636 2522),(7.42707651462 2669),,(5.21332478262 2991),(5.2800259786 3133),(6.8629330421 3283),(6.99385494404 3439),(6.02872106392 3609),(5.98659134458 3758),,,(6.56398129817 4226),,(3.34375325503 4520),,,,(6.0698722416 5100),,,,(6.11457652923 5688),,(6.27986606532 5999),(9.98676802269 6143),,,,,
Point1,H4,(-0.0234131466136 159),(5.29715660669 246),(1.71771115223 449),(5.03699511889 548),(6.3150500184 701),,,(4.65173613587 1154),(7.05260962112 1300),(7.09840590546 1448),(2.38995122098 1638),,,(1.77050693759 2116),(6.22027907165 2214),(6.8768235564 2369),(2.07528634664 2563),(2.73936518036 2723),,(0.0470752733735 3034),(1.7967989842 3171),(1.17964797003 3333),(1.86317874482 3490),(1.20914226781 3651),(1.74711590965 3796),(5.35444497891 3893),(6.37057304543 4051),(2.33992282401 4266),(5.34035168019 4373),(0.356029161387 4550),(6.07844099531 4642),(8.52697763874 4789),(5.28767857139 4948),(2.65700618528 5125),,(3.21224676194 5427),(2.5116078569 5588),(3.60372405184 5733),,(2.88127404431 6035),,,(6.8859463076 6435),(7.35209664819 6584),,
