Cycle,0.66909640658
Average Width,16.2375601967
Width,,0.0,15.8341530444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5700385695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,15.9980641667,9.13117730141,12.6864960114,0.0,20.5056685024,10.9373237809
Point0,H1,(21.4519082096 78),(18.3828124558 178),(18.2254847739 332),(22.3564601566 497),(32.4736080697 719),(24.6009794656 840),(22.0609941898 971),(22.9928897964 1100),(21.3286277428 1349),(25.1579673504 1523),(24.2668735708 1668),(22.8802192692 1839),(24.0195340126 1962),(19.7710893878 2083),(27.4492255127 2239),(21.9924324104 2369),(19.5771720263 2496),(18.2491474535 2673),(18.140136319 2738),(20.3066972748 2878),(15.1276706539 3012),(18.9002587361 3155),(16.9339378658 3299),(18.7639065188 3440),(23.6911247322 3598),(17.8963258906 3730),(18.910528679 3871),(25.0990407073 3987),
Point0,H2,,(-1.7763568394e-15 204),(11.703824749 365),,,,(-7.1054273576e-15 999),,,(16.0744616575 1541),(21.3568231256 1684),,,(18.2432281888 2099),,,(0.0 2523),,(-7.1054273576e-15 2773),(0.946313705223 2904),(0.0 3042),(-2.57571741713e-14 3184),,,,(-3.5527136788e-15 3765),,,
Point0,H3,,(14.7313853183 230),(15.9268553294 385),,,,(14.6063974553 1022),,,(22.5231710234 1555),(22.824415063 1694),,,(18.8262134972 2108),,,(12.3526453857 2549),,(11.8100990831 2797),(7.42293363978 2921),(11.3169228444 3065),(10.0161007303 3208),,,,(8.63494069037 3787),,,
Point0,H4,(-2.13162820728e-14 103),(4.71651731779 253),(-2.30926389122e-14 416),,(-2.13162820728e-14 746),(-7.1054273576e-15 870),(7.5660451939 1047),,,(-1.06581410364e-14 1579),(-0.0290315321225 1722),(1.7763568394e-15 1872),(3.90798504668e-14 2005),(-0.0237290866304 2137),(-2.13162820728e-14 2272),(-7.1054273576e-15 2401),(4.41220862799 2572),(13.3434215325 2694),(9.20050674118 2814),(2.6645352591e-15 2945),(6.43539146491 3083),(5.12825198774 3226),(-1.24344978758e-14 3329),(-7.1054273576e-15 3478),(-0.0107390259892 3627),(3.05646533128 3809),(-0.0148986556922 3906),,
Point0,H5,(14.0010368748 125),(17.3740386044 287),(14.1133296316 439),,(13.0566527393 769),(16.5941874631 892),(11.5310416743 1070),,,(12.2080425174 1603),(15.0236827122 1749),(14.5390253151 1899),(17.0159137098 2032),(10.5535977336 2161),(10.4068879214 2295),(11.7290708103 2425),(15.0606078042 2623),(17.9356863973 2720),(18.4683396487 2853),(10.7343864491 2981),(14.8681197159 3121),(12.4693445307 3267),(10.9181921748 3356),(13.9433661027 3502),(5.16635487904 3645),(16.7880758752 3847),(9.40551463623 3929),,
Point0,H6,(-2.13162820728e-14 103),(-1.7763568394e-15 204),(-1.06581410364e-14 309),(-2.30926389122e-14 416),(-7.1054273576e-15 523),(-1.95399252334e-14 631),(-2.13162820728e-14 746),(-7.1054273576e-15 870),(-7.1054273576e-15 999),(-1.24344978758e-14 1140),(8.881784197e-15 1282),(-2.13162820728e-14 1432),(-1.06581410364e-14 1579),(-0.0290315321225 1722),(1.7763568394e-15 1872),(3.90798504668e-14 2005),(-0.0237290866304 2137),(-2.13162820728e-14 2272),(-7.1054273576e-15 2401),(0.0 2523),(-1.7763568394e-15 2646),(-7.1054273576e-15 2773),(2.6645352591e-15 2945),(0.0 3042),(-2.57571741713e-14 3184),(-1.24344978758e-14 3329),(-7.1054273576e-15 3478),(-0.0107390259892 3627),(-3.5527136788e-15 3765),(-0.0148986556922 3906),(-0.925757765051 4090),
Point1,H1,(10.6684600577 80),(9.63206123225 180),(7.76526546547 333),(9.65538955438 498),(17.2478272653 699),(10.5379607816 840),(7.96474868539 972),(9.58995939985 1102),(15.1010121214 1347),(16.5133252249 1525),(14.1702517471 1670),(13.9321463819 1841),(13.7487922362 1951),(10.302016787 2085),(16.2583271473 2241),(12.6446709565 2371),(10.1034943103 2498),(7.75962698404 2672),(9.45091217857 2880),(5.7407266242 3014),(7.65930795617 3158),(6.07130121671 3302),(8.24845039605 3443),(10.700394692 3599),(9.8800716617 3731),(8.50388688002 3873),(13.827071766 3990),
Point1,H2,,(0.864618462377 203),(4.39968567847 371),,(16.0582597403 711),,(-6.2172489379e-15 1000),,(4.48087070063 1398),(8.63469190898 1544),(12.3541787716 1686),,,,,,(4.4408920985e-15 2524),,(2.90260055429 2907),(0.0 3041),(-0.338017294119 3184),,,,,,,
Point1,H3,,(6.75766108198 228),(5.71061706936 387),,(16.5622724846 720),,(4.80746829082 1022),,(8.47965733485 1414),(12.9006368092 1558),(13.1545501389 1696),,,,,,(5.72951461923 2548),,(4.26015038321 2920),(3.18009709823 3064),(2.94872863955 3206),,,,,,,
Point1,H4,(-0.00275931269176 104),(-0.00180831105482 255),(1.02140518266e-14 413),,(-3.5527136788e-15 746),(-0.0330742167021 872),(0.334180481065 1047),,(-6.2172489379e-15 1432),(-1.06581410364e-14 1580),(-0.0104207741869 1724),(-2.6645352591e-15 1875),(1.7763568394e-15 2005),(-1.15463194561e-14 2139),(-1.15463194561e-14 2273),(0.0 2402),(1.14769290794 2575),,(-0.0056042594485 2946),(0.718866897655 3084),(1.7763568394e-15 3228),,(-1.33226762955e-15 3479),(-6.2172489379e-15 3627),(1.25804136153 3764),(-0.0389351363344 3906),,
Point1,H5,(6.8767954839 125),(6.05211018151 288),(5.38131270839 439),,(5.89329168426 763),(5.48381542659 893),(2.71681526066 1067),,(8.2100430768 1453),(6.44826000459 1603),(8.2245688001 1750),(7.28450556461 1901),(8.86953739073 2034),(4.36303618048 2163),(4.44022957874 2295),(5.3100059931 2426),(6.17794154933 2625),,(4.0411429451 2982),(5.00786428367 3122),(3.21047096538 3269),,(6.22121708014 3503),(2.94464546986 3643),(3.89696900969 3786),(1.98787103261 3929),,
Point1,H6,(-0.00681279790472 1),(-0.00275931269176 104),(-0.00180831105482 255),(0.50040193401 310),(1.02140518266e-14 413),(1.06581410364e-14 525),(-0.0285422954231 631),(-3.5527136788e-15 746),(-0.0330742167021 872),(-6.2172489379e-15 1000),(-0.0119395569287 1140),(-7.1054273576e-15 1275),(-6.2172489379e-15 1432),(-1.06581410364e-14 1580),(-0.0104207741869 1724),(-2.6645352591e-15 1875),(1.7763568394e-15 2005),(-1.15463194561e-14 2139),(-0.3510624779 2320),(0.0 2402),(4.4408920985e-15 2524),(1.06581410364e-14 2647),(-3.5527136788e-15 2772),(-0.0056042594485 2946),(0.0 3041),(-0.338017294119 3184),(-1.7763568394e-15 3326),(-1.33226762955e-15 3479),(-6.2172489379e-15 3627),(-0.00331697378375 3811),(-0.0389351363344 3906),(3.5527136788e-15 4091),
Point2,H1,(11.6019753285 86),(14.0055790102 186),(14.4331365794 292),(19.1630117421 394),(17.0161014138 501),(16.1748727168 607),(17.9861768649 719),(17.2824716829 833),(16.2856262363 954),(17.5771563837 1082),(18.9029961955 1225),(22.4543924964 1374),(14.9117838228 1524),(10.7664991592 1663),(11.4489549773 1807),(9.54792574263 1950),(14.8210501678 2091),(12.9008625548 2219),(11.0237580408 2358),(12.3469537034 2487),(11.6822980913 2610),(17.0847545819 2731),(16.9043803375 2857),(17.1678855883 2987),(15.2768738237 3128),(15.1601077108 3269),(16.4263477642 3414),(15.3636612104 3562),(12.6187761651 3709),(15.7436762176 3850),(12.9352481455 3990),(11.5410045338 4128),
Point2,H2,(-0.413294008956 109),,,,,,(8.91400494739 745),,(3.10889413074 977),(3.16264573777 1106),,,,(-0.0178542424908 1694),(2.57878816257 1837),(8.881784197e-16 1978),,(0.535289764996 2248),(-0.0146999099702 2383),(1.42827055214 2511),(1.67029401278 2636),,(2.67671465631 2881),,(2.36268035431 3150),(4.70432135461 3293),,(5.04512601185 3588),(2.24357383551 3739),,(1.10243921517 4016),,
Point2,H3,(4.46674313653 132),,,,,,(13.3652216465 763),,(6.51160803681 998),(5.71033739083 1128),,,,(2.20530948758 1714),(4.06404536354 1853),(5.30028580828 2001),,(4.13113096608 2273),(3.73578296435 2405),(4.27365725847 2531),(5.08002101567 2655),,(6.4901705115 2903),,(6.97039332777 3170),(7.73787677886 3310),,(7.13018031703 3609),(4.18380339349 3755),,(5.33592594693 4039),,
Point2,H4,(4.45909426742 134),(2.20027875183 214),(0.889378880145 316),(4.99011855932 419),(2.69308260129 525),(3.73380368391 634),(10.2036147769 782),(-0.0110406913193 860),(0.480132593363 1030),(1.00697839437 1155),,(6.42406620903 1400),(3.92729812687 1549),(0.969434450286 1738),(-0.00915687713329 1885),(1.81920487064 2039),(4.0402798148 2116),(1.77058819969 2294),(1.45295935424 2425),(0.847652989362 2558),(-7.9936057773e-15 2683),(6.440309913 2757),(2.10131148356 2935),(4.0494466192 3014),(1.07112670569 3205),(1.09891494619 3349),,(1.43796389642 3657),(3.99680288865e-15 3780),(4.27602578614 3874),(3.56219432514 4064),,
Point2,H5,(4.78937414328 145),(6.12634200501 239),(5.34289044122 333),(7.6046648206 443),(7.43167972094 542),(8.12620760467 651),(10.2065987333 783),(5.8443721846 880),(1.70964261062 1044),(1.84774292557 1168),,(15.7260374619 1422),(9.05454338247 1573),(1.73350973613 1760),(2.24493665482 1908),(2.30047800906 2050),(8.80068934472 2139),(1.9500037299 2303),(3.64785892033 2452),(0.936975400759 2565),(0.84150740376 2696),(8.59053150675 2776),(2.37254503372 2944),(7.41103969012 3035),(1.36230355159 3215),(1.74796467883 3362),,(1.8418777337 3667),(1.97931079059 3812),(7.79252646261 3898),(4.11427610822 4077),,
Point2,H6,(-0.012741606776 1),(0.0272058131605 53),(-0.413294008956 109),(1.50990331349e-14 262),(6.2172489379e-15 368),(-3.5527136788e-15 470),(1.06581410364e-14 580),(-3.5527136788e-15 692),(-0.0110406913193 860),(-4.4408920985e-15 929),(2.6645352591e-15 1057),(1.37667655054e-14 1198),(-7.1054273576e-15 1348),(-6.2172489379e-15 1490),(-0.0149047251626 1631),(-0.0178542424908 1694),(-4.4408920985e-15 1778),(-0.00915687713329 1885),(8.881784197e-16 1978),(1.42108547152e-14 2066),(-0.0154460669692 2195),(2.22044604925e-15 2327),(-0.0146999099702 2383),(4.4408920985e-15 2579),(-7.9936057773e-15 2683),(-5.3290705182e-15 2830),(-9.7699626167e-15 2961),(-7.9936057773e-15 3089),(-0.00110854103643 3232),(1.7763568394e-15 3379),(-3.5527136788e-15 3535),(-0.00435075941943 3683),(3.99680288865e-15 3780),(-0.00169726785118 3958),(4.4408920985e-15 4100),
Point3,H1,(17.7764629859 87),(20.0472551101 187),(18.8890691933 292),(24.0150299153 395),(21.2934268033 503),(21.3359284656 608),(22.8404943876 719),(20.055452304 833),(22.2186797234 954),(22.865159224 1083),(23.9508075431 1226),(26.9772410651 1374),(19.9075545259 1523),(17.3848381642 1663),(17.1144557025 1807),(14.2010368136 1952),(17.5849029396 2091),(19.1162907626 2220),(16.2354949958 2357),(14.7664278167 2487),(14.6840154666 2610),(19.3969092217 2732),(19.5977985447 2858),(19.7339649009 2988),(18.6794547234 3128),(19.3932447912 3269),(19.9895279048 3415),(18.7283571362 3563),(17.3048488678 3710),(16.1824296838 3850),(12.4208005594 3991),(14.6233304123 4129),
Point3,H2,,,,,(4.20639752608 525),,,(-0.46998388752 861),(5.06105765361 978),(4.7398479166 1106),,,,(3.40545813083 1693),(4.32866363965 1836),(1.3511641624 1980),,,(0.7277601738 2383),(1.161416317 2511),,,(3.97410715493 2881),(5.61149279174 3012),(3.89377310527 3151),(5.83414160206 3294),(6.23006377334 3439),(6.29531328953 3589),(3.77290965147 3739),(3.68690613038 3875),(2.83464833556 4016),,
Point3,H3,,,,,(10.1073439328 542),,,(6.18384182522 881),(9.99319661386 998),(8.50241708517 1128),,,,(6.77454097354 1712),(7.2582273777 1853),(6.91243085802 2001),,,(5.37889128675 2403),(6.22078132583 2533),,,(8.75837079766 2902),(9.12709361688 3034),(9.08898808683 3170),(9.99434410192 3311),(9.24482434794 3454),(9.14409799445 3610),(6.23546400701 3756),(7.50489172734 3898),(5.95778691024 4037),,
