Cycle,0.605108695652
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(11.9459349041 26),(12.2916792963 155),(11.4341711656 287),(11.2996270835 420),(11.2077605288 549),(11.4291606257 677),(11.1943876349 805),(12.4195224525 933),(10.7024490043 1060),(10.5679163361 1187),(10.6500929814 1310),(11.4465068771 1435),(11.3082081531 1559),(10.9786630362 1685),(12.0406239299 1809),(10.7509909651 1934),(10.4885093878 2057),(10.9598464845 2182),(11.2687015442 2304),(12.1554800838 2428),(12.0180085032 2556),(13.2123475796 2682),(11.9460559905 2809),(11.88748726 2939),
Point0,H2,,,,,,,,,,,,,,,,,,,(3.44188376736 2337),,,,,
Point0,H3,,,,,,,,,,,,,,,,,,,(4.40015140301 2354),,,,,
Point0,H4,(4.74564057522 68),(4.87722112091 192),(3.40304029778 316),(3.62947586637 447),(3.9626279142 577),(4.04550395622 706),(3.84020156958 834),(3.36882513934 961),(2.90282722385 1089),(4.10944011207 1215),(3.719647278 1343),(2.93013952851 1468),(3.18134065103 1588),(3.8116271849 1711),(4.46578182762 1841),(3.32272938221 1962),(3.35916735255 2090),(3.0457211039 2211),(2.7061476643 2376),(4.06983403494 2466),(4.05535283211 2588),(4.09770011525 2714),,
Point0,H5,(4.84238020164 77),(5.48582430267 206),(5.08469795349 335),(5.0933257208 465),(4.34238058483 591),(4.32319556424 728),(4.96821950558 852),(4.29244225802 978),(3.8932150482 1108),(5.17671367538 1233),(5.01097065035 1362),(3.67875694041 1485),(3.83390215752 1610),(4.02303836073 1721),(5.62369757257 1858),(4.84609120237 1981),(4.11766748731 2108),(4.43531763878 2233),(2.73231449772 2381),(5.07804714332 2482),(5.15969728068 2606),(4.81009537908 2730),,
Point0,H6,(-7.1054273576e-15 127),(-8.881784197e-16 256),(-3.5527136788e-15 386),(-3.5527136788e-15 518),(9.7699626167e-15 643),(8.881784197e-16 770),(3.5527136788e-15 901),(8.881784197e-16 1027),(-0.00446942500432 1153),(0.0 1280),(9.7699626167e-15 1408),(-1.7763568394e-15 1530),(-8.881784197e-15 1651),(-0.0029474062522 1776),(-0.00176801210755 1905),(-5.3290705182e-15 2030),(-7.1054273576e-15 2149),(-7.9936057773e-15 2273),(-1.7763568394e-15 2400),(1.7763568394e-15 2527),(6.2172489379e-15 2654),(8.881784197e-16 2782),(-4.4408920985e-15 2906),
Point1,H1,(16.2652331813 27),(16.5446972227 156),(14.7618060577 287),(15.4813142299 420),(15.3847787215 550),(15.8512198885 677),(15.9488346292 805),(16.9252410651 933),(16.2797711919 1060),(15.3199392775 1187),(16.3256668839 1311),(15.9886786187 1436),(16.2695561588 1559),(16.036279087 1685),(17.1959878298 1810),(14.8637261511 1935),(15.8143943583 2057),(16.7529976716 2181),(17.0170581685 2305),(17.3494917943 2429),(16.7663881561 2556),(17.6002666563 2682),(16.9389636655 2810),(16.1105043552 2939),
Point1,H2,,,,,,,,,,,,,,,,,,,,,,,,
Point1,H3,,,,,,,,,,,,,,,,,,,,,,,,
Point1,H4,(6.19623786586 65),(6.54407847409 191),(4.30412988083 316),(4.70011305284 447),(4.77411860271 579),(5.48446044909 705),(4.79929276636 834),(5.10591199747 961),(4.32778330882 1089),(5.7488148439 1215),(5.44955610281 1342),(4.38003090097 1468),(4.52847659224 1592),(5.04825253285 1710),(5.78773747762 1840),(5.12854469189 1965),(5.36514723362 2092),(4.8426206249 2209),(5.2960057018 2337),(5.58861036494 2465),(5.35744568005 2588),(5.66750324628 2717),,
Point1,H5,(6.91504721352 79),(7.06673438838 203),(6.89763760313 336),(6.43742110596 465),(5.47735634994 595),(6.2681651005 722),(6.13939712897 852),(5.96281570728 976),(5.25563406544 1106),(6.75198928299 1232),(6.87003593774 1361),(6.22411403028 1488),(5.16280704058 1610),(5.89080946312 1725),(7.34597549647 1857),(5.93503828563 1980),(5.83018609826 2107),(6.18918605848 2231),(6.43290062423 2353),(7.07468481592 2481),(6.69226976927 2605),(6.38168080768 2733),,
Point1,H6,(-1.50990331349e-14 127),(8.881784197e-16 256),(1.7763568394e-15 386),(-4.4408920985e-15 518),(-0.000740010630798 642),(1.7763568394e-15 770),(1.15463194561e-14 900),(1.06581410364e-14 1028),(1.7763568394e-15 1154),(2.6645352591e-15 1280),(1.24344978758e-14 1408),(9.7699626167e-15 1530),(8.881784197e-16 1651),(-4.4408920985e-15 1777),(-8.881784197e-16 1904),(0.0 2029),(2.6645352591e-15 2151),(8.881784197e-16 2273),(4.4408920985e-15 2400),(0.0 2527),(-8.881784197e-15 2654),(-0.000536372574737 2783),(-4.4408920985e-15 2909),
