Cycle,0.744927536232
Average Width,6.26333567344
Width,,0.0,5.95274868915,7.12961665984,5.3760839582,5.94390752267,6.23511439733,6.29408172101,5.11167151616,5.86341444853,8.71859370926,6.77564421611,8.23885148385,5.75674654658,6.47138835326,5.85849957575,4.76631173551,5.86353197191,5.66570050851,6.65111665649,5.70560303972,7.07164887419,5.88355344905,7.10312885652,5.61976259954
Point0,H1,(6.15956244809 28),(8.44834266589 181),(8.23530919145 340),(7.31793548227 502),(7.98628845347 667),(10.3750011646 833),(9.37821001933 995),(8.52777442266 1144),(8.72008137337 1288),(8.3321502779 1433),(10.3247648074 1589),(9.49407538862 1749),(9.32942450309 1912),(8.6233839099 2061),(8.93714709598 2213),(8.15935520887 2364),(10.8744475349 2521),(8.0579190773 2682),(4.14195423042 2840),(10.06009214 2986),(10.9368052733 3143),(10.091848315 3302),(9.96474851777 3463),(8.18140660666 3607),
Point0,H2,(1.46794746057 57),(1.81490930444 207),,(2.86901561501 529),(3.75280962448 694),,(2.67361185563 1020),(2.64567736234 1171),(3.86037487765 1313),(3.75865081333 1463),(5.08927860255 1615),(4.44327430477 1774),(3.21017040272 1939),(2.98343425384 2090),(4.01120320794 2238),,,,(2.00485073379 2863),,,(5.54717903253 3329),,,
Point0,H3,(2.01116804337 70),(5.12057795396 232),,(3.80748478779 556),(4.85741556063 713),,(4.83704673755 1043),(4.64070484727 1194),(5.19410360617 1337),(4.80863040573 1484),(5.94497322933 1635),(4.75788383534 1786),(5.76548728403 1962),(4.61673767175 2111),(5.33195145791 2262),,,,(3.41594523432 2890),,,(7.22898206029 3350),,,
Point0,H4,(0.30694533811 90),(-2.6645352591e-15 276),(4.35171431971 368),(0.93568046842 613),(3.5527136788e-15 774),(5.38970453655 864),(1.46549439251e-14 1098),(0.169453402695 1243),(1.55553193911 1384),(1.18514430254 1522),(1.73726964678 1685),,(1.19129966591 2004),(1.01903472788 2151),(1.46652783125 2311),(-0.0191241635972 2445),(5.59314706713 2558),(3.47390297817 2707),(0.641057202101 2934),(4.864250807 3026),,(6.45479878237 3366),(5.18936342153 3488),,
Point0,H5,(0.528117058998 101),(2.03629020316 294),(5.73461130939 390),(1.20044244946 624),(0.808067793441 789),(7.41191728936 887),(0.167301265342 1108),(0.214255470692 1249),(1.5983296911 1390),(1.78341624579 1536),(1.83797925605 1693),,(1.48590562844 2016),(1.08672161648 2158),(1.603899697 2320),(1.96125088079 2477),(6.1793379381 2575),(7.2970446096 2734),(1.05209654273 2946),(5.48121737549 3042),,(6.80280683782 3376),(9.62625356829 3515),,
Point0,H6,(-0.0963792340518 2),(-0.0035289821063 117),(1.81490930444 207),(-2.6645352591e-15 276),(-0.0120407694601 468),(4.88498130835e-15 640),(3.5527136788e-15 774),(9.7699626167e-15 963),(1.46549439251e-14 1098),(3.5527136788e-15 1259),(0.0 1408),(-8.881784197e-16 1555),(0.0 1716),(8.881784197e-16 1878),(-4.4408920985e-15 2032),(-3.5527136788e-15 2178),(0.0 2337),(-0.288242291607 2496),(-0.00103546811154 2653),(-8.881784197e-16 2813),(2.6645352591e-15 2959),(-1.55431223448e-15 3110),(-0.54788704965 3236),(-0.00568878156093 3427),(-0.00280712739185 3577),
Point1,H1,(6.16695082653 33),(10.3477017725 183),(9.75698728971 343),(8.84429228998 505),(9.36591046299 669),(12.2892341176 837),(11.3402875479 998),(10.8553959971 1147),(10.9600726678 1290),(9.03080787388 1437),(11.537511942 1591),(10.4856643038 1752),(11.1987404731 1912),(10.669064666 2061),(10.359915526 2216),(11.1016280726 2364),(12.5200550101 2524),(9.48192973543 2684),(4.98492409984 2843),(11.2373263171 2989),(12.2139023273 3145),(12.8529934533 3305),(12.2351840038 3467),(10.7533052165 3610),
Point1,H2,(1.98080755014 62),(2.50762298759 210),,(3.46463216956 531),(5.05839476905 697),,,(3.4376637472 1174),,(3.82576277607 1467),(5.77862283724 1614),,(4.58799156817 1935),(4.57937224678 2093),,,(6.42954271717 2551),,(2.98690038523 2862),,,,,,
Point1,H3,(2.11761740065 70),(5.63494579438 235),,(4.92260795303 552),(5.70302416842 713),,,(6.80745649403 1197),,(4.84954199937 1484),(6.82339398975 1630),,(7.63783781287 1960),(6.03821208662 2113),,,(7.29257532499 2571),,(4.50050249372 2890),,,,,,
Point1,H4,(-0.00617959298974 95),(7.1054273576e-15 277),(5.76083744393 370),(0.847738613187 615),(-0.0202938042486 779),(5.9455654421 866),(4.07713028789 1023),(1.08753715042 1241),(4.86920038373 1315),(1.75961039223 1525),(1.79312846378 1685),(5.20644821112 1777),(1.78379217028 2008),(1.21412445924 2153),,(-0.0827954783234 2444),(0.341550600465 2631),(5.15387596412 2708),(1.0559951862 2939),(5.41668504336 3027),,(7.51775264292 3331),(7.60527470604 3491),,
