Cycle,0.722884615385
Average Width,5.15166130694
Width,,5.24823815883,5.47683519612,5.59346753723,5.65477153917,5.66009849218,5.1761516712,5.15126464405,5.21633454794,5.18889381929,4.95022135434,5.22681396264,5.12720316656,5.08231364686,4.76742209925,4.84603467127,5.20163435656,5.31668340202,5.14937355132,5.07727103531,5.15828822313,5.09834737353,5.04788918742,5.14080944419,4.9369411197,4.86496037694,4.94165398639,4.79493872387
Point0,H1,(11.1292304512 27),(14.2054691866 170),(13.8001930763 314),(13.9178514549 457),(14.6106945326 600),(11.522831239 746),(9.55315289784 901),(10.8548323047 1048),(10.0620797406 1199),(6.48147641808 1344),(9.23989874319 1485),(6.55635327116 1623),(8.6557179531 1756),(5.8203690215 1896),(6.93781024816 2042),(9.24253446908 2203),(9.83563342851 2361),(9.42746914074 2513),(8.63258285219 2667),(8.39757448646 2827),(8.32722259902 2990),(7.56696359437 3153),(7.41313992059 3307),(6.62127409259 3453),(4.84994689916 3611),(5.344512284 3768),(3.26279772936 3934),
Point0,H2,(4.20764130131 52),(3.60414988517 197),(2.52539450544 342),(2.76896761532 484),(4.64619548524 627),(2.74226220249 776),,,,,,(1.30664756957 1648),,(1.1256389699 1923),,,(4.19746404115 2383),,(4.75718131694 2692),(4.47096163829 2851),(4.3948426962 3017),(2.68466703381 3182),(3.16917939052 3333),,,(3.40267543091 3798),,
Point0,H3,(7.01603697689 79),(7.42130413844 222),(5.53666117347 365),(5.45441518822 505),(7.8045312761 649),(4.32340733254 795),,,,,,(3.51598644305 1670),,(2.94307123117 1948),,,(6.23617523691 2406),,(5.31601848707 2711),(5.06920274837 2870),(5.61038002063 3039),(3.24822115387 3195),(4.43973533452 3352),,,(3.61630973837 3812),,
Point0,H4,(1.48511569665 125),(1.45354974901 264),(-0.00472609294616 408),(0.990761272013 534),(1.24263463183 701),(0.458633112446 839),(3.10031569193 924),(4.01638006878 1073),(3.6465303866 1227),(3.35902613271 1373),(1.9556320295 1514),(0.544534032263 1700),(3.82089280874 1787),(1.05087085581 1992),,,(1.76429369394 2461),(5.28041763377 2541),(0.774990232309 2760),(1.21299818167 2938),(1.32516583832 3097),(0.157327789625 3252),(0.377376572893 3400),(4.40333740322 3478),(2.98540019059 3638),(-0.0855300989508 3867),,
Point0,H5,(1.50061072031 128),(1.89131726595 274),(0.370557349288 422),(1.21415655384 544),(1.25111925899 704),(0.975523352895 852),(6.39961111956 948),(5.97317007947 1099),(5.53778520704 1247),(4.71847493678 1394),(4.03000542397 1535),(0.7041109202 1711),(4.0607472539 1800),(1.10520153394 2000),,,(1.77962393947 2464),(6.23017044455 2557),(0.887271553341 2780),(1.2291648722 2943),(1.4116597036 3105),(0.495915208209 3267),(0.655716003024 3412),(5.66205551174 3503),(3.45191314605 3659),(0.206361319453 3886),,
Point0,H6,(-0.0193297440737 1),(-3.5527136788e-15 144),(-2.6645352591e-15 289),(-0.00472609294616 408),(5.3290705182e-15 565),(0.0 720),(-1.7763568394e-15 867),(-0.00478893886038 1014),(-3.5527136788e-15 1171),(-5.77315972805e-15 1316),(-5.3290705182e-15 1456),(-0.00523482809985 1593),(-5.77315972805e-15 1727),(-0.00910542124892 1866),(-7.21644966006e-16 2017),(-0.788347248059 2114),(4.4408920985e-16 2333),(2.6645352591e-15 2483),(-1.7763568394e-15 2640),(-0.00127107641525 2799),(4.4408920985e-15 2962),(3.10862446895e-15 3123),(-1.7763568394e-15 3280),(4.4408920985e-16 3425),(-0.00642608049902 3577),(-0.00907342850561 3734),(-0.0855300989508 3867),
Point1,H1,(16.9897438237 25),(18.7431224989 169),(18.1648135158 313),(18.2992913236 456),(18.548091056 598),(17.1086592512 745),(15.6670318622 898),(16.9513095482 1047),(16.9044146702 1195),(14.0819949651 1340),(15.6264143856 1482),(13.0756055913 1621),(16.0779903741 1754),(13.1034748937 1895),(15.2297584027 2041),(15.5326959089 2201),(15.3259175391 2360),(15.9055558853 2508),(15.4477884557 2665),(15.3443804127 2825),(16.0480712023 2987),(14.6351487633 3148),(13.1899182597 3305),(13.4437150447 3451),(11.1615067129 3605),(11.4695405901 3760),(10.9334495887 3927),
Point1,H2,(4.26705171765 50),(3.82491201128 195),,(2.84218812353 481),,(4.04692139463 770),,,(5.88577391321 1223),(5.46189079642 1371),,(2.64372511037 1646),,,(5.32940976259 2066),,,,(5.77107331203 2687),,(6.82300089862 3012),(5.40067394875 3179),(3.82620601766 3327),(6.27377775944 3474),(5.74577566555 3630),(6.43734741391 3790),,
Point1,H3,(8.82023880901 79),(8.82806859749 221),,(7.70530435793 506),,(7.65715510108 794),,,(8.73546516391 1246),(8.04025215705 1393),,(7.15517761255 1667),,,(6.09113335511 2082),,,,(7.80937551741 2708),,(8.78287455018 3038),(6.92643123189 3199),(7.35030087527 3353),(8.50942094609 3501),(7.10512917529 3650),(7.4131285574 3808),,
Point1,H4,(1.55990904182 122),(1.39750314435 265),(2.88285050801 339),(2.1895761239 535),(4.77690688266 625),(1.58205616667 839),(4.13107083371 925),(4.08589038815 1071),(2.87441539161 1287),(2.26109803539 1430),(3.88648074103 1509),(1.66713656684 1702),(5.39936562908 1779),,(0.138522333063 2150),(5.46333694031 2223),,(7.80560870059 2538),(1.03383073648 2776),,(2.64654229119 3095),(0.353950486358 3257),(1.26117382159 3399),(2.89236685759 3544),(2.24802514651 3703),(1.17910188891 3863),,
