Cycle,0.736899224806
Average Width,3.42068064046
Width,,3.32611237984,3.21284105452,3.28263879919,3.31555714672,3.22746912836,3.29794075928,3.30122865377,3.48944916979,3.47804954225,3.27234419106,3.28056833154,3.13206341729,3.17523677347,3.09739811956,3.322530815,3.42819871733,3.7141789693,3.40986112194,3.36521568797,3.39090595728,3.59152483674,3.48308604549,3.37124559394,3.57906325318,3.63071652737,3.53037971044,3.64438984784,3.56975769869,3.60556413373,3.50476700826,3.68544392384,3.53545418312,3.54166436935,3.66519672536,3.64478909419,3.51312905361,3.51550160706,3.58712614304,3.46387518457,3.35653097484,3.30237342269,3.17132497224,3.23602280718,3.26123232795
Point0,H1,(18.7281302923 25),(16.2842726573 182),(19.5963376258 330),(18.6231187313 486),(17.0301252907 641),(17.1514512876 803),(16.87046222 960),(18.0350568014 1111),(18.887049855 1255),(18.5751591295 1400),(17.7642477886 1545),(17.631224625 1688),(18.2940251391 1833),(16.2383085405 1979),(17.6001043025 2133),(17.8130104735 2280),(19.4062541562 2420),(21.0369411761 2555),(20.136545122 2698),(19.2112753805 2840),(18.9757542908 2981),(18.6557146627 3119),(19.163805717 3269),(20.3070201993 3419),(19.7342940382 3575),(19.3936566284 3724),(20.0176051475 3869),(20.4017652773 4021),(19.6487323126 4176),(19.2729415291 4333),(18.5389189324 4487),(19.84490942 4636),(20.0027485847 4794),(19.9623141313 4957),(19.3567733352 5126),(20.2758587727 5289),(19.2258835438 5450),(17.2268700082 5602),(17.2941983531 5745),(17.2342326437 5893),(17.7570577522 6044),(16.3773854708 6204),(15.442475758 6367),(14.5870239568 6520),
Point0,H2,(8.25559365068 50),(5.85328953158 205),,(9.21438230828 509),(8.06625113 669),(7.78308972688 828),(5.92064663896 987),(2.76505611491 1136),,(7.23550633596 1424),,,(7.59125349288 1857),,(5.35476430855 2157),,(6.20712982103 2446),,(7.51886119889 2725),,(6.53485099311 3005),(7.43965811275 3146),(8.26973775032 3293),,(5.81057924636 3598),(7.15723549554 3752),(8.20728988356 3898),(8.58934278342 4046),(9.14087137569 4203),(6.83041897208 4362),(4.93011563563 4511),(8.47107367284 4665),(8.590283333 4822),(7.9848271059 4986),(7.46495401813 5151),(6.67381370191 5316),(6.69800465177 5476),(5.10661317054 5627),,(9.22557045873 5918),(9.74993352143 6078),(9.69746927646 6232),,
Point0,H3,(9.1999944245 73),(10.0708179054 230),,(10.9998752854 526),(9.57692669486 686),(10.5817827991 849),(10.0240210815 1008),(8.50026130609 1161),,(10.4170375078 1448),,,(8.30636004808 1878),,(9.03524597918 2178),,(10.6914716514 2466),,(9.53334321472 2748),,(11.5490363786 3026),(10.9550695158 3165),(10.3193636556 3308),,(10.3293290609 3623),(11.6373410167 3773),(11.4130767344 3917),(11.5452820817 4068),(11.9305886461 4223),(10.1415328995 4382),(10.7225636697 4536),(11.917662878 4685),(11.0332038191 4845),(10.8974891707 5006),(11.1484108608 5173),(10.3680858377 5337),(11.0382210427 5498),(9.90291354174 5647),,(11.1187757116 5938),(10.0062958665 6089),(10.5614480082 6250),,
Point0,H4,(2.23855641749 118),(1.99555392547 279),(10.1090595413 357),(2.90358980923 583),(2.37180330229 740),(3.19403910316 902),(0.975973027316 1068),(0.196298996507 1212),(5.27448371016 1280),(2.19025682105 1497),(7.32530078524 1571),(6.2170736749 1712),(1.5799665682 1926),(7.24416267668 2008),(0.834516690193 2234),(3.84913904003 2305),(3.6754083119 2502),(9.40329577342 2584),(1.04433442692 2795),(5.84337667497 2865),(4.05180459862 3062),(3.67567296641 3209),(2.03469789028 3365),(8.90765132491 3447),(2.24844312082 3670),(3.54665959217 3814),(3.45570553146 3959),(3.11591501503 4119),(3.56507470378 4279),(-4.4408920985e-15 4442),(2.23820432422 4582),(2.75532888094 4744),(2.63510789445 4901),(2.33796261628 5061),(1.8535178973 5240),(1.44842053055 5397),(2.67731158068 5544),(2.77059740857 5686),(7.11097490055 5772),(2.09853018375 5991),(3.01497498437 6149),(3.1815211735 6309),,
Point0,H5,(2.37385851259 126),(2.77083876151 290),(11.3223086541 379),(3.4788518719 593),(3.43426979687 754),(4.00741562338 914),(1.02921669288 1073),(0.255285909271 1218),(9.69492022761 1303),(2.4129195279 1505),(9.82220449419 1595),(7.64251688103 1734),(2.3308937775 1938),(8.69117271677 2026),(1.0258703306 2242),(9.70981272003 2330),(3.94710634664 2510),(11.9598211726 2605),(1.1786732247 2801),(9.63270937446 2888),(4.5022807447 3071),(3.67914619162 3211),(3.5648915241 3379),(10.6510435411 3465),(3.70159773909 3683),(4.25972663561 3825),(3.53768850378 3965),(3.64090738014 4129),(4.00350782279 4288),(0.405441599801 4454),(3.7343539456 4595),(3.03773059411 4753),(3.70407801677 4914),(2.60445251565 5071),(1.9225027612 5247),(2.2318035585 5410),(2.83361380676 5551),(3.3172560504 5696),(9.66233815982 5791),(2.54974013923 6001),(3.79450166187 6161),(4.03424927434 6321),,
Point0,H6,(8.881784197e-15 148),(-1.15463194561e-14 305),(-2.48689957516e-14 452),(-1.7763568394e-15 611),(4.4408920985e-15 772),(1.50990331349e-14 931),(-0.00153398466309 1086),(4.4408920985e-15 1226),(7.1054273576e-15 1369),(-3.5527136788e-15 1520),(1.33226762955e-14 1660),(2.57571741713e-14 1805),(1.86517468137e-14 1953),(6.2172489379e-15 2098),(4.4408920985e-15 2254),(-0.00673356568753 2386),(-5.3290705182e-15 2529),(-7.1054273576e-15 2672),(1.42108547152e-14 2814),(9.7699626167e-15 2947),(5.3290705182e-15 3090),(1.7763568394e-15 3235),(-3.5527136788e-15 3394),(1.24344978758e-14 3546),(1.42108547152e-14 3698),(1.06581410364e-14 3842),(-5.3290705182e-15 3987),(0.0 4146),(-7.1054273576e-15 4306),(-4.4408920985e-15 4442),(-7.1054273576e-15 4610),(-0.0115746219066 4769),(4.4408920985e-15 4930),(1.59872115546e-14 5093),(7.1054273576e-15 5263),(1.68753899743e-14 5424),(1.42108547152e-14 5570),(9.7699626167e-15 5714),(1.15463194561e-14 5858),(1.59872115546e-14 6017),(1.06581410364e-14 6178),(1.7763568394e-14 6339),(2.6645352591e-15 6492),
Point1,H1,(22.5999680487 25),(20.2635719277 182),(23.6511349574 330),(22.4050195253 486),(21.1055104787 641),(21.5234092857 804),(20.98019999 961),(21.7107643782 1112),(23.3735016139 1255),(24.4460338792 1400),(22.9861698148 1545),(23.4926508452 1688),(24.3290510088 1832),(22.0697316433 1978),(22.3696826938 2133),(21.6101230711 2280),(22.053806865 2420),(24.8651638776 2555),(24.1770675631 2697),(23.3724046693 2840),(21.9196347256 2981),(22.1696726013 3119),(23.093519154 3268),(23.5379740236 3419),(23.2791226401 3575),(23.2170051926 3724),(23.4970479082 3869),(24.3005309685 4021),(23.7385663113 4176),(23.1761289867 4333),(21.4170043847 4487),(23.2811659545 4636),(25.0641991452 4794),(24.2964342501 4956),(23.6329080364 5126),(24.3015081505 5289),(23.4839502929 5450),(20.9025003694 5602),(22.2151340398 5745),(22.7047074215 5893),(23.7822747321 6043),(22.8821544693 6204),(20.598043758 6367),(19.964578841 6519),
Point1,H2,(9.72954571807 50),(7.08316875985 205),(11.3867374537 358),(10.4812953085 510),(9.55239976599 669),(9.04138423173 828),(6.3948368822 987),(3.36772230556 1136),,(8.92633484763 1423),(8.94993713651 1571),,(9.64445889293 1857),(8.99239206449 2007),(6.13845672431 2157),,(6.50513503636 2446),(10.5035767086 2585),(8.33478565381 2725),,(7.18531888141 3005),(8.69924154055 3146),(9.06936945546 3293),,(6.20872415365 3598),(7.97875020174 3752),(9.05115469061 3897),(9.48624795985 4046),(10.639027786 4204),(7.7166557716 4362),(4.90438575258 4511),(9.61526245855 4664),(10.0790962285 4822),(9.63640822496 4986),(8.09873936517 5151),(7.51511669725 5315),(7.845246146 5477),(6.02033679218 5627),(8.32016102227 5772),(10.2338148033 5917),(12.7193341019 6075),(12.781447987 6236),,
Point1,H3,(10.4246992804 70),(11.6685460001 227),(12.2607106892 379),(12.6553982763 528),(11.9841679061 688),(12.7827546916 849),(11.5788406657 1007),(9.84461049772 1160),,(12.4968598856 1446),(11.9473394227 1595),,(10.5258104285 1870),(11.2129743055 2026),(10.6088909872 2178),,(11.6612727255 2467),(13.512077138 2605),(10.7342108546 2749),,(12.7041240683 3025),(12.1201498079 3164),(11.8296765819 3309),,(11.7126232787 3623),(13.3802847877 3773),(12.8592522529 3916),(12.7408273213 4066),(13.7259145604 4222),(11.6799220472 4380),(11.0825904577 4537),(13.8933386744 4684),(12.8089399044 4845),(13.0846074369 5006),(12.6592799938 5173),(12.1336089782 5337),(12.4679060705 5498),(11.9218454559 5648),(12.0553483495 5790),(13.0942753233 5937),(13.1681046362 6089),(13.3257278161 6250),,
Point1,H4,(2.54410669547 120),(2.52115583948 279),(3.84628851029 424),(3.59884895173 583),(3.44189174281 741),(4.13917679791 903),(1.00745525639 1066),(0.0712046175184 1211),(6.18641462318 1279),(3.12607116914 1498),(0.937050095347 1644),(7.94595065559 1712),(1.81030578302 1927),(2.93840528345 2073),(0.978162466687 2235),(4.19548985993 2306),(3.77693385755 2501),(3.97781760698 2649),(1.70898955181 2794),(6.7309422014 2864),(4.45243878827 3061),(4.25349375457 3208),(2.61995447848 3365),(9.63102528579 3447),(2.80425812085 3669),(4.0469374611 3814),(3.93440663935 3958),(3.75815266352 4118),(4.05235862929 4278),(0.0918005251747 4445),(2.15502704696 4582),(3.44137445865 4742),(3.54644892225 4901),(3.10788708409 5063),(1.71381980422 5239),(2.17130963379 5398),(3.0211256925 5543),(3.33096240309 5685),(3.80436715193 5831),(2.68676929954 5992),(4.24065437272 6149),(3.60666182153 6309),,
