Cycle,0.766442183164
Average Width,16.9738834202
Width,,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,16.8357418192,17.1120250212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(15.7705327498 118),(18.7292057501 266),(18.4672179534 427),(18.3922779544 588),(19.3591800143 747),(18.2412796503 878),(17.2457863684 1051),(18.4636291325 1212),(17.4175627891 1369),(18.8736027889 1499),(15.102650798 1675),(19.6539406477 1834),(18.9283999174 1966),(17.8794473086 2154),(19.3931151983 2292),(16.7632159167 2459),(21.5156051643 2584),(18.4204077967 2778),(17.3452411204 2937),(13.5995427824 3051),(12.6975163271 3227),(16.3156646184 3370),(16.3064004475 3531),(16.6517460068 3675),(16.6311083568 3813),(19.5554517348 3974),(19.804922244 4146),(16.9786855426 4315),(18.6533093318 4471),(19.4847897554 4617),(20.0393257582 4784),(21.1974274846 4949),(21.0116645866 5113),(19.3050023364 5260),(19.0853147714 5415),(20.4177726691 5562),(18.3011875914 5718),(17.520009586 5886),(17.5653140864 6044),(18.96655659 6200),(19.7203881606 6361),(19.4260890714 6524),(16.2206583744 6685),(17.2004387413 6841),(20.4466647791 7000),(16.4059161714 7162),(21.0757181568 7324),
Point0,H2,,,,,,,(-1.06581410364e-14 1083),(2.6645352591e-14 1237),,(16.7846524902 1518),(-1.7763568394e-14 1710),,,,(19.0241987093 2303),,,(-7.1054273576e-15 2804),(2.13162820728e-14 2963),,(-0.0194177788389 3253),(-3.5527136788e-14 3407),,,,,,(-1.24344978758e-14 4342),,(-1.7763568394e-15 4656),,(1.24344978758e-14 4979),,(3.5527136788e-15 5295),,(-3.5527136788e-15 5602),,(-1.95399252334e-14 5920),(0.0 6072),(1.7763568394e-15 6227),,(-0.00857981690753 6553),(8.881784197e-15 6717),,,(-0.00232714434807 7187),,
Point0,H3,,,,,,,(11.5043337953 1115),(4.70481827743 1258),,(18.482663782 1530),(11.091369152 1735),,,,(19.0719295997 2308),,,(8.07392780143 2829),(8.91968328012 2985),,(9.74317272314 3290),(8.77394414628 3433),,,,,,(10.3347400796 4373),,(12.4016285766 4680),,(11.7762601096 5015),,(13.1361814006 5323),,(11.4525099658 5629),,(10.5229944173 5944),(10.2722770104 6109),(8.82088021027 6248),,(8.84708892089 6589),(9.9808746122 6747),,,(6.91966419369 7208),,
Point0,H4,(-1.7763568394e-15 147),,,(4.4408920985e-14 621),(2.6645352591e-14 782),,(6.53676840888 1139),,(-0.0389093095087 1396),(-1.42108547152e-14 1557),(6.61352108746 1760),(-1.42108547152e-14 1861),,(-3.19744231092e-14 2180),(-2.6645352591e-14 2339),(-2.13162820728e-14 2489),,(8.06950416878 2831),(8.53768775172 2995),,(8.09009786819 3307),(7.42743519208 3461),(-2.13162820728e-14 3557),(-1.95399252334e-14 3712),,(-0.0104347433628 4019),,(8.76420141853 4389),(-5.3290705182e-15 4499),(11.2614163144 4693),(-1.7763568394e-15 4817),(9.33764340554 5037),(8.881784197e-15 5140),(8.33822867664 5352),(3.5527136788e-15 5444),(11.3434101517 5636),(-5.3290705182e-15 5761),(6.05373759752 5972),(7.60465218311 6128),(8.54653525517 6255),,(6.62420587985 6608),(7.88393963736 6775),(1.95399252334e-14 6867),,(6.25259260859 7220),,
Point0,H5,(9.88692058227 190),,,(9.25451084032 647),(12.2473108521 810),,(16.3067254337 1183),,(10.6687272175 1439),(10.5801029997 1592),(17.6521971931 1812),(11.633069917 1907),,(12.4876112943 2214),(9.54473338464 2364),(8.72487343443 2520),,(8.72263261584 2845),(8.56795553942 2999),,(12.2253731626 3336),(15.0040144152 3502),(8.55435033528 3593),(11.2756587391 3737),,(9.29559466601 4044),,(17.6591243748 4438),(12.178914969 4538),(11.5365815298 4703),(13.0939793236 4839),(20.6364721174 5088),(13.5768102433 5177),(18.4176615559 5400),(10.487943209 5474),(11.4088750728 5642),(8.0478239017 5786),(13.7453741926 6016),(18.6996399568 6173),(11.660617871 6274),,(15.4156694491 6654),(15.9601730452 6821),(10.3721957476 6908),,(6.7402206741 7233),,
Point0,H6,(-0.0296604989229 1),(-1.7763568394e-15 147),(3.37507799486e-14 305),(3.90798504668e-14 463),(4.4408920985e-14 621),(2.6645352591e-14 782),(3.5527136788e-15 931),(-1.06581410364e-14 1083),(2.6645352591e-14 1237),(2.75335310107e-14 1306),(-0.0389093095087 1396),(-1.42108547152e-14 1557),(-1.7763568394e-14 1710),(-1.42108547152e-14 1861),(-2.6645352591e-14 2019),(-3.19744231092e-14 2180),(-2.6645352591e-14 2339),(-2.13162820728e-14 2489),(-0.000856485042966 2648),(-7.1054273576e-15 2804),(2.13162820728e-14 2963),(-0.000513470404375 3110),(-0.0194177788389 3253),(-3.5527136788e-14 3407),(-2.13162820728e-14 3557),(-1.95399252334e-14 3712),(-2.6645352591e-14 3859),(-0.0104347433628 4019),(-1.95399252334e-14 4179),(-1.24344978758e-14 4342),(-5.3290705182e-15 4499),(-1.7763568394e-15 4656),(-1.7763568394e-15 4817),(1.24344978758e-14 4979),(8.881784197e-15 5140),(3.5527136788e-15 5295),(3.5527136788e-15 5444),(-3.5527136788e-15 5602),(-5.3290705182e-15 5761),(-1.95399252334e-14 5920),(0.0 6072),(1.7763568394e-15 6227),(1.06581410364e-14 6388),(-0.00857981690753 6553),(8.881784197e-15 6717),(1.95399252334e-14 6867),(8.881784197e-15 7028),(-0.00232714434807 7187),(-4.4408920985e-15 7404),
Point1,H1,(12.1889340857 119),(14.0131455705 269),(13.8111456108 427),(13.3262216088 588),(14.7959160735 747),(13.3373762272 876),(12.7139394787 1052),(14.4210496038 1212),(11.8081816601 1367),(13.8026081189 1501),(10.7570940163 1675),(14.8015839537 1835),(14.742395316 1962),(13.0105674983 2154),(13.6432542889 2291),(12.0002039116 2459),(15.7619027438 2585),(14.2618648281 2779),(13.8213005045 2936),(11.0056133268 3052),(10.4182686529 3227),(12.0255192583 3370),(13.0801556225 3531),(13.0210122848 3673),(12.8610823877 3812),(14.455478091 3973),(15.11472621 4142),(13.1070594785 4315),(14.7618144127 4472),(15.1312378884 4617),(15.1703924248 4787),(16.3413843772 4952),(16.53750131 5113),(14.6513681788 5259),(14.5417705672 5416),(15.7013446665 5566),(14.4966006998 5720),(13.9890149552 5886),(13.8675085672 6044),(14.8397894593 6172),(15.5350098631 6361),(15.7023440871 6524),(12.9643738466 6654),(14.014633765 6842),(15.7992708469 7000),(13.2884868604 7162),(14.4312972323 7323),
Point1,H2,,,,(1.7763568394e-14 621),,,(-4.4408920985e-15 1083),(-0.0448586432852 1237),(-8.881784197e-16 1396),(12.1349054807 1518),(-0.000250541580652 1710),,(13.9436163414 1982),,(13.1827363247 2304),,,(3.5527136788e-15 2804),(2.13162820728e-14 2963),,,,,,,(14.2498344868 3984),,(1.7763568394e-15 4342),,,(-1.06581410364e-14 4817),(-2.6645352591e-14 4979),(-3.73034936274e-14 5140),(-2.30926389122e-14 5295),,(1.7763568394e-15 5602),,(-8.881784197e-15 5920),,,(1.7763568394e-15 6387),,,,,(1.06581410364e-14 7187),,
Point1,H3,,,,(7.51569412523 645),,,(9.63093362274 1115),(3.65719563623 1255),(8.20794629354 1437),(13.698096053 1531),(7.81210844994 1737),,(14.0428796474 1989),,(13.1982393973 2308),,,(6.65806231097 2826),(7.36246744372 2985),,,,,,,(14.2541320328 3986),,(8.21492257453 4372),,,(11.0808561249 4839),(10.0029508725 5020),(11.3409368165 5174),(10.6428715971 5322),,(9.25096781606 5627),,(8.96113232261 5943),,,(7.94775754557 6411),,,,,(6.45535412038 7208),,
Point1,H4,(-0.000433552356887 146),,,(4.9923131895 666),(-3.5527136788e-15 781),,(5.53379876748 1140),,(6.49271039511 1453),(-1.7763568394e-15 1557),(4.51453628559 1759),(-0.00527944911726 1860),(3.01980662698e-14 2019),(-0.000200525538808 2180),(7.1054273576e-15 2339),(2.30926389122e-14 2488),,(6.53027913714 2833),(6.87350500251 2995),,(3.37507799486e-14 3253),,(2.22044604925e-14 3557),(-0.00232868043473 3711),,(-1.7763568394e-14 4018),,(6.64569330875 4390),(-7.1054273576e-15 4499),(-2.30926389122e-14 4656),(8.0597635922 4874),(8.10684908312 5038),(9.71881610878 5194),(6.16642418754 5353),(-1.42108547152e-14 5444),(9.04411581613 5636),(-3.5527136788e-15 5761),(5.35163282759 5969),(7.1054273576e-15 6072),,(6.79917256823 6442),(5.3290705182e-15 6552),,,,(5.64245676561 7223),,
Point1,H5,(8.28852272888 191),,,(12.412653926 714),(9.70981040369 809),,(12.2296444768 1183),,(13.3972196869 1482),(8.29121497493 1594),(13.0572214194 1811),(9.12094610103 1906),(11.7085158057 2128),(9.1347798154 2212),(6.65509550224 2366),(6.82706440294 2522),,(7.08966312815 2845),(6.9833101964 3002),,(8.33774904807 3288),,(7.18146848708 3594),(9.79922888839 3736),,(7.3865761002 4043),,(13.8659343646 4444),(10.5122362849 4539),(9.74310020674 4681),(16.3054087498 4929),(16.0759267972 5088),(13.2579684789 5238),(13.7135097458 5397),(7.9917178627 5477),(9.16494331653 5644),(7.3588529866 5785),(11.3365818485 6016),(8.45785196651 6109),,(14.5404127307 6493),(7.54158643677 6587),,,,(5.68578052798 7229),,
Point1,H6,(-0.0176415478319 1),(-0.000433552356887 146),(1.95399252334e-14 305),(2.13162820728e-14 464),(1.7763568394e-14 621),(-3.5527136788e-15 781),(5.3290705182e-15 931),(-4.4408920985e-15 1083),(-0.0448586432852 1237),(-0.00584043085984 1304),(-8.881784197e-16 1396),(-1.7763568394e-15 1557),(-0.000250541580652 1710),(-0.00527944911726 1860),(3.01980662698e-14 2019),(-0.000200525538808 2180),(7.1054273576e-15 2339),(2.30926389122e-14 2488),(2.6645352591e-14 2647),(3.5527136788e-15 2804),(2.13162820728e-14 2963),(1.59872115546e-14 3109),(3.37507799486e-14 3253),(1.42108547152e-14 3407),(2.22044604925e-14 3557),(-0.00232868043473 3711),(-1.95399252334e-14 3859),(-1.7763568394e-14 4018),(5.3290705182e-15 4179),(1.7763568394e-15 4342),(-7.1054273576e-15 4499),(-2.30926389122e-14 4656),(-1.06581410364e-14 4817),(-2.6645352591e-14 4979),(-3.73034936274e-14 5140),(-2.30926389122e-14 5295),(-1.42108547152e-14 5444),(1.7763568394e-15 5602),(-3.5527136788e-15 5761),(-8.881784197e-15 5920),(7.1054273576e-15 6072),(-5.3290705182e-15 6227),(1.7763568394e-15 6387),(5.3290705182e-15 6552),(-1.7763568394e-14 6716),(-8.881784197e-15 6867),(0.0 7027),(1.06581410364e-14 7187),(-0.0232232471663 7350),(-1.06581410364e-14 7404),
Point2,H1,(12.5615991318 35),(14.3652407568 182),(13.0537798734 339),(14.0766274819 497),(13.3328798428 655),(11.6854247994 814),(12.8029561154 966),(14.1586829536 1114),(13.0125632784 1271),(13.4813329664 1431),(11.3636276151 1591),(11.2599037581 1745),(13.5269492055 1895),(12.239932832 2054),(12.4119211235 2214),(11.230270702 2373),(11.6496073944 2521),(12.2944711601 2680),(11.1862501201 2839),(11.6101549309 2997),(10.8213346378 3144),(11.7756134052 3288),(11.9910018173 3443),(11.9490845747 3592),(11.6323870191 3747),(12.9135468375 3894),(12.0828375887 4053),(12.0621934331 4214),(11.1569856597 4377),(10.6167829646 4534),(12.4463782516 4692),(12.3106461548 4852),(11.3888378426 5014),(11.1486463988 5175),(10.7340568658 5327),(12.0870011797 5478),(10.0277024757 5636),(9.16789404362 5794),(8.84195216378 5955),(7.93018819007 6104),(9.71548571077 6262),(10.6921474704 6423),(8.44591743086 6586),(8.51235165528 6746),(9.087123747 6902),(9.05244943027 7062),(10.8668081875 7222),(9.18524949762 7383),
Point2,H2,(4.15621399223 60),,,(6.31988171433 524),(5.42318275966 684),,(4.59088650154 991),(6.34741122254 1154),(4.36012721053 1312),(5.19531655907 1472),(4.53163168946 1616),(4.07067007178 1773),(6.00752163118 1920),,(5.17020600749 2237),(3.61815612444 2399),(5.93394469042 2558),(5.65155087717 2722),(5.5853467949 2863),(4.80122638411 3023),(4.4690769407 3183),(5.78492513013 3328),(5.75378705192 3467),,(4.36144220148 3771),,(4.97595751479 4075),,(4.89666891548 4417),,(5.1635867865 4718),,(4.42114908252 5037),(4.43480882433 5204),(4.12539587967 5357),,,(4.42811747641 5820),(2.86733188173 5982),(3.51111881216 6141),,,(4.25806184842 6623),(3.57807900021 6781),,,,
Point2,H3,(6.00791360623 89),,,(7.19470477336 539),(7.23258393475 705),,(7.68548782339 1023),(7.03386154308 1172),(5.94027611135 1331),(6.63083740783 1490),(5.60037467171 1645),(5.92810656574 1795),(6.01672116489 1923),,(5.69567999152 2248),(5.2615673328 2429),(6.19948585614 2572),(6.05966741606 2736),(5.62168989174 2867),(6.09994616576 3053),(7.01855322114 3203),(6.51577054476 3343),(6.50560427099 3480),,(6.59336876353 3804),,(6.11170009446 4089),,(5.37785937667 4432),,(6.03428400548 4739),,(4.93096613324 5049),(6.75131903883 5233),(6.42664777459 5381),,,(5.15047355818 5838),(4.51147399563 6004),(4.4199882009 6161),,,(4.50660885735 6639),(5.50681857161 6803),,,,
Point2,H4,(2.6645352591e-15 136),,,(0.63294795343 596),(0.775443482638 754),(3.79243185443 844),(1.64893005746 1060),(0.784291533445 1218),(0.868228889181 1380),(0.897523368247 1542),(0.843991206431 1683),(-7.9936057773e-15 1844),(5.06004593418 1940),,(5.3476333455 2260),(8.881784197e-16 2469),,(0.23430787272 2782),(4.86796603644 2883),(0.615547196069 3092),(0.518320079673 3238),(1.25591297199 3383),(0.683330325534 3540),,(-1.7763568394e-15 3849),,(0.0811134445871 4166),,(0.0909515053908 4488),(3.32813262228 4559),(-6.2172489379e-15 4789),(4.02165499193 4877),(4.82381077655 5057),(0.938992632712 5272),(4.4408920985e-15 5433),,(4.19262275067 5660),(0.511277881053 5891),(0.915229367485 6053),(0.439174868742 6213),,,(1.16113639223 6690),(-0.00196677764152 6855),,,,
Point2,H5,(0.514962976779 148),,,(1.80994957929 610),(1.27592343448 767),(6.26674155008 868),(2.1684383311 1072),(1.45850733155 1232),(0.994015207139 1390),(1.16427936152 1552),(1.3304742363 1696),(1.50314218132 1859),(5.4954394124 1953),,(5.49225200406 2270),(1.04105138335 2483),,(0.695050077134 2799),(5.57300761824 2898),(1.04993540552 3104),(0.963348262719 3249),(1.29391993723 3389),(1.30261902165 3553),,(0.207025504039 3859),,(0.18545940968 4176),,(0.197133725169 4497),(5.35427412808 4590),(0.744101687079 4804),(6.36524528735 4912),(5.81133155468 5074),(1.10669165626 5281),(0.267466098056 5444),,(5.32576103641 5692),(1.14823655366 5906),(1.41274328323 6065),(0.586266047528 6224),,,(1.69635247793 6704),(0.269544906218 6866),,,,
Point2,H6,(2.6645352591e-15 136),(2.6645352591e-15 305),(7.9936057773e-15 465),(8.881784197e-16 625),(5.3290705182e-15 783),(-8.881784197e-16 922),(5.3290705182e-15 1087),(8.881784197e-16 1246),(1.7763568394e-15 1404),(-8.881784197e-16 1566),(-5.3290705182e-15 1712),(-7.9936057773e-15 1844),(-1.7763568394e-15 2023),(-8.881784197e-15 2189),(-1.02140518266e-14 2334),(8.881784197e-16 2469),(0.0 2654),(-1.42108547152e-14 2812),(-7.1054273576e-15 2954),(1.7763568394e-15 3118),(9.7699626167e-15 3262),(8.881784197e-15 3407),(2.6645352591e-15 3566),(-3.5527136788e-15 3714),(-1.7763568394e-15 3849),(-0.00440775284819 4020),(-8.881784197e-16 4185),(-8.881784197e-16 4350),(-6.66133814775e-15 4505),(-0.00191137814221 4652),(-6.2172489379e-15 4789),(-1.33226762955e-15 4965),(-1.7763568394e-15 5126),(8.881784197e-16 5295),(4.4408920985e-15 5433),(5.3290705182e-15 5601),(2.6645352591e-15 5759),(8.881784197e-15 5922),(2.6645352591e-15 6080),(8.881784197e-16 6236),(9.7699626167e-15 6397),(3.10862446895e-15 6561),(6.66133814775e-15 6720),(-0.00196677764152 6855),(6.2172489379e-15 7032),(-0.00502036191037 7176),(-0.00418625912389 7332),
Point3,H1,(13.6220697002 34),(15.6347642264 182),(14.329095967 338),(14.1877005686 496),(14.0305979224 654),(13.8944653342 811),(14.8884579078 965),(15.0107084295 1115),(15.744465021 1272),(14.4845450459 1431),(13.8099249466 1590),(13.4259861269 1744),(14.4015542108 1895),(14.8490715337 2054),(14.4363847628 2214),(15.2591161084 2372),(15.7899837813 2522),(14.3414722124 2680),(16.1280829165 2839),(13.7495517487 2998),(15.0565619334 3144),(16.3253117623 3288),(15.6788362011 3442),(16.3660773714 3591),(14.7130066637 3747),(16.5160369738 3894),(17.4898336622 4053),(16.9695922379 4214),(17.0959237556 4376),(16.4013294144 4534),(17.313057741 4692),(17.0832256745 4852),(15.6793746505 5014),(15.7870330986 5175),(16.4322807111 5327),(17.1468562228 5478),(15.3907153917 5636),(15.2608684763 5794),(13.8374934632 5955),(14.4901004703 6104),(15.2540112876 6262),(15.8366518724 6423),(14.9451175278 6585),(13.7431625755 6747),(15.1829800491 6902),(15.8147390507 7062),(15.8587894993 7222),(15.6468408327 7383),
