Cycle,0.721637931034
Average Width,0
Width,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Point0,H1,(9.75028147893 31),(13.8234467861 177),(11.4764762739 325),(11.9690626553 472),(12.6467920858 617),(14.5187265489 766),(16.2862636531 914),(11.3486824263 1061),(12.1506616944 1212),(13.3931126842 1364),(10.4244377129 1514),(11.0724610695 1664),(12.8574633237 1811),(12.6772808453 1964),(11.436285221 2114),(11.7953743534 2265),(12.7093840193 2417),(11.9065185438 2565),(11.432319255 2718),(13.5086278026 2869),(14.8403076467 3019),(15.2286963094 3167),(16.1215092527 3317),(16.413183702 3468),(15.7780117488 3617),(17.7672769962 3767),(18.6441008666 3917),(30.4344836945 4067),(27.4772056963 4216),(21.2675895147 4362),
Point0,H2,,(3.85651563726 231),(1.5067827844 373),,,,,,,,,(2.13229620827 1703),(2.67579721066 1852),(1.22037537094 2028),,(2.29648775882 2309),(5.05967658929 2449),,,,,(-2.6645352591e-15 3223),,,,,,,,,
Point0,H3,,(4.02451639591 242),(1.64286033049 385),,,,,,,,,(3.55885452586 1727),(2.69107784571 1857),(1.23875699299 2033),,(2.3618158892 2318),(5.22797322375 2458),,,,,(1.49041433407 3239),,,,,,,,,
Point0,H4,(4.41414482719 71),(2.39569612192 265),(1.3319183165 401),(8.881784197e-16 543),,(-2.6645352591e-15 853),(0.713542236364 1000),(0.319769021183 1131),(-0.0269971361228 1280),(0.431554678215 1445),(-0.000167479769886 1583),(0.855807847564 1750),(-0.00790740095051 1885),(0.733349843919 2051),(0.9323909117 2194),(1.10154349675 2352),,(-0.0243195463457 2642),(0.624361531462 2775),(-6.2172489379e-15 2943),(0.0495118832219 3111),(0.716750781973 3252),(1.65322205414 3394),(0.906504579188 3553),,(0.119748432414 3842),,,,,
Point0,H5,(4.65304597977 81),(2.40518503497 269),(1.77110357172 416),(0.726684389093 562),,(0.829351561282 867),(0.830211378891 1009),(2.32925573351 1155),(1.82801439238 1315),(1.09752884067 1460),(1.77888861075 1620),(1.58054259934 1763),(0.638326156308 1903),(1.31557547342 2065),(1.00012679851 2203),(1.27269775336 2363),,(0.813005746048 2660),(1.96487922606 2796),(1.70294677171 2964),(0.155584510706 3121),(1.77027741033 3267),(2.02362283306 3408),(1.16923012829 3565),,(1.63397525639 3861),,,,,
Point0,H6,(9.7699626167e-15 138),(3.5527136788e-15 291),(-2.6645352591e-15 435),(8.881784197e-16 543),(-0.00237252627183 724),(-0.0338057953384 879),(-2.6645352591e-15 1024),(3.10862446895e-15 1176),(-0.0269971361228 1280),(4.4408920985e-16 1475),(-0.000167479769886 1583),(1.42108547152e-14 1778),(-0.0641562626631 1927),(1.15463194561e-14 2081),(-0.00377626265521 2225),(-0.0081677865579 2382),(1.33226762955e-14 2530),(-0.333755297347 2679),(-8.881784197e-16 2830),(-6.2172489379e-15 2943),(-8.881784197e-16 3129),(-2.6645352591e-15 3223),(-2.6645352591e-15 3282),(8.881784197e-16 3431),(-2.72822952692e-05 3582),(-0.00427337540007 3727),(-0.00933265893576 3879),(-0.0174431308752 3988),(-1.7763568394e-15 4174),(-0.207633386065 4325),(-0.112221038586 4405),
Point1,H1,(5.33375191289 106),(11.0478904089 253),(7.45030214258 400),(9.15395770775 546),(10.296693707 695),(10.724387033 841),(12.7038915257 989),(7.931951444 1138),(9.40946824267 1287),(11.6428051368 1439),(7.58248756523 1590),(9.21966361814 1740),(10.5082106221 1887),(8.48716017268 2038),(9.35366093847 2187),(8.88493812428 2339),(10.4224244111 2492),(7.45289395317 2641),(7.72689355089 2794),(10.6402603063 2944),(11.7339904211 3094),(11.9584853183 3240),(12.8626346465 3392),(12.098727561 3543),(11.2355193029 3691),(13.9220398595 3842),(14.8196664556 3992),(28.0907923848 4141),(22.1965381882 4290),(18.3054321699 4439),
Point1,H2,,,(-6.66133814775e-15 440),,,(1.97519393083 901),,(0.124530022845 1179),,,,,,(-0.00182470806315 2083),,(-0.0072488016173 2384),(4.81340156408 2524),(-0.0944447560187 2681),,,(0.817478900401 3159),(-7.9936057773e-15 3296),,,,,,,,,
Point1,H3,,,(0.283133692653 460),,,(2.04480695785 907),,(0.30329423577 1193),,,,,,(1.17503774575 2111),,(0.823241395718 2403),(4.93881112776 2534),(0.0244179950351 2692),,,(0.952348597919 3170),(1.7766603267 3316),,,,,,,,,
Point1,H4,(2.27258835706 142),(3.64144373894 296),(0.280104549156 463),(0.267347400997 609),(3.53025684713 731),(3.5527136788e-15 927),(-0.010453547716 1073),(8.881784197e-15 1207),(-0.00751177572746 1351),(1.08548650287 1519),(2.6645352591e-15 1648),(1.53513761678 1772),(-0.0128436815676 1958),(0.704790822912 2125),(1.39236678788 2261),(0.740781863602 2413),(2.38424418446 2578),(-0.145248505264 2707),(-0.0649849192569 2849),(1.59872115546e-14 3013),(0.777269969609 3182),(1.38969995044 3328),(1.73788954736 3469),(0.0924677122999 3626),(1.30095503619 3763),(-0.671040104579 3910),,,,,
