Cycle,0.799167892157
Average Width,0
Width,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Point0,H1,(8.75860145415 145),(10.3366931061 311),(9.82235347089 489),(9.39680061774 664),(11.1959793857 841),(9.82466421337 1016),(10.366028782 1189),(10.0461515793 1366),(9.54396673752 1520),(10.4850720149 1704),(9.56571476507 1875),(8.64351493284 2037),(10.5151587952 2212),(9.60851374687 2359),(9.57407737157 2548),(10.3292962755 2722),(9.97000562743 2858),
Point0,H2,,(4.4408920985e-15 343),(-8.37789541261e-05 534),(-6.2172489379e-15 702),,,(-1.7763568394e-15 1229),,,(3.5527136788e-15 1743),,(0.38906838852 2066),,,,(2.6645352591e-15 2754),,
Point0,H3,,(0.066568286356 349),(7.47978590911 608),(7.74489274805 769),,,(7.77723189391 1311),,,(4.96834429537 1793),,(0.734149995884 2075),,,,(0.732445134574 2768),,
Point0,H4,,(0.0410258345811 355),(7.47230690313 612),(7.56873429584 783),(-7.1054273576e-15 884),(-9.7699626167e-15 1055),(7.71806548454 1318),(-2.6645352591e-15 1403),(-6.2172489379e-15 1571),(4.16958415933 1810),(-8.881784197e-16 1906),(2.6645352591e-15 2089),(-5.3290705182e-15 2245),,,(0.719472096981 2772),,
Point0,H5,,(7.05710816803 457),(8.88935203404 638),(8.66536716462 808),(8.68047765968 985),(4.46678289476 1104),(9.05465144058 1340),(5.35461963247 1454),(6.65444006657 1647),(7.69166737359 1844),(6.42860357038 1986),(5.99564670677 2142),(4.00607242705 2292),,,(6.45912005346 2812),,
Point0,H6,(-7.1054273576e-15 173),(4.4408920985e-15 343),(-8.37789541261e-05 534),(-6.2172489379e-15 702),(-7.1054273576e-15 884),(-9.7699626167e-15 1055),(-1.7763568394e-15 1229),(-2.6645352591e-15 1403),(-6.2172489379e-15 1571),(3.5527136788e-15 1743),(-8.881784197e-16 1906),(2.6645352591e-15 2089),(-5.3290705182e-15 2245),(0.0 2414),(-0.00164929845488 2591),(2.6645352591e-15 2754),(6.2172489379e-15 2928),
Point1,H1,(7.69605848283 148),(6.27334489752 224),(8.21678545688 313),(7.0009632236 488),(7.29817681001 664),(7.95833749159 841),(7.41775223642 1014),(8.39362461607 1190),(8.65353017618 1366),(7.71702305414 1513),(8.19231185976 1703),(8.29228420355 1874),(7.42839293383 2038),(8.49292426743 2211),(7.90216814929 2359),(8.28248666715 2550),(9.44767778178 2724),(9.21179931637 2859),
Point1,H2,,(5.34869950742 239),,,(8.881784197e-15 703),,,,(6.2172489379e-15 1410),,(7.9936057773e-15 1743),,(0.259845419255 2066),,,,,
Point1,H3,,(5.98902555486 254),,,(6.08395144396 758),,,,(5.49288505468 1451),,(5.04044378513 1799),,(0.731002953638 2077),,,,,
Point1,H4,(1.7763568394e-15 174),(5.80407149718 265),,,(5.73790260793 775),,(2.6645352591e-15 1056),(1.06581410364e-14 1230),(5.0300310823 1465),(6.2172489379e-15 1571),(4.45920548425 1814),,(2.6645352591e-15 2090),,,,,
Point1,H5,(2.49660168045 192),(6.66904299916 282),,,(6.45871452383 798),,(6.99983923054 1136),(7.52434572952 1339),(7.63301303316 1498),(6.08016656776 1645),(7.30932967836 1839),,(5.44371794487 2135),,,,,
Point1,H6,(1.7763568394e-15 174),(7.9936057773e-15 357),(5.3290705182e-15 530),(8.881784197e-15 703),(5.3290705182e-15 885),(2.6645352591e-15 1056),(1.06581410364e-14 1230),(6.2172489379e-15 1410),(6.2172489379e-15 1571),(7.9936057773e-15 1743),(3.5527136788e-15 1906),(2.6645352591e-15 2090),(1.7763568394e-15 2246),(0.0 2414),(-0.00225600386715 2587),(-1.7763568394e-15 2754),(1.7763568394e-15 2931),
Point2,H1,(5.46101908548 140),(7.31804824183 308),(6.55993764109 484),(7.1066397999 632),(6.68373520652 836),(6.67617378197 1011),(7.35599717439 1186),(7.2853355687 1362),(6.42027575249 1492),(8.46891118451 1699),(7.34914758833 1851),(6.17211030415 2033),(7.37608355584 2213),(6.93733588715 2331),(7.00054297303 2547),(6.06996563311 2721),(6.96046045196 2854),(7.86986993881 3005),
Point2,H2,,,,,(-4.4408920985e-16 883),(-0.000224854827016 1049),,,,(-0.000188291220083 1739),,(-2.6645352591e-15 2071),,,(3.5527136788e-15 2595),,,,
Point2,H3,,,,,(5.89123399023 961),(4.76560031853 1102),,,,(5.10183503957 1787),,(5.50151969104 2155),,,(3.33443583092 2624),,,,
Point2,H4,(-1.7763568394e-15 173),,,,(5.87999833738 965),(4.63009276165 1110),(1.7763568394e-15 1227),(0.0 1394),,(4.78848151226 1797),,(5.31919483474 2166),(0.242408981425 2240),,(3.29945602577 2630),(6.2172489379e-15 2752),(8.881784197e-16 2921),,
Point2,H5,(6.55570932405 278),,,,(6.16247072932 982),(6.63961777308 1159),(7.0141562114 1310),(0.0836980071642 1401),,(6.83512511531 1817),,(6.12595447027 2182),(0.474923551578 2248),,(5.78923669554 2692),(5.18361102108 2793),(2.36457633382 2941),,
Point2,H6,(-0.00101718012155 1),(-1.7763568394e-15 173),(-2.6645352591e-15 335),(-4.4408920985e-15 531),(-5.3290705182e-15 699),(-4.4408920985e-16 883),(-0.000224854827016 1049),(1.7763568394e-15 1227),(0.0 1394),(-8.881784197e-16 1566),(-0.000188291220083 1739),(-4.4408920985e-15 1918),(-2.6645352591e-15 2071),(-4.4408920985e-15 2260),(-0.00147670746478 2416),(3.5527136788e-15 2595),(6.2172489379e-15 2752),(8.881784197e-16 2921),
Point3,H1,(4.64981681132 36),(6.15655884535 213),(6.45775782208 376),(6.82819059775 569),(6.45643115758 742),(6.56548938171 917),(6.57310126371 1092),(7.25158950987 1269),(5.42374020223 1431),(6.05719039777 1607),(6.20489460822 1781),(6.5316488648 1966),(6.67973723514 2109),(6.60938828783 2302),(5.19100296521 2458),(4.70510100981 2640),(4.35277422017 2809),(6.27888108673 2964),(6.8624917528 3153),
