Cycle,0.787288461538
Average Width,4.54335550061
Width,,4.35959608602,3.95367822966,4.70552095922,4.78679935456,4.46543929103,4.51272553264,4.61524789515,4.58267226912,4.6249762055,4.61990012471,4.57150363158,4.54659404793,4.43050768825,4.707210286,4.47056097981,5.21089064902,4.36876347493,4.32169208346,4.49326214463,4.76889588245,4.38682578969,4.36388107843,4.36255682557,4.98739709904,4.44399360045,4.46615180708
Point0,H1,(14.7340113157 26),(15.9421912062 206),(16.2685071368 392),(14.6673902973 555),(14.9943962472 730),(14.4407549129 908),(13.3984256554 1081),(14.1135416297 1245),(13.3296410942 1420),(14.1103437762 1594),(13.2303972184 1757),(12.0696656209 1917),(13.3593765612 2074),(13.1493314008 2237),(13.7211204896 2408),(10.7428965024 2565),(12.0519174533 2730),(12.8699764596 2905),(13.1112853025 3080),(11.2081363958 3245),(12.1582577593 3405),(11.594928076 3575),(12.1405061232 3738),(8.27237575627 3882),(9.5066907027 4015),(9.47644278586 4151),
Point0,H2,,(8.91339305395 251),,(7.4600838632 600),,(7.41993632355 950),,,(7.83072658973 1468),,(7.19847359553 1799),,(6.10905341125 2122),,(7.15101534084 2447),,,,,(5.40322261606 3286),(6.38674825134 3453),,,(4.13920450773 3912),,
Point0,H3,,(9.05842080078 259),,(7.6809101202 609),,(8.49675312368 964),,,(7.83753697393 1471),,(8.15906165535 1814),,(6.24127053328 2130),,(7.2379701586 2456),,,,,(6.57577929018 3302),(6.38855997638 3456),,,(4.30239747662 3923),,
Point0,H4,,(2.18314886686 327),(9.49701503289 427),(1.16079306516 660),,(2.04174556861 1013),(7.60402606547 1128),(8.52230960341 1287),(2.40389124724 1526),(2.43474870585 1702),(1.70616416715 1862),(6.54850790374 1959),(0.778324867029 2187),(7.50921630338 2276),(2.0785737937 2506),(6.8447060203 2600),(8.04699975087 2770),(8.04096874573 2946),,(0.70514471689 3349),(1.44516282108 3510),,(5.63195619749 3779),(2.17899697983 3957),,
Point0,H5,,(2.21493874569 332),(9.55796873527 436),(1.91739598513 675),,(2.15036279074 1021),(7.70795011818 1137),(9.13153518383 1299),(2.5902997871 1535),(2.49557193903 1709),(2.11261208409 1873),(6.89267383637 1971),(0.836314483797 2193),(8.77089773679 2294),(2.09336757684 2510),(7.3783792133 2616),(8.9451057813 2786),(8.51861532152 2961),,(1.05099728919 3361),(1.73821848909 3521),,(6.3422727088 3793),(2.21686295201 3963),,
Point0,H6,(-1.7763568394e-15 176),(-6.2172489379e-15 355),(-4.4408920985e-15 525),(-8.881784197e-16 695),(-2.6645352591e-15 876),(1.7763568394e-15 1046),(9.7699626167e-15 1214),(2.48689957516e-14 1385),(1.15463194561e-14 1556),(8.881784197e-15 1728),(6.2172489379e-15 1889),(-0.00260908039284 2040),(7.9936057773e-15 2206),(2.6645352591e-15 2373),(-8.881784197e-16 2530),(3.5527136788e-15 2694),(-8.881784197e-16 2867),(5.3290705182e-15 3041),(2.6645352591e-15 3215),(5.3290705182e-15 3375),(5.3290705182e-15 3538),(-0.0034159470004 3703),(4.4408920985e-15 3847),(1.7763568394e-15 3985),(3.5527136788e-15 4117),
Point1,H1,(20.7248219709 27),(23.1594199597 206),(23.267272713 393),(20.8302261876 556),(22.6789104634 731),(22.6935964974 908),(20.4787327563 1082),(21.4506727416 1245),(20.6680590079 1420),(21.7633867571 1594),(20.9168903207 1758),(19.8639280086 1918),(20.3276727846 2075),(19.9819405586 2237),(20.9469524896 2410),(17.6281427019 2566),(19.0589739479 2731),(20.2596605676 2906),(20.8366250442 3081),(17.7548508531 3247),(19.3514263907 3405),(19.1974116077 3575),(20.0292807497 3739),(15.3845601065 3882),(15.5637373808 4016),(14.9069429668 4154),
Point1,H2,,(13.7486048252 254),,(11.3244553139 600),,(11.5599905012 951),,,(12.6338123111 1466),,(11.9973262182 1800),,,(11.9353790833 2279),,,(12.1363590636 2774),,,(8.71505061492 3289),,(12.5622450459 3614),,,,
Point1,H3,,(13.7564749363 257),,(11.956816188 611),,(13.2224567279 965),,,(12.7745635651 1473),,(12.8023819723 1813),,,(13.2401747002 2294),,,(13.7332470511 2789),,,(9.92562535522 3304),,(12.5630500479 3615),,,,
Point1,H4,,(3.54918464748 326),,(2.29384646705 662),(12.889423483 779),(2.46885966084 1015),,(12.421400803 1288),(4.06186054252 1530),(3.40328159185 1705),(3.14477522196 1862),(9.97103997569 1960),(1.60914480745 2188),(4.178962498 2342),(10.9870718541 2445),(10.3856719818 2600),(4.57279912842 2839),,(3.0510779139 3191),(1.52098786687 3352),,,(8.93678347933 3782),,,
Point1,H5,,(3.88354914559 336),,(2.71001701602 673),(12.9597625728 784),(2.52443336941 1021),,(13.2779716222 1300),(4.0629404912 1531),(3.41964149601 1709),(3.70367002695 1873),(10.5605002918 1972),(1.6294127249 2192),(4.37708301708 2350),(11.4212828552 2457),(11.4469032442 2615),(4.94662561502 2848),,(3.25368781857 3200),(1.69859708209 3361),,,(10.3817962321 3795),,,
Point1,H6,(-5.3290705182e-15 178),(-1.7763568394e-15 357),(-3.5527136788e-15 526),(-1.7763568394e-15 695),(1.59872115546e-14 879),(3.5527136788e-15 1046),(-1.7763568394e-15 1215),(-2.84217094304e-14 1386),(-1.24344978758e-14 1556),(-8.881784197e-15 1729),(7.1054273576e-15 1890),(1.06581410364e-14 2040),(-5.3290705182e-15 2207),(-2.13162820728e-14 2373),(-2.13162820728e-14 2531),(-0.00360388585115 2695),(-8.881784197e-15 2868),(-7.1054273576e-15 3043),(-1.24344978758e-14 3218),(-0.0012292584518 3375),(0.0 3538),(-0.0061210812062 3705),(-2.6645352591e-15 3846),(-1.7763568394e-15 3986),(-2.6645352591e-15 4118),
Point2,H1,(16.9983733061 26),(20.7893381788 205),(20.3563014375 392),(18.6136643022 555),(20.6786484629 730),(20.62529248 907),(19.6934383352 1081),(20.2523674397 1244),(19.7786727534 1419),(20.2428541106 1594),(19.9097142054 1756),(18.6121431859 1918),(19.315618459 2073),(17.8000447765 2236),(20.0232015728 2409),(15.476929683 2564),(16.4182304171 2730),(17.881791562 2905),(18.7584957647 3080),(16.2951893046 3246),(17.10891317 3404),(17.8046724147 3573),(18.3977220903 3738),(13.6032623692 3880),(13.074449016 4018),(13.2164458484 4152),
Point2,H2,,(11.5541916231 248),,,,(10.3654691842 952),,,,,(10.6125846496 1799),,,(11.593710039 2279),,,(10.2185193165 2772),,,,(9.19526974513 3450),,,,,
Point2,H3,,(12.0868057859 259),,,,(10.9244327544 963),,,,,(11.5578012484 1812),,,(12.5405237783 2292),,,(11.3307056486 2788),,,,(9.44138907884 3460),,,,,
Point2,H4,,(3.57115713266 324),(11.3656066165 427),(10.2433870203 599),(10.446031617 777),(3.20818565416 1012),(10.7988452462 1124),(11.6576297327 1288),,(3.24336619696 1704),(3.53807763401 1864),(9.04157451065 1959),(8.24439812162 2121),(5.3012086334 2342),,(8.74519834673 2599),(3.76432962109 2837),(2.46182061612 3013),(2.59733467733 3190),(8.48304381915 3288),(2.89015434104 3509),,(8.09998294589 3781),(2.37268032771 3959),,
Point2,H5,,(3.7091908019 332),(11.5489452455 438),(10.3454387586 606),(11.0310841966 787),(3.42006574435 1021),(10.8394494103 1131),(11.9515065034 1297),,(3.32923140172 1710),(3.54087240336 1866),(9.59104017898 1971),(8.42455323638 2130),(5.44220996024 2349),,(9.35979028148 2613),(4.12308040144 2847),(3.37595814139 3026),(2.92686262892 3200),(8.90605650424 3300),(3.33015213082 3519),,(9.42435703845 3795),(2.44872003014 3966),,
Point2,H6,(1.24344978758e-14 177),(1.06581410364e-14 356),(1.15463194561e-14 525),(1.7763568394e-15 694),(-3.5527136788e-15 878),(-1.7763568394e-14 1045),(-8.881784197e-15 1214),(-3.5527136788e-15 1386),(-1.7763568394e-15 1555),(-3.5527136788e-15 1728),(3.5527136788e-15 1888),(1.24344978758e-14 2039),(-0.00553883423935 2205),(-1.06581410364e-14 2373),(-1.7763568394e-15 2529),(1.06581410364e-14 2695),(0.0 2867),(1.7763568394e-15 3044),(1.7763568394e-15 3217),(3.5527136788e-15 3373),(-5.3290705182e-15 3538),(-0.0106032685279 3704),(-0.00438593380445 3846),(8.881784197e-16 3985),(3.5527136788e-15 4116),
Point3,H1,(5.74341633269 66),(3.25478113627 133),(10.6720698119 248),(10.2565985533 435),(9.91352447895 599),(10.9083449426 773),(10.9089033616 949),(10.8513501626 1125),(11.2224939649 1287),(11.3309450358 1463),(11.1568323061 1637),(10.7447961305 1799),(9.16729673733 1961),(10.2857129188 2116),(9.91147606411 2281),(12.2324945919 2451),(7.58916978452 2609),(7.85210576359 2773),(9.90804391952 2949),(10.3031264228 3123),(8.20611632097 3288),(8.95464202085 3447),(9.18073665862 3616),(10.9743745559 3781),(6.83537309077 3924),(6.70116552219 4059),(7.05198194693 4195),
Point3,H2,(1.42836150937 85),(1.51736401747 163),(5.33271613362 293),,,,(5.17708682024 996),,,,(5.67447302575 1671),,,,(7.2750457476 2320),,(4.19704682852 2643),(4.59358826742 2815),,,,,,,,
Point3,H3,(2.30910183523 98),(2.34980594677 180),(5.46284155 303),,,,(5.42977199346 1007),,,,(5.97020695472 1684),,,,(8.5380005392 2337),,(4.38667467787 2655),(5.66641285648 2832),,,,,,,,
Point3,H4,,(1.87672464204 194),(1.72962899231 360),,(0.643624345775 701),(5.54560089469 822),(1.413264431 1055),(0.747018481146 1236),(7.23191031516 1331),,(0.9144762882 1746),(5.30425638463 1841),(4.61982849601 2001),(0.712187364662 2224),(4.50661813637 2385),,(1.03170110761 2704),(2.0598642503 2883),(1.291893908 3057),(0.752933807472 3234),(4.10977736764 3331),(1.60164052359 3552),,(4.6722853154 3824),,
Point3,H5,,(1.96894640859 201),(1.98633272321 373),,(1.10659803872 717),(5.61468212443 829),(1.63330882763 1067),(0.913544594224 1244),(7.45043354407 1340),,(1.28059985928 1757),(6.3333391163 1856),(5.00153138244 2014),(1.04200281103 2236),(4.71298122985 2393),,(1.11300907724 2713),(2.11330985022 2889),(2.00739660137 3070),(0.833122297495 3242),(4.24909400486 3342),(1.88790491025 3563),,(5.72139474309 3839),,
