Cycle,0.806458333333
Average Width,4.43573422791
Width,,3.73299645181,4.11533302857,3.90384628,4.17532177001,4.08911079834,4.54489075816,4.6271315051,4.45397833419,4.40776628446,4.29349471368,4.39536447099,4.42388625531,4.56700002649,4.42131985408,4.35512972826,4.83992613321,4.75788791911,4.55754578659,4.62779127579,4.46282894142,4.48635037031,4.83864898277,4.47971493592,4.34524238004,4.10731419766,5.59331249037,4.16169048094
Point0,H1,(6.76866093945 28),(4.81833596257 197),(4.27560336873 261),(6.26892053366 376),(7.75838274334 526),(10.021278045 696),(9.17952198562 861),(8.25290651799 1009),(9.58880719016 1160),(8.52597494514 1306),(10.343889416 1467),(11.2015130066 1627),(12.8011983093 1788),(11.8666257982 1962),(12.3896805013 2125),(14.0008248626 2302),(13.3778593642 2489),(12.2733226141 2656),(12.4550245446 2841),(12.2069804244 3018),(13.3054272613 3181),(14.6461283003 3371),(12.2322327738 3551),(11.9053721157 3725),(11.2586263988 3909),(15.7899513071 4093),(11.3602720037 4258),(15.5085913142 4427),
Point0,H2,(5.55665780302 44),,,(3.35202492982 409),(6.78838759764 547),,,,(5.18356581358 1209),,(6.2040643535 1511),(6.25833849489 1660),,(6.03568665489 2011),,(8.82902866517 2345),,,,(7.59412101459 3068),,(8.56552589609 3414),(10.8854751721 3585),(11.0401652521 3737),,,
Point0,H3,(5.76307411134 54),,,(3.60946068702 421),(6.79342998234 550),,,,(5.20635619391 1214),,(6.46406555799 1520),(6.60234055333 1672),,(6.26283459053 2021),,(9.12491608732 2356),,,,(7.61056311598 3073),,(9.39331335409 3428),(11.2628534944 3598),(11.7042028501 3749),,,
Point0,H4,(4.9909531769 73),,(1.33226762955e-15 321),(1.5763125254 447),(6.63400403342 568),,(1.95949983965 941),(2.81570083343 1100),(1.4227225698 1243),(1.97380936983 1398),(1.79458115412 1555),(1.76505720167 1734),,(2.2492388519 2071),,(3.45003985973 2417),(2.39517844257 2600),(1.89678313289 2773),,(2.64639498446 3130),,(0.863548542246 3495),(3.23448302493 3645),(9.86255928013 3767),,,
Point0,H5,(5.11330976728 82),,(5.63945618436 349),(1.78348458626 459),(6.67339639928 578),,(2.14626224786 952),(2.82515499684 1103),(1.63295245755 1251),(1.98720513837 1402),(1.90447071774 1563),(2.0177164894 1744),,(2.84017603519 2082),,(3.54299821913 2426),(2.56461424266 2608),(2.63226608456 2786),,(2.66535064581 3134),,(1.27132340059 3507),(3.3082362777 3652),(11.3544018745 3786),,,
Point0,H6,(2.6645352591e-15 162),(1.33226762955e-15 321),(5.3290705182e-15 496),(-1.7763568394e-15 659),(-2.6645352591e-15 819),(-4.4408920985e-15 977),(0.0 1124),(1.7763568394e-15 1269),(-1.7763568394e-15 1434),(-7.1054273576e-15 1586),(-5.3290705182e-15 1761),(0.0 1927),(1.7763568394e-15 2099),(-4.4408920985e-15 2274),(-6.2172489379e-15 2452),(-1.7763568394e-15 2626),(-2.6645352591e-15 2804),(2.6645352591e-15 2978),(7.9936057773e-15 3154),(2.6645352591e-15 3334),(6.2172489379e-15 3521),(6.2172489379e-15 3693),(1.7763568394e-15 3874),(-8.881784197e-16 4064),(-3.5527136788e-15 4227),(-0.00588573771735 4396),
Point1,H1,(14.7638280886 51),(12.0699991914 220),(13.6140842207 394),(16.0113216973 546),(17.5633236935 719),(17.6431529591 878),(15.4474851694 1032),(16.8993416856 1182),(16.9917454446 1330),(18.4094500065 1488),(19.4168657813 1648),(20.5010450349 1810),(19.4147097645 1983),(20.7434788902 2148),(22.2800305352 2324),(20.0240486241 2511),(19.7604304053 2679),(20.6917518982 2863),(19.1652792729 3040),(20.7775294846 3204),(22.4880028134 3393),(18.850743233 3573),(17.6311207098 3746),(19.2368621052 3932),(21.3453428919 4114),(16.8834590371 4281),(21.4964648564 4449),
Point1,H2,,(6.90704347999 257),(3.8544304528 471),,,,(15.2419160361 1040),,,(8.60062815316 1536),,(10.5551341639 1857),(9.10309972467 2032),,(12.1255235463 2368),,,,,(19.0462273516 3218),(10.9635191804 3438),,,,(9.78403279575 4165),,
Point1,H3,,(7.44583107733 272),(3.87965250972 475),,,,(15.2768395325 1045),,,(8.64323451388 1541),,(10.8977031601 1866),(9.44753157171 2042),,(12.438992944 2377),,,,,(19.1421536501 3223),(11.828757046 3450),,,,(9.78725824444 4167),,
Point1,H4,,(1.24344978758e-14 344),(2.7602233475 495),,(4.11408744735 812),(3.85108273078 968),,(3.1155489424 1264),,(3.31820832814 1579),(1.64867403959 1758),(2.9250176334 1916),(2.74213792925 2094),,(3.95241044948 2446),(2.97502837086 2619),(3.12024077869 2795),(3.22681754022 2971),(2.99362877904 3149),(3.09574659244 3322),(2.87480645337 3516),(2.97608995194 3667),,(2.51010133313 4060),(2.48682028859 4217),,
Point1,H5,,(13.1389784965 374),(2.78926527275 500),,(4.16939600819 818),(3.93610018459 976),,(3.18680895096 1270),,(3.45474572092 1587),(1.94350528069 1767),(3.24569520357 1926),(3.25154633653 2104),,(3.98918561323 2451),(3.92502929751 2632),(3.87819929736 2807),(3.49203840697 2980),(3.44741191812 3159),(3.99986429448 3335),(3.5075791499 3527),(3.23940532991 3677),,(2.9053256096 4071),(3.63088277501 4232),,
Point1,H6,(1.7763568394e-14 184),(1.24344978758e-14 344),(1.33226762955e-14 519),(8.881784197e-15 682),(0.0 841),(-1.7763568394e-15 1000),(1.06581410364e-14 1145),(1.7763568394e-14 1291),(5.3290705182e-15 1455),(7.1054273576e-15 1609),(3.5527136788e-15 1782),(7.1054273576e-15 1949),(0.0 2120),(7.1054273576e-15 2296),(-0.00333517648139 2474),(-1.59872115546e-14 2649),(-8.881784197e-15 2825),(1.7763568394e-15 3001),(1.24344978758e-14 3176),(1.24344978758e-14 3355),(5.3290705182e-15 3544),(3.5527136788e-15 3716),(1.24344978758e-14 3896),(1.7763568394e-14 4087),(4.4408920985e-15 4249),(-0.00527031629734 4417),
Point2,H1,(11.6148819176 59),(15.4212213684 202),(16.4430575109 359),(19.5886250659 534),(18.3017067745 708),(20.759284771 866),(19.7736867488 1031),(19.3521798868 1172),(18.8015871887 1314),(19.1401387882 1477),(20.3624342259 1634),(20.8036268129 1797),(18.4288893379 1971),(20.2117730865 2134),(19.371899878 2311),(19.5023131328 2497),(19.8393206419 2666),(20.3860040712 2851),(17.9700485932 3026),(20.5678049886 3193),(21.6060782203 3379),(16.4943697029 3558),(16.0884808996 3735),(16.2359121874 3920),(17.5357918162 4102),(12.5327686774 4266),(17.7178296323 4436),
Point2,H2,,,(15.5237180162 370),,,(2.8336820966 960),,,,,,,,(17.7922033165 2149),,(11.0851471536 2536),(12.1666534198 2709),,(10.8788136141 3061),,(10.7728767737 3430),(14.8328801706 3570),(14.8449373384 3750),,(7.51094889176 4147),,
Point2,H3,,,(16.2111219188 381),,,(3.8388365926 972),,,,,,,,(17.9000981469 2155),,(11.1165521882 2542),(12.493609512 2719),,(11.0793756495 3070),,(10.8014696065 3434),(15.6351625679 3581),(14.863962749 3754),,(8.66762448421 4159),,
Point2,H4,(2.67106799872 147),(2.62966837457 303),,,,(8.881784197e-15 988),,,(1.55692089067 1410),(3.4721021228 1567),(2.27340831357 1746),,(3.62707934578 2078),(0.941425497181 2256),,(2.89238999432 2608),(3.70629796939 2784),(2.83527285944 2958),,,(2.16816750484 3505),(10.6206781611 3606),,(2.36557310996 4049),(1.83906316908 4207),,
Point2,H5,(2.70824161749 152),(2.79005848173 312),,,,(19.6972184883 1019),,,(1.65470038889 1419),(3.84604699803 1577),(2.28840459686 1751),,(3.99625155352 2089),(2.16450806562 2269),,(3.67061502273 2619),(4.08260535903 2793),(3.73386035669 2971),,,(2.54380627221 3515),(10.68624289 3611),,(2.45876778553 4056),(2.55806956962 4219),,
Point2,H6,(-1.06581410364e-14 171),(8.881784197e-16 330),(3.5527136788e-15 503),(7.9936057773e-15 669),(1.06581410364e-14 827),(8.881784197e-15 988),(1.59872115546e-14 1132),(1.24344978758e-14 1278),(8.881784197e-16 1441),(-1.7763568394e-15 1597),(-0.00425911841685 1769),(-6.2172489379e-15 1933),(1.7763568394e-15 2107),(-3.5527136788e-15 2282),(1.7763568394e-15 2461),(3.5527136788e-15 2636),(1.7763568394e-15 2812),(1.7763568394e-15 2989),(3.5527136788e-15 3162),(-0.00258410806945 3341),(-8.881784197e-15 3530),(-3.5527136788e-15 3703),(-5.3290705182e-15 3883),(-0.0132036954668 4074),(-8.881784197e-15 4236),(-0.0155195518808 4406),
Point3,H1,(3.14826835129 33),(8.70970884895 159),(8.72325695094 318),(11.7763355745 493),(9.82879106916 669),(12.6873076595 826),(12.1381546269 993),(12.4782354284 1127),(10.6522357833 1274),(11.7362060394 1437),(12.0454216447 1595),(12.3034434452 1757),(9.74192588809 1931),(11.4224482374 2094),(10.6856036096 2270),(11.3894026734 2458),(11.5662606446 2626),(12.1830418457 2809),(10.0923043549 2987),(11.6515624534 3154),(12.3398530275 3339),(7.79227127301 3516),(7.17643814421 3719),(7.55283245481 3879),(7.92511212622 4062),(5.03120888483 4224),(8.5554075662 4397),
Point3,H2,,,(7.74561428116 332),(9.98321029571 509),,,,,,,,,,,(9.99239586854 2282),,,(5.41555025442 2865),,,,,(3.75348493686 3770),(6.2506769868 3904),(3.81641681462 4105),,
Point3,H3,,,(8.06509440278 342),(10.1188702271 516),,,,,,,,,,,(10.4729983632 2293),,,(5.43616675592 2869),,,,,(3.82532473677 3777),(7.12284607522 3925),(5.10077221915 4122),,
Point3,H4,(1.99657226092 75),(1.3255718162 262),(6.40466773559 365),(7.194188642 540),,(1.42405563027 920),,(6.03430413472 1178),(1.79227148855 1367),(2.65459003981 1530),(1.49089670141 1706),(1.88260963051 1858),(2.53988069511 2038),,(1.48401807352 2391),(2.22425676044 2569),,(1.20349687579 2919),(3.53113655491 3072),,(1.27388951704 3464),,(0.440371618413 3814),(3.63803943095 3976),(1.57957675973 4164),,
Point3,H5,(2.22455065814 87),(1.62190892741 274),(6.45545711511 372),(7.3071222236 547),,(2.28432376179 933),,(6.13202825787 1185),(1.89186864331 1376),(2.68436234719 1535),(1.53546840949 1712),(2.07155817613 1869),(2.71340994135 2048),,(1.92141318376 2403),(2.35456377699 2577),,(2.11194343317 2933),(3.54459290552 3076),,(1.52353933099 3475),,(1.14464236575 3829),(3.8370872962 3990),(2.26042418498 4179),,
Point3,H6,(6.66133814775e-15 129),(1.7763568394e-15 291),(-1.7763568394e-15 463),(-0.00183977501985 628),(-0.00381487340153 786),(-7.1054273576e-15 949),(0.0 1092),(1.7763568394e-15 1238),(-1.7763568394e-15 1401),(5.3290705182e-15 1557),(5.3290705182e-15 1729),(2.6645352591e-15 1895),(5.3290705182e-15 2067),(4.4408920985e-15 2243),(-1.7763568394e-15 2421),(4.4408920985e-15 2595),(8.881784197e-16 2772),(0.0 2949),(-0.00273570987038 3121),(-0.0011186932721 3297),(7.9936057773e-15 3491),(7.9936057773e-15 3665),(-0.00415611942837 3844),(-2.6645352591e-15 4035),(-2.22044604925e-15 4198),(8.881784197e-16 4367),
