Cycle,0.749083333333
Average Width,4.07261946292
Width,,4.5004619338,4.14769445798,4.31497626888,4.70021855696,4.53795819724,4.08415082595,4.45967786551,4.56412845059,4.19398179453,4.2342496877,3.81972043225,4.07946541043,3.98871580223,4.11098904095,3.94700991765,4.00937607872,4.61300557576,4.21100862209,4.14357395167,3.83965323414,3.83539653497,3.98214343355,3.9055000945,3.98162412476,3.85579056068,3.70075994972,4.03934399828,3.67739089261,4.15326737305,3.95806792555,4.14466362284,4.33274679706,3.44590203784,3.66988451972,3.83210545148,3.88859074117,3.47492197031,4.10064838681,4.11078564072,3.77473772993,4.309642971,3.74709572438,3.84673694749,4.23161197507,3.97457995497,4.13936747339,3.34707008112,3.85420983064,4.2936292398,4.08423383306,4.30898921865,4.24861464096,4.27014716178,4.25024787704,3.89379802152,4.4836694193,4.05237467496,4.48280639353,4.40249993627,3.9914485039,3.85272546894
Point0,H1,(15.7022460822 29),(17.1644902512 216),(15.9181636631 396),(15.3796523633 570),(16.8419980426 748),(16.195159802 934),(15.2757289011 1097),(16.0590209219 1259),(15.512578706 1440),(13.4981810225 1579),(14.4987710139 1755),(15.9046022605 1930),(16.2651669611 2108),(16.4198707425 2302),(14.8713690692 2459),(16.8022220764 2635),(16.2873820391 2809),(18.9465477143 2971),(16.4441082271 3145),(13.1162467746 3290),(16.0476939993 3434),(16.1959071299 3583),(16.2899363903 3744),(15.4429579088 3908),(17.2662813264 4075),(14.8456174787 4239),(16.5205569013 4410),(16.1401923875 4571),(14.5409000653 4742),(13.9612900269 4887),(19.0451103393 5011),(11.5394570583 5181),(12.931234216 5297),(12.1130024489 5425),(11.9530716801 5559),(15.6796104191 5686),(13.5518839041 5820),(17.8123464948 5967),(14.3643184156 6107),(11.3907167683 6236),(13.640741181 6366),(13.0332501017 6493),(14.9345631592 6620),(14.7276110841 6749),(14.7045430847 6887),(14.1912820907 7028),(11.9415492365 7179),(15.5175145245 7325),(18.2718499742 7477),(17.1502780113 7626),(17.7966205894 7772),(15.1653068217 7913),(16.7084051242 8056),(16.0910314718 8187),(14.6928517678 8328),(17.2908451913 8471),(14.3919203386 8617),(16.2974841902 8763),(15.8394509637 8911),(14.2681161016 9063),(16.2799871806 9206),
Point0,H2,(9.27721481561 76),,,(8.35572275571 615),(15.7480934915 761),,,,,(7.17573241046 1627),(9.51575415809 1799),,(3.28335113955 2229),,(9.37490357847 2503),(15.2399028993 2649),,(16.96658399 2985),,(5.38766224711 3335),,,,,(8.89717514308 4124),(8.78802264188 4283),(8.78426822694 4457),(6.86939350577 4636),(3.59756484664 4791),(10.7725503455 4908),(-0.0224246189352 5080),,,(1.43043611651 5466),,,(5.0925214316 5860),(14.2394747381 5996),,(4.82784041535 6280),,(4.35865881614 6538),(5.97600919907 6667),(5.89272563924 6794),(3.00784311271 6967),(5.18065015544 7068),(5.49100855474 7219),,(7.30777274621 7519),(6.878079605 7673),(6.31246572091 7819),(4.68691556616 7956),(6.50404691327 8105),(5.51662426655 8232),(4.27377669499 8406),,,(6.31644766063 8809),(7.26464023549 8949),(6.35913836663 9102),,
Point0,H3,(9.28283945693 79),,,(9.00756853434 627),(15.8286285296 767),,,,,(7.27881200332 1634),(9.9274311932 1810),,(3.39745437427 2236),,(9.7166452419 2514),(15.4840298023 2656),,(17.2332788016 2993),,(5.82664944464 3346),,,,,(8.90265446068 4126),(8.83013239881 4289),(8.82949086831 4463),(7.23195627259 4652),(4.1077777466 4802),(10.7950339332 4911),(2.07734502837 5096),,,(2.28924886978 5480),,,(5.67769688315 5874),(15.9717361403 6014),,(4.96280118926 6291),,(4.71389518458 6550),(6.04016754866 6672),(6.16594983141 6802),(3.10140059458 6973),(5.35960674956 7078),(5.80772206606 7231),,(7.40293153622 7529),(6.94173637066 7679),(6.32655325845 7823),(6.62756538641 7973),(6.57427968191 8112),(5.95191456654 8243),(4.39887592014 8413),,,(6.62648858445 8820),(7.4014547709 8959),(7.30752843151 9121),,
Point0,H4,(2.17469255842 150),,,(1.75262971919 693),(10.9524999904 797),,(-0.170355246814 1202),,,(3.26235025997 1684),,,(0.0 2256),,(2.38678832575 2583),(10.2046450509 2683),,,,,,(3.10887134863 3686),(3.18266414001 3849),(2.87839338543 4004),(1.17474671631 4182),(2.80009152931 4344),,(3.54809408911 4677),(1.66088156015 4821),(8.99119517534 4929),(1.69823515996 5105),,,(2.02863515948 5491),,,,(7.09130113079 6039),,,,,,,,,,,,,,,,,,,,,,,,
Point0,H5,(2.41356959155 159),,,(2.31039846733 704),(10.9602844852 800),,(0.371652831289 1217),,,(3.45362141158 1693),,,(16.3796903939 2287),,(2.58310858025 2591),(10.7418994243 2695),,,,,,(3.36613408124 3695),(3.19287174731 3853),(3.15632825684 4014),(1.69404324827 4193),(2.84602393452 4349),,(4.54259583475 4689),(2.69599344007 4834),(14.2052474302 4949),(4.3313723237 5123),,,(2.25330069335 5502),,,,(7.83663362803 6049),,,,,,,,,,,,,,,,,,,,,,,,
Point0,H6,(-5.3290705182e-15 177),(0.0 366),(-5.3290705182e-15 541),(-0.00173887691374 719),(-5.3290705182e-15 897),(3.5527136788e-15 1058),(-0.170355246814 1202),(-3.5527136788e-15 1393),(-0.0110832838418 1550),(-0.0114258541568 1716),(-0.00195392553109 1890),(3.37507799486e-14 2065),(0.0 2256),(2.22044604925e-14 2425),(-5.3290705182e-15 2607),(-1.24344978758e-14 2769),(-0.00873589978455 2941),(-0.0161551503302 3108),(-0.00716665866868 3253),(-0.0283492578148 3394),(1.7763568394e-15 3551),(7.1054273576e-15 3713),(-1.86517468137e-14 3873),(-1.42108547152e-14 4035),(-1.95399252334e-14 4207),(-2.22044604925e-14 4369),(-1.86517468137e-14 4537),(-0.0134868143166 4708),(-0.0210077488443 4853),(5.3290705182e-15 4978),(-0.0224246189352 5080),(-1.59872115546e-14 5142),(-1.7763568394e-15 5264),(-1.42108547152e-14 5394),(8.881784197e-15 5521),(3.5527136788e-15 5650),(-0.0101787866674 5790),(-0.0175212247235 5928),(-0.0150164986028 6071),(-0.00935075428966 6202),(-0.0150712612795 6330),(-0.00202705252693 6444),(1.06581410364e-14 6589),(1.50990331349e-14 6720),(4.4408920985e-15 6851),(1.06581410364e-14 6993),(-0.00559574974244 7138),(-4.4408920985e-15 7295),(0.0 7441),(8.881784197e-15 7593),(6.2172489379e-15 7743),(3.5527136788e-15 7885),(8.881784197e-15 8017),(6.2172489379e-15 8159),(4.4408920985e-15 8291),(1.24344978758e-14 8434),(-0.00558322018421 8580),(7.9936057773e-15 8733),(1.7763568394e-15 8880),(-1.7763568394e-15 9027),(-9.7699626167e-15 9170),
Point1,H1,(20.2087142639 28),(21.5362247515 218),(19.4317051237 396),(18.417865344 571),(20.4117162139 750),(19.9096900271 936),(18.2182804144 1098),(18.8471153365 1259),(17.9481969729 1441),(16.925382131 1579),(19.5865960459 1757),(20.2775541844 1931),(20.8036252681 2109),(19.6661444358 2303),(19.1486974209 2460),(19.6610603102 2636),(18.0971488671 2811),(21.2722158676 2972),(18.7031743718 3146),(15.5730094092 3291),(19.2234923987 3435),(18.8340899345 3582),(18.9221469674 3744),(17.6029694021 3908),(19.5477114937 4076),(17.611464519 4240),(18.9273922167 4409),(17.9980360427 4572),(15.5274746411 4745),(14.7617369201 4888),(20.8761723608 5013),(13.216460784 5181),(14.7232484813 5297),(15.0218801492 5426),(15.3859194781 5555),(18.2087639181 5688),(15.7635870709 5820),(20.3224932865 5967),(17.9892349083 6110),(14.3552873061 6236),(15.7491587247 6366),(18.0457092435 6494),(20.7742777235 6620),(19.7383326125 6749),(21.3686749167 6888),(19.7325866188 7030),(17.677207885 7179),(19.9504943467 7326),(20.6516269369 7478),(20.3055557086 7627),(21.8220951539 7773),(19.2604999861 7915),(20.9504678958 8056),(19.7058935741 8188),(19.3544177132 8328),(21.9059573931 8471),(19.0882986971 8617),(19.8601603407 8764),(19.4172971705 8912),(20.003739853 9064),(20.893705796 9206),
Point1,H2,,,(9.78246834879 443),(9.039126867 617),(19.4475876701 762),,(1.03784449859 1186),,,,,,,(12.1693886841 2334),(10.8406225132 2504),,(10.0052907407 2858),(19.2684014792 2986),,(7.00876864684 3337),,,(11.4204683549 3788),,,(10.1661838925 4283),,(7.64058949947 4641),(4.07808507248 4790),(11.6039574785 4907),(-0.0107675020628 5081),,,(3.68753718299 5468),,,(6.53938242757 5863),(16.3057787832 5998),,(5.13307138776 6282),,(6.98149445744 6537),(8.15568490662 6666),(7.39550884633 6794),(8.26043234738 6939),,(7.61108188005 7220),(8.89083000097 7373),(7.77272345622 7518),(7.55650959275 7672),,(5.41723335864 7958),,(6.98000273387 8233),,,,(7.22463179025 8813),(9.45600246078 8951),(9.10504806982 9099),,
Point1,H3,,,(10.0090053299 451),(9.55713435432 628),(19.5691626812 768),,(1.05110569628 1191),,,,,,,(12.1730690796 2337),(11.4188604143 2515),,(10.0056409548 2859),(19.4737766693 2993),,(7.22664492529 3346),,,(11.6183831329 3797),,,(10.3061132557 4291),,(7.8393466834 4652),(5.4827333938 4804),(11.7282200446 4913),(2.36791485207 5096),,,(4.64519069155 5484),,,(6.94213803833 5875),(18.4621020054 6016),,(5.22835962533 6289),,(7.45306984718 6548),(8.38418375658 6674),(8.1087279706 6804),(8.38687452999 6945),,(8.0498044034 7232),(8.94656585896 7379),(7.92981819302 7526),(7.90104500204 7682),,(7.07751904296 7973),,(7.75575753906 8244),,,,(7.24695220397 8818),(9.65585504618 8960),(10.2517794388 9120),,
Point1,H4,(2.68963375117 149),,(3.32623790085 494),(2.00226472223 694),(3.09985128201 869),,(0.458524565132 1212),,,,,(3.4432854905 2037),,,(2.75599358088 2585),,,,,,,,(3.82930862623 3848),,(1.70883377806 4182),(2.8004646112 4343),,(3.25639361407 4678),(1.81567481589 4823),(8.96395807856 4931),(1.61940172165 5107),,,,,,,(8.98640038488 6040),,,(2.75335310107e-14 6442),,,(5.33546422246 6824),,,,,,,(1.93083103639 7861),,,,(5.464563794 8408),,,,,,,
