Cycle,0.73669047619
Average Width,4.56982104466
Width,,4.8255001122,4.2140844624,4.17072519038,4.2447269955,4.38314580173,4.80782612461,4.44557477684,4.71972369157,4.19255881088,4.44475034625,4.55483355712,5.28746780275,4.85774749771,4.62618225764,4.87656633603,4.25935720192,4.53429975758,4.44684133454,4.90444192588,4.65035499172,4.51953296261
Point0,H1,(17.8691795025 35),(14.7530059463 180),(16.0510930549 328),(14.3076250125 488),(15.7473855452 644),(16.6921640668 790),(17.001431956 934),(15.3600387192 1087),(18.7546440397 1238),(17.0407974897 1384),(13.2783787115 1544),(13.7297831639 1684),(17.4795670716 1820),(16.6837837553 1971),(15.6182793092 2111),(15.2534258585 2247),(17.4126021898 2389),(17.6269817003 2552),(18.0321879746 2741),(18.4562958643 2923),(17.7201082106 3113),
Point0,H2,,,,(6.84075437535 529),,,,,,,,(5.92111867034 1713),,,,,,,(3.42445921277 2839),(9.74887095146 2966),,
Point0,H3,,,,(8.28156345653 547),,,,,,,,(7.27463533056 1732),,,,,,,(3.58795150013 2847),(10.3208253554 2981),,
Point0,H4,,,(7.95125572974 372),(3.59792719259 578),(5.95937294467 675),(6.6156231532 839),(1.83772905256 1026),(8.17257202453 1128),(3.20237677986 1331),(8.53515397947 1429),(5.20255971213 1572),(4.32500835301 1762),(8.8273201315 1864),,(6.54058256091 2148),(6.38750709711 2292),(1.6636861252 2497),(8.33090629629 2597),(2.10409630831 2867),(3.58812202904 3056),,
Point0,H5,,,(8.56085324807 386),(4.0595522386 589),(8.34834302826 695),(6.61656891818 841),(2.35273278375 1037),(8.44461073943 1139),(3.38381701864 1339),(11.4612754971 1455),(8.19105017531 1594),(4.38401827015 1768),(8.91660456737 1871),,(7.47653896906 2161),(6.83683343262 2302),(2.3547812651 2509),(9.015413144 2609),(2.40680198344 2876),(3.95190639562 3067),,
Point0,H6,(-0.00446073282818 1),(-7.1054273576e-15 142),(-1.7763568394e-15 297),(-2.6645352591e-14 455),(-7.9936057773e-15 609),(-7.9936057773e-15 751),(-7.1054273576e-15 899),(-1.7763568394e-15 1053),(8.881784197e-15 1198),(0.0 1357),(1.42108547152e-14 1511),(9.7699626167e-15 1650),(5.3290705182e-15 1790),(-7.1054273576e-15 1934),(-7.1054273576e-15 2078),(-4.4408920985e-15 2213),(-0.00429991348012 2353),(-1.33226762955e-14 2524),(-6.2172489379e-15 2702),(3.5527136788e-15 2892),(0.0 3085),
Point1,H1,(20.5947754259 35),(18.6237012894 182),(19.9635495888 329),(19.5996741593 489),(20.4029778405 645),(21.2183669863 791),(22.8359154437 935),(20.355792573 1087),(23.7027262803 1239),(21.2907861392 1385),(16.2165141694 1544),(17.4639885733 1685),(21.9561615331 1822),(21.9171179055 1972),(20.1997266933 2112),(21.0179778757 2247),(22.8482442316 2391),(24.2340631646 2553),(21.5790196698 2742),(21.3121412545 2924),(21.7450903776 3115),
Point1,H2,,,,(9.83086319883 529),,,(8.81463775065 984),,,,,(6.98577071315 1715),,,,,,(11.7838414112 2600),(4.59708707497 2841),(11.3957896374 2967),,
Point1,H3,,,,(10.4301754824 543),,,(8.925394639 990),,,,,(8.17046492759 1732),,,,,,(12.0354098727 2607),(4.66654982208 2848),(11.8471966563 2980),,
Point1,H4,(8.48574738322 87),,(11.3737257654 373),(3.73272653776 578),(7.25511359626 676),,(2.09663888767 1028),(10.6652183668 1129),,(9.41722160203 1429),(5.48813770613 1573),(5.11465535608 1764),(11.0420142281 1864),,(8.41959358281 2150),(8.61244964846 2293),(2.76955640335 2499),(1.35684868088 2673),(2.83593329431 2871),(3.72307346526 3059),,
Point1,H5,(8.50371935921 91),,(11.7175716284 384),(5.03498465345 591),(10.7805160892 696),,(2.70529464728 1039),(10.8570684015 1138),,(13.5666756467 1454),(8.71692255393 1595),(5.12154627421 1766),(11.2525786668 1873),,(9.303684626 2161),(9.10221347115 2303),(3.36962370084 2509),(2.33220964387 2687),(2.83977349304 2873),(4.20013742023 3069),,
Point1,H6,(-0.0402608642994 1),(-2.48689957516e-14 143),(-1.42108547152e-14 298),(-5.3290705182e-15 457),(5.3290705182e-15 610),(5.3290705182e-15 751),(3.5527136788e-15 900),(-8.881784197e-15 1054),(3.5527136788e-15 1199),(-7.1054273576e-15 1357),(-3.5527136788e-15 1512),(-0.00549978036496 1650),(-0.0131848183335 1790),(1.7763568394e-15 1935),(-7.1054273576e-15 2079),(-1.7763568394e-15 2214),(5.3290705182e-15 2354),(-8.881784197e-15 2525),(1.7763568394e-15 2704),(8.881784197e-15 2893),(1.24344978758e-14 3086),
Point2,H1,(16.2284849765 36),(14.1017917066 180),(14.6829926573 327),(16.1673166864 487),(16.5585950493 643),(18.3842192545 788),(19.3952931856 933),(17.9985796946 1083),(17.8588510096 1237),(16.9191063114 1383),(12.9003460875 1542),(16.1589790573 1683),(18.9765313118 1820),(18.9290827988 1972),(17.9523494158 2110),(17.484866017 2246),(19.372499226 2389),(20.9792993534 2552),(17.9488183926 2739),(16.2557176139 2922),(17.2522568957 3112),(17.4406180011 3303),
Point2,H2,,,,(7.72684415471 528),,,(7.29417918733 981),(9.68967496394 1129),,,,,,,,,,,(6.58371001659 2787),(9.02847358152 2962),,
Point2,H3,,,,(8.42052517599 542),,,(7.79266727409 992),(9.69100534573 1130),,,,,,,,,,,(6.66818687016 2795),(9.81792471235 2975),,
Point2,H4,(7.89264127787 79),(2.73422421242 277),(7.47261636177 369),(4.18308184876 577),(6.37038546733 674),,(3.87613567994 1027),(3.44883487239 1171),,(6.96919456814 1430),(4.9486242981 1571),(6.64750127557 1715),(8.40987126197 1862),(4.15801209637 2051),(6.39803907304 2150),,(1.7745063095 2496),(0.813935190842 2675),(1.96369819141 2861),(3.11934786883 3054),,
Point2,H5,(8.11745984306 90),(2.76109561188 281),(8.76617163403 384),(4.28205463343 584),(8.95695062496 695),,(3.96127767221 1033),(3.56406756501 1178),,(10.0184636321 1456),(8.54744536071 1595),(7.30592941076 1730),(8.8496800316 1873),(4.36574319842 2058),(6.67274549116 2159),,(2.15941183971 2507),(0.917495119703 2683),(2.90564527736 2876),(4.05253897314 3067),,
Point2,H6,(3.5527136788e-15 142),(8.881784197e-15 300),(-0.000831104709781 456),(1.7763568394e-15 607),(-7.1054273576e-15 751),(3.5527136788e-15 899),(-3.5527136788e-15 1053),(3.5527136788e-15 1199),(0.0 1355),(-0.0110502704967 1512),(-7.1054273576e-15 1649),(0.0 1788),(-5.3290705182e-15 1934),(-8.881784197e-15 2078),(-7.1054273576e-15 2211),(-0.00672907720057 2350),(-3.5527136788e-15 2522),(-0.00319901276721 2700),(8.881784197e-16 2892),(-5.3290705182e-15 3085),(-0.0163097876112 3276),
