Cycle,0.814824561404
Average Width,5.57901602189
Width,,5.66617457569,6.5277008205,5.73128611109,4.66130507127,4.72349800435,4.9343162004,4.52090396068,4.62034178278,5.0408237868,4.10923277163,4.56035627485,5.18731598898,5.72742415548,4.81364333929,5.24412983197,5.34115485409,5.32650391388,8.97895646188,4.90949899525,10.9557535368
Point0,H1,(7.05956659562 47),(7.20558492351 235),(6.5892333359 384),(6.0358249619 578),(6.7690300577 753),(6.90483126053 908),(6.7641031664 1081),(7.85734977299 1255),(9.31733037379 1439),(8.07051903051 1607),(7.87424092315 1782),(8.55954570911 1962),(6.56265353128 2135),(6.66805826682 2312),(7.10620731438 2487),(8.8611469993 2648),(7.6932997569 2841),(7.56083998793 2992),(8.26281026385 3159),(6.81424222522 3320),
Point0,H2,(2.413208665 106),,(0.274598453713 499),(0.716763769456 653),(4.59027847871 778),(2.4498961895 972),,(3.70376708333 1308),,,(4.0310530347 1833),,(3.35082567777 2187),(2.95451053816 2368),,,,,(2.26569689707 3223),,
Point0,H3,(2.41864945551 110),,(0.560353931282 512),(0.741123607121 658),(4.596955133 781),(2.46577243852 977),,(3.71471528459 1312),,,(4.1324553576 1841),,(3.36203426849 2192),(3.39342460473 2384),,,,,(2.28231513164 3228),,
Point0,H4,(1.05390092074 145),(0.498549259572 307),(4.88498130835e-15 526),(-8.881784197e-16 682),(1.33226762955e-15 836),(0.758578272139 1011),(-0.109869379924 1187),,(0.734215792511 1539),(2.04168039573 1696),(2.24633163559 1864),(1.0117287812 2068),(1.79297669879 2226),(0.790302981511 2416),(0.0 2575),(1.29851626457 2751),,(1.51744461491 3080),(0.509569541818 3251),,
Point0,H5,(1.11442626926 154),(0.917392410895 327),(5.6786479113 555),(6.28084210628 732),(0.538498964447 861),(0.800281216125 1019),(0.53317692617 1202),,(0.797277687743 1547),(2.16113188529 1716),(2.54798196031 1876),(1.26839317076 2079),(1.95946884643 2240),(1.08556974318 2429),(1.01563724364 2596),(1.40611147993 2762),,(1.72101802696 3092),(1.38200103669 3267),,
Point0,H6,(-5.3290705182e-15 176),(-6.2172489379e-15 348),(4.88498130835e-15 526),(-8.881784197e-16 682),(1.33226762955e-15 836),(-1.33226762955e-15 1043),(-0.109869379924 1187),(3.5527136788e-15 1392),(4.4408920985e-16 1568),(2.22044604925e-15 1744),(1.7763568394e-15 1919),(-4.88498130835e-15 2099),(-3.5527136788e-15 2268),(-2.22044604925e-15 2448),(0.0 2575),(1.7763568394e-15 2783),(-4.4408920985e-16 2940),(-2.6645352591e-15 3117),(-4.4408920985e-16 3285),(-0.000644714606891 3397),
Point1,H1,(8.08100404122 41),(7.66071956168 221),(7.37962046966 399),(7.27689657024 575),(8.06820810394 731),(7.49832648509 907),(7.87682527827 1083),(8.95902139176 1257),(9.99735650251 1441),(9.0868664447 1611),(8.91430001381 1785),(9.82477487441 1959),(7.92928928734 2136),(7.76720999202 2314),(7.70084640067 2488),(9.32676629642 2650),(8.94009011638 2831),(7.92155467631 2989),(9.47340594096 3158),(7.17374520835 3322),
Point1,H2,(2.28054526481 103),,(0.811511624503 474),,(7.45740374789 743),(6.80919767423 924),,(3.77181416798 1305),,(3.53039356762 1661),(4.43639224571 1833),(2.13354936606 2043),,(3.37244759593 2371),,,,(7.52449274677 3002),,,
Point1,H3,(2.38154418221 114),,(0.960826516061 483),,(7.91268694334 754),(6.81890546889 928),,(4.04701544294 1316),,(3.58867394144 1670),(4.62950131335 1843),(2.14989845075 2048),,(3.6733224997 2385),,,,(7.52906325674 3005),,,
Point1,H4,(0.81789074659 147),(0.45605682575 307),(0.0755081838175 503),(1.3467689039 653),(4.88498130835e-15 835),(1.05816984083 1008),(0.602448578413 1185),(1.59095167221 1363),,(2.08465769375 1709),(2.79638849475 1865),(1.27754287289 2070),,(0.872150904538 2420),(-0.00188901218809 2576),,(0.181241761135 2941),,(8.881784197e-16 3254),,
