Cycle,0.97630952381
Average Width,5.56744192214
Width,,5.69127307537,5.73440552089,5.89545788697,6.12704009533,5.4797973847,6.15675199603,5.78217705763,5.7441173467,5.4339055128,5.59897537882,5.59145399887,5.62493869214,5.42791485653,5.40425883941,5.48277407336,5.35197904795,5.62132701758,5.29402306972,5.29813554486,5.30504728385,5.29677498488,5.14119362265
Point0,H1,(23.4671572646 38),(25.1422166257 236),(27.2140346862 442),(28.3825893209 650),(24.6549566895 844),(30.0352275104 1051),(26.7506766639 1259),(27.7140995095 1452),(24.8670505736 1659),(25.4398104223 1866),(24.9252283162 2075),(23.3510813333 2267),(22.7006685786 2475),(22.3742580672 2682),(23.7290312689 2891),(23.892971246 3099),(23.0495080139 3308),(21.809528148 3500),(22.4667864175 3707),(22.2224694693 3915),(21.9791571234 4123),(21.134315074 4334),
Point0,H2,,,,,(12.2867391398 894),(14.9136398758 1098),,(26.0413276247 1465),(13.1273081523 1707),,,,(8.90082914756 2523),(8.85098983929 2734),,,,(4.61222080133 3602),(9.67248311586 3758),(10.3875513888 3963),,
Point0,H3,,,,,(12.290811133 896),(15.5166959982 1108),,(26.0922329662 1469),(13.4496275246 1715),,,,(9.22916994747 2533),(8.87981445665 2738),,,,(4.61340890282 3604),(9.72387525769 3763),(10.7717916901 3972),,
Point0,H4,,(2.28421931584 371),(1.69402205481 578),(-0.00373393310399 790),(2.45356480883 982),(3.65820386508 1189),(1.5000491568 1400),(14.2087518718 1502),(3.33876180051 1796),(2.1847914677 2003),(0.873386543379 2215),,(0.463288963228 2601),(2.55278922907 2821),(2.92188789977 3031),(2.51987317517 3236),(2.13607541866 3418),(2.01995588605 3635),(2.69639847105 3839),(2.79260958403 4052),,
Point0,H5,,(2.47507342505 380),(2.58432486999 592),(0.605993986887 802),(2.45553069568 984),(4.13755790095 1199),(1.58194510439 1406),(14.2388779699 1505),(3.65686833931 1806),(2.63135326639 2014),(1.16469522815 2224),,(1.62714855994 2621),(2.65011190707 2828),(2.92313186255 3032),(3.09264515624 3247),(2.31862892788 3428),(2.39374912055 3649),(2.73775344148 3846),(3.17364163729 4062),,
Point0,H6,(-8.881784197e-15 204),(-1.7763568394e-14 404),(-1.59872115546e-14 608),(-0.117441147191 812),(-5.3290705182e-15 1011),(5.3290705182e-15 1217),(-1.42108547152e-14 1420),(-3.5527136788e-15 1613),(-1.06581410364e-14 1825),(-5.3290705182e-15 2031),(-2.6645352591e-14 2236),(-1.06581410364e-14 2440),(-8.881784197e-16 2642),(5.3290705182e-15 2849),(-8.881784197e-15 3056),(-7.1054273576e-15 3264),(3.5527136788e-15 3468),(7.1054273576e-15 3674),(-5.3290705182e-15 3874),(-1.7763568394e-15 4081),(0.0 4286),
Point1,H1,(30.5463683194 36),(33.0215753216 235),(36.1905275321 441),(36.9196538067 649),(33.3093990795 843),(38.1683057123 1050),(33.8835975977 1258),(35.2479341245 1452),(32.1361808939 1659),(31.9365557785 1865),(30.3475990539 2074),(27.9830713254 2267),(27.9069430313 2475),(28.3296880589 2681),(29.2487044167 2890),(28.6236563625 3097),(27.1241252886 3305),(26.8853071582 3500),(27.290598743 3706),(27.3000934007 3915),(27.1497408755 4123),(27.0373463582 4331),
Point1,H2,,,(16.1120204975 492),,(15.1744768815 892),(17.5881455829 1097),,,(15.3641965155 1707),,(3.42120954541 2188),,(10.3266982381 2523),(10.2338469123 2732),(13.6401860311 2939),(4.78839288324 3213),,,(10.7740381747 3756),(11.8026307145 3962),,
Point1,H3,,,(16.2661699765 498),,(15.3370770009 898),(18.481491686 1107),,,(15.6239466671 1715),,(3.42242113081 2190),,(10.8230132827 2533),(10.420411984 2739),(13.6722238557 2944),(4.78942485684 3214),,,(11.1660592957 3765),(12.2572411804 3971),,
Point1,H4,,(3.03074625966 372),(2.74621672672 578),(0.651393956796 789),(3.21646443059 981),(4.4760955477 1189),,(16.7367864976 1500),(4.01501162331 1796),(3.10801360795 2004),(0.897267461394 2214),(11.5604111478 2318),(0.808581968183 2604),(3.13509769079 2821),(3.04130994943 3030),(2.62288142601 3236),(3.00401460231 3420),(2.44875613697 3637),(2.29190162643 3841),(2.78495862596 4052),,
Point1,H5,,(3.21659880345 380),(3.90970661209 591),(1.28488313365 801),(3.23846952883 985),(4.77223375371 1198),,(16.9768929004 1507),(4.59809067577 1806),(3.28603859389 2012),(1.62544095178 2225),(11.5974432165 2322),(1.79724509962 2621),(3.17152187022 2826),(3.19492267814 3037),(3.4988120814 3248),(3.11515987849 3428),(2.45538740237 3640),(2.36711087574 3848),(3.56718379921 4064),,
Point1,H6,(1.7763568394e-14 203),(3.5527136788e-15 403),(2.48689957516e-14 608),(1.24344978758e-14 812),(-1.7763568394e-15 1011),(-1.06581410364e-14 1216),(-2.48689957516e-14 1420),(0.0 1618),(-3.5527136788e-15 1825),(-1.7763568394e-15 2031),(-3.5527136788e-15 2237),(1.59872115546e-14 2439),(1.7763568394e-14 2642),(-5.3290705182e-15 2848),(1.7763568394e-15 3056),(3.5527136788e-15 3264),(3.5527136788e-15 3468),(-1.06581410364e-14 3673),(-1.42108547152e-14 3873),(-7.1054273576e-15 4081),(-1.7763568394e-15 4286),
Point2,H1,(28.7829205308 34),(31.7873023605 235),(34.3266193263 442),(35.5413987654 650),(31.1450474688 843),(35.9926134717 1051),(30.7992056307 1259),(31.5372040399 1452),(28.3594337241 1658),(26.9598419085 1866),(24.1231930031 2074),(22.5742650724 2267),(22.4551968413 2476),(22.1886446985 2681),(23.432608986 2892),(21.8393820343 3094),(19.5538700367 3302),(21.0495591892 3500),(20.1355733793 3705),(20.2790230258 3916),(19.1103599602 4124),(20.1770225237 4337),
Point2,H2,,,(16.8358226263 492),,,(17.8708476666 1097),,(28.9539919466 1466),(15.658103976 1707),,,(9.91863488899 2315),,(8.28588659458 2734),,,,,(17.4068249474 3719),(9.96472131312 3965),,
Point2,H3,,,(16.9252508573 497),,,(18.6951396984 1107),,(28.9787408319 1469),(15.941746435 1715),,,(10.4064896202 2326),,(8.34714134789 2740),,,,,(18.2527552575 3729),(9.97603501505 3968),,
Point2,H4,,(3.29494283723 373),(2.36461232116 578),(1.31948218737 795),(15.1120448866 891),(4.07300945003 1189),(1.49528465299 1399),(16.8672019633 1499),(4.12408469066 1794),(1.79173686321 2005),,(5.8267354693 2364),,(2.11108576064 2823),(12.4901750237 2939),(1.91729679555 3235),,,,(2.65639045049 4051),,
Point2,H5,,(3.38697948581 379),(3.99049510206 593),(1.34052112363 798),(15.4696593591 899),(4.60077428178 1199),(1.62646564708 1407),(17.1643784698 1506),(4.4795800158 1804),(1.99063939431 2014),,(5.98338181671 2373),,(2.19027750777 2830),(12.5349698353 2944),(2.67318599139 3248),,,,(3.21657302616 4063),,
Point2,H6,(-1.7763568394e-15 204),(3.5527136788e-15 403),(3.5527136788e-15 609),(-8.881784197e-15 812),(-1.59872115546e-14 1011),(1.7763568394e-15 1216),(5.3290705182e-15 1420),(-0.000956550220559 1618),(-5.3290705182e-15 1825),(-1.24344978758e-14 2030),(-5.3290705182e-15 2236),(-1.06581410364e-14 2439),(-1.24344978758e-14 2640),(-7.1054273576e-15 2849),(0.0 3056),(7.1054273576e-15 3264),(3.5527136788e-15 3467),(7.1054273576e-15 3671),(1.59872115546e-14 3868),(-0.000608809931723 4081),(0.0 4287),
Point3,H1,(20.7079459098 34),(23.3922274493 236),(26.5871415026 441),(28.2132618244 650),(22.0045184204 842),(28.0318302921 1051),(21.8813907365 1262),(22.2519956384 1452),(18.4919412563 1680),(17.6637972034 1869),(14.6601655253 2079),(13.5421119659 2268),(13.0506422248 2477),(13.3948442858 2681),(13.9987067692 2895),(11.2087371609 3092),(10.615756836 3311),(11.3832681695 3502),(10.1682390505 3731),(10.6346063146 3931),(9.79053931221 4130),(10.6283198883 4342),
Point3,H2,,,,,(20.4563151831 854),(15.5998044424 1097),,,(13.7073020645 1706),,,,,,,(10.4509900361 3107),,,,(4.95276790169 4001),,
Point3,H3,,,,,(21.1077091051 864),(15.8879368392 1105),,,(13.7625144015 1711),,,,,,,(11.023056808 3121),,,,(4.96729187336 4007),,
